# _root_ Among those sighing with relief was John H. Gutfreund , chairman of Salomon Brothers , who took to the firm 's trading floor to monitor yesterday 's events .
#goldHeads=6,1,2,3,4,0,9,9,6,9,9,11,14,12,9,17,9,17,20,23,20,23,18,17,24,28,26,25,6,
#predictedHeads=6,1,2,3,4,0,9,9,6,9,9,11,14,12,9,17,9,17,20,23,20,23,18,17,24,28,26,25,6,
(0,1),-3.78552 # DEPENDENCYPART_ARC
(0,2),-4.22065 # DEPENDENCYPART_ARC
(0,3),-3.87543 # DEPENDENCYPART_ARC
(0,4),-4.44301 # DEPENDENCYPART_ARC
(0,6),-1.45592 # DEPENDENCYPART_ARC
(0,9),-4.44117 # DEPENDENCYPART_ARC
(0,17),-2.77196 # DEPENDENCYPART_ARC
(1,2),-0.0124084 # DEPENDENCYPART_ARC
(1,3),-0.146434 # DEPENDENCYPART_ARC
(1,4),-1.15758 # DEPENDENCYPART_ARC
(1,5),-0.756589 # DEPENDENCYPART_ARC
(1,6),0.672246 # DEPENDENCYPART_ARC
(1,8),-2.90462 # DEPENDENCYPART_ARC
(1,9),-2.15802 # DEPENDENCYPART_ARC
(1,10),-1.31781 # DEPENDENCYPART_ARC
(1,11),-2.17796 # DEPENDENCYPART_ARC
(1,15),-1.58928 # DEPENDENCYPART_ARC
(1,17),-1.05685 # DEPENDENCYPART_ARC
(1,29),-3.33443 # DEPENDENCYPART_ARC
(2,1),-1.47108 # DEPENDENCYPART_ARC
(2,3),-0.305397 # DEPENDENCYPART_ARC
(2,4),-0.640167 # DEPENDENCYPART_ARC
(2,5),-1.19321 # DEPENDENCYPART_ARC
(2,6),-0.871272 # DEPENDENCYPART_ARC
(3,1),-1.9594 # DEPENDENCYPART_ARC
(3,2),-1.02254 # DEPENDENCYPART_ARC
(3,4),0.670781 # DEPENDENCYPART_ARC
(3,5),-0.632129 # DEPENDENCYPART_ARC
(3,6),-0.88171 # DEPENDENCYPART_ARC
(3,8),-1.89849 # DEPENDENCYPART_ARC
(3,9),-1.99096 # DEPENDENCYPART_ARC
(3,10),-1.50722 # DEPENDENCYPART_ARC
(3,11),-2.17989 # DEPENDENCYPART_ARC
(3,12),-2.09315 # DEPENDENCYPART_ARC
(3,15),-1.60024 # DEPENDENCYPART_ARC
(3,17),-2.11869 # DEPENDENCYPART_ARC
(3,18),-2.03414 # DEPENDENCYPART_ARC
(3,24),-2.39424 # DEPENDENCYPART_ARC
(4,1),-1.51678 # DEPENDENCYPART_ARC
(4,2),-2.14857 # DEPENDENCYPART_ARC
(4,3),-1.75386 # DEPENDENCYPART_ARC
(4,5),1.10544 # DEPENDENCYPART_ARC
(4,6),0.275316 # DEPENDENCYPART_ARC
(4,7),-1.85947 # DEPENDENCYPART_ARC
(4,8),-1.79797 # DEPENDENCYPART_ARC
(4,9),-1.39112 # DEPENDENCYPART_ARC
(4,10),-1.43285 # DEPENDENCYPART_ARC
(4,11),-2.05533 # DEPENDENCYPART_ARC
(4,14),-2.43145 # DEPENDENCYPART_ARC
(5,1),-2.24819 # DEPENDENCYPART_ARC
(5,2),-1.67431 # DEPENDENCYPART_ARC
(5,3),-1.35862 # DEPENDENCYPART_ARC
(5,4),-0.9506 # DEPENDENCYPART_ARC
(5,6),-1.05395 # DEPENDENCYPART_ARC
(5,8),-2.26685 # DEPENDENCYPART_ARC
(5,9),-2.27216 # DEPENDENCYPART_ARC
(5,11),-2.63929 # DEPENDENCYPART_ARC
(6,1),-1.41113 # DEPENDENCYPART_ARC
(6,2),-1.53999 # DEPENDENCYPART_ARC
(6,3),-0.794884 # DEPENDENCYPART_ARC
(6,4),-0.874562 # DEPENDENCYPART_ARC
(6,5),0.341839 # DEPENDENCYPART_ARC
(6,7),-0.153478 # DEPENDENCYPART_ARC
(6,8),-0.591788 # DEPENDENCYPART_ARC
(6,9),-0.553441 # DEPENDENCYPART_ARC
(6,10),-1.14557 # DEPENDENCYPART_ARC
(6,11),-0.779297 # DEPENDENCYPART_ARC
(6,12),-0.96236 # DEPENDENCYPART_ARC
(6,14),-1.73592 # DEPENDENCYPART_ARC
(6,15),-1.16911 # DEPENDENCYPART_ARC
(6,16),-2.36849 # DEPENDENCYPART_ARC
(6,17),-1.73468 # DEPENDENCYPART_ARC
(6,18),-1.6219 # DEPENDENCYPART_ARC
(6,23),-2.83092 # DEPENDENCYPART_ARC
(6,24),-2.46969 # DEPENDENCYPART_ARC
(6,26),-2.80523 # DEPENDENCYPART_ARC
(6,29),0.233837 # DEPENDENCYPART_ARC
(7,8),-1.70418 # DEPENDENCYPART_ARC
(7,10),-1.77519 # DEPENDENCYPART_ARC
(7,11),-2.47003 # DEPENDENCYPART_ARC
(8,2),-3.73644 # DEPENDENCYPART_ARC
(8,3),-2.4693 # DEPENDENCYPART_ARC
(8,4),-2.64073 # DEPENDENCYPART_ARC
(8,5),-1.34805 # DEPENDENCYPART_ARC
(8,6),-1.89062 # DEPENDENCYPART_ARC
(8,7),0.372706 # DEPENDENCYPART_ARC
(8,9),-0.363971 # DEPENDENCYPART_ARC
(8,10),-1.28017 # DEPENDENCYPART_ARC
(8,11),-1.26166 # DEPENDENCYPART_ARC
(8,12),-1.80058 # DEPENDENCYPART_ARC
(8,14),-2.97342 # DEPENDENCYPART_ARC
(8,15),-1.36966 # DEPENDENCYPART_ARC
(8,17),-2.29421 # DEPENDENCYPART_ARC
(9,1),-1.91929 # DEPENDENCYPART_ARC
(9,2),-1.9641 # DEPENDENCYPART_ARC
(9,3),-1.42028 # DEPENDENCYPART_ARC
(9,4),-1.38792 # DEPENDENCYPART_ARC
(9,5),-0.142976 # DEPENDENCYPART_ARC
(9,6),-0.747515 # DEPENDENCYPART_ARC
(9,7),1.76218 # DEPENDENCYPART_ARC
(9,8),1.75559 # DEPENDENCYPART_ARC
(9,10),0.20159 # DEPENDENCYPART_ARC
(9,11),-0.510346 # DEPENDENCYPART_ARC
(9,12),-1.15394 # DEPENDENCYPART_ARC
(9,13),-2.71668 # DEPENDENCYPART_ARC
(9,14),-1.82975 # DEPENDENCYPART_ARC
(9,15),-0.437023 # DEPENDENCYPART_ARC
(9,16),-2.8124 # DEPENDENCYPART_ARC
(9,17),-1.71052 # DEPENDENCYPART_ARC
(9,20),-3.62907 # DEPENDENCYPART_ARC
(9,21),-3.51522 # DEPENDENCYPART_ARC
(9,23),-4.13631 # DEPENDENCYPART_ARC
(9,27),-4.39864 # DEPENDENCYPART_ARC
(9,29),-3.46869 # DEPENDENCYPART_ARC
