# _root_ Other , more thinly traded Asian markets were hit harder than Tokyo 's , but there were no free-fall declines .
#goldHeads=7,7,5,5,7,7,8,0,8,9,10,11,12,8,8,17,15,20,20,17,8,
#predictedHeads=7,8,4,5,7,7,8,0,8,9,10,11,12,8,8,17,15,20,20,17,8,
(0,5),-3.61366 # DEPENDENCYPART_ARC
(0,7),-3.72475 # DEPENDENCYPART_ARC
(0,8),-1.20675 # DEPENDENCYPART_ARC
(0,9),-3.77924 # DEPENDENCYPART_ARC
(0,17),-1.92102 # DEPENDENCYPART_ARC
(1,2),-0.882391 # DEPENDENCYPART_ARC
(1,3),-1.61073 # DEPENDENCYPART_ARC
(1,4),-1.74643 # DEPENDENCYPART_ARC
(1,5),-1.75744 # DEPENDENCYPART_ARC
(1,6),-1.95484 # DEPENDENCYPART_ARC
(1,8),-1.91511 # DEPENDENCYPART_ARC
(1,14),-1.59176 # DEPENDENCYPART_ARC
(1,15),-2.24342 # DEPENDENCYPART_ARC
(2,1),-2.31859 # DEPENDENCYPART_ARC
(2,3),-1.73322 # DEPENDENCYPART_ARC
(3,1),-1.77791 # DEPENDENCYPART_ARC
(3,2),-1.16869 # DEPENDENCYPART_ARC
(3,4),-0.930768 # DEPENDENCYPART_ARC
(3,5),-1.33023 # DEPENDENCYPART_ARC
(3,6),-1.73254 # DEPENDENCYPART_ARC
(3,7),-1.7542 # DEPENDENCYPART_ARC
(3,8),-1.42585 # DEPENDENCYPART_ARC
(3,9),-2.38718 # DEPENDENCYPART_ARC
(3,10),-1.93226 # DEPENDENCYPART_ARC
(3,11),-1.3479 # DEPENDENCYPART_ARC
(3,12),-2.62663 # DEPENDENCYPART_ARC
(3,15),-1.88445 # DEPENDENCYPART_ARC
(3,21),-2.55825 # DEPENDENCYPART_ARC
(4,1),-1.74392 # DEPENDENCYPART_ARC
(4,2),-1.59237 # DEPENDENCYPART_ARC
(4,3),0.355103 # DEPENDENCYPART_ARC
(4,5),-0.818597 # DEPENDENCYPART_ARC
(4,6),-1.31175 # DEPENDENCYPART_ARC
(4,7),-1.89315 # DEPENDENCYPART_ARC
(4,8),-1.46319 # DEPENDENCYPART_ARC
(4,10),-2.1224 # DEPENDENCYPART_ARC
(4,11),-1.17548 # DEPENDENCYPART_ARC
(4,15),-1.66208 # DEPENDENCYPART_ARC
(5,1),-1.63081 # DEPENDENCYPART_ARC
(5,2),-1.377 # DEPENDENCYPART_ARC
(5,3),-0.765438 # DEPENDENCYPART_ARC
(5,4),0.501292 # DEPENDENCYPART_ARC
(5,6),-0.31738 # DEPENDENCYPART_ARC
(5,7),-0.678434 # DEPENDENCYPART_ARC
(5,8),-0.925302 # DEPENDENCYPART_ARC
(5,9),-0.990655 # DEPENDENCYPART_ARC
(5,10),-1.33129 # DEPENDENCYPART_ARC
(5,11),-1.08011 # DEPENDENCYPART_ARC
(5,12),-1.80394 # DEPENDENCYPART_ARC
(5,13),-2.60262 # DEPENDENCYPART_ARC
(5,14),-1.26187 # DEPENDENCYPART_ARC
(5,15),-1.46355 # DEPENDENCYPART_ARC
(5,16),-2.15302 # DEPENDENCYPART_ARC
(5,17),-2.05412 # DEPENDENCYPART_ARC
(5,20),-2.60925 # DEPENDENCYPART_ARC
(5,21),-2.11708 # DEPENDENCYPART_ARC
(6,1),-1.92358 # DEPENDENCYPART_ARC
(6,2),-2.08699 # DEPENDENCYPART_ARC
(6,3),-1.30969 # DEPENDENCYPART_ARC
(6,4),-1.01876 # DEPENDENCYPART_ARC
(6,5),-1.2689 # DEPENDENCYPART_ARC
(6,9),-1.75197 # DEPENDENCYPART_ARC
(7,1),-0.525316 # DEPENDENCYPART_ARC
(7,2),-1.18261 # DEPENDENCYPART_ARC
(7,3),-0.952054 # DEPENDENCYPART_ARC
(7,4),-0.597583 # DEPENDENCYPART_ARC
(7,5),0.239537 # DEPENDENCYPART_ARC
(7,6),1.61751 # DEPENDENCYPART_ARC
(7,8),-0.943173 # DEPENDENCYPART_ARC
(7,9),-1.37971 # DEPENDENCYPART_ARC
(7,11),-1.3549 # DEPENDENCYPART_ARC
(7,12),-2.434 # DEPENDENCYPART_ARC
(7,14),-1.72356 # DEPENDENCYPART_ARC
(7,17),-2.30515 # DEPENDENCYPART_ARC
(8,1),-1.55196 # DEPENDENCYPART_ARC
(8,2),-1.10027 # DEPENDENCYPART_ARC
(8,3),-1.37267 # DEPENDENCYPART_ARC
(8,4),-1.11692 # DEPENDENCYPART_ARC
(8,5),-1.37099 # DEPENDENCYPART_ARC
(8,6),-0.968688 # DEPENDENCYPART_ARC
(8,7),1.12878 # DEPENDENCYPART_ARC
(8,9),1.61025 # DEPENDENCYPART_ARC
(8,10),-0.902377 # DEPENDENCYPART_ARC
(8,11),-1.47861 # DEPENDENCYPART_ARC
(8,12),-1.83852 # DEPENDENCYPART_ARC
(8,13),-2.22676 # DEPENDENCYPART_ARC
(8,14),-0.861891 # DEPENDENCYPART_ARC
(8,15),-0.465553 # DEPENDENCYPART_ARC
(8,16),-2.3952 # DEPENDENCYPART_ARC
(8,17),-1.64981 # DEPENDENCYPART_ARC
(8,20),-2.45219 # DEPENDENCYPART_ARC
(8,21),-0.174245 # DEPENDENCYPART_ARC
(9,1),-2.14957 # DEPENDENCYPART_ARC
(9,2),-2.24723 # DEPENDENCYPART_ARC
(9,3),-1.53644 # DEPENDENCYPART_ARC
(9,4),-1.42474 # DEPENDENCYPART_ARC
(9,5),-1.9523 # DEPENDENCYPART_ARC
(9,6),-1.39242 # DEPENDENCYPART_ARC
(9,7),-1.39995 # DEPENDENCYPART_ARC
(9,8),-1.11448 # DEPENDENCYPART_ARC
(9,10),-0.0140219 # DEPENDENCYPART_ARC
(9,11),-0.429698 # DEPENDENCYPART_ARC
(9,12),-1.01883 # DEPENDENCYPART_ARC
(9,13),-1.93179 # DEPENDENCYPART_ARC
(9,14),-1.36543 # DEPENDENCYPART_ARC
(9,15),-1.14398 # DEPENDENCYPART_ARC
(9,16),-1.71545 # DEPENDENCYPART_ARC
(9,17),-1.51586 # DEPENDENCYPART_ARC
(9,20),-2.01489 # DEPENDENCYPART_ARC
(9,21),-2.00561 # DEPENDENCYPART_ARC
(10,2),-2.625 # DEPENDENCYPART_ARC
(10,3),-2.33919 # DEPENDENCYPART_ARC
(10,4),-2.3794 # DEPENDENCYPART_ARC
(10,5),-2.42175 # DEPENDENCYPART_ARC
(10,7),-1.37722 # DEPENDENCYPART_ARC
(10,8),-1.71607 # DEPENDENCYPART_ARC
(10,9),-1.02467 # DEPENDENCYPART_ARC
(10,11),0.0530855 # DEPENDENCYPART_ARC
(10,12),-1.44687 # DEPENDENCYPART_ARC
(10,13),-1.96075 # DEPENDENCYPART_ARC
(10,14),-1.70741 # DEPENDENCYPART_ARC
(10,15),-1.46615 # DEPENDENCYPART_ARC
(10,16),-2.22154 # DEPENDENCYPART_ARC
(10,17),-1.66062 # DEPENDENCYPART_ARC
(10,20),-2.51384 # DEPENDENCYPART_ARC
(10,21),-1.95336 # DEPENDENCYPART_ARC
(11,10),-1.34759 # DEPENDENCYPART_ARC
(11,12),0.069913 # DEPENDENCYPART_ARC
(11,13),-1.20395 # DEPENDENCYPART_ARC
(11,14),-0.95637 # DEPENDENCYPART_ARC
(11,15),-1.44871 # DEPENDENCYPART_ARC
(11,16),-1.98784 # DEPENDENCYPART_ARC
(11,17),-0.174557 # DEPENDENCYPART_ARC
(11,20),-1.8435 # DEPENDENCYPART_ARC
(11,21),-2.65055 # DEPENDENCYPART_ARC
(12,7),-2.12949 # DEPENDENCYPART_ARC
(12,8),-2.2818 # DEPENDENCYPART_ARC
(12,9),-1.94639 # DEPENDENCYPART_ARC
(12,10),-1.20354 # DEPENDENCYPART_ARC
(12,11),-0.829517 # DEPENDENCYPART_ARC
(12,13),1.71544 # DEPENDENCYPART_ARC
(12,14),-1.24443 # DEPENDENCYPART_ARC
(12,15),-1.47627 # DEPENDENCYPART_ARC
(12,16),-1.9005 # DEPENDENCYPART_ARC
(12,17),-1.51609 # DEPENDENCYPART_ARC
(13,4),-2.53251 # DEPENDENCYPART_ARC
(13,7),-2.07506 # DEPENDENCYPART_ARC
(13,10),-1.52978 # DEPENDENCYPART_ARC
(13,11),-1.50326 # DEPENDENCYPART_ARC
(15,12),-2.01692 # DEPENDENCYPART_ARC
(15,14),-1.70912 # DEPENDENCYPART_ARC
(15,16),-0.673288 # DEPENDENCYPART_ARC
(15,17),1.38063 # DEPENDENCYPART_ARC
(15,19),-1.96139 # DEPENDENCYPART_ARC
(15,20),-2.31948 # DEPENDENCYPART_ARC
(15,21),-2.3922 # DEPENDENCYPART_ARC
(16,17),-1.11273 # DEPENDENCYPART_ARC
(16,20),-2.66552 # DEPENDENCYPART_ARC
(17,1),-1.89217 # DEPENDENCYPART_ARC
(17,2),-2.52681 # DEPENDENCYPART_ARC
(17,3),-1.98072 # DEPENDENCYPART_ARC
(17,4),-1.51538 # DEPENDENCYPART_ARC
(17,5),-1.74998 # DEPENDENCYPART_ARC
(17,6),-1.86615 # DEPENDENCYPART_ARC
(17,7),-0.733751 # DEPENDENCYPART_ARC
(17,8),-1.67964 # DEPENDENCYPART_ARC
(17,9),-1.74356 # DEPENDENCYPART_ARC
(17,10),-1.43079 # DEPENDENCYPART_ARC
(17,11),-0.93964 # DEPENDENCYPART_ARC
(17,12),-1.58958 # DEPENDENCYPART_ARC
(17,13),-1.53007 # DEPENDENCYPART_ARC
(17,14),-1.28486 # DEPENDENCYPART_ARC
(17,15),-0.859852 # DEPENDENCYPART_ARC
(17,16),0.869413 # DEPENDENCYPART_ARC
(17,18),-0.556527 # DEPENDENCYPART_ARC
(17,19),-0.64267 # DEPENDENCYPART_ARC
(17,20),-0.325669 # DEPENDENCYPART_ARC
(17,21),-0.363452 # DEPENDENCYPART_ARC
(18,19),-1.03028 # DEPENDENCYPART_ARC
(18,20),-1.38156 # DEPENDENCYPART_ARC
(18,21),-1.61586 # DEPENDENCYPART_ARC
(19,16),-1.50962 # DEPENDENCYPART_ARC
(19,18),-0.613255 # DEPENDENCYPART_ARC
(20,1),-2.0356 # DEPENDENCYPART_ARC
(20,9),-1.90589 # DEPENDENCYPART_ARC
(20,10),-2.17046 # DEPENDENCYPART_ARC
(20,12),-1.99098 # DEPENDENCYPART_ARC
(20,16),-1.21092 # DEPENDENCYPART_ARC
(20,18),1.05241 # DEPENDENCYPART_ARC
(20,19),1.37879 # DEPENDENCYPART_ARC
(20,21),-1.43464 # DEPENDENCYPART_ARC
(21,20),-2.63374 # DEPENDENCYPART_ARC
(0,5),(0,7),-0.152872 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.73606 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.335883 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.73606 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.794691 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.105038 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.794691 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.636935 # DEPENDENCYPART_SIBL
(0,8),(0,17),-1.74834 # DEPENDENCYPART_SIBL
