# _root_ On Oct. 16 , 1987 -- the Friday before the Black Monday crash -- the New York market dropped 4.6 % , and Tokyo followed on Monday with a 2.4 % drop .
#goldHeads=19,1,2,2,2,8,8,2,8,13,13,13,9,8,18,18,18,19,0,21,19,19,19,25,23,25,26,25,32,31,32,28,19,
#predictedHeads=19,1,2,2,2,9,8,9,19,13,13,13,9,9,18,18,18,19,0,21,19,19,19,25,23,25,26,25,32,31,32,28,19,
(0,1),-3.70284 # DEPENDENCYPART_ARC
(0,2),-3.59069 # DEPENDENCYPART_ARC
(0,19),-2.61415 # DEPENDENCYPART_ARC
(0,25),-2.08084 # DEPENDENCYPART_ARC
(1,2),0.583307 # DEPENDENCYPART_ARC
(1,3),-0.917992 # DEPENDENCYPART_ARC
(1,4),-1.18892 # DEPENDENCYPART_ARC
(1,5),-2.17064 # DEPENDENCYPART_ARC
(1,6),-1.31178 # DEPENDENCYPART_ARC
(1,9),-2.15904 # DEPENDENCYPART_ARC
(1,14),-1.3976 # DEPENDENCYPART_ARC
(1,19),-1.97935 # DEPENDENCYPART_ARC
(1,33),-3.41563 # DEPENDENCYPART_ARC
(2,1),-2.13027 # DEPENDENCYPART_ARC
(2,3),1.39154 # DEPENDENCYPART_ARC
(2,4),0.0141219 # DEPENDENCYPART_ARC
(2,5),-0.58973 # DEPENDENCYPART_ARC
(2,6),-1.04723 # DEPENDENCYPART_ARC
(2,7),-2.31048 # DEPENDENCYPART_ARC
(2,8),-2.91245 # DEPENDENCYPART_ARC
(2,9),-2.04406 # DEPENDENCYPART_ARC
(2,13),-2.97055 # DEPENDENCYPART_ARC
(2,14),-1.45956 # DEPENDENCYPART_ARC
(2,18),-3.54328 # DEPENDENCYPART_ARC
(2,19),-2.80456 # DEPENDENCYPART_ARC
(2,21),-3.99391 # DEPENDENCYPART_ARC
(2,22),-2.80694 # DEPENDENCYPART_ARC
(2,23),-3.19801 # DEPENDENCYPART_ARC
(2,33),-3.03801 # DEPENDENCYPART_ARC
(3,1),-1.30965 # DEPENDENCYPART_ARC
(3,2),-1.3835 # DEPENDENCYPART_ARC
(3,4),-0.840657 # DEPENDENCYPART_ARC
(3,5),-1.67218 # DEPENDENCYPART_ARC
(3,6),-1.30671 # DEPENDENCYPART_ARC
(3,22),-2.15867 # DEPENDENCYPART_ARC
(4,5),-2.07415 # DEPENDENCYPART_ARC
