# _root_ BMA 's investment banker , Alex . Brown & Sons Inc. , has been authorized to contact possible buyers for the unit .
#goldHeads=4,1,4,13,4,8,8,4,8,9,10,4,0,13,14,15,16,19,17,19,22,20,13,
#predictedHeads=4,1,4,13,4,8,8,4,8,9,10,4,0,13,14,15,16,19,17,19,22,20,13,
(0,4),-4.32219 # DEPENDENCYPART_ARC
(0,7),-3.90105 # DEPENDENCYPART_ARC
(0,13),-0.467496 # DEPENDENCYPART_ARC
(0,14),-2.9333 # DEPENDENCYPART_ARC
(0,15),-3.25091 # DEPENDENCYPART_ARC
(1,2),1.83379 # DEPENDENCYPART_ARC
(1,3),-1.42438 # DEPENDENCYPART_ARC
(1,4),-1.60072 # DEPENDENCYPART_ARC
(1,5),-1.02466 # DEPENDENCYPART_ARC
(1,6),-2.2052 # DEPENDENCYPART_ARC
(1,7),-1.98858 # DEPENDENCYPART_ARC
(1,8),-3.09165 # DEPENDENCYPART_ARC
(1,9),-1.62972 # DEPENDENCYPART_ARC
(1,11),-3.58499 # DEPENDENCYPART_ARC
(1,12),-1.0802 # DEPENDENCYPART_ARC
(1,23),-3.06246 # DEPENDENCYPART_ARC
(2,5),-2.40677 # DEPENDENCYPART_ARC
(3,1),-0.860689 # DEPENDENCYPART_ARC
(3,4),-1.22202 # DEPENDENCYPART_ARC
(3,5),-1.73655 # DEPENDENCYPART_ARC
(3,6),-2.16779 # DEPENDENCYPART_ARC
(3,12),-1.37962 # DEPENDENCYPART_ARC
(4,1),0.309728 # DEPENDENCYPART_ARC
(4,2),-0.850495 # DEPENDENCYPART_ARC
(4,3),1.59233 # DEPENDENCYPART_ARC
(4,5),-0.0885115 # DEPENDENCYPART_ARC
(4,6),-1.50532 # DEPENDENCYPART_ARC
(4,7),-1.61269 # DEPENDENCYPART_ARC
(4,8),-1.7529 # DEPENDENCYPART_ARC
(4,9),-1.73064 # DEPENDENCYPART_ARC
(4,10),-2.27785 # DEPENDENCYPART_ARC
(4,11),-1.8808 # DEPENDENCYPART_ARC
(4,12),0.0832878 # DEPENDENCYPART_ARC
(4,13),-2.45092 # DEPENDENCYPART_ARC
(4,14),-2.43946 # DEPENDENCYPART_ARC
(4,15),-2.56085 # DEPENDENCYPART_ARC
(4,16),-2.15513 # DEPENDENCYPART_ARC
(4,20),-2.24654 # DEPENDENCYPART_ARC
(4,22),-3.75524 # DEPENDENCYPART_ARC
