# _root_ Similarly , Agfa is sponsoring scores of photography contests at high schools and colleges , offering free black-and-white film and paper as prizes .
#goldHeads=4,4,4,0,4,5,6,9,7,9,12,10,12,13,5,5,19,19,16,19,20,16,22,4,
#predictedHeads=4,4,4,0,4,5,6,9,7,5,12,10,12,13,5,5,19,19,16,19,20,16,22,4,
(0,1),-3.07576 # DEPENDENCYPART_ARC
(0,3),-3.95919 # DEPENDENCYPART_ARC
(0,4),-1.17836 # DEPENDENCYPART_ARC
(1,2),-1.32371 # DEPENDENCYPART_ARC
(1,3),-2.03239 # DEPENDENCYPART_ARC
(1,4),-1.39169 # DEPENDENCYPART_ARC
(1,5),-2.25032 # DEPENDENCYPART_ARC
(1,6),-2.47171 # DEPENDENCYPART_ARC
(1,7),-2.12258 # DEPENDENCYPART_ARC
(1,10),-2.8806 # DEPENDENCYPART_ARC
(1,24),-2.36455 # DEPENDENCYPART_ARC
(2,1),-2.46964 # DEPENDENCYPART_ARC
(2,3),-2.13157 # DEPENDENCYPART_ARC
(3,1),-1.7184 # DEPENDENCYPART_ARC
(3,2),-0.937097 # DEPENDENCYPART_ARC
(3,4),-0.81305 # DEPENDENCYPART_ARC
(3,5),-1.73709 # DEPENDENCYPART_ARC
(3,6),-2.40109 # DEPENDENCYPART_ARC
(4,1),-0.543879 # DEPENDENCYPART_ARC
(4,2),0.504692 # DEPENDENCYPART_ARC
(4,3),0.925999 # DEPENDENCYPART_ARC
(4,5),1.57491 # DEPENDENCYPART_ARC
(4,6),-0.27425 # DEPENDENCYPART_ARC
(4,7),-1.05405 # DEPENDENCYPART_ARC
(4,8),-1.26069 # DEPENDENCYPART_ARC
(4,9),-1.33269 # DEPENDENCYPART_ARC
(4,10),-1.3864 # DEPENDENCYPART_ARC
(4,12),-2.18398 # DEPENDENCYPART_ARC
(4,13),-0.846497 # DEPENDENCYPART_ARC
(4,15),-1.17596 # DEPENDENCYPART_ARC
(4,16),-1.61223 # DEPENDENCYPART_ARC
(4,20),-2.24428 # DEPENDENCYPART_ARC
(4,24),0.39605 # DEPENDENCYPART_ARC
(5,1),-1.70845 # DEPENDENCYPART_ARC
(5,2),-1.63871 # DEPENDENCYPART_ARC
(5,3),-1.81997 # DEPENDENCYPART_ARC
(5,6),0.79088 # DEPENDENCYPART_ARC
(5,7),-0.457289 # DEPENDENCYPART_ARC
(5,8),-0.616058 # DEPENDENCYPART_ARC
(5,9),-0.868426 # DEPENDENCYPART_ARC
