# _root_ `` It was simply overbought , '' he said , and selling by funds that are computer guided helped depress prices .
#goldHeads=3,3,9,3,3,3,3,9,0,9,3,19,12,13,16,14,16,17,11,19,20,3,
#predictedHeads=9,3,9,3,3,9,9,9,0,9,9,11,12,13,16,14,16,16,18,19,20,3,
(0,3),-1.48282 # DEPENDENCYPART_ARC
(0,9),0.322215 # DEPENDENCYPART_ARC
(0,19),-2.51203 # DEPENDENCYPART_ARC
(1,2),-2.44267 # DEPENDENCYPART_ARC
(1,3),-2.39575 # DEPENDENCYPART_ARC
(2,1),-1.58435 # DEPENDENCYPART_ARC
(2,3),-1.16771 # DEPENDENCYPART_ARC
(2,4),-2.34332 # DEPENDENCYPART_ARC
(2,5),-2.60093 # DEPENDENCYPART_ARC
(2,6),-2.21456 # DEPENDENCYPART_ARC
(2,11),-2.35805 # DEPENDENCYPART_ARC
(3,1),-0.634388 # DEPENDENCYPART_ARC
(3,2),1.41846 # DEPENDENCYPART_ARC
(3,4),0.843823 # DEPENDENCYPART_ARC
(3,5),1.06193 # DEPENDENCYPART_ARC
(3,6),-0.801073 # DEPENDENCYPART_ARC
(3,7),-0.812767 # DEPENDENCYPART_ARC
(3,8),-1.72548 # DEPENDENCYPART_ARC
(3,9),-1.14724 # DEPENDENCYPART_ARC
(3,10),-0.605873 # DEPENDENCYPART_ARC
(3,11),-1.49552 # DEPENDENCYPART_ARC
(3,12),-1.37827 # DEPENDENCYPART_ARC
(3,13),-1.983 # DEPENDENCYPART_ARC
(3,16),-1.46178 # DEPENDENCYPART_ARC
(3,18),-1.89401 # DEPENDENCYPART_ARC
(3,19),-1.94942 # DEPENDENCYPART_ARC
(3,20),-2.33705 # DEPENDENCYPART_ARC
(3,22),-0.588681 # DEPENDENCYPART_ARC
(4,1),-2.28189 # DEPENDENCYPART_ARC
(4,2),-2.16815 # DEPENDENCYPART_ARC
(4,5),-1.00291 # DEPENDENCYPART_ARC
(4,6),-1.84732 # DEPENDENCYPART_ARC
(4,7),-1.65381 # DEPENDENCYPART_ARC
(4,9),-1.73568 # DEPENDENCYPART_ARC
(4,10),-2.00689 # DEPENDENCYPART_ARC
(4,11),-2.16443 # DEPENDENCYPART_ARC
(5,1),-1.07605 # DEPENDENCYPART_ARC
(5,2),-1.22618 # DEPENDENCYPART_ARC
(5,3),-1.34536 # DEPENDENCYPART_ARC
(5,4),0.524706 # DEPENDENCYPART_ARC
(5,6),-0.827268 # DEPENDENCYPART_ARC
(5,7),-0.997176 # DEPENDENCYPART_ARC
(5,8),-1.39843 # DEPENDENCYPART_ARC
(5,9),-1.22522 # DEPENDENCYPART_ARC
(5,10),-1.97376 # DEPENDENCYPART_ARC
(5,11),-1.79273 # DEPENDENCYPART_ARC
(5,12),-1.64711 # DEPENDENCYPART_ARC
(5,13),-1.37232 # DEPENDENCYPART_ARC
(5,14),-2.26086 # DEPENDENCYPART_ARC
(5,16),-2.17605 # DEPENDENCYPART_ARC
(5,17),-2.79244 # DEPENDENCYPART_ARC
(5,22),-2.62412 # DEPENDENCYPART_ARC
(6,4),-2.59993 # DEPENDENCYPART_ARC
(6,5),-1.7317 # DEPENDENCYPART_ARC
(6,7),-1.2124 # DEPENDENCYPART_ARC
(7,3),-2.86176 # DEPENDENCYPART_ARC
(7,4),-2.67828 # DEPENDENCYPART_ARC
(7,5),-2.61917 # DEPENDENCYPART_ARC
(7,6),-1.63528 # DEPENDENCYPART_ARC
(7,8),-1.86549 # DEPENDENCYPART_ARC
(7,9),-1.82926 # DEPENDENCYPART_ARC
(7,10),-2.30309 # DEPENDENCYPART_ARC
(7,11),-2.6892 # DEPENDENCYPART_ARC
(8,1),-2.79219 # DEPENDENCYPART_ARC
(8,3),-2.50034 # DEPENDENCYPART_ARC
