# _root_ But prices of junk bonds , which were battered Friday in near standstill trading , rebounded to post small gains after a volatile trading session .
#goldHeads=16,16,2,5,3,5,8,5,8,9,9,13,14,11,5,0,16,17,20,18,18,25,25,25,21,16,
#predictedHeads=16,16,2,5,3,5,8,5,8,9,9,14,14,11,5,0,16,17,20,18,18,25,25,25,21,16,
(0,1),-3.01744 # DEPENDENCYPART_ARC
(0,2),-3.50077 # DEPENDENCYPART_ARC
(0,3),-4.11772 # DEPENDENCYPART_ARC
(0,8),-2.42674 # DEPENDENCYPART_ARC
(0,9),-3.46523 # DEPENDENCYPART_ARC
(0,16),-1.8754 # DEPENDENCYPART_ARC
(1,2),-1.18508 # DEPENDENCYPART_ARC
(1,3),-2.76355 # DEPENDENCYPART_ARC
(1,8),-1.95708 # DEPENDENCYPART_ARC
(2,1),-1.73177 # DEPENDENCYPART_ARC
(2,3),0.79181 # DEPENDENCYPART_ARC
(2,4),-0.742214 # DEPENDENCYPART_ARC
(2,5),-0.863409 # DEPENDENCYPART_ARC
(2,6),-0.951511 # DEPENDENCYPART_ARC
(2,7),-2.36236 # DEPENDENCYPART_ARC
(2,8),-0.507832 # DEPENDENCYPART_ARC
(2,9),-1.71115 # DEPENDENCYPART_ARC
(2,10),-2.20916 # DEPENDENCYPART_ARC
(2,11),-1.47731 # DEPENDENCYPART_ARC
(2,15),-1.11476 # DEPENDENCYPART_ARC
(2,16),-1.79674 # DEPENDENCYPART_ARC
(2,21),-2.53722 # DEPENDENCYPART_ARC
(2,26),-3.76223 # DEPENDENCYPART_ARC
(3,1),-1.74357 # DEPENDENCYPART_ARC
(3,2),-1.36941 # DEPENDENCYPART_ARC
(3,4),0.419087 # DEPENDENCYPART_ARC
(3,5),1.51383 # DEPENDENCYPART_ARC
(3,6),-1.47856 # DEPENDENCYPART_ARC
(3,7),-1.38825 # DEPENDENCYPART_ARC
(3,8),-1.58075 # DEPENDENCYPART_ARC
(3,9),-2.13689 # DEPENDENCYPART_ARC
(4,6),-1.75077 # DEPENDENCYPART_ARC
(4,8),-1.17947 # DEPENDENCYPART_ARC
(5,1),-2.56631 # DEPENDENCYPART_ARC
(5,2),-1.31593 # DEPENDENCYPART_ARC
(5,3),-1.57615 # DEPENDENCYPART_ARC
(5,4),1.96545 # DEPENDENCYPART_ARC
(5,6),0.145059 # DEPENDENCYPART_ARC
(5,7),-1.78786 # DEPENDENCYPART_ARC
(5,8),-0.0739761 # DEPENDENCYPART_ARC
(5,9),-1.37788 # DEPENDENCYPART_ARC
(5,10),-1.84868 # DEPENDENCYPART_ARC
(5,11),-1.53379 # DEPENDENCYPART_ARC
(5,12),-1.94667 # DEPENDENCYPART_ARC
(5,14),-2.06827 # DEPENDENCYPART_ARC
(5,15),-0.282991 # DEPENDENCYPART_ARC
(5,16),-1.83838 # DEPENDENCYPART_ARC
(5,20),-2.7592 # DEPENDENCYPART_ARC
(5,25),-3.30263 # DEPENDENCYPART_ARC
(5,26),-3.73264 # DEPENDENCYPART_ARC
(7,1),-2.87749 # DEPENDENCYPART_ARC
(7,6),-1.59119 # DEPENDENCYPART_ARC
(7,8),-0.952225 # DEPENDENCYPART_ARC
(7,9),-1.87029 # DEPENDENCYPART_ARC
(8,1),-2.25702 # DEPENDENCYPART_ARC
(8,2),-1.13457 # DEPENDENCYPART_ARC
(8,3),-2.55981 # DEPENDENCYPART_ARC
(8,5),-1.26067 # DEPENDENCYPART_ARC
(8,6),-1.68964 # DEPENDENCYPART_ARC
(8,7),1.60336 # DEPENDENCYPART_ARC
(8,9),1.4511 # DEPENDENCYPART_ARC
(8,10),-0.685386 # DEPENDENCYPART_ARC
(8,11),-0.712712 # DEPENDENCYPART_ARC
(8,12),-1.83426 # DEPENDENCYPART_ARC
(8,14),-1.60027 # DEPENDENCYPART_ARC
(8,15),-1.48819 # DEPENDENCYPART_ARC
(8,16),-1.61928 # DEPENDENCYPART_ARC
(8,17),-1.71144 # DEPENDENCYPART_ARC
(8,20),-2.59207 # DEPENDENCYPART_ARC
(8,21),-2.36807 # DEPENDENCYPART_ARC
(8,25),-2.89401 # DEPENDENCYPART_ARC
(8,26),-0.858624 # DEPENDENCYPART_ARC
(9,1),-2.35898 # DEPENDENCYPART_ARC
(9,2),-1.67115 # DEPENDENCYPART_ARC
(9,3),-1.57867 # DEPENDENCYPART_ARC
(9,6),-1.46494 # DEPENDENCYPART_ARC
(9,7),-0.606501 # DEPENDENCYPART_ARC
(9,8),-1.04845 # DEPENDENCYPART_ARC
(9,10),0.474687 # DEPENDENCYPART_ARC
(9,11),0.514005 # DEPENDENCYPART_ARC
(9,12),-0.981565 # DEPENDENCYPART_ARC
(9,13),-1.15012 # DEPENDENCYPART_ARC
(9,14),-0.533326 # DEPENDENCYPART_ARC
(9,15),-0.613288 # DEPENDENCYPART_ARC
(9,16),-1.1368 # DEPENDENCYPART_ARC
(9,17),-0.709769 # DEPENDENCYPART_ARC
(9,20),-1.76247 # DEPENDENCYPART_ARC
(9,21),-1.04789 # DEPENDENCYPART_ARC
(9,25),-1.87385 # DEPENDENCYPART_ARC
(9,26),-1.60463 # DEPENDENCYPART_ARC
(10,6),-2.61058 # DEPENDENCYPART_ARC
(10,7),-2.50541 # DEPENDENCYPART_ARC
(10,8),-1.95419 # DEPENDENCYPART_ARC
(10,9),-1.06112 # DEPENDENCYPART_ARC
(10,11),-0.851261 # DEPENDENCYPART_ARC
(10,12),-1.11384 # DEPENDENCYPART_ARC
(10,13),-1.47935 # DEPENDENCYPART_ARC
(10,14),-1.75151 # DEPENDENCYPART_ARC
(10,15),-1.69013 # DEPENDENCYPART_ARC
(10,16),-2.15506 # DEPENDENCYPART_ARC
(10,26),-2.43312 # DEPENDENCYPART_ARC
(11,7),-2.059 # DEPENDENCYPART_ARC
(11,10),-1.85006 # DEPENDENCYPART_ARC
(11,12),-0.0113164 # DEPENDENCYPART_ARC
(11,13),-0.733925 # DEPENDENCYPART_ARC
(11,14),1.27998 # DEPENDENCYPART_ARC
(11,15),-1.18967 # DEPENDENCYPART_ARC
(11,16),-0.86359 # DEPENDENCYPART_ARC
(11,17),-1.74304 # DEPENDENCYPART_ARC
(11,20),-0.876508 # DEPENDENCYPART_ARC
(11,26),-2.51569 # DEPENDENCYPART_ARC
(12,10),-2.24308 # DEPENDENCYPART_ARC
(12,13),-1.20892 # DEPENDENCYPART_ARC
(12,15),-1.38161 # DEPENDENCYPART_ARC
(12,16),-1.47404 # DEPENDENCYPART_ARC
(12,17),-1.71406 # DEPENDENCYPART_ARC
(13,10),-1.95944 # DEPENDENCYPART_ARC
(13,12),-0.350414 # DEPENDENCYPART_ARC
(13,16),-1.47336 # DEPENDENCYPART_ARC
(13,17),-1.77142 # DEPENDENCYPART_ARC
(14,1),-3.0689 # DEPENDENCYPART_ARC
(14,2),-2.38501 # DEPENDENCYPART_ARC
(14,6),-2.6016 # DEPENDENCYPART_ARC
(14,7),-1.99461 # DEPENDENCYPART_ARC
(14,9),-1.26414 # DEPENDENCYPART_ARC
(14,10),-0.368639 # DEPENDENCYPART_ARC
(14,11),-1.30655 # DEPENDENCYPART_ARC
(14,12),0.906557 # DEPENDENCYPART_ARC
(14,13),1.6157 # DEPENDENCYPART_ARC
(14,15),-0.930682 # DEPENDENCYPART_ARC
(14,16),-1.49143 # DEPENDENCYPART_ARC
(14,17),-1.58482 # DEPENDENCYPART_ARC
(14,20),-2.44629 # DEPENDENCYPART_ARC
(14,21),-2.28463 # DEPENDENCYPART_ARC
(14,25),-2.95916 # DEPENDENCYPART_ARC
(14,26),-2.7385 # DEPENDENCYPART_ARC
(16,1),-1.37193 # DEPENDENCYPART_ARC
(16,2),-1.15021 # DEPENDENCYPART_ARC
(16,3),-1.66669 # DEPENDENCYPART_ARC
(16,5),-1.24534 # DEPENDENCYPART_ARC
(16,6),-2.0659 # DEPENDENCYPART_ARC
(16,7),-1.17479 # DEPENDENCYPART_ARC
(16,8),-1.71741 # DEPENDENCYPART_ARC
(16,9),-1.83115 # DEPENDENCYPART_ARC
(16,10),-1.0022 # DEPENDENCYPART_ARC
(16,11),-1.17225 # DEPENDENCYPART_ARC
(16,12),-1.52827 # DEPENDENCYPART_ARC
(16,13),-1.32231 # DEPENDENCYPART_ARC
(16,14),-0.645044 # DEPENDENCYPART_ARC
(16,15),-0.623378 # DEPENDENCYPART_ARC
(16,17),1.84533 # DEPENDENCYPART_ARC
(16,18),0.0852543 # DEPENDENCYPART_ARC
(16,19),-1.16389 # DEPENDENCYPART_ARC
(16,20),-0.498579 # DEPENDENCYPART_ARC
(16,21),-0.0514817 # DEPENDENCYPART_ARC
(16,24),-1.46577 # DEPENDENCYPART_ARC
(16,25),-1.19374 # DEPENDENCYPART_ARC
(16,26),0.0227777 # DEPENDENCYPART_ARC
(17,2),-2.55125 # DEPENDENCYPART_ARC
(17,11),-1.66755 # DEPENDENCYPART_ARC
(17,14),-2.00522 # DEPENDENCYPART_ARC
(17,18),1.84439 # DEPENDENCYPART_ARC
(17,19),-0.948521 # DEPENDENCYPART_ARC
(17,20),-0.336702 # DEPENDENCYPART_ARC
(17,21),-0.938621 # DEPENDENCYPART_ARC
(17,25),-2.01535 # DEPENDENCYPART_ARC
(18,1),-3.04257 # DEPENDENCYPART_ARC
(18,2),-2.28776 # DEPENDENCYPART_ARC
(18,3),-2.12059 # DEPENDENCYPART_ARC
(18,7),-1.87353 # DEPENDENCYPART_ARC
(18,11),-1.7086 # DEPENDENCYPART_ARC
(18,14),-1.69485 # DEPENDENCYPART_ARC
(18,15),-1.6122 # DEPENDENCYPART_ARC
(18,19),-0.185452 # DEPENDENCYPART_ARC
(18,20),0.691401 # DEPENDENCYPART_ARC
(18,21),-0.118291 # DEPENDENCYPART_ARC
(18,23),-1.80044 # DEPENDENCYPART_ARC
(18,24),-1.65816 # DEPENDENCYPART_ARC
(18,25),-1.12548 # DEPENDENCYPART_ARC
(18,26),-1.6435 # DEPENDENCYPART_ARC
(19,21),-1.61571 # DEPENDENCYPART_ARC
(20,9),-2.05047 # DEPENDENCYPART_ARC
(20,10),-2.61304 # DEPENDENCYPART_ARC
(20,12),-1.03788 # DEPENDENCYPART_ARC
(20,13),-1.2597 # DEPENDENCYPART_ARC
(20,14),-1.83208 # DEPENDENCYPART_ARC
(20,18),-0.759113 # DEPENDENCYPART_ARC
(20,19),1.74955 # DEPENDENCYPART_ARC
(20,21),-0.10787 # DEPENDENCYPART_ARC
(20,23),-1.63189 # DEPENDENCYPART_ARC
