# _root_ Burmah Oil PLC , a British independent oil and specialty chemicals marketing concern , said SHV Holdings N.V. of the Netherlands has built up a 6.7 % stake in the company .
#goldHeads=3,3,15,3,8,8,8,3,8,13,13,13,9,3,0,17,22,17,17,21,19,15,22,23,28,27,28,23,28,31,29,15,
#predictedHeads=3,3,15,3,8,8,8,3,8,13,13,13,9,3,0,17,22,17,17,21,19,15,22,23,28,27,28,23,28,31,29,15,
(0,15),2.45121 # DEPENDENCYPART_ARC
(1,2),-1.73773 # DEPENDENCYPART_ARC
(1,3),-1.97197 # DEPENDENCYPART_ARC
(1,4),-1.22204 # DEPENDENCYPART_ARC
(1,8),-2.91968 # DEPENDENCYPART_ARC
(1,9),-3.31409 # DEPENDENCYPART_ARC
(1,14),-1.55033 # DEPENDENCYPART_ARC
(2,1),-0.344533 # DEPENDENCYPART_ARC
(2,3),-0.499865 # DEPENDENCYPART_ARC
(2,4),-0.838242 # DEPENDENCYPART_ARC
(2,5),-2.56131 # DEPENDENCYPART_ARC
(2,6),-3.07659 # DEPENDENCYPART_ARC
(2,7),-2.49614 # DEPENDENCYPART_ARC
(2,8),-2.30753 # DEPENDENCYPART_ARC
(2,9),-2.81335 # DEPENDENCYPART_ARC
(2,10),-3.12315 # DEPENDENCYPART_ARC
(2,11),-2.97994 # DEPENDENCYPART_ARC
(2,13),-3.78978 # DEPENDENCYPART_ARC
(2,14),-1.16151 # DEPENDENCYPART_ARC
(2,18),-4.92843 # DEPENDENCYPART_ARC
(3,1),0.970643 # DEPENDENCYPART_ARC
(3,2),1.54126 # DEPENDENCYPART_ARC
(3,4),0.107837 # DEPENDENCYPART_ARC
(3,5),-1.84028 # DEPENDENCYPART_ARC
(3,6),-2.28137 # DEPENDENCYPART_ARC
(3,7),-1.80846 # DEPENDENCYPART_ARC
(3,8),-1.49634 # DEPENDENCYPART_ARC
(3,9),-2.21086 # DEPENDENCYPART_ARC
(3,10),-2.61947 # DEPENDENCYPART_ARC
(3,11),-2.52538 # DEPENDENCYPART_ARC
(3,12),-3.29547 # DEPENDENCYPART_ARC
(3,13),-2.85098 # DEPENDENCYPART_ARC
(3,14),0.369129 # DEPENDENCYPART_ARC
(3,18),-4.55161 # DEPENDENCYPART_ARC
(3,19),-3.66993 # DEPENDENCYPART_ARC
