# _root_ A Fidelity spokesman says the 800-line , which already was operating but which many clients did n't know about , received about double the usual volume of calls over the weekend .
#goldHeads=3,3,4,0,6,21,6,10,10,6,10,10,19,15,16,12,16,16,18,6,4,23,26,26,26,21,26,27,21,31,29,4,
#predictedHeads=3,3,4,0,6,4,6,10,10,6,10,10,16,15,16,12,16,16,18,19,19,23,26,26,26,21,26,27,28,31,29,4,
(0,3),-3.90774 # DEPENDENCYPART_ARC
(0,4),0.212524 # DEPENDENCYPART_ARC
(0,10),-1.63584 # DEPENDENCYPART_ARC
(0,16),-2.89888 # DEPENDENCYPART_ARC
(1,2),-1.68758 # DEPENDENCYPART_ARC
(1,4),-1.21295 # DEPENDENCYPART_ARC
(1,6),-2.37527 # DEPENDENCYPART_ARC
(1,10),-2.02408 # DEPENDENCYPART_ARC
(2,1),-1.01136 # DEPENDENCYPART_ARC
(2,3),-1.47845 # DEPENDENCYPART_ARC
(2,4),-1.41555 # DEPENDENCYPART_ARC
(2,6),-2.76012 # DEPENDENCYPART_ARC
(2,7),-1.75237 # DEPENDENCYPART_ARC
(2,10),-2.5668 # DEPENDENCYPART_ARC
(3,1),1.47224 # DEPENDENCYPART_ARC
(3,2),1.38479 # DEPENDENCYPART_ARC
(3,4),-0.993981 # DEPENDENCYPART_ARC
(3,6),-1.63444 # DEPENDENCYPART_ARC
(3,7),-1.40415 # DEPENDENCYPART_ARC
(3,10),-1.68899 # DEPENDENCYPART_ARC
(3,12),-2.16865 # DEPENDENCYPART_ARC
(3,16),-2.23263 # DEPENDENCYPART_ARC
(4,1),-1.35072 # DEPENDENCYPART_ARC
(4,2),-0.934301 # DEPENDENCYPART_ARC
(4,3),0.515416 # DEPENDENCYPART_ARC
(4,5),-0.966478 # DEPENDENCYPART_ARC
(4,6),0.00833578 # DEPENDENCYPART_ARC
(4,7),-0.397876 # DEPENDENCYPART_ARC
(4,8),-1.97527 # DEPENDENCYPART_ARC
(4,9),-1.41514 # DEPENDENCYPART_ARC
(4,10),-0.481255 # DEPENDENCYPART_ARC
(4,11),-1.33952 # DEPENDENCYPART_ARC
(4,12),-1.24647 # DEPENDENCYPART_ARC
(4,13),-2.58286 # DEPENDENCYPART_ARC
(4,15),-2.29501 # DEPENDENCYPART_ARC
(4,16),-1.13001 # DEPENDENCYPART_ARC
(4,17),-2.26935 # DEPENDENCYPART_ARC
(4,18),-2.46611 # DEPENDENCYPART_ARC
(4,20),-1.51569 # DEPENDENCYPART_ARC
(4,21),-2.56299 # DEPENDENCYPART_ARC
(4,32),0.457823 # DEPENDENCYPART_ARC
(5,3),-2.6915 # DEPENDENCYPART_ARC
(6,1),-1.57835 # DEPENDENCYPART_ARC
(6,2),-1.38745 # DEPENDENCYPART_ARC
(6,3),-1.27132 # DEPENDENCYPART_ARC
(6,4),-1.32762 # DEPENDENCYPART_ARC
(6,5),1.44319 # DEPENDENCYPART_ARC
(6,7),0.00874204 # DEPENDENCYPART_ARC
(6,8),-1.65581 # DEPENDENCYPART_ARC
(6,9),-1.45919 # DEPENDENCYPART_ARC
(6,10),-0.848966 # DEPENDENCYPART_ARC
(6,11),-1.74198 # DEPENDENCYPART_ARC
(6,12),-1.56139 # DEPENDENCYPART_ARC
(6,13),-2.5166 # DEPENDENCYPART_ARC
(6,14),-2.36055 # DEPENDENCYPART_ARC
(6,15),-2.15966 # DEPENDENCYPART_ARC
(6,16),-1.39124 # DEPENDENCYPART_ARC
(6,17),-2.17037 # DEPENDENCYPART_ARC
(6,18),-2.61578 # DEPENDENCYPART_ARC
(6,20),-0.588126 # DEPENDENCYPART_ARC
(6,21),-3.00406 # DEPENDENCYPART_ARC
(6,26),-3.41326 # DEPENDENCYPART_ARC
(6,32),-2.52689 # DEPENDENCYPART_ARC
(8,6),-2.56383 # DEPENDENCYPART_ARC
(8,7),-1.82179 # DEPENDENCYPART_ARC
(8,9),-1.27526 # DEPENDENCYPART_ARC
(8,11),-1.84007 # DEPENDENCYPART_ARC
(8,12),-1.82063 # DEPENDENCYPART_ARC
(8,16),-2.14004 # DEPENDENCYPART_ARC
(9,7),-2.39857 # DEPENDENCYPART_ARC
(9,8),-1.8634 # DEPENDENCYPART_ARC
(9,10),-1.15713 # DEPENDENCYPART_ARC
(9,11),-2.09246 # DEPENDENCYPART_ARC
(9,12),-2.04206 # DEPENDENCYPART_ARC
(10,2),-1.15824 # DEPENDENCYPART_ARC
(10,3),-0.988832 # DEPENDENCYPART_ARC
(10,4),-1.52077 # DEPENDENCYPART_ARC
(10,5),-1.84267 # DEPENDENCYPART_ARC
(10,6),-0.850087 # DEPENDENCYPART_ARC
(10,7),-0.91658 # DEPENDENCYPART_ARC
(10,8),0.947431 # DEPENDENCYPART_ARC
(10,9),0.661727 # DEPENDENCYPART_ARC
(10,11),0.817527 # DEPENDENCYPART_ARC
(10,12),-0.586806 # DEPENDENCYPART_ARC
(10,13),-1.96305 # DEPENDENCYPART_ARC
(10,14),-1.82751 # DEPENDENCYPART_ARC
(10,15),-1.44584 # DEPENDENCYPART_ARC
(10,16),-1.39849 # DEPENDENCYPART_ARC
(10,17),-1.44307 # DEPENDENCYPART_ARC
(10,18),-1.99749 # DEPENDENCYPART_ARC
(10,19),-2.1444 # DEPENDENCYPART_ARC
(10,20),-1.59264 # DEPENDENCYPART_ARC
(10,21),-2.16746 # DEPENDENCYPART_ARC
(10,22),-2.91171 # DEPENDENCYPART_ARC
(10,23),-2.97327 # DEPENDENCYPART_ARC
(10,26),-3.22915 # DEPENDENCYPART_ARC
(10,32),0.672291 # DEPENDENCYPART_ARC
(11,3),-2.0292 # DEPENDENCYPART_ARC
(11,4),-1.97191 # DEPENDENCYPART_ARC
(11,6),-1.81115 # DEPENDENCYPART_ARC
(11,7),-1.72683 # DEPENDENCYPART_ARC
(11,8),-0.768425 # DEPENDENCYPART_ARC
(11,9),-0.903845 # DEPENDENCYPART_ARC
(11,10),-0.922013 # DEPENDENCYPART_ARC
