# _root_ Gatoil Suisse owns an oil refinery in Switzerland with a capacity of 70,000 barrels a day , along with a network of gasoline retailing outlets .
#goldHeads=2,3,0,6,6,3,6,7,6,11,9,11,14,12,16,14,3,3,18,21,19,21,25,25,22,3,
#predictedHeads=2,3,0,6,6,3,6,7,3,11,9,11,14,12,16,14,14,14,18,21,19,21,25,25,22,3,
(0,2),-3.45364 # DEPENDENCYPART_ARC
(0,3),-0.574418 # DEPENDENCYPART_ARC
(1,2),-0.680011 # DEPENDENCYPART_ARC
(1,3),-1.60751 # DEPENDENCYPART_ARC
(1,6),-2.60137 # DEPENDENCYPART_ARC
(1,7),-2.33012 # DEPENDENCYPART_ARC
(1,8),-3.62378 # DEPENDENCYPART_ARC
(1,9),-2.64813 # DEPENDENCYPART_ARC
(1,17),-1.96977 # DEPENDENCYPART_ARC
(1,26),-3.96732 # DEPENDENCYPART_ARC
(2,1),1.18601 # DEPENDENCYPART_ARC
(2,3),-0.732372 # DEPENDENCYPART_ARC
(2,5),-2.06038 # DEPENDENCYPART_ARC
(2,6),-2.07667 # DEPENDENCYPART_ARC
(2,7),-2.08668 # DEPENDENCYPART_ARC
(2,8),-3.31681 # DEPENDENCYPART_ARC
(2,9),-2.42077 # DEPENDENCYPART_ARC
(2,11),-3.27686 # DEPENDENCYPART_ARC
(2,17),-1.66899 # DEPENDENCYPART_ARC
(2,26),-3.70693 # DEPENDENCYPART_ARC
(3,1),-0.412684 # DEPENDENCYPART_ARC
(3,2),0.686973 # DEPENDENCYPART_ARC
(3,4),-0.807147 # DEPENDENCYPART_ARC
(3,5),-0.0845345 # DEPENDENCYPART_ARC
(3,6),-0.263449 # DEPENDENCYPART_ARC
(3,7),-0.677351 # DEPENDENCYPART_ARC
(3,8),-1.85812 # DEPENDENCYPART_ARC
(3,9),-0.795345 # DEPENDENCYPART_ARC
(3,11),-1.74535 # DEPENDENCYPART_ARC
(3,12),-1.69902 # DEPENDENCYPART_ARC
(3,14),-2.04118 # DEPENDENCYPART_ARC
(3,16),-2.39172 # DEPENDENCYPART_ARC
(3,17),-0.870903 # DEPENDENCYPART_ARC
(3,18),-1.63213 # DEPENDENCYPART_ARC
(3,19),-1.7173 # DEPENDENCYPART_ARC
(3,24),-1.97646 # DEPENDENCYPART_ARC
(3,25),-3.0798 # DEPENDENCYPART_ARC
(3,26),0.483608 # DEPENDENCYPART_ARC
(4,2),-2.50396 # DEPENDENCYPART_ARC
(4,5),-1.1896 # DEPENDENCYPART_ARC
(4,7),-1.77792 # DEPENDENCYPART_ARC
(4,9),-2.04643 # DEPENDENCYPART_ARC
(5,2),-2.65823 # DEPENDENCYPART_ARC
(5,4),-0.528428 # DEPENDENCYPART_ARC
(5,6),-0.929172 # DEPENDENCYPART_ARC
(5,7),-1.02819 # DEPENDENCYPART_ARC
(5,8),-1.85745 # DEPENDENCYPART_ARC
(5,9),-1.2666 # DEPENDENCYPART_ARC
(5,11),-2.39388 # DEPENDENCYPART_ARC
(5,12),-2.72783 # DEPENDENCYPART_ARC
(6,1),-1.32059 # DEPENDENCYPART_ARC
(6,2),-1.24531 # DEPENDENCYPART_ARC
(6,4),0.749622 # DEPENDENCYPART_ARC
(6,5),1.85802 # DEPENDENCYPART_ARC
(6,7),0.205084 # DEPENDENCYPART_ARC
(6,8),-1.62212 # DEPENDENCYPART_ARC
(6,9),-0.823419 # DEPENDENCYPART_ARC
(6,11),-1.55389 # DEPENDENCYPART_ARC
(6,12),-2.42071 # DEPENDENCYPART_ARC
(6,14),-2.06524 # DEPENDENCYPART_ARC
(6,16),-1.88565 # DEPENDENCYPART_ARC
(6,17),-1.78508 # DEPENDENCYPART_ARC
(6,18),-2.31825 # DEPENDENCYPART_ARC
(6,19),-2.89733 # DEPENDENCYPART_ARC
(6,21),-2.83404 # DEPENDENCYPART_ARC
(6,26),-2.33152 # DEPENDENCYPART_ARC
(7,6),-1.67418 # DEPENDENCYPART_ARC
(7,8),1.33522 # DEPENDENCYPART_ARC
(7,9),-1.67586 # DEPENDENCYPART_ARC
(7,11),-0.996857 # DEPENDENCYPART_ARC
(7,12),-2.01263 # DEPENDENCYPART_ARC
(7,14),-1.81289 # DEPENDENCYPART_ARC
(7,26),-3.31113 # DEPENDENCYPART_ARC
(8,6),-1.80961 # DEPENDENCYPART_ARC
(8,9),-0.548663 # DEPENDENCYPART_ARC
(8,11),-1.64595 # DEPENDENCYPART_ARC
(8,12),-1.60997 # DEPENDENCYPART_ARC
(8,13),-2.22469 # DEPENDENCYPART_ARC
(8,14),-2.60743 # DEPENDENCYPART_ARC
(8,16),-2.67011 # DEPENDENCYPART_ARC
(8,17),-1.48908 # DEPENDENCYPART_ARC
(8,26),-3.12286 # DEPENDENCYPART_ARC
(9,6),-2.00837 # DEPENDENCYPART_ARC
(9,7),-1.8318 # DEPENDENCYPART_ARC
(9,8),-1.86824 # DEPENDENCYPART_ARC
(9,10),-1.11051 # DEPENDENCYPART_ARC
(9,11),0.741399 # DEPENDENCYPART_ARC
(9,12),-1.22722 # DEPENDENCYPART_ARC
(9,13),-2.30889 # DEPENDENCYPART_ARC
(9,14),-0.770206 # DEPENDENCYPART_ARC
(9,16),-1.73921 # DEPENDENCYPART_ARC
(9,17),-1.52285 # DEPENDENCYPART_ARC
(9,18),-1.5923 # DEPENDENCYPART_ARC
(9,19),-1.6885 # DEPENDENCYPART_ARC
(9,24),-0.794188 # DEPENDENCYPART_ARC
(9,26),-3.1173 # DEPENDENCYPART_ARC
(10,12),-1.41085 # DEPENDENCYPART_ARC
(11,7),-1.95885 # DEPENDENCYPART_ARC
(11,8),-1.95161 # DEPENDENCYPART_ARC
(11,9),-1.40672 # DEPENDENCYPART_ARC
(11,10),1.59148 # DEPENDENCYPART_ARC
(11,12),0.773836 # DEPENDENCYPART_ARC
(11,13),-0.787292 # DEPENDENCYPART_ARC
(11,14),-1.05043 # DEPENDENCYPART_ARC
(11,16),-1.28028 # DEPENDENCYPART_ARC
(11,17),-1.17036 # DEPENDENCYPART_ARC
(11,18),-1.08338 # DEPENDENCYPART_ARC
(11,19),-1.74297 # DEPENDENCYPART_ARC
(11,21),-2.12883 # DEPENDENCYPART_ARC
(11,22),-3.14155 # DEPENDENCYPART_ARC
(11,23),-2.59406 # DEPENDENCYPART_ARC
(11,24),-1.85316 # DEPENDENCYPART_ARC
(11,26),-1.9502 # DEPENDENCYPART_ARC
(12,7),-2.08371 # DEPENDENCYPART_ARC
(12,13),-0.191209 # DEPENDENCYPART_ARC
(12,14),1.04982 # DEPENDENCYPART_ARC
(12,16),-0.831599 # DEPENDENCYPART_ARC
(12,18),-1.77958 # DEPENDENCYPART_ARC
(12,19),-1.6687 # DEPENDENCYPART_ARC
(13,12),-1.07377 # DEPENDENCYPART_ARC
(13,16),-1.95877 # DEPENDENCYPART_ARC
(13,21),-2.65595 # DEPENDENCYPART_ARC
(14,7),-2.10347 # DEPENDENCYPART_ARC
(14,8),-2.46082 # DEPENDENCYPART_ARC
(14,9),-1.90075 # DEPENDENCYPART_ARC
(14,10),-1.42575 # DEPENDENCYPART_ARC
(14,11),-1.48207 # DEPENDENCYPART_ARC
(14,12),-1.04311 # DEPENDENCYPART_ARC
(14,13),1.16848 # DEPENDENCYPART_ARC
(14,15),-1.02078 # DEPENDENCYPART_ARC
(14,16),-0.40507 # DEPENDENCYPART_ARC
(14,17),-1.00981 # DEPENDENCYPART_ARC
(14,18),-0.91455 # DEPENDENCYPART_ARC
(14,19),-1.20378 # DEPENDENCYPART_ARC
(14,21),-1.61205 # DEPENDENCYPART_ARC
(14,22),-2.11144 # DEPENDENCYPART_ARC
(14,23),-1.81797 # DEPENDENCYPART_ARC
(14,24),-1.49024 # DEPENDENCYPART_ARC
(14,25),-2.50591 # DEPENDENCYPART_ARC
(14,26),-2.08495 # DEPENDENCYPART_ARC
(15,18),-1.91804 # DEPENDENCYPART_ARC
(16,10),-2.19126 # DEPENDENCYPART_ARC
(16,13),-1.73871 # DEPENDENCYPART_ARC
(16,14),-0.937705 # DEPENDENCYPART_ARC
(16,15),1.78671 # DEPENDENCYPART_ARC
(16,17),-1.38471 # DEPENDENCYPART_ARC
(16,18),-1.40403 # DEPENDENCYPART_ARC
(16,19),-1.86447 # DEPENDENCYPART_ARC
(16,21),-2.4408 # DEPENDENCYPART_ARC
(16,22),-2.84404 # DEPENDENCYPART_ARC
(16,23),-2.61594 # DEPENDENCYPART_ARC
(16,25),-2.51979 # DEPENDENCYPART_ARC
(18,16),-2.11101 # DEPENDENCYPART_ARC
(18,17),-1.46561 # DEPENDENCYPART_ARC
(18,19),1.00346 # DEPENDENCYPART_ARC
(18,20),-1.64904 # DEPENDENCYPART_ARC
(18,21),-0.72702 # DEPENDENCYPART_ARC
(18,22),-0.959132 # DEPENDENCYPART_ARC
(18,23),-1.85282 # DEPENDENCYPART_ARC
(18,24),-1.00459 # DEPENDENCYPART_ARC
(18,25),-2.24008 # DEPENDENCYPART_ARC
(18,26),-2.67195 # DEPENDENCYPART_ARC
(19,18),-1.36776 # DEPENDENCYPART_ARC
(19,20),-1.29607 # DEPENDENCYPART_ARC
