# _root_ Texas Air Corp. , which owns Continental , and the Air Transport Association were prominent in the lobbying .
#goldHeads=2,14,2,2,6,2,6,2,2,13,13,13,9,0,14,15,18,16,14,
#predictedHeads=2,14,2,2,6,2,6,2,2,13,13,13,9,0,14,15,18,16,14,
(0,1),-3.59935 # DEPENDENCYPART_ARC
(0,2),-3.72337 # DEPENDENCYPART_ARC
(0,3),-4.14284 # DEPENDENCYPART_ARC
(0,6),-1.41883 # DEPENDENCYPART_ARC
(0,9),-4.60882 # DEPENDENCYPART_ARC
(0,14),-1.14576 # DEPENDENCYPART_ARC
(1,2),-1.91526 # DEPENDENCYPART_ARC
(1,3),-1.5041 # DEPENDENCYPART_ARC
(1,4),-1.45469 # DEPENDENCYPART_ARC
(1,6),-2.08186 # DEPENDENCYPART_ARC
(1,7),-3.82482 # DEPENDENCYPART_ARC
(1,8),-1.96371 # DEPENDENCYPART_ARC
(1,9),-3.33493 # DEPENDENCYPART_ARC
(2,1),0.531529 # DEPENDENCYPART_ARC
(2,3),1.37256 # DEPENDENCYPART_ARC
(2,4),0.0669127 # DEPENDENCYPART_ARC
(2,5),-1.84927 # DEPENDENCYPART_ARC
(2,6),-0.216871 # DEPENDENCYPART_ARC
(2,7),-1.67452 # DEPENDENCYPART_ARC
(2,8),-0.192638 # DEPENDENCYPART_ARC
(2,9),-1.47042 # DEPENDENCYPART_ARC
(2,10),-2.00716 # DEPENDENCYPART_ARC
(2,11),-3.4631 # DEPENDENCYPART_ARC
(2,12),-3.27232 # DEPENDENCYPART_ARC
(2,13),-3.19046 # DEPENDENCYPART_ARC
(2,14),-1.76842 # DEPENDENCYPART_ARC
(2,15),-2.45386 # DEPENDENCYPART_ARC
(2,16),-2.45886 # DEPENDENCYPART_ARC
(2,17),-2.16939 # DEPENDENCYPART_ARC
(2,18),-2.47536 # DEPENDENCYPART_ARC
(2,19),-2.02662 # DEPENDENCYPART_ARC
(3,1),-1.02822 # DEPENDENCYPART_ARC
(3,2),-0.658413 # DEPENDENCYPART_ARC
(3,4),-1.07626 # DEPENDENCYPART_ARC
(3,5),-2.48208 # DEPENDENCYPART_ARC
(3,6),-1.17237 # DEPENDENCYPART_ARC
(3,7),-2.44595 # DEPENDENCYPART_ARC
(3,8),-1.64402 # DEPENDENCYPART_ARC
(3,9),-2.73518 # DEPENDENCYPART_ARC
(3,13),-4.70598 # DEPENDENCYPART_ARC
(3,14),-2.62118 # DEPENDENCYPART_ARC
(3,19),-3.40131 # DEPENDENCYPART_ARC
(4,6),-2.22942 # DEPENDENCYPART_ARC
(5,2),-2.38099 # DEPENDENCYPART_ARC
(5,4),-1.53049 # DEPENDENCYPART_ARC
(5,6),-0.874629 # DEPENDENCYPART_ARC
(5,7),-2.23523 # DEPENDENCYPART_ARC
(5,8),-2.08159 # DEPENDENCYPART_ARC
(5,9),-2.23911 # DEPENDENCYPART_ARC
(6,1),-2.16057 # DEPENDENCYPART_ARC
(6,2),-2.06056 # DEPENDENCYPART_ARC
(6,3),-1.99367 # DEPENDENCYPART_ARC
(6,4),-1.04702 # DEPENDENCYPART_ARC
(6,5),1.93596 # DEPENDENCYPART_ARC
(6,7),-0.0688431 # DEPENDENCYPART_ARC
(6,8),-0.933954 # DEPENDENCYPART_ARC
(6,9),-0.90142 # DEPENDENCYPART_ARC
(6,11),-2.08799 # DEPENDENCYPART_ARC
(6,12),-2.47556 # DEPENDENCYPART_ARC
(6,13),-2.42366 # DEPENDENCYPART_ARC
(6,14),-1.36279 # DEPENDENCYPART_ARC
(6,15),-2.1714 # DEPENDENCYPART_ARC
(6,16),-2.04834 # DEPENDENCYPART_ARC
(6,17),-3.24204 # DEPENDENCYPART_ARC
(6,18),-2.0504 # DEPENDENCYPART_ARC
(6,19),-1.03505 # DEPENDENCYPART_ARC
(7,1),-2.94437 # DEPENDENCYPART_ARC
(7,2),-2.11172 # DEPENDENCYPART_ARC
(7,3),-2.25371 # DEPENDENCYPART_ARC
(7,4),-1.87684 # DEPENDENCYPART_ARC
(7,5),-1.54856 # DEPENDENCYPART_ARC
(7,6),-0.914293 # DEPENDENCYPART_ARC
(7,8),-0.715874 # DEPENDENCYPART_ARC
(7,9),-1.152 # DEPENDENCYPART_ARC
(7,12),-3.26885 # DEPENDENCYPART_ARC
(7,13),-3.66321 # DEPENDENCYPART_ARC
(7,14),-2.149 # DEPENDENCYPART_ARC
(7,15),-2.76814 # DEPENDENCYPART_ARC
(7,16),-2.47496 # DEPENDENCYPART_ARC
(7,17),-2.90225 # DEPENDENCYPART_ARC
(7,18),-3.01037 # DEPENDENCYPART_ARC
(7,19),-3.05338 # DEPENDENCYPART_ARC
(8,7),-2.22022 # DEPENDENCYPART_ARC
(8,9),-1.8511 # DEPENDENCYPART_ARC
(9,7),-1.78521 # DEPENDENCYPART_ARC
(9,8),-1.75454 # DEPENDENCYPART_ARC
(9,10),-1.17131 # DEPENDENCYPART_ARC
