# _root_ The 7 1\/8 % issue of Triborough Bridge and Tunnel Authority of New York , due 2019 , was off 5\/8 at 98 1\/8 bid .
#goldHeads=5,3,5,3,19,5,8,6,8,11,9,8,14,12,5,5,16,5,0,19,20,19,24,25,22,19,
#predictedHeads=5,3,5,3,19,5,8,6,8,11,9,11,14,12,5,5,16,19,0,19,20,19,24,22,24,19,
(0,5),-3.65275 # DEPENDENCYPART_ARC
(0,19),-1.54643 # DEPENDENCYPART_ARC
(1,2),-1.24421 # DEPENDENCYPART_ARC
(1,3),-1.85603 # DEPENDENCYPART_ARC
(2,1),-0.908502 # DEPENDENCYPART_ARC
(2,3),-1.31417 # DEPENDENCYPART_ARC
(2,4),-1.70607 # DEPENDENCYPART_ARC
(2,6),-1.59197 # DEPENDENCYPART_ARC
(2,8),-2.77032 # DEPENDENCYPART_ARC
(2,9),-1.98021 # DEPENDENCYPART_ARC
(3,1),-0.872927 # DEPENDENCYPART_ARC
(3,2),1.23754 # DEPENDENCYPART_ARC
(3,4),0.468759 # DEPENDENCYPART_ARC
(3,5),-1.19302 # DEPENDENCYPART_ARC
(3,6),-1.08786 # DEPENDENCYPART_ARC
(3,8),-2.19792 # DEPENDENCYPART_ARC
(3,9),-1.4689 # DEPENDENCYPART_ARC
(4,1),-1.47227 # DEPENDENCYPART_ARC
(4,2),-0.898297 # DEPENDENCYPART_ARC
(4,3),-0.0140832 # DEPENDENCYPART_ARC
(4,5),-1.1358 # DEPENDENCYPART_ARC
(4,6),-0.890044 # DEPENDENCYPART_ARC
(4,8),-2.43037 # DEPENDENCYPART_ARC
(4,9),-1.89421 # DEPENDENCYPART_ARC
(4,12),-2.74747 # DEPENDENCYPART_ARC
(5,1),0.998915 # DEPENDENCYPART_ARC
(5,2),-1.1595 # DEPENDENCYPART_ARC
(5,3),-0.0390481 # DEPENDENCYPART_ARC
(5,4),1.47304 # DEPENDENCYPART_ARC
(5,6),0.968048 # DEPENDENCYPART_ARC
(5,7),-1.26757 # DEPENDENCYPART_ARC
(5,8),-1.1041 # DEPENDENCYPART_ARC
(5,9),-0.67382 # DEPENDENCYPART_ARC
(5,10),-1.68226 # DEPENDENCYPART_ARC
(5,11),-1.67274 # DEPENDENCYPART_ARC
(5,12),-1.51596 # DEPENDENCYPART_ARC
(5,14),-1.67461 # DEPENDENCYPART_ARC
(5,15),-1.55731 # DEPENDENCYPART_ARC
(5,16),-0.867473 # DEPENDENCYPART_ARC
(5,18),-1.62192 # DEPENDENCYPART_ARC
(5,19),-2.05553 # DEPENDENCYPART_ARC
(5,20),-1.8958 # DEPENDENCYPART_ARC
(5,22),-1.74305 # DEPENDENCYPART_ARC
(5,25),-3.41804 # DEPENDENCYPART_ARC
(5,26),-1.65445 # DEPENDENCYPART_ARC
(6,3),-2.49116 # DEPENDENCYPART_ARC
(6,7),-0.0620924 # DEPENDENCYPART_ARC
(6,8),0.239712 # DEPENDENCYPART_ARC
(6,9),-1.20268 # DEPENDENCYPART_ARC
(6,10),-1.82114 # DEPENDENCYPART_ARC
