# _root_ `` The MMI has gone better , '' shouted one trader at about 3:15 London time , as the U.S. Major Markets Index contract suddenly indicated a turnabout .
#goldHeads=9,3,4,9,4,5,9,9,0,11,9,9,16,16,16,12,9,9,24,24,24,24,24,26,26,18,28,26,9,
#predictedHeads=9,3,4,9,4,5,9,9,0,11,9,9,16,13,16,12,9,9,24,24,24,24,24,26,26,18,28,26,9,
(0,3),-3.87053 # DEPENDENCYPART_ARC
(0,4),-1.40353 # DEPENDENCYPART_ARC
(0,5),-3.8441 # DEPENDENCYPART_ARC
(0,9),-0.851843 # DEPENDENCYPART_ARC
(0,26),-1.60022 # DEPENDENCYPART_ARC
(1,2),-2.66367 # DEPENDENCYPART_ARC
(1,3),-3.00672 # DEPENDENCYPART_ARC
(1,4),-2.58884 # DEPENDENCYPART_ARC
(2,1),-1.99495 # DEPENDENCYPART_ARC
(2,3),-1.96594 # DEPENDENCYPART_ARC
(2,4),-1.29695 # DEPENDENCYPART_ARC
(2,5),-2.15662 # DEPENDENCYPART_ARC
(2,9),-2.07379 # DEPENDENCYPART_ARC
(3,1),-1.05034 # DEPENDENCYPART_ARC
(3,2),1.04381 # DEPENDENCYPART_ARC
(3,4),-0.733733 # DEPENDENCYPART_ARC
(3,5),-1.66081 # DEPENDENCYPART_ARC
(3,7),-1.76339 # DEPENDENCYPART_ARC
(3,8),-2.0272 # DEPENDENCYPART_ARC
(3,9),-2.3618 # DEPENDENCYPART_ARC
(4,1),-0.583456 # DEPENDENCYPART_ARC
(4,2),-1.33539 # DEPENDENCYPART_ARC
(4,3),0.661221 # DEPENDENCYPART_ARC
(4,5),1.85422 # DEPENDENCYPART_ARC
(4,6),-0.917094 # DEPENDENCYPART_ARC
(4,7),-1.05811 # DEPENDENCYPART_ARC
(4,8),-1.20737 # DEPENDENCYPART_ARC
(4,9),-0.76274 # DEPENDENCYPART_ARC
(4,11),-2.14654 # DEPENDENCYPART_ARC
(4,12),-1.88139 # DEPENDENCYPART_ARC
(4,13),-2.47847 # DEPENDENCYPART_ARC
(4,17),-1.5955 # DEPENDENCYPART_ARC
(4,18),-2.62163 # DEPENDENCYPART_ARC
(4,26),-2.0298 # DEPENDENCYPART_ARC
(4,29),-0.522591 # DEPENDENCYPART_ARC
(5,1),-1.64683 # DEPENDENCYPART_ARC
(5,2),-1.60935 # DEPENDENCYPART_ARC
(5,3),-1.64255 # DEPENDENCYPART_ARC
(5,4),-1.00117 # DEPENDENCYPART_ARC
(5,6),-0.0666979 # DEPENDENCYPART_ARC
(5,7),-1.16961 # DEPENDENCYPART_ARC
(5,8),-0.752222 # DEPENDENCYPART_ARC
(5,9),-0.91888 # DEPENDENCYPART_ARC
(5,10),-1.86755 # DEPENDENCYPART_ARC
(5,11),-1.23558 # DEPENDENCYPART_ARC
(5,12),-0.85419 # DEPENDENCYPART_ARC
(5,13),-1.58074 # DEPENDENCYPART_ARC
(5,14),-2.35557 # DEPENDENCYPART_ARC
(5,16),-1.67691 # DEPENDENCYPART_ARC
(5,17),-0.845336 # DEPENDENCYPART_ARC
(5,18),-1.24439 # DEPENDENCYPART_ARC
(5,24),-2.15915 # DEPENDENCYPART_ARC
(5,25),-2.32006 # DEPENDENCYPART_ARC
(5,26),-2.29676 # DEPENDENCYPART_ARC
(5,28),-2.4555 # DEPENDENCYPART_ARC
(5,29),-2.09362 # DEPENDENCYPART_ARC
(6,1),-1.74698 # DEPENDENCYPART_ARC
(6,2),-1.52785 # DEPENDENCYPART_ARC
(6,3),-1.68844 # DEPENDENCYPART_ARC
(6,4),-1.25857 # DEPENDENCYPART_ARC
(6,5),-0.732041 # DEPENDENCYPART_ARC
(6,7),-1.0521 # DEPENDENCYPART_ARC
(6,8),-1.2861 # DEPENDENCYPART_ARC
(6,9),-1.04413 # DEPENDENCYPART_ARC
(6,10),-2.1272 # DEPENDENCYPART_ARC
(6,11),-1.95464 # DEPENDENCYPART_ARC
(6,12),-1.33027 # DEPENDENCYPART_ARC
(6,16),-2.58713 # DEPENDENCYPART_ARC
(6,18),-1.80852 # DEPENDENCYPART_ARC
(6,29),-1.91976 # DEPENDENCYPART_ARC
(7,6),-1.5666 # DEPENDENCYPART_ARC
(7,8),-1.23193 # DEPENDENCYPART_ARC
(8,6),-2.1159 # DEPENDENCYPART_ARC
(8,7),-1.50136 # DEPENDENCYPART_ARC
(8,9),-1.33007 # DEPENDENCYPART_ARC
(9,1),-0.795512 # DEPENDENCYPART_ARC
(9,2),-2.15068 # DEPENDENCYPART_ARC
(9,3),-1.38592 # DEPENDENCYPART_ARC
(9,4),-1.54903 # DEPENDENCYPART_ARC
(9,5),-1.83724 # DEPENDENCYPART_ARC
(9,6),-0.896902 # DEPENDENCYPART_ARC
(9,7),-0.457724 # DEPENDENCYPART_ARC
(9,8),-0.121305 # DEPENDENCYPART_ARC
(9,10),-0.347916 # DEPENDENCYPART_ARC
(9,11),0.506037 # DEPENDENCYPART_ARC
(9,12),0.290448 # DEPENDENCYPART_ARC
(9,13),-0.867563 # DEPENDENCYPART_ARC
(9,14),-1.90255 # DEPENDENCYPART_ARC
(9,15),-1.42895 # DEPENDENCYPART_ARC
(9,16),-0.962852 # DEPENDENCYPART_ARC
(9,17),-0.338359 # DEPENDENCYPART_ARC
(9,18),-0.05589 # DEPENDENCYPART_ARC
(9,20),-2.36505 # DEPENDENCYPART_ARC
(9,21),-2.35054 # DEPENDENCYPART_ARC
(9,22),-2.36589 # DEPENDENCYPART_ARC
(9,23),-2.08206 # DEPENDENCYPART_ARC
(9,24),-2.01888 # DEPENDENCYPART_ARC
(9,25),-1.4563 # DEPENDENCYPART_ARC
(9,26),-1.83406 # DEPENDENCYPART_ARC
(9,28),-2.3575 # DEPENDENCYPART_ARC
(9,29),0.399222 # DEPENDENCYPART_ARC
(10,6),-1.76945 # DEPENDENCYPART_ARC
(10,7),-2.1543 # DEPENDENCYPART_ARC
(10,8),-1.68314 # DEPENDENCYPART_ARC
(10,9),-0.956095 # DEPENDENCYPART_ARC
(10,11),-1.30705 # DEPENDENCYPART_ARC
(10,12),-1.34978 # DEPENDENCYPART_ARC
(10,13),-1.76274 # DEPENDENCYPART_ARC
(10,14),-2.50134 # DEPENDENCYPART_ARC
(10,16),-2.74428 # DEPENDENCYPART_ARC
(11,1),-2.37212 # DEPENDENCYPART_ARC
(11,2),-1.08726 # DEPENDENCYPART_ARC
(11,3),-2.33363 # DEPENDENCYPART_ARC
(11,4),-2.3773 # DEPENDENCYPART_ARC
(11,5),-1.84946 # DEPENDENCYPART_ARC
(11,6),-1.50543 # DEPENDENCYPART_ARC
(11,7),-1.93631 # DEPENDENCYPART_ARC
(11,8),-1.54074 # DEPENDENCYPART_ARC
(11,9),-1.16987 # DEPENDENCYPART_ARC
(11,10),1.40314 # DEPENDENCYPART_ARC
(11,12),-0.589719 # DEPENDENCYPART_ARC
(11,13),-1.50317 # DEPENDENCYPART_ARC
(11,14),-1.83747 # DEPENDENCYPART_ARC
(11,15),-2.09836 # DEPENDENCYPART_ARC
(11,16),-1.61239 # DEPENDENCYPART_ARC
(11,17),-1.60916 # DEPENDENCYPART_ARC
(11,18),-1.78848 # DEPENDENCYPART_ARC
(11,24),-2.86335 # DEPENDENCYPART_ARC
(11,26),-2.65717 # DEPENDENCYPART_ARC
(11,28),-3.46363 # DEPENDENCYPART_ARC
(11,29),-2.81932 # DEPENDENCYPART_ARC
(12,10),-2.21902 # DEPENDENCYPART_ARC
(12,11),-1.27853 # DEPENDENCYPART_ARC
(12,13),-0.83264 # DEPENDENCYPART_ARC
(12,14),-0.661242 # DEPENDENCYPART_ARC
(12,15),-1.21384 # DEPENDENCYPART_ARC
(12,16),0.553759 # DEPENDENCYPART_ARC
(12,17),-1.60519 # DEPENDENCYPART_ARC
(12,18),-1.72826 # DEPENDENCYPART_ARC
(12,21),-2.71074 # DEPENDENCYPART_ARC
(12,22),-2.59853 # DEPENDENCYPART_ARC
(12,23),-2.67866 # DEPENDENCYPART_ARC
(12,24),-1.80938 # DEPENDENCYPART_ARC
(12,26),-2.54563 # DEPENDENCYPART_ARC
(13,12),-0.792994 # DEPENDENCYPART_ARC
(13,14),1.08611 # DEPENDENCYPART_ARC
(13,15),-1.2555 # DEPENDENCYPART_ARC
(13,16),-1.33093 # DEPENDENCYPART_ARC
(13,17),-1.31931 # DEPENDENCYPART_ARC
(13,18),-1.42503 # DEPENDENCYPART_ARC
(13,25),-2.15684 # DEPENDENCYPART_ARC
(13,26),-2.18661 # DEPENDENCYPART_ARC
(13,29),-2.69734 # DEPENDENCYPART_ARC
(14,4),-2.66644 # DEPENDENCYPART_ARC
(14,6),-2.21107 # DEPENDENCYPART_ARC
(14,10),-2.08035 # DEPENDENCYPART_ARC
(14,11),-2.23242 # DEPENDENCYPART_ARC
(14,12),-1.24017 # DEPENDENCYPART_ARC
(14,13),-0.433693 # DEPENDENCYPART_ARC
(14,15),-1.56853 # DEPENDENCYPART_ARC
(14,16),-1.79076 # DEPENDENCYPART_ARC
(14,17),-1.54553 # DEPENDENCYPART_ARC
(14,18),-2.02033 # DEPENDENCYPART_ARC
(15,11),-2.4616 # DEPENDENCYPART_ARC
(15,13),-1.53138 # DEPENDENCYPART_ARC
(15,14),-0.958035 # DEPENDENCYPART_ARC
(16,1),-2.47028 # DEPENDENCYPART_ARC
(16,2),-2.06596 # DEPENDENCYPART_ARC
(16,3),-2.79779 # DEPENDENCYPART_ARC
(16,5),-2.14868 # DEPENDENCYPART_ARC
(16,6),-2.1662 # DEPENDENCYPART_ARC
(16,7),-2.67837 # DEPENDENCYPART_ARC
(16,8),-2.64032 # DEPENDENCYPART_ARC
(16,10),-1.58452 # DEPENDENCYPART_ARC
(16,11),-1.91933 # DEPENDENCYPART_ARC
(16,12),-1.45993 # DEPENDENCYPART_ARC
(16,13),-0.132816 # DEPENDENCYPART_ARC
(16,14),-0.106873 # DEPENDENCYPART_ARC
(16,15),1.06129 # DEPENDENCYPART_ARC
(16,17),-1.01723 # DEPENDENCYPART_ARC
(16,18),-1.2596 # DEPENDENCYPART_ARC
(16,20),-2.20705 # DEPENDENCYPART_ARC
(16,21),-2.14045 # DEPENDENCYPART_ARC
(16,22),-2.48206 # DEPENDENCYPART_ARC
(16,23),-2.59136 # DEPENDENCYPART_ARC
(16,24),-2.42287 # DEPENDENCYPART_ARC
(16,25),-2.46112 # DEPENDENCYPART_ARC
(16,26),-2.03013 # DEPENDENCYPART_ARC
(16,28),-3.2345 # DEPENDENCYPART_ARC
(16,29),-1.96905 # DEPENDENCYPART_ARC
(18,16),-2.45799 # DEPENDENCYPART_ARC
(18,17),-1.3264 # DEPENDENCYPART_ARC
(18,19),-1.08032 # DEPENDENCYPART_ARC
(18,20),-1.47065 # DEPENDENCYPART_ARC
(18,21),-2.05655 # DEPENDENCYPART_ARC
(18,22),-2.19105 # DEPENDENCYPART_ARC
(18,23),-2.06228 # DEPENDENCYPART_ARC
(18,24),-1.53845 # DEPENDENCYPART_ARC
(18,25),-1.83526 # DEPENDENCYPART_ARC
(18,26),1.01779 # DEPENDENCYPART_ARC
(18,28),-2.06008 # DEPENDENCYPART_ARC
(18,29),-2.72716 # DEPENDENCYPART_ARC
(19,20),-2.13252 # DEPENDENCYPART_ARC
(20,19),-0.950185 # DEPENDENCYPART_ARC
(20,21),-1.80171 # DEPENDENCYPART_ARC
(20,22),-2.36443 # DEPENDENCYPART_ARC
(21,19),-1.78299 # DEPENDENCYPART_ARC
(21,20),-1.53985 # DEPENDENCYPART_ARC
(21,22),-1.79539 # DEPENDENCYPART_ARC
(21,23),-2.76667 # DEPENDENCYPART_ARC
(22,19),-1.57372 # DEPENDENCYPART_ARC
(22,20),-1.04502 # DEPENDENCYPART_ARC
(22,21),-0.49893 # DEPENDENCYPART_ARC
(22,23),-1.71348 # DEPENDENCYPART_ARC
(22,25),-2.73555 # DEPENDENCYPART_ARC
(22,28),-3.42113 # DEPENDENCYPART_ARC
(23,2),-4.61261 # DEPENDENCYPART_ARC
(23,15),-3.30021 # DEPENDENCYPART_ARC
(23,19),-0.55331 # DEPENDENCYPART_ARC
(23,20),-0.876579 # DEPENDENCYPART_ARC
(23,21),-0.493064 # DEPENDENCYPART_ARC
(23,22),-0.1022 # DEPENDENCYPART_ARC
(23,24),-1.51083 # DEPENDENCYPART_ARC
(23,25),-2.24031 # DEPENDENCYPART_ARC
(23,28),-3.03262 # DEPENDENCYPART_ARC
(24,1),-2.31916 # DEPENDENCYPART_ARC
(24,2),-3.82876 # DEPENDENCYPART_ARC
(24,10),-2.60829 # DEPENDENCYPART_ARC
