# _root_ Besides spurring Barry Wright 's sales , which were $ 201.7 million in 1988 , Mr. Sim must pare its costs and product line .
#goldHeads=18,1,4,6,4,2,6,9,6,9,10,10,9,13,6,17,18,0,18,21,19,21,24,22,18,
#predictedHeads=18,1,4,6,4,2,6,9,6,9,10,10,10,13,18,17,18,0,18,21,19,21,24,22,18,
(0,1),-3.71008 # DEPENDENCYPART_ARC
(0,2),-3.56999 # DEPENDENCYPART_ARC
(0,6),-4.14486 # DEPENDENCYPART_ARC
(0,9),-2.44722 # DEPENDENCYPART_ARC
(0,18),-2.8243 # DEPENDENCYPART_ARC
(0,19),-5.07469 # DEPENDENCYPART_ARC
(1,2),0.979799 # DEPENDENCYPART_ARC
(1,3),-1.47816 # DEPENDENCYPART_ARC
(1,4),-2.02995 # DEPENDENCYPART_ARC
(1,6),-1.03011 # DEPENDENCYPART_ARC
(1,7),-1.38986 # DEPENDENCYPART_ARC
(1,8),-2.24324 # DEPENDENCYPART_ARC
(1,9),-0.713817 # DEPENDENCYPART_ARC
(1,18),-1.21538 # DEPENDENCYPART_ARC
(2,1),-1.45143 # DEPENDENCYPART_ARC
(2,3),-0.0986924 # DEPENDENCYPART_ARC
(2,4),-0.460594 # DEPENDENCYPART_ARC
(2,5),-1.78643 # DEPENDENCYPART_ARC
(2,6),-0.397144 # DEPENDENCYPART_ARC
(2,7),-1.30571 # DEPENDENCYPART_ARC
(2,8),-2.19326 # DEPENDENCYPART_ARC
(2,9),-1.26979 # DEPENDENCYPART_ARC
(2,10),-1.90251 # DEPENDENCYPART_ARC
(2,13),-1.64854 # DEPENDENCYPART_ARC
(2,15),-1.56608 # DEPENDENCYPART_ARC
(2,17),-2.30072 # DEPENDENCYPART_ARC
(2,18),-2.23425 # DEPENDENCYPART_ARC
(2,21),-2.65748 # DEPENDENCYPART_ARC
(2,22),-1.8594 # DEPENDENCYPART_ARC
(2,24),-2.4889 # DEPENDENCYPART_ARC
(2,25),-2.12634 # DEPENDENCYPART_ARC
(3,1),-2.61784 # DEPENDENCYPART_ARC
(3,2),-1.87626 # DEPENDENCYPART_ARC
(3,4),-1.90773 # DEPENDENCYPART_ARC
(3,5),-1.58123 # DEPENDENCYPART_ARC
(3,7),-1.85756 # DEPENDENCYPART_ARC
(3,9),-2.52348 # DEPENDENCYPART_ARC
(3,15),-2.14107 # DEPENDENCYPART_ARC
(4,1),-1.68078 # DEPENDENCYPART_ARC
(4,2),-1.03707 # DEPENDENCYPART_ARC
(4,3),2.41214 # DEPENDENCYPART_ARC
(4,5),2.1407 # DEPENDENCYPART_ARC
(4,6),-1.32668 # DEPENDENCYPART_ARC
(4,7),-0.603677 # DEPENDENCYPART_ARC
(4,8),-2.57489 # DEPENDENCYPART_ARC
(4,9),-1.14549 # DEPENDENCYPART_ARC
(4,10),-2.41192 # DEPENDENCYPART_ARC
(4,15),-1.23767 # DEPENDENCYPART_ARC
(4,25),-2.52814 # DEPENDENCYPART_ARC
(5,6),-1.87382 # DEPENDENCYPART_ARC
(6,1),-2.22221 # DEPENDENCYPART_ARC
(6,2),-1.53259 # DEPENDENCYPART_ARC
(6,3),-0.349791 # DEPENDENCYPART_ARC
(6,4),0.477771 # DEPENDENCYPART_ARC
(6,5),-0.303144 # DEPENDENCYPART_ARC
(6,7),0.0295312 # DEPENDENCYPART_ARC
(6,8),-1.73163 # DEPENDENCYPART_ARC
(6,9),-0.00891146 # DEPENDENCYPART_ARC
(6,10),-1.12065 # DEPENDENCYPART_ARC
(6,13),-1.71985 # DEPENDENCYPART_ARC
(6,15),-0.880106 # DEPENDENCYPART_ARC
(6,18),-1.75283 # DEPENDENCYPART_ARC
(6,21),-2.42689 # DEPENDENCYPART_ARC
(6,22),-2.27944 # DEPENDENCYPART_ARC
(6,24),-3.06748 # DEPENDENCYPART_ARC
(6,25),-2.91771 # DEPENDENCYPART_ARC
(8,6),-2.19054 # DEPENDENCYPART_ARC
(8,7),-1.58297 # DEPENDENCYPART_ARC
(8,9),-0.941065 # DEPENDENCYPART_ARC
(8,10),-2.11732 # DEPENDENCYPART_ARC
(9,1),-1.56754 # DEPENDENCYPART_ARC
(9,2),-2.12096 # DEPENDENCYPART_ARC
(9,4),-2.34298 # DEPENDENCYPART_ARC
(9,6),-1.15284 # DEPENDENCYPART_ARC
(9,7),-1.59838 # DEPENDENCYPART_ARC
(9,8),1.70006 # DEPENDENCYPART_ARC
(9,10),0.560403 # DEPENDENCYPART_ARC
(9,11),-0.980572 # DEPENDENCYPART_ARC
(9,12),-1.62323 # DEPENDENCYPART_ARC
(9,13),0.042859 # DEPENDENCYPART_ARC
(9,14),-2.0071 # DEPENDENCYPART_ARC
(9,15),-0.969664 # DEPENDENCYPART_ARC
(9,16),-2.01657 # DEPENDENCYPART_ARC
(9,17),-1.85614 # DEPENDENCYPART_ARC
(9,18),-0.871853 # DEPENDENCYPART_ARC
(9,19),-1.6209 # DEPENDENCYPART_ARC
(9,21),-2.11606 # DEPENDENCYPART_ARC
(9,22),-1.49401 # DEPENDENCYPART_ARC
(9,24),-2.31184 # DEPENDENCYPART_ARC
(9,25),-0.390058 # DEPENDENCYPART_ARC
(10,1),-2.0237 # DEPENDENCYPART_ARC
(10,6),-1.92907 # DEPENDENCYPART_ARC
(10,7),-1.7287 # DEPENDENCYPART_ARC
(10,8),-1.05662 # DEPENDENCYPART_ARC
(10,9),-0.691339 # DEPENDENCYPART_ARC
(10,11),1.79412 # DEPENDENCYPART_ARC
(10,12),1.40788 # DEPENDENCYPART_ARC
(10,13),-0.321476 # DEPENDENCYPART_ARC
(10,14),-1.40354 # DEPENDENCYPART_ARC
(10,15),-1.13905 # DEPENDENCYPART_ARC
(10,16),-2.27945 # DEPENDENCYPART_ARC
(10,17),-2.28567 # DEPENDENCYPART_ARC
(10,18),-1.3945 # DEPENDENCYPART_ARC
(10,19),-1.86707 # DEPENDENCYPART_ARC
(10,21),-2.43919 # DEPENDENCYPART_ARC
(10,22),-1.72341 # DEPENDENCYPART_ARC
(10,24),-3.05623 # DEPENDENCYPART_ARC
(10,25),-1.91406 # DEPENDENCYPART_ARC
(11,8),-2.59951 # DEPENDENCYPART_ARC
(11,12),-1.17755 # DEPENDENCYPART_ARC
(11,13),-1.65867 # DEPENDENCYPART_ARC
(12,1),-1.90219 # DEPENDENCYPART_ARC
(12,7),-2.30981 # DEPENDENCYPART_ARC
(12,8),-2.03929 # DEPENDENCYPART_ARC
(12,11),-0.157395 # DEPENDENCYPART_ARC
(12,13),-1.21718 # DEPENDENCYPART_ARC
(12,14),-1.96484 # DEPENDENCYPART_ARC
(12,18),-1.91185 # DEPENDENCYPART_ARC
(13,10),-1.74847 # DEPENDENCYPART_ARC
(13,12),-1.94183 # DEPENDENCYPART_ARC
(13,14),1.07364 # DEPENDENCYPART_ARC
(13,15),-1.61251 # DEPENDENCYPART_ARC
(13,16),-1.99436 # DEPENDENCYPART_ARC
(13,17),-1.66777 # DEPENDENCYPART_ARC
(13,18),-0.766265 # DEPENDENCYPART_ARC
(13,19),-2.18175 # DEPENDENCYPART_ARC
(13,21),-1.57415 # DEPENDENCYPART_ARC
(13,22),-1.521 # DEPENDENCYPART_ARC
(13,25),-2.01878 # DEPENDENCYPART_ARC
(14,12),-1.62919 # DEPENDENCYPART_ARC
(14,13),-1.37603 # DEPENDENCYPART_ARC
(14,15),-0.992471 # DEPENDENCYPART_ARC
(14,16),-1.90576 # DEPENDENCYPART_ARC
(14,17),-2.13018 # DEPENDENCYPART_ARC
(14,18),-1.5879 # DEPENDENCYPART_ARC
(16,14),-2.35912 # DEPENDENCYPART_ARC
(16,17),-1.09234 # DEPENDENCYPART_ARC
(17,10),-2.59815 # DEPENDENCYPART_ARC
(17,13),-2.2638 # DEPENDENCYPART_ARC
(17,14),-1.85172 # DEPENDENCYPART_ARC
(17,15),-1.52651 # DEPENDENCYPART_ARC
(17,16),1.80063 # DEPENDENCYPART_ARC
(17,18),-1.0828 # DEPENDENCYPART_ARC
(17,19),-1.97945 # DEPENDENCYPART_ARC
(17,21),-2.43764 # DEPENDENCYPART_ARC
(17,24),-3.10147 # DEPENDENCYPART_ARC
(18,1),-0.767057 # DEPENDENCYPART_ARC
(18,2),-1.38526 # DEPENDENCYPART_ARC
(18,4),-2.02488 # DEPENDENCYPART_ARC
(18,6),-1.01718 # DEPENDENCYPART_ARC
(18,7),-1.42962 # DEPENDENCYPART_ARC
(18,8),-0.996984 # DEPENDENCYPART_ARC
(18,9),-1.56031 # DEPENDENCYPART_ARC
(18,10),-1.36684 # DEPENDENCYPART_ARC
(18,12),-1.70336 # DEPENDENCYPART_ARC
(18,13),-1.27768 # DEPENDENCYPART_ARC
(18,14),-1.56653 # DEPENDENCYPART_ARC
(18,15),0.0810672 # DEPENDENCYPART_ARC
(18,16),-0.566719 # DEPENDENCYPART_ARC
(18,17),0.38974 # DEPENDENCYPART_ARC
(18,19),2.1374 # DEPENDENCYPART_ARC
(18,20),-1.12255 # DEPENDENCYPART_ARC
(18,21),-1.21683 # DEPENDENCYPART_ARC
(18,22),-0.614897 # DEPENDENCYPART_ARC
(18,23),-1.68156 # DEPENDENCYPART_ARC
(18,24),-1.91462 # DEPENDENCYPART_ARC
(18,25),-0.70552 # DEPENDENCYPART_ARC
(19,1),-1.6379 # DEPENDENCYPART_ARC
(19,2),-2.3612 # DEPENDENCYPART_ARC
(19,6),-1.94157 # DEPENDENCYPART_ARC
(19,8),-1.64981 # DEPENDENCYPART_ARC
(19,9),-2.02521 # DEPENDENCYPART_ARC
(19,10),-2.14924 # DEPENDENCYPART_ARC
(19,13),-1.44568 # DEPENDENCYPART_ARC
(19,14),-1.92087 # DEPENDENCYPART_ARC
(19,16),-1.44273 # DEPENDENCYPART_ARC
(19,17),-1.55542 # DEPENDENCYPART_ARC
(19,20),-0.697676 # DEPENDENCYPART_ARC
(19,21),0.461356 # DEPENDENCYPART_ARC
(19,22),-0.623344 # DEPENDENCYPART_ARC
(19,23),-0.544365 # DEPENDENCYPART_ARC
(19,24),-0.144809 # DEPENDENCYPART_ARC
(19,25),-1.59006 # DEPENDENCYPART_ARC
(20,22),-1.51589 # DEPENDENCYPART_ARC
(21,14),-2.38185 # DEPENDENCYPART_ARC
(21,16),-1.60624 # DEPENDENCYPART_ARC
(21,17),-1.48328 # DEPENDENCYPART_ARC
(21,20),1.71325 # DEPENDENCYPART_ARC
(21,22),0.881534 # DEPENDENCYPART_ARC
(21,23),-1.12063 # DEPENDENCYPART_ARC
(21,24),-1.49699 # DEPENDENCYPART_ARC
(21,25),-1.4745 # DEPENDENCYPART_ARC
(22,21),-1.6233 # DEPENDENCYPART_ARC
(22,23),0.727905 # DEPENDENCYPART_ARC
(22,24),-0.0362707 # DEPENDENCYPART_ARC
(23,20),-1.83091 # DEPENDENCYPART_ARC
(23,24),-1.18424 # DEPENDENCYPART_ARC
(24,2),-2.87577 # DEPENDENCYPART_ARC
(24,4),-3.51055 # DEPENDENCYPART_ARC
(24,10),-2.25854 # DEPENDENCYPART_ARC
(24,14),-2.73256 # DEPENDENCYPART_ARC
(24,16),-1.52038 # DEPENDENCYPART_ARC
(24,17),-2.04258 # DEPENDENCYPART_ARC
(24,20),-0.0390898 # DEPENDENCYPART_ARC
(24,21),-0.834297 # DEPENDENCYPART_ARC
(24,22),-1.2528 # DEPENDENCYPART_ARC
(24,23),1.13997 # DEPENDENCYPART_ARC
(24,25),-1.77777 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0717022 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.150322 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.747733 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.262173 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.133846 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.154575 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.728811 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.20006 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.101721 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.803761 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.260593 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.0372596 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.853865 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.619546 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.311612 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.381264 # DEPENDENCYPART_SIBL
