# _root_ In the first nine months of 1988 , net was $ 85 million , or $ 3.76 a share .
#goldHeads=10,5,5,5,1,5,6,10,10,0,10,11,11,11,11,15,16,19,16,10,
#predictedHeads=10,5,5,5,1,5,6,10,10,0,10,11,11,11,11,15,16,19,16,10,
(0,1),-3.90409 # DEPENDENCYPART_ARC
(0,5),-4.18313 # DEPENDENCYPART_ARC
(0,10),-1.73399 # DEPENDENCYPART_ARC
(1,2),-1.16348 # DEPENDENCYPART_ARC
(1,3),-0.815926 # DEPENDENCYPART_ARC
(1,4),-1.16362 # DEPENDENCYPART_ARC
(1,5),0.478192 # DEPENDENCYPART_ARC
(1,6),-1.63061 # DEPENDENCYPART_ARC
(1,7),-1.72332 # DEPENDENCYPART_ARC
(1,8),-1.28901 # DEPENDENCYPART_ARC
(1,9),-2.08774 # DEPENDENCYPART_ARC
(1,11),-3.01916 # DEPENDENCYPART_ARC
(1,13),-2.49329 # DEPENDENCYPART_ARC
(1,14),-1.42843 # DEPENDENCYPART_ARC
(1,15),-2.43998 # DEPENDENCYPART_ARC
(1,20),-1.99289 # DEPENDENCYPART_ARC
(2,3),-1.87786 # DEPENDENCYPART_ARC
(2,4),-2.3049 # DEPENDENCYPART_ARC
(3,1),-1.51824 # DEPENDENCYPART_ARC
(3,2),-0.744439 # DEPENDENCYPART_ARC
(3,4),-0.692663 # DEPENDENCYPART_ARC
(3,5),-1.22678 # DEPENDENCYPART_ARC
(3,6),-0.923613 # DEPENDENCYPART_ARC
(3,7),-1.92947 # DEPENDENCYPART_ARC
(3,8),-1.55371 # DEPENDENCYPART_ARC
(3,9),-2.05414 # DEPENDENCYPART_ARC
(3,11),-2.74286 # DEPENDENCYPART_ARC
(3,14),-1.93041 # DEPENDENCYPART_ARC
(3,15),-1.99945 # DEPENDENCYPART_ARC
(3,20),-2.06682 # DEPENDENCYPART_ARC
(4,1),-1.64538 # DEPENDENCYPART_ARC
(4,2),-0.637297 # DEPENDENCYPART_ARC
(4,3),-0.403468 # DEPENDENCYPART_ARC
(4,6),-1.66457 # DEPENDENCYPART_ARC
(4,7),-2.61977 # DEPENDENCYPART_ARC
(4,8),-2.07897 # DEPENDENCYPART_ARC
(5,1),-1.71292 # DEPENDENCYPART_ARC
(5,2),0.594394 # DEPENDENCYPART_ARC
(5,3),1.09144 # DEPENDENCYPART_ARC
(5,4),1.4673 # DEPENDENCYPART_ARC
(5,6),0.147009 # DEPENDENCYPART_ARC
(5,7),-1.48056 # DEPENDENCYPART_ARC
(5,8),-1.3224 # DEPENDENCYPART_ARC
(5,9),-1.57205 # DEPENDENCYPART_ARC
(5,10),-1.08351 # DEPENDENCYPART_ARC
(5,11),-1.98158 # DEPENDENCYPART_ARC
(5,14),-1.77197 # DEPENDENCYPART_ARC
(5,15),-2.05703 # DEPENDENCYPART_ARC
(5,16),-2.46984 # DEPENDENCYPART_ARC
(5,19),-2.73525 # DEPENDENCYPART_ARC
(5,20),-2.49435 # DEPENDENCYPART_ARC
(6,4),-2.37828 # DEPENDENCYPART_ARC
(6,5),-1.3033 # DEPENDENCYPART_ARC
(6,7),0.758285 # DEPENDENCYPART_ARC
(6,8),-1.59492 # DEPENDENCYPART_ARC
(6,9),-1.89883 # DEPENDENCYPART_ARC
(6,10),-1.4718 # DEPENDENCYPART_ARC
(6,11),-2.14574 # DEPENDENCYPART_ARC
(6,16),-3.38387 # DEPENDENCYPART_ARC
(6,20),-1.97238 # DEPENDENCYPART_ARC
(7,4),-2.12166 # DEPENDENCYPART_ARC
(7,5),-1.95463 # DEPENDENCYPART_ARC
(7,6),-1.38848 # DEPENDENCYPART_ARC
(7,8),-0.986727 # DEPENDENCYPART_ARC
(7,9),-1.51249 # DEPENDENCYPART_ARC
(7,10),-1.07245 # DEPENDENCYPART_ARC
