# _root_ Dataproducts , which had been seeking a buyer for several months , announced a restructuring plan in September and took itself off the auction block .
#goldHeads=13,1,4,1,4,5,8,6,6,11,9,1,0,16,16,13,13,17,13,19,20,20,25,25,22,13,
#predictedHeads=13,1,4,1,4,5,8,6,8,11,9,1,0,16,16,13,13,17,13,19,20,20,25,25,22,13,
(0,1),-3.69944 # DEPENDENCYPART_ARC
(0,4),-2.02376 # DEPENDENCYPART_ARC
(0,5),-3.46025 # DEPENDENCYPART_ARC
(0,13),-0.634051 # DEPENDENCYPART_ARC
(1,2),0.393293 # DEPENDENCYPART_ARC
(1,3),-1.71653 # DEPENDENCYPART_ARC
(1,4),-0.562633 # DEPENDENCYPART_ARC
(1,5),-1.65274 # DEPENDENCYPART_ARC
(1,6),-1.90664 # DEPENDENCYPART_ARC
(1,8),-2.14052 # DEPENDENCYPART_ARC
(1,9),-2.1173 # DEPENDENCYPART_ARC
(1,11),-2.52157 # DEPENDENCYPART_ARC
(1,12),0.0552925 # DEPENDENCYPART_ARC
(1,13),-2.42215 # DEPENDENCYPART_ARC
(1,16),-3.80082 # DEPENDENCYPART_ARC
(1,18),-4.1987 # DEPENDENCYPART_ARC
(1,19),-2.07799 # DEPENDENCYPART_ARC
(1,20),-2.79577 # DEPENDENCYPART_ARC
(1,21),-2.57701 # DEPENDENCYPART_ARC
(1,26),-3.44823 # DEPENDENCYPART_ARC
(2,1),-2.37572 # DEPENDENCYPART_ARC
(2,4),-2.12213 # DEPENDENCYPART_ARC
(3,1),-2.30809 # DEPENDENCYPART_ARC
(3,2),-1.67071 # DEPENDENCYPART_ARC
(3,4),-0.96488 # DEPENDENCYPART_ARC
(3,5),-1.87759 # DEPENDENCYPART_ARC
(4,1),-1.8062 # DEPENDENCYPART_ARC
(4,2),-1.80771 # DEPENDENCYPART_ARC
(4,3),1.48751 # DEPENDENCYPART_ARC
(4,5),1.96038 # DEPENDENCYPART_ARC
(4,6),-0.598201 # DEPENDENCYPART_ARC
(4,8),-1.25072 # DEPENDENCYPART_ARC
(4,9),-1.48466 # DEPENDENCYPART_ARC
(4,11),-1.83819 # DEPENDENCYPART_ARC
(4,12),-1.43224 # DEPENDENCYPART_ARC
(4,13),-1.25575 # DEPENDENCYPART_ARC
(4,17),-2.4364 # DEPENDENCYPART_ARC
(4,19),-1.60385 # DEPENDENCYPART_ARC
(4,26),-0.879631 # DEPENDENCYPART_ARC
(5,1),-2.09159 # DEPENDENCYPART_ARC
(5,2),-1.75113 # DEPENDENCYPART_ARC
(5,3),-0.883185 # DEPENDENCYPART_ARC
(5,4),-1.24046 # DEPENDENCYPART_ARC
(5,6),1.12312 # DEPENDENCYPART_ARC
(5,8),-0.510493 # DEPENDENCYPART_ARC
(5,9),-0.285684 # DEPENDENCYPART_ARC
(5,10),-1.24375 # DEPENDENCYPART_ARC
(5,11),-1.29887 # DEPENDENCYPART_ARC
(5,12),-1.11236 # DEPENDENCYPART_ARC
(5,13),-1.34092 # DEPENDENCYPART_ARC
(5,16),-1.76458 # DEPENDENCYPART_ARC
(5,17),-1.51759 # DEPENDENCYPART_ARC
(5,19),-1.81834 # DEPENDENCYPART_ARC
(5,20),-1.85725 # DEPENDENCYPART_ARC
(5,22),-1.76426 # DEPENDENCYPART_ARC
(5,26),-2.12546 # DEPENDENCYPART_ARC
(6,1),-2.09916 # DEPENDENCYPART_ARC
(6,2),-1.75834 # DEPENDENCYPART_ARC
(6,3),-0.839792 # DEPENDENCYPART_ARC
(6,4),-1.66174 # DEPENDENCYPART_ARC
(6,5),-0.9848 # DEPENDENCYPART_ARC
(6,7),-0.542611 # DEPENDENCYPART_ARC
(6,8),0.713804 # DEPENDENCYPART_ARC
(6,9),0.0278355 # DEPENDENCYPART_ARC
