# _root_ Mr. Jarrell , former top economist at the Securities and Exchange Commission , teaches at the University of Rochester 's Simon Business School .
#goldHeads=2,14,2,6,6,2,6,9,7,9,12,10,2,0,14,17,23,17,18,17,23,23,15,14,
#predictedHeads=2,14,2,6,6,2,6,9,7,9,12,10,2,0,14,17,23,17,18,17,23,23,15,14,
(0,1),-3.33977 # DEPENDENCYPART_ARC
(0,2),-3.8042 # DEPENDENCYPART_ARC
(0,6),-5.01346 # DEPENDENCYPART_ARC
(0,7),-4.86752 # DEPENDENCYPART_ARC
(0,14),-0.220405 # DEPENDENCYPART_ARC
(1,2),-1.18326 # DEPENDENCYPART_ARC
(1,3),-1.43312 # DEPENDENCYPART_ARC
(1,4),-2.08515 # DEPENDENCYPART_ARC
(1,6),-2.35023 # DEPENDENCYPART_ARC
(1,7),-2.6284 # DEPENDENCYPART_ARC
(1,9),-4.04039 # DEPENDENCYPART_ARC
(1,10),-1.45871 # DEPENDENCYPART_ARC
(1,13),-1.30961 # DEPENDENCYPART_ARC
(1,24),-3.24648 # DEPENDENCYPART_ARC
(2,1),1.90049 # DEPENDENCYPART_ARC
(2,3),-0.145553 # DEPENDENCYPART_ARC
(2,4),-1.21323 # DEPENDENCYPART_ARC
(2,5),-1.59399 # DEPENDENCYPART_ARC
(2,6),-1.32345 # DEPENDENCYPART_ARC
(2,7),-2.14683 # DEPENDENCYPART_ARC
(2,9),-3.12746 # DEPENDENCYPART_ARC
(2,10),-1.10436 # DEPENDENCYPART_ARC
(2,12),-3.16338 # DEPENDENCYPART_ARC
(2,13),-0.478964 # DEPENDENCYPART_ARC
(2,14),-2.74002 # DEPENDENCYPART_ARC
(2,15),-2.87968 # DEPENDENCYPART_ARC
(2,18),-3.46087 # DEPENDENCYPART_ARC
(2,24),-2.76209 # DEPENDENCYPART_ARC
(4,2),-1.22988 # DEPENDENCYPART_ARC
(4,3),-1.12742 # DEPENDENCYPART_ARC
(4,5),-1.09792 # DEPENDENCYPART_ARC
(4,6),-1.32943 # DEPENDENCYPART_ARC
(4,7),-1.24584 # DEPENDENCYPART_ARC
(4,9),-2.30175 # DEPENDENCYPART_ARC
(4,10),-1.42919 # DEPENDENCYPART_ARC
(4,13),-1.4899 # DEPENDENCYPART_ARC
(4,15),-1.96107 # DEPENDENCYPART_ARC
(5,2),-1.77192 # DEPENDENCYPART_ARC
(5,3),-1.667 # DEPENDENCYPART_ARC
(5,4),-0.580404 # DEPENDENCYPART_ARC
(5,6),-0.829319 # DEPENDENCYPART_ARC
(5,7),-1.33842 # DEPENDENCYPART_ARC
(5,9),-2.34994 # DEPENDENCYPART_ARC
(5,10),-1.51417 # DEPENDENCYPART_ARC
(6,1),-1.42032 # DEPENDENCYPART_ARC
(6,2),-1.70506 # DEPENDENCYPART_ARC
(6,3),-1.28547 # DEPENDENCYPART_ARC
(6,4),0.798723 # DEPENDENCYPART_ARC
(6,5),1.63241 # DEPENDENCYPART_ARC
(6,7),-0.0404235 # DEPENDENCYPART_ARC
(6,8),-2.06727 # DEPENDENCYPART_ARC
(6,9),-1.76787 # DEPENDENCYPART_ARC
(6,10),-1.00834 # DEPENDENCYPART_ARC
(6,12),-1.74478 # DEPENDENCYPART_ARC
(6,13),-1.17411 # DEPENDENCYPART_ARC
(6,14),-1.88502 # DEPENDENCYPART_ARC
(6,15),-1.70076 # DEPENDENCYPART_ARC
(6,24),-2.54598 # DEPENDENCYPART_ARC
(7,3),-2.39924 # DEPENDENCYPART_ARC
(7,4),-2.22568 # DEPENDENCYPART_ARC
(7,6),-1.7907 # DEPENDENCYPART_ARC
(7,8),-1.03648 # DEPENDENCYPART_ARC
(7,9),-0.0428858 # DEPENDENCYPART_ARC
(7,10),-0.941766 # DEPENDENCYPART_ARC
(7,11),-1.71655 # DEPENDENCYPART_ARC
(7,12),-0.866412 # DEPENDENCYPART_ARC
(7,13),-1.16025 # DEPENDENCYPART_ARC
(7,14),-1.30565 # DEPENDENCYPART_ARC
(7,15),-2.16512 # DEPENDENCYPART_ARC
(7,17),-2.34961 # DEPENDENCYPART_ARC
(7,22),-3.14332 # DEPENDENCYPART_ARC
(7,23),-1.04822 # DEPENDENCYPART_ARC
(7,24),-3.45475 # DEPENDENCYPART_ARC
(8,7),-2.15353 # DEPENDENCYPART_ARC
(8,10),-1.71059 # DEPENDENCYPART_ARC
(9,1),-2.99963 # DEPENDENCYPART_ARC
(9,2),-3.88564 # DEPENDENCYPART_ARC
(9,3),-3.00079 # DEPENDENCYPART_ARC
(9,4),-1.70519 # DEPENDENCYPART_ARC
(9,5),-1.46144 # DEPENDENCYPART_ARC
(9,6),-1.58228 # DEPENDENCYPART_ARC
(9,7),-1.27781 # DEPENDENCYPART_ARC
(9,8),1.5081 # DEPENDENCYPART_ARC
(9,10),1.35091 # DEPENDENCYPART_ARC
(9,11),-1.55822 # DEPENDENCYPART_ARC
(9,12),-1.65283 # DEPENDENCYPART_ARC
(9,13),-0.961232 # DEPENDENCYPART_ARC
(9,14),-1.45662 # DEPENDENCYPART_ARC
(9,15),-1.56354 # DEPENDENCYPART_ARC
(9,17),-3.34513 # DEPENDENCYPART_ARC
(9,18),-1.58588 # DEPENDENCYPART_ARC
(9,20),-3.1212 # DEPENDENCYPART_ARC
(9,24),-2.57732 # DEPENDENCYPART_ARC
(10,2),-1.94588 # DEPENDENCYPART_ARC
(10,11),0.540726 # DEPENDENCYPART_ARC
(10,12),0.113648 # DEPENDENCYPART_ARC
(10,13),-0.726416 # DEPENDENCYPART_ARC
(10,14),-0.138161 # DEPENDENCYPART_ARC
(10,15),-1.80348 # DEPENDENCYPART_ARC
(10,17),-2.39802 # DEPENDENCYPART_ARC
(10,19),-2.50945 # DEPENDENCYPART_ARC
(10,22),-2.93033 # DEPENDENCYPART_ARC
(10,23),-2.684 # DEPENDENCYPART_ARC
(11,8),-2.74047 # DEPENDENCYPART_ARC
(11,9),-2.60116 # DEPENDENCYPART_ARC
(11,12),-1.1478 # DEPENDENCYPART_ARC
(11,13),-1.74318 # DEPENDENCYPART_ARC
(11,14),-1.99089 # DEPENDENCYPART_ARC
(11,15),-2.63001 # DEPENDENCYPART_ARC
(11,18),-2.78509 # DEPENDENCYPART_ARC
(12,2),-4.31824 # DEPENDENCYPART_ARC
(12,3),-2.99815 # DEPENDENCYPART_ARC
(12,4),-2.3923 # DEPENDENCYPART_ARC
(12,5),-2.49261 # DEPENDENCYPART_ARC
(12,6),-2.96037 # DEPENDENCYPART_ARC
(12,7),-2.22038 # DEPENDENCYPART_ARC
(12,8),-0.544017 # DEPENDENCYPART_ARC
(12,9),-0.948133 # DEPENDENCYPART_ARC
(12,10),-1.41029 # DEPENDENCYPART_ARC
(12,11),1.43657 # DEPENDENCYPART_ARC
(12,13),-1.18267 # DEPENDENCYPART_ARC
(12,14),-1.92019 # DEPENDENCYPART_ARC
(12,15),-2.55231 # DEPENDENCYPART_ARC
(12,17),-3.54241 # DEPENDENCYPART_ARC
(12,18),-2.75157 # DEPENDENCYPART_ARC
(12,20),-3.25394 # DEPENDENCYPART_ARC
(12,24),-3.45164 # DEPENDENCYPART_ARC
(13,12),-2.23251 # DEPENDENCYPART_ARC
(14,1),-1.92911 # DEPENDENCYPART_ARC
(14,2),-1.61086 # DEPENDENCYPART_ARC
(14,3),-2.05992 # DEPENDENCYPART_ARC
(14,4),-2.18694 # DEPENDENCYPART_ARC
(14,5),-2.23059 # DEPENDENCYPART_ARC
(14,6),-1.16206 # DEPENDENCYPART_ARC
(14,7),-1.89351 # DEPENDENCYPART_ARC
(14,8),-2.39058 # DEPENDENCYPART_ARC
(14,9),-1.66824 # DEPENDENCYPART_ARC
(14,10),-1.54873 # DEPENDENCYPART_ARC
(14,11),-1.27569 # DEPENDENCYPART_ARC
(14,12),-0.629887 # DEPENDENCYPART_ARC
(14,13),-0.86294 # DEPENDENCYPART_ARC
(14,15),1.32219 # DEPENDENCYPART_ARC
(14,16),-1.27637 # DEPENDENCYPART_ARC
(14,17),-1.23892 # DEPENDENCYPART_ARC
(14,18),-0.688582 # DEPENDENCYPART_ARC
(14,19),-1.67028 # DEPENDENCYPART_ARC
(14,20),-1.92605 # DEPENDENCYPART_ARC
(14,21),-2.25211 # DEPENDENCYPART_ARC
(14,22),-2.30551 # DEPENDENCYPART_ARC
(14,23),-2.15625 # DEPENDENCYPART_ARC
(14,24),0.0839868 # DEPENDENCYPART_ARC
(15,16),-0.992998 # DEPENDENCYPART_ARC
(15,17),-0.203386 # DEPENDENCYPART_ARC
(15,18),-1.37943 # DEPENDENCYPART_ARC
(15,19),-1.56744 # DEPENDENCYPART_ARC
(15,20),-2.2682 # DEPENDENCYPART_ARC
(15,21),-2.12443 # DEPENDENCYPART_ARC
(15,22),-2.19097 # DEPENDENCYPART_ARC
(15,23),-0.857721 # DEPENDENCYPART_ARC
(15,24),-2.98284 # DEPENDENCYPART_ARC
(16,18),-1.81943 # DEPENDENCYPART_ARC
(17,8),-3.35364 # DEPENDENCYPART_ARC
(17,12),-2.81479 # DEPENDENCYPART_ARC
(17,15),-1.66291 # DEPENDENCYPART_ARC
(17,16),0.63236 # DEPENDENCYPART_ARC
(17,18),1.02772 # DEPENDENCYPART_ARC
(17,19),-1.03592 # DEPENDENCYPART_ARC
(17,20),-0.030084 # DEPENDENCYPART_ARC
(17,21),-1.75568 # DEPENDENCYPART_ARC
(17,22),-1.95205 # DEPENDENCYPART_ARC
(17,23),-2.48462 # DEPENDENCYPART_ARC
(17,24),-2.0101 # DEPENDENCYPART_ARC
(18,16),-2.33312 # DEPENDENCYPART_ARC
(18,19),1.2104 # DEPENDENCYPART_ARC
(18,20),-1.08276 # DEPENDENCYPART_ARC
(18,21),-0.963558 # DEPENDENCYPART_ARC
(18,22),-0.966035 # DEPENDENCYPART_ARC
(18,23),-0.678041 # DEPENDENCYPART_ARC
(19,16),-0.975065 # DEPENDENCYPART_ARC
(19,17),-0.647637 # DEPENDENCYPART_ARC
(19,18),-0.929923 # DEPENDENCYPART_ARC
(19,20),1.55839 # DEPENDENCYPART_ARC
(19,21),-1.66849 # DEPENDENCYPART_ARC
(19,22),-2.26767 # DEPENDENCYPART_ARC
(19,23),-2.5461 # DEPENDENCYPART_ARC
(20,21),-1.92267 # DEPENDENCYPART_ARC
(21,16),-2.9139 # DEPENDENCYPART_ARC
(21,17),-2.58408 # DEPENDENCYPART_ARC
(21,19),-1.33698 # DEPENDENCYPART_ARC
(21,20),-2.00313 # DEPENDENCYPART_ARC
(21,22),-1.62425 # DEPENDENCYPART_ARC
(21,23),-2.2829 # DEPENDENCYPART_ARC
(22,16),-3.02661 # DEPENDENCYPART_ARC
(22,17),-2.37674 # DEPENDENCYPART_ARC
(22,19),-1.24804 # DEPENDENCYPART_ARC
(22,20),-1.94387 # DEPENDENCYPART_ARC
(22,21),-0.336389 # DEPENDENCYPART_ARC
(22,23),-1.0203 # DEPENDENCYPART_ARC
(23,2),-6.13524 # DEPENDENCYPART_ARC
(23,4),-2.94837 # DEPENDENCYPART_ARC
(23,5),-3.45257 # DEPENDENCYPART_ARC
(23,6),-4.17652 # DEPENDENCYPART_ARC
(23,8),-2.08889 # DEPENDENCYPART_ARC
(23,9),-4.46865 # DEPENDENCYPART_ARC
(23,11),-3.40756 # DEPENDENCYPART_ARC
(23,12),-3.99747 # DEPENDENCYPART_ARC
(23,16),-0.645191 # DEPENDENCYPART_ARC
(23,17),-1.3714 # DEPENDENCYPART_ARC
(23,18),-1.69219 # DEPENDENCYPART_ARC
(23,19),-0.271798 # DEPENDENCYPART_ARC
(23,20),-1.16791 # DEPENDENCYPART_ARC
(23,21),0.595809 # DEPENDENCYPART_ARC
(23,22),0.969984 # DEPENDENCYPART_ARC
(23,24),-1.18467 # DEPENDENCYPART_ARC
(24,23),-2.33759 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.221316 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.183159 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0799462 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.656824 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.179775 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0693486 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.655476 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0228319 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.663687 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.641826 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0122182 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0475783 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0463012 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.00455443 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.107222 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0216617 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.0122182 # DEPENDENCYPART_SIBL
(1,2),(1,24),0.00140003 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.313982 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.747002 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.153001 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.65749 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.439637 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.0717663 # DEPENDENCYPART_SIBL
(1,3),(1,24),-0.0015518 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0646311 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0304621 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.00532251 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0232932 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.0479688 # DEPENDENCYPART_SIBL
(1,4),(1,24),0.022013 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.00375029 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0719178 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0156074 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.178868 # DEPENDENCYPART_SIBL
(1,6),(1,24),0.0475601 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0254489 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.307758 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.157409 # DEPENDENCYPART_SIBL
(1,7),(1,24),0.00735606 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0586391 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.0105541 # DEPENDENCYPART_SIBL
(1,9),(1,24),0.00395322 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.000519233 # DEPENDENCYPART_SIBL
(1,10),(1,24),-0.140346 # DEPENDENCYPART_SIBL
(1,13),(1,24),-0.0015518 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0593893 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.051898 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0479294 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00634554 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0120655 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0293357 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.28704 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0811056 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0593893 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0247931 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0120655 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.027284 # DEPENDENCYPART_SIBL
(2,1),(2,24),-0.0946449 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.320245 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.3333 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.761946 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.152392 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.665384 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.449565 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.696868 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0761993 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.449063 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.152392 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.347133 # DEPENDENCYPART_SIBL
(2,3),(2,24),0.00426558 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0804676 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0612931 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0240396 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0044678 # DEPENDENCYPART_SIBL
