# _root_ `` Spain is down 10 % and suspended , Sweden 's down 8 % , Norway 11 % .
#goldHeads=3,3,0,3,6,4,4,7,3,11,3,11,14,12,11,11,18,11,3,
#predictedHeads=3,3,0,3,6,4,3,7,11,11,7,11,14,12,14,18,18,14,3,
(0,2),-3.70249 # DEPENDENCYPART_ARC
(0,3),-1.08608 # DEPENDENCYPART_ARC
(0,11),-2.67046 # DEPENDENCYPART_ARC
(1,2),-2.58977 # DEPENDENCYPART_ARC
(1,3),-2.61684 # DEPENDENCYPART_ARC
(2,1),-0.794644 # DEPENDENCYPART_ARC
(2,3),-0.652271 # DEPENDENCYPART_ARC
(2,4),-1.84054 # DEPENDENCYPART_ARC
(2,5),-1.94402 # DEPENDENCYPART_ARC
(2,6),-2.45889 # DEPENDENCYPART_ARC
(2,7),-2.08477 # DEPENDENCYPART_ARC
(2,9),-1.67417 # DEPENDENCYPART_ARC
(2,11),-2.43351 # DEPENDENCYPART_ARC
(3,1),-0.23939 # DEPENDENCYPART_ARC
(3,2),0.677941 # DEPENDENCYPART_ARC
(3,4),0.516969 # DEPENDENCYPART_ARC
(3,5),-0.342324 # DEPENDENCYPART_ARC
(3,6),-0.15002 # DEPENDENCYPART_ARC
(3,7),-0.196918 # DEPENDENCYPART_ARC
(3,8),-0.389144 # DEPENDENCYPART_ARC
(3,9),-0.720713 # DEPENDENCYPART_ARC
(3,10),-2.11007 # DEPENDENCYPART_ARC
(3,11),-0.460944 # DEPENDENCYPART_ARC
(3,12),-1.5731 # DEPENDENCYPART_ARC
(3,14),-1.93147 # DEPENDENCYPART_ARC
(3,15),-1.04457 # DEPENDENCYPART_ARC
(3,18),-2.49059 # DEPENDENCYPART_ARC
(3,19),-0.141415 # DEPENDENCYPART_ARC
(4,1),-2.39238 # DEPENDENCYPART_ARC
(4,2),-2.50225 # DEPENDENCYPART_ARC
(4,3),-1.54895 # DEPENDENCYPART_ARC
(4,5),0.518313 # DEPENDENCYPART_ARC
(4,6),-0.40555 # DEPENDENCYPART_ARC
(4,7),-0.766349 # DEPENDENCYPART_ARC
(4,8),-1.6002 # DEPENDENCYPART_ARC
(4,9),-1.59812 # DEPENDENCYPART_ARC
(4,10),-2.59113 # DEPENDENCYPART_ARC
(4,11),-1.46876 # DEPENDENCYPART_ARC
(4,12),-2.15195 # DEPENDENCYPART_ARC
(4,13),-2.44654 # DEPENDENCYPART_ARC
(4,14),-1.859 # DEPENDENCYPART_ARC
(4,15),-1.53529 # DEPENDENCYPART_ARC
(4,17),-3.01306 # DEPENDENCYPART_ARC
(4,18),-2.09302 # DEPENDENCYPART_ARC
(4,19),-1.89073 # DEPENDENCYPART_ARC
(5,1),-2.19612 # DEPENDENCYPART_ARC
(5,2),-2.44779 # DEPENDENCYPART_ARC
(5,3),-1.79592 # DEPENDENCYPART_ARC
(5,4),-0.960187 # DEPENDENCYPART_ARC
(5,6),-1.11356 # DEPENDENCYPART_ARC
(5,7),-1.2794 # DEPENDENCYPART_ARC
(5,8),-1.71298 # DEPENDENCYPART_ARC
(5,9),-1.53239 # DEPENDENCYPART_ARC
(5,10),-2.64791 # DEPENDENCYPART_ARC
(5,11),-1.70772 # DEPENDENCYPART_ARC
(6,1),-1.57634 # DEPENDENCYPART_ARC
(6,2),-1.32883 # DEPENDENCYPART_ARC
(6,3),-1.58994 # DEPENDENCYPART_ARC
(6,4),-0.106357 # DEPENDENCYPART_ARC
(6,5),1.12816 # DEPENDENCYPART_ARC
(6,7),-0.134276 # DEPENDENCYPART_ARC
(6,8),-1.27217 # DEPENDENCYPART_ARC
(6,9),-1.06857 # DEPENDENCYPART_ARC
(6,10),-2.40936 # DEPENDENCYPART_ARC
(6,11),-1.6069 # DEPENDENCYPART_ARC
(6,12),-2.02227 # DEPENDENCYPART_ARC
(6,14),-2.85447 # DEPENDENCYPART_ARC
(6,15),-1.70035 # DEPENDENCYPART_ARC
(6,16),-3.22729 # DEPENDENCYPART_ARC
(6,18),-4.26831 # DEPENDENCYPART_ARC
(6,19),-2.80848 # DEPENDENCYPART_ARC
(7,4),-2.60194 # DEPENDENCYPART_ARC
(7,6),-1.7384 # DEPENDENCYPART_ARC
(7,8),0.814162 # DEPENDENCYPART_ARC
(7,9),-1.20724 # DEPENDENCYPART_ARC
(7,10),-1.75327 # DEPENDENCYPART_ARC
(7,11),-0.482207 # DEPENDENCYPART_ARC
(7,12),-2.25617 # DEPENDENCYPART_ARC
(7,14),-1.3831 # DEPENDENCYPART_ARC
(7,16),-2.98718 # DEPENDENCYPART_ARC
(7,18),-1.81173 # DEPENDENCYPART_ARC
(8,1),-2.37863 # DEPENDENCYPART_ARC
(8,2),-2.41287 # DEPENDENCYPART_ARC
(8,3),-2.23703 # DEPENDENCYPART_ARC
(8,4),-1.78058 # DEPENDENCYPART_ARC
(8,5),-2.26704 # DEPENDENCYPART_ARC
(8,6),-1.82024 # DEPENDENCYPART_ARC
(8,7),-1.44515 # DEPENDENCYPART_ARC
(8,9),-1.03364 # DEPENDENCYPART_ARC
(8,10),-1.12624 # DEPENDENCYPART_ARC
(8,11),-1.32202 # DEPENDENCYPART_ARC
(8,12),-1.38008 # DEPENDENCYPART_ARC
(8,14),-1.71032 # DEPENDENCYPART_ARC
(8,15),-1.58416 # DEPENDENCYPART_ARC
(8,16),-2.26325 # DEPENDENCYPART_ARC
(8,18),-2.17914 # DEPENDENCYPART_ARC
(8,19),-1.97948 # DEPENDENCYPART_ARC
(10,1),-3.49649 # DEPENDENCYPART_ARC
(10,2),-3.94019 # DEPENDENCYPART_ARC
(10,3),-3.29132 # DEPENDENCYPART_ARC
(10,6),-2.44883 # DEPENDENCYPART_ARC
(10,7),-2.54057 # DEPENDENCYPART_ARC
(10,8),-1.69654 # DEPENDENCYPART_ARC
(10,9),-0.953514 # DEPENDENCYPART_ARC
(10,11),0.429178 # DEPENDENCYPART_ARC
(10,12),-1.25241 # DEPENDENCYPART_ARC
(10,13),-1.37643 # DEPENDENCYPART_ARC
(10,14),-1.81518 # DEPENDENCYPART_ARC
(10,15),-1.05393 # DEPENDENCYPART_ARC
(10,16),-2.12303 # DEPENDENCYPART_ARC
(10,19),-1.84847 # DEPENDENCYPART_ARC
(11,1),-1.26484 # DEPENDENCYPART_ARC
(11,2),-1.48 # DEPENDENCYPART_ARC
(11,3),-1.68615 # DEPENDENCYPART_ARC
(11,4),-1.61776 # DEPENDENCYPART_ARC
(11,5),-2.37923 # DEPENDENCYPART_ARC
