# _root_ The Tokyo Stock Exchange index for the second section fell 100.96 , or 2.7 % , to 3655.40 .
#goldHeads=5,5,5,5,10,5,9,9,6,0,10,11,11,15,13,11,10,17,10,
#predictedHeads=5,5,5,5,10,5,9,9,6,0,10,11,11,15,13,11,10,17,10,
(0,5),-4.68539 # DEPENDENCYPART_ARC
(0,6),-4.60638 # DEPENDENCYPART_ARC
(0,10),-1.16464 # DEPENDENCYPART_ARC
(2,1),-1.50511 # DEPENDENCYPART_ARC
(2,3),-1.92219 # DEPENDENCYPART_ARC
(2,4),-2.6271 # DEPENDENCYPART_ARC
(3,1),-1.58661 # DEPENDENCYPART_ARC
(3,2),-1.57296 # DEPENDENCYPART_ARC
(3,4),-2.02393 # DEPENDENCYPART_ARC
(3,12),-2.41256 # DEPENDENCYPART_ARC
(4,1),-0.599303 # DEPENDENCYPART_ARC
(4,2),-0.786608 # DEPENDENCYPART_ARC
(4,3),-0.375825 # DEPENDENCYPART_ARC
(4,5),-1.4508 # DEPENDENCYPART_ARC
(4,6),-1.93466 # DEPENDENCYPART_ARC
(4,12),-1.8674 # DEPENDENCYPART_ARC
(4,19),-3.11782 # DEPENDENCYPART_ARC
(5,1),1.13652 # DEPENDENCYPART_ARC
(5,2),0.94686 # DEPENDENCYPART_ARC
(5,3),1.19379 # DEPENDENCYPART_ARC
(5,4),1.79873 # DEPENDENCYPART_ARC
(5,6),-0.123528 # DEPENDENCYPART_ARC
(5,8),-1.80879 # DEPENDENCYPART_ARC
(5,9),-1.54782 # DEPENDENCYPART_ARC
(5,10),-1.62459 # DEPENDENCYPART_ARC
(5,11),-2.50194 # DEPENDENCYPART_ARC
(5,12),-1.87621 # DEPENDENCYPART_ARC
(5,13),-2.10546 # DEPENDENCYPART_ARC
(5,15),-2.83451 # DEPENDENCYPART_ARC
(5,16),-2.03566 # DEPENDENCYPART_ARC
(5,17),-2.39022 # DEPENDENCYPART_ARC
(5,18),-3.33188 # DEPENDENCYPART_ARC
(5,19),-2.64962 # DEPENDENCYPART_ARC
(6,5),-1.56298 # DEPENDENCYPART_ARC
(6,7),-1.40656 # DEPENDENCYPART_ARC
(6,8),-0.88917 # DEPENDENCYPART_ARC
(6,9),0.50318 # DEPENDENCYPART_ARC
(6,10),-0.499417 # DEPENDENCYPART_ARC
(6,11),-1.88356 # DEPENDENCYPART_ARC
(6,12),-1.49263 # DEPENDENCYPART_ARC
(6,13),-1.87421 # DEPENDENCYPART_ARC
(6,15),-1.29385 # DEPENDENCYPART_ARC
(6,16),-1.90236 # DEPENDENCYPART_ARC
(6,17),-2.5396 # DEPENDENCYPART_ARC
(6,18),-3.10069 # DEPENDENCYPART_ARC
