# _root_ He was flawless afield ( ditto in game two ) , moved a runner along in the A 's three-run second inning , and homered for his team 's final tally .
#goldHeads=2,0,2,2,6,2,6,7,8,6,2,2,14,12,12,12,22,22,22,22,22,16,12,12,24,25,28,31,28,31,26,2,
#predictedHeads=2,0,2,3,6,2,6,7,8,6,2,2,14,12,14,15,22,22,22,22,22,16,12,12,24,25,28,31,28,31,26,2,
(0,2),-0.888935 # DEPENDENCYPART_ARC
(0,12),-1.84914 # DEPENDENCYPART_ARC
(1,2),-1.07284 # DEPENDENCYPART_ARC
(1,3),-2.31988 # DEPENDENCYPART_ARC
(1,4),-2.36116 # DEPENDENCYPART_ARC
(2,1),1.48819 # DEPENDENCYPART_ARC
(2,3),0.672552 # DEPENDENCYPART_ARC
(2,4),-0.171503 # DEPENDENCYPART_ARC
(2,5),-0.817712 # DEPENDENCYPART_ARC
(2,6),-0.34581 # DEPENDENCYPART_ARC
(2,7),-0.00296573 # DEPENDENCYPART_ARC
(2,8),-1.37549 # DEPENDENCYPART_ARC
(2,9),-2.47067 # DEPENDENCYPART_ARC
(2,10),-0.531377 # DEPENDENCYPART_ARC
(2,11),-0.6915 # DEPENDENCYPART_ARC
(2,12),-0.871565 # DEPENDENCYPART_ARC
(2,14),-2.23062 # DEPENDENCYPART_ARC
(2,15),-1.45518 # DEPENDENCYPART_ARC
(2,16),-2.0389 # DEPENDENCYPART_ARC
(2,22),-2.68255 # DEPENDENCYPART_ARC
(2,23),-1.05865 # DEPENDENCYPART_ARC
(2,24),-1.64421 # DEPENDENCYPART_ARC
(2,25),-2.96739 # DEPENDENCYPART_ARC
(2,26),-2.75224 # DEPENDENCYPART_ARC
(2,32),0.741401 # DEPENDENCYPART_ARC
(3,1),-1.66077 # DEPENDENCYPART_ARC
(3,2),-1.12943 # DEPENDENCYPART_ARC
(3,4),-0.587831 # DEPENDENCYPART_ARC
(3,5),-1.57273 # DEPENDENCYPART_ARC
(3,6),-1.43089 # DEPENDENCYPART_ARC
(3,7),-1.26224 # DEPENDENCYPART_ARC
(3,8),-1.79896 # DEPENDENCYPART_ARC
(3,9),-2.28952 # DEPENDENCYPART_ARC
(3,10),-1.34588 # DEPENDENCYPART_ARC
(3,11),-1.42248 # DEPENDENCYPART_ARC
(3,12),-1.55541 # DEPENDENCYPART_ARC
(3,16),-2.16994 # DEPENDENCYPART_ARC
(4,1),-2.58771 # DEPENDENCYPART_ARC
(4,2),-1.75989 # DEPENDENCYPART_ARC
(4,3),-1.0947 # DEPENDENCYPART_ARC
(4,5),-0.707913 # DEPENDENCYPART_ARC
(4,6),-1.12143 # DEPENDENCYPART_ARC
(4,7),-1.38361 # DEPENDENCYPART_ARC
(4,8),-1.65799 # DEPENDENCYPART_ARC
(4,9),-2.02162 # DEPENDENCYPART_ARC
(4,10),-1.61351 # DEPENDENCYPART_ARC
(4,11),-1.76122 # DEPENDENCYPART_ARC
(4,12),-1.88242 # DEPENDENCYPART_ARC
(4,14),-2.66265 # DEPENDENCYPART_ARC
(4,15),-2.21089 # DEPENDENCYPART_ARC
(4,16),-2.42776 # DEPENDENCYPART_ARC
(4,32),-2.32303 # DEPENDENCYPART_ARC
(5,2),-2.37595 # DEPENDENCYPART_ARC
(5,3),-2.30041 # DEPENDENCYPART_ARC
(5,4),-1.32878 # DEPENDENCYPART_ARC
(5,6),-1.13875 # DEPENDENCYPART_ARC
(5,7),-2.03034 # DEPENDENCYPART_ARC
(5,8),-2.19516 # DEPENDENCYPART_ARC
(5,9),-2.83853 # DEPENDENCYPART_ARC
(5,10),-1.34007 # DEPENDENCYPART_ARC
(5,12),-2.06822 # DEPENDENCYPART_ARC
(6,1),-2.75294 # DEPENDENCYPART_ARC
(6,2),-2.36989 # DEPENDENCYPART_ARC
(6,3),-0.87248 # DEPENDENCYPART_ARC
(6,4),-0.863942 # DEPENDENCYPART_ARC
(6,5),-0.0210918 # DEPENDENCYPART_ARC
(6,7),0.367582 # DEPENDENCYPART_ARC
(6,8),-0.699709 # DEPENDENCYPART_ARC
(6,9),-1.24008 # DEPENDENCYPART_ARC
(6,10),-0.799744 # DEPENDENCYPART_ARC
(6,11),-1.18442 # DEPENDENCYPART_ARC
(6,12),-1.37513 # DEPENDENCYPART_ARC
(6,14),-2.01089 # DEPENDENCYPART_ARC
(6,15),-1.35116 # DEPENDENCYPART_ARC
(6,16),-2.22884 # DEPENDENCYPART_ARC
(6,22),-2.62025 # DEPENDENCYPART_ARC
(6,23),-1.61753 # DEPENDENCYPART_ARC
(6,24),-2.40877 # DEPENDENCYPART_ARC
(6,25),-2.31383 # DEPENDENCYPART_ARC
(6,26),-2.64714 # DEPENDENCYPART_ARC
(6,32),-2.53656 # DEPENDENCYPART_ARC
(7,3),-2.58036 # DEPENDENCYPART_ARC
(7,4),-1.69381 # DEPENDENCYPART_ARC
(7,5),-1.42471 # DEPENDENCYPART_ARC
(7,6),-1.53192 # DEPENDENCYPART_ARC
(7,8),1.58128 # DEPENDENCYPART_ARC
(7,9),-1.11767 # DEPENDENCYPART_ARC
(7,10),-1.1357 # DEPENDENCYPART_ARC
(7,11),-1.79213 # DEPENDENCYPART_ARC
(7,12),-1.43837 # DEPENDENCYPART_ARC
(8,3),-2.48503 # DEPENDENCYPART_ARC
(8,4),-2.425 # DEPENDENCYPART_ARC
(8,5),-2.1285 # DEPENDENCYPART_ARC
(8,6),-1.65788 # DEPENDENCYPART_ARC
(8,7),-1.19551 # DEPENDENCYPART_ARC
(8,9),-0.0548849 # DEPENDENCYPART_ARC
(8,10),-0.925537 # DEPENDENCYPART_ARC
(8,11),-0.968945 # DEPENDENCYPART_ARC
(8,12),-1.416 # DEPENDENCYPART_ARC
(8,14),-2.09461 # DEPENDENCYPART_ARC
(8,15),-1.63644 # DEPENDENCYPART_ARC
(8,16),-2.19248 # DEPENDENCYPART_ARC
(8,22),-2.75411 # DEPENDENCYPART_ARC
(9,2),-2.22422 # DEPENDENCYPART_ARC
(9,3),-2.34397 # DEPENDENCYPART_ARC
(9,4),-2.22617 # DEPENDENCYPART_ARC
(9,5),-1.99053 # DEPENDENCYPART_ARC
(9,6),-2.122 # DEPENDENCYPART_ARC
(9,7),-1.36935 # DEPENDENCYPART_ARC
(9,8),-1.36787 # DEPENDENCYPART_ARC
(9,10),-1.09122 # DEPENDENCYPART_ARC
(9,11),-2.00852 # DEPENDENCYPART_ARC
(9,12),-1.77522 # DEPENDENCYPART_ARC
(9,14),-2.60993 # DEPENDENCYPART_ARC
(10,3),-3.25479 # DEPENDENCYPART_ARC
(10,6),-2.79633 # DEPENDENCYPART_ARC
(10,7),-2.19052 # DEPENDENCYPART_ARC
(10,8),-2.43802 # DEPENDENCYPART_ARC
(10,9),-1.80451 # DEPENDENCYPART_ARC
(10,11),-1.88759 # DEPENDENCYPART_ARC
(10,12),-1.87635 # DEPENDENCYPART_ARC
(10,14),-2.89418 # DEPENDENCYPART_ARC
(10,15),-2.9464 # DEPENDENCYPART_ARC
(10,16),-3.02486 # DEPENDENCYPART_ARC
(12,1),-2.15153 # DEPENDENCYPART_ARC
(12,2),-1.91022 # DEPENDENCYPART_ARC
(12,3),-1.96617 # DEPENDENCYPART_ARC
(12,4),-1.6845 # DEPENDENCYPART_ARC
(12,5),-1.2661 # DEPENDENCYPART_ARC
(12,6),-0.902672 # DEPENDENCYPART_ARC
(12,7),-1.44391 # DEPENDENCYPART_ARC
(12,8),-1.11052 # DEPENDENCYPART_ARC
(12,9),-1.3566 # DEPENDENCYPART_ARC
(12,10),-1.13444 # DEPENDENCYPART_ARC
(12,11),-0.51364 # DEPENDENCYPART_ARC
(12,13),-0.47521 # DEPENDENCYPART_ARC
(12,14),0.792392 # DEPENDENCYPART_ARC
(12,15),0.202003 # DEPENDENCYPART_ARC
(12,16),-0.19258 # DEPENDENCYPART_ARC
(12,17),-1.98455 # DEPENDENCYPART_ARC
(12,18),-1.66466 # DEPENDENCYPART_ARC
(12,19),-1.41913 # DEPENDENCYPART_ARC
(12,20),-1.97452 # DEPENDENCYPART_ARC
(12,21),-2.17501 # DEPENDENCYPART_ARC
(12,22),-0.540039 # DEPENDENCYPART_ARC
(12,23),-0.278531 # DEPENDENCYPART_ARC
(12,24),-0.239775 # DEPENDENCYPART_ARC
(12,25),-1.5192 # DEPENDENCYPART_ARC
