# _root_ Gitano , which makes budget-priced apparel sold mainly through mass merchandisers like K mart and Wal-Mart , said the Regatta acquisition will enhance its strategy to expand into department stores .
#goldHeads=18,1,4,1,6,4,6,7,7,11,9,11,14,12,14,15,1,0,21,21,22,18,22,25,23,25,26,27,30,28,18,
#predictedHeads=18,1,4,1,6,4,6,9,7,11,9,11,14,12,14,15,1,0,21,21,22,18,22,25,23,25,26,27,30,28,18,
(0,1),-3.6817 # DEPENDENCYPART_ARC
(0,4),-1.86584 # DEPENDENCYPART_ARC
(0,7),-3.47098 # DEPENDENCYPART_ARC
(0,18),1.06534 # DEPENDENCYPART_ARC
(0,22),-3.43449 # DEPENDENCYPART_ARC
(1,2),0.432678 # DEPENDENCYPART_ARC
(1,3),-1.70893 # DEPENDENCYPART_ARC
(1,4),-0.357011 # DEPENDENCYPART_ARC
(1,5),-1.48494 # DEPENDENCYPART_ARC
(1,6),-1.76935 # DEPENDENCYPART_ARC
(1,7),-2.17661 # DEPENDENCYPART_ARC
(1,8),-2.0826 # DEPENDENCYPART_ARC
(1,9),-2.04818 # DEPENDENCYPART_ARC
(1,11),-2.69759 # DEPENDENCYPART_ARC
(1,14),-3.38149 # DEPENDENCYPART_ARC
(1,15),-1.42209 # DEPENDENCYPART_ARC
(1,17),0.144923 # DEPENDENCYPART_ARC
(1,31),-3.37872 # DEPENDENCYPART_ARC
(2,4),-2.13831 # DEPENDENCYPART_ARC
(3,1),-2.25452 # DEPENDENCYPART_ARC
(3,2),-1.6216 # DEPENDENCYPART_ARC
(3,4),-0.897075 # DEPENDENCYPART_ARC
(4,1),-1.47803 # DEPENDENCYPART_ARC
(4,2),-1.06237 # DEPENDENCYPART_ARC
(4,3),2.11932 # DEPENDENCYPART_ARC
(4,5),0.172893 # DEPENDENCYPART_ARC
(4,6),0.215097 # DEPENDENCYPART_ARC
(4,7),-0.680902 # DEPENDENCYPART_ARC
(4,8),-1.10368 # DEPENDENCYPART_ARC
(4,9),-0.557559 # DEPENDENCYPART_ARC
(4,11),-1.15488 # DEPENDENCYPART_ARC
(4,12),-1.24169 # DEPENDENCYPART_ARC
(4,14),-2.5971 # DEPENDENCYPART_ARC
(4,15),-0.784822 # DEPENDENCYPART_ARC
(4,17),-1.38844 # DEPENDENCYPART_ARC
(4,18),-1.9288 # DEPENDENCYPART_ARC
(4,22),-1.31021 # DEPENDENCYPART_ARC
(4,26),-2.38723 # DEPENDENCYPART_ARC
(4,28),-2.20924 # DEPENDENCYPART_ARC
(4,31),-1.47587 # DEPENDENCYPART_ARC
(5,1),-2.15774 # DEPENDENCYPART_ARC
(5,2),-2.01069 # DEPENDENCYPART_ARC
(5,3),-1.44711 # DEPENDENCYPART_ARC
(5,4),-1.29979 # DEPENDENCYPART_ARC
(5,6),-1.11253 # DEPENDENCYPART_ARC
(5,7),-1.41356 # DEPENDENCYPART_ARC
(6,1),-1.80076 # DEPENDENCYPART_ARC
(6,2),-1.76141 # DEPENDENCYPART_ARC
