# _root_ Under the agreement , Intel will invest $ 3 million to acquire a 4 % stake in Alliant , a maker of minisupercomputers for scientists and engineers .
#goldHeads=6,3,1,6,6,0,6,7,8,8,7,11,16,15,16,12,16,17,18,21,18,21,22,23,24,25,26,6,
#predictedHeads=6,3,1,6,6,0,6,7,8,8,7,11,16,15,16,12,16,17,18,21,18,21,22,23,24,25,26,6,
(0,1),-3.88585 # DEPENDENCYPART_ARC
(0,3),-3.86125 # DEPENDENCYPART_ARC
(0,6),-2.21051 # DEPENDENCYPART_ARC
(0,7),-4.29348 # DEPENDENCYPART_ARC
(1,2),-1.24562 # DEPENDENCYPART_ARC
(1,3),1.40485 # DEPENDENCYPART_ARC
(1,4),-1.49348 # DEPENDENCYPART_ARC
(1,5),-2.11387 # DEPENDENCYPART_ARC
(1,6),-0.479583 # DEPENDENCYPART_ARC
(1,7),-1.77981 # DEPENDENCYPART_ARC
(1,8),-2.53704 # DEPENDENCYPART_ARC
(1,11),-2.29274 # DEPENDENCYPART_ARC
(1,28),-3.08484 # DEPENDENCYPART_ARC
(3,1),-1.30609 # DEPENDENCYPART_ARC
(3,2),1.7948 # DEPENDENCYPART_ARC
(3,4),-0.560306 # DEPENDENCYPART_ARC
(3,5),-1.45777 # DEPENDENCYPART_ARC
(3,6),-0.988087 # DEPENDENCYPART_ARC
(3,7),-1.72891 # DEPENDENCYPART_ARC
(3,8),-1.63477 # DEPENDENCYPART_ARC
(3,11),-1.46051 # DEPENDENCYPART_ARC
(3,16),-2.43986 # DEPENDENCYPART_ARC
(3,17),-2.02378 # DEPENDENCYPART_ARC
(3,18),-2.50239 # DEPENDENCYPART_ARC
(3,19),-0.778078 # DEPENDENCYPART_ARC
(3,21),-3.38082 # DEPENDENCYPART_ARC
(3,24),-2.59323 # DEPENDENCYPART_ARC
(3,28),-2.4916 # DEPENDENCYPART_ARC
(5,1),-2.4719 # DEPENDENCYPART_ARC
(5,2),-1.76515 # DEPENDENCYPART_ARC
(5,3),-1.92461 # DEPENDENCYPART_ARC
(5,4),-1.19935 # DEPENDENCYPART_ARC
(5,7),-1.79538 # DEPENDENCYPART_ARC
(5,8),-2.14439 # DEPENDENCYPART_ARC
(6,1),-0.66925 # DEPENDENCYPART_ARC
(6,2),-1.7314 # DEPENDENCYPART_ARC
(6,3),-0.537242 # DEPENDENCYPART_ARC
(6,4),0.412407 # DEPENDENCYPART_ARC
(6,5),0.580925 # DEPENDENCYPART_ARC
(6,7),2.2442 # DEPENDENCYPART_ARC
(6,8),-0.851832 # DEPENDENCYPART_ARC
(6,10),-1.92788 # DEPENDENCYPART_ARC
(6,11),-1.39653 # DEPENDENCYPART_ARC
(6,12),-1.4025 # DEPENDENCYPART_ARC
(6,16),-2.24918 # DEPENDENCYPART_ARC
(6,17),-1.36607 # DEPENDENCYPART_ARC
(6,19),-1.38936 # DEPENDENCYPART_ARC
(6,24),-1.17852 # DEPENDENCYPART_ARC
(6,26),-1.39658 # DEPENDENCYPART_ARC
