# _root_ But then it shot upward 7 1\/2 as Goldman , Sachs & Co. stepped in and bought , traders said .
#goldHeads=4,4,4,20,4,7,5,4,14,9,9,11,12,8,14,14,16,20,20,0,20,
#predictedHeads=4,4,4,20,4,7,5,4,8,9,9,11,12,20,14,14,16,20,20,0,20,
(0,2),-3.73515 # DEPENDENCYPART_ARC
(0,4),-1.63927 # DEPENDENCYPART_ARC
(0,14),-2.571 # DEPENDENCYPART_ARC
(0,20),-1.31381 # DEPENDENCYPART_ARC
(1,2),-1.8103 # DEPENDENCYPART_ARC
(1,3),-2.45012 # DEPENDENCYPART_ARC
(1,4),-1.28172 # DEPENDENCYPART_ARC
(2,1),-1.53782 # DEPENDENCYPART_ARC
(2,3),-0.981633 # DEPENDENCYPART_ARC
(2,4),-0.879304 # DEPENDENCYPART_ARC
(2,5),-1.91916 # DEPENDENCYPART_ARC
(2,6),-2.07279 # DEPENDENCYPART_ARC
(2,7),-2.27186 # DEPENDENCYPART_ARC
(2,8),-1.97415 # DEPENDENCYPART_ARC
(2,9),-3.10852 # DEPENDENCYPART_ARC
(2,10),-2.03831 # DEPENDENCYPART_ARC
(2,12),-1.95896 # DEPENDENCYPART_ARC
(3,1),-2.54057 # DEPENDENCYPART_ARC
(3,2),-1.95805 # DEPENDENCYPART_ARC
(3,4),-0.838778 # DEPENDENCYPART_ARC
(3,5),-2.06669 # DEPENDENCYPART_ARC
(4,1),-1.25018 # DEPENDENCYPART_ARC
(4,2),-0.732605 # DEPENDENCYPART_ARC
(4,3),1.51503 # DEPENDENCYPART_ARC
(4,5),0.575681 # DEPENDENCYPART_ARC
(4,6),-0.923998 # DEPENDENCYPART_ARC
(4,7),-1.55777 # DEPENDENCYPART_ARC
(4,8),0.144497 # DEPENDENCYPART_ARC
(4,9),-1.1247 # DEPENDENCYPART_ARC
(4,10),-0.893102 # DEPENDENCYPART_ARC
(4,11),-1.84175 # DEPENDENCYPART_ARC
(4,12),-1.24804 # DEPENDENCYPART_ARC
(4,14),-1.42856 # DEPENDENCYPART_ARC
(4,15),-1.4933 # DEPENDENCYPART_ARC
(4,16),-1.12912 # DEPENDENCYPART_ARC
(4,17),-2.19921 # DEPENDENCYPART_ARC
(4,18),-1.49675 # DEPENDENCYPART_ARC
(4,19),-2.35345 # DEPENDENCYPART_ARC
(4,21),-0.313646 # DEPENDENCYPART_ARC
(5,1),-2.16272 # DEPENDENCYPART_ARC
(5,2),-1.97682 # DEPENDENCYPART_ARC
(5,3),-2.13518 # DEPENDENCYPART_ARC
(5,4),-1.27752 # DEPENDENCYPART_ARC
(5,6),0.290624 # DEPENDENCYPART_ARC
(5,7),-0.39662 # DEPENDENCYPART_ARC
(5,8),-1.0019 # DEPENDENCYPART_ARC
(5,9),-2.03307 # DEPENDENCYPART_ARC
(5,10),-1.49595 # DEPENDENCYPART_ARC
(5,11),-2.61011 # DEPENDENCYPART_ARC
(5,12),-1.27321 # DEPENDENCYPART_ARC
(5,14),-1.80318 # DEPENDENCYPART_ARC
(5,15),-2.34114 # DEPENDENCYPART_ARC
(5,16),-1.51407 # DEPENDENCYPART_ARC
(6,1),-2.88362 # DEPENDENCYPART_ARC
(6,2),-2.48365 # DEPENDENCYPART_ARC
(6,3),-2.78223 # DEPENDENCYPART_ARC
(6,4),-1.96457 # DEPENDENCYPART_ARC
(6,5),-1.09957 # DEPENDENCYPART_ARC
(6,7),-1.44214 # DEPENDENCYPART_ARC
(6,8),-1.56327 # DEPENDENCYPART_ARC
(6,9),-2.24333 # DEPENDENCYPART_ARC
(6,10),-1.69792 # DEPENDENCYPART_ARC
(6,11),-2.58492 # DEPENDENCYPART_ARC
(6,12),-1.89591 # DEPENDENCYPART_ARC
(7,1),-2.14059 # DEPENDENCYPART_ARC
(7,2),-1.79562 # DEPENDENCYPART_ARC
(7,3),-2.27252 # DEPENDENCYPART_ARC
(7,4),-1.40422 # DEPENDENCYPART_ARC
(7,5),-0.881544 # DEPENDENCYPART_ARC
(7,6),0.686207 # DEPENDENCYPART_ARC
(7,8),-0.795837 # DEPENDENCYPART_ARC
(7,9),-1.72741 # DEPENDENCYPART_ARC
(7,10),-1.11329 # DEPENDENCYPART_ARC
(7,11),-2.16893 # DEPENDENCYPART_ARC
(7,12),-1.7064 # DEPENDENCYPART_ARC
(7,14),-1.69585 # DEPENDENCYPART_ARC
(7,18),-1.52398 # DEPENDENCYPART_ARC
(8,1),-1.76281 # DEPENDENCYPART_ARC
(8,5),-1.74989 # DEPENDENCYPART_ARC
(8,6),-2.21685 # DEPENDENCYPART_ARC
(8,7),-1.63899 # DEPENDENCYPART_ARC
(8,9),0.52016 # DEPENDENCYPART_ARC
(8,10),-1.47359 # DEPENDENCYPART_ARC
(8,11),-2.27662 # DEPENDENCYPART_ARC
(8,12),-2.00037 # DEPENDENCYPART_ARC
(8,14),0.0142816 # DEPENDENCYPART_ARC
