# _root_ The new offer , which seeks 50.3 % of the cellular and broadcasting concern , is for $ 125 a share for 22 million LIN shares .
#goldHeads=3,3,16,3,6,3,8,6,8,14,14,11,12,9,3,0,16,17,18,21,18,18,24,26,26,22,16,
#predictedHeads=3,3,16,3,6,3,8,6,8,14,14,11,14,9,3,0,16,17,18,21,18,18,24,26,26,22,16,
(0,3),-3.87812 # DEPENDENCYPART_ARC
(0,6),-1.5061 # DEPENDENCYPART_ARC
(0,8),-4.43733 # DEPENDENCYPART_ARC
(0,16),-1.40782 # DEPENDENCYPART_ARC
(1,4),-2.16415 # DEPENDENCYPART_ARC
(1,6),-2.04616 # DEPENDENCYPART_ARC
(2,1),-1.1122 # DEPENDENCYPART_ARC
(2,4),-1.86404 # DEPENDENCYPART_ARC
(2,6),-1.638 # DEPENDENCYPART_ARC
(2,8),-2.63634 # DEPENDENCYPART_ARC
(3,1),1.27031 # DEPENDENCYPART_ARC
(3,2),1.92302 # DEPENDENCYPART_ARC
(3,4),0.0984904 # DEPENDENCYPART_ARC
(3,5),-1.75227 # DEPENDENCYPART_ARC
(3,6),-0.361693 # DEPENDENCYPART_ARC
(3,7),-1.76848 # DEPENDENCYPART_ARC
(3,8),-2.06262 # DEPENDENCYPART_ARC
(3,9),-1.48004 # DEPENDENCYPART_ARC
(3,10),-2.60609 # DEPENDENCYPART_ARC
(3,11),-2.30785 # DEPENDENCYPART_ARC
(3,12),-1.31915 # DEPENDENCYPART_ARC
(3,13),-2.43044 # DEPENDENCYPART_ARC
(3,14),-2.48919 # DEPENDENCYPART_ARC
(3,15),-0.236816 # DEPENDENCYPART_ARC
(3,16),-2.36996 # DEPENDENCYPART_ARC
(3,17),-2.14555 # DEPENDENCYPART_ARC
(3,21),-3.82269 # DEPENDENCYPART_ARC
(3,22),-2.3138 # DEPENDENCYPART_ARC
(3,27),-2.7731 # DEPENDENCYPART_ARC
(5,3),-2.39419 # DEPENDENCYPART_ARC
(5,4),-1.6622 # DEPENDENCYPART_ARC
(5,6),-0.837822 # DEPENDENCYPART_ARC
(5,8),-2.22742 # DEPENDENCYPART_ARC
(6,3),-1.43774 # DEPENDENCYPART_ARC
(6,4),-1.04075 # DEPENDENCYPART_ARC
(6,5),2.02944 # DEPENDENCYPART_ARC
(6,7),-0.472719 # DEPENDENCYPART_ARC
(6,8),0.0742848 # DEPENDENCYPART_ARC
(6,9),-0.48119 # DEPENDENCYPART_ARC
(6,10),-2.40791 # DEPENDENCYPART_ARC
(6,11),-1.58447 # DEPENDENCYPART_ARC
(6,12),-0.789861 # DEPENDENCYPART_ARC
(6,13),-1.81115 # DEPENDENCYPART_ARC
(6,14),-1.48075 # DEPENDENCYPART_ARC
(6,15),-0.980481 # DEPENDENCYPART_ARC
(6,16),-1.09175 # DEPENDENCYPART_ARC
(6,17),-1.10174 # DEPENDENCYPART_ARC
(6,18),-2.6206 # DEPENDENCYPART_ARC
(6,22),-1.41918 # DEPENDENCYPART_ARC
(6,26),-2.06377 # DEPENDENCYPART_ARC
(6,27),-0.328964 # DEPENDENCYPART_ARC
(7,3),-2.70555 # DEPENDENCYPART_ARC
(7,4),-2.22985 # DEPENDENCYPART_ARC
(7,5),-1.48121 # DEPENDENCYPART_ARC
(7,6),-1.12311 # DEPENDENCYPART_ARC
(7,8),-1.19899 # DEPENDENCYPART_ARC
(7,9),-1.40224 # DEPENDENCYPART_ARC
(7,12),-1.84299 # DEPENDENCYPART_ARC
(7,15),-1.62759 # DEPENDENCYPART_ARC
(7,16),-2.08247 # DEPENDENCYPART_ARC
(8,1),-1.88045 # DEPENDENCYPART_ARC
(8,2),-1.32128 # DEPENDENCYPART_ARC
(8,3),-1.90555 # DEPENDENCYPART_ARC
(8,4),-2.06468 # DEPENDENCYPART_ARC
(8,5),-1.31769 # DEPENDENCYPART_ARC
(8,6),-1.38457 # DEPENDENCYPART_ARC
(8,7),1.24041 # DEPENDENCYPART_ARC
(8,9),0.784361 # DEPENDENCYPART_ARC
(8,10),-1.91145 # DEPENDENCYPART_ARC
(8,11),-1.4956 # DEPENDENCYPART_ARC
(8,12),-0.62817 # DEPENDENCYPART_ARC
(8,13),-1.34146 # DEPENDENCYPART_ARC
(8,14),-1.54998 # DEPENDENCYPART_ARC
(8,15),-0.970786 # DEPENDENCYPART_ARC
(8,16),-1.62756 # DEPENDENCYPART_ARC
(8,17),-1.87603 # DEPENDENCYPART_ARC
(8,18),-2.33501 # DEPENDENCYPART_ARC
(8,21),-2.7208 # DEPENDENCYPART_ARC
(8,22),-2.55861 # DEPENDENCYPART_ARC
(8,26),-2.99301 # DEPENDENCYPART_ARC
(8,27),-2.59322 # DEPENDENCYPART_ARC
(9,5),-2.19067 # DEPENDENCYPART_ARC
(9,8),-1.56445 # DEPENDENCYPART_ARC
(9,10),-1.21383 # DEPENDENCYPART_ARC
(9,11),-0.707017 # DEPENDENCYPART_ARC
(9,12),-1.1959 # DEPENDENCYPART_ARC
(9,13),-0.872556 # DEPENDENCYPART_ARC
(9,14),0.595859 # DEPENDENCYPART_ARC
(9,15),-1.47122 # DEPENDENCYPART_ARC
(9,16),-1.771 # DEPENDENCYPART_ARC
(9,18),-2.4066 # DEPENDENCYPART_ARC
(10,11),-1.79738 # DEPENDENCYPART_ARC
(10,12),-1.4934 # DEPENDENCYPART_ARC
(11,3),-2.37385 # DEPENDENCYPART_ARC
(11,5),-2.31286 # DEPENDENCYPART_ARC
(11,7),-2.09883 # DEPENDENCYPART_ARC
(11,8),-1.42133 # DEPENDENCYPART_ARC
(11,9),-1.38689 # DEPENDENCYPART_ARC
(11,10),0.307592 # DEPENDENCYPART_ARC
(11,12),1.30466 # DEPENDENCYPART_ARC
(11,13),-0.925625 # DEPENDENCYPART_ARC
(11,14),-1.33214 # DEPENDENCYPART_ARC
(11,15),-1.03929 # DEPENDENCYPART_ARC
(11,16),-0.985844 # DEPENDENCYPART_ARC
(11,17),-1.46013 # DEPENDENCYPART_ARC
(11,18),-2.43924 # DEPENDENCYPART_ARC
(11,23),-2.65781 # DEPENDENCYPART_ARC
(11,24),-2.70819 # DEPENDENCYPART_ARC
(12,10),-2.37014 # DEPENDENCYPART_ARC
(12,13),0.949447 # DEPENDENCYPART_ARC
