# _root_ `` Markets in this region are n't so geared to leveraged buy-outs , and their economies generally are in good shape , but there 's no doubt that Asia is still following America 's lead . ''
#goldHeads=6,6,2,5,3,0,6,9,6,9,12,10,6,6,16,18,18,14,18,21,19,18,18,25,23,27,25,27,30,28,30,30,35,33,32,6,6,
#predictedHeads=6,6,2,5,3,0,6,9,6,9,12,10,6,6,16,18,18,14,18,21,19,18,18,25,23,27,25,27,30,28,30,30,35,33,32,6,6,
(0,2),-3.71034 # DEPENDENCYPART_ARC
(0,6),-2.3433 # DEPENDENCYPART_ARC
(0,9),-4.24443 # DEPENDENCYPART_ARC
(0,18),-2.7166 # DEPENDENCYPART_ARC
(0,25),-3.72397 # DEPENDENCYPART_ARC
(0,30),-4.1113 # DEPENDENCYPART_ARC
(1,2),-2.41015 # DEPENDENCYPART_ARC
(2,1),-0.697556 # DEPENDENCYPART_ARC
(2,3),0.26549 # DEPENDENCYPART_ARC
(2,4),-1.71678 # DEPENDENCYPART_ARC
(2,5),-1.03898 # DEPENDENCYPART_ARC
(2,6),-1.10874 # DEPENDENCYPART_ARC
(2,7),-1.45962 # DEPENDENCYPART_ARC
(2,8),-1.38007 # DEPENDENCYPART_ARC
(2,9),-1.6488 # DEPENDENCYPART_ARC
(2,10),-1.28545 # DEPENDENCYPART_ARC
(2,11),-1.85163 # DEPENDENCYPART_ARC
(2,12),-1.44497 # DEPENDENCYPART_ARC
(2,13),-0.945705 # DEPENDENCYPART_ARC
(2,14),-1.45836 # DEPENDENCYPART_ARC
(2,18),-2.99354 # DEPENDENCYPART_ARC
(2,22),-1.27257 # DEPENDENCYPART_ARC
(2,36),-3.77417 # DEPENDENCYPART_ARC
(3,1),-2.06772 # DEPENDENCYPART_ARC
(3,2),-1.4816 # DEPENDENCYPART_ARC
(3,4),-0.541524 # DEPENDENCYPART_ARC
(3,5),1.0325 # DEPENDENCYPART_ARC
(3,6),-0.44379 # DEPENDENCYPART_ARC
(3,7),-1.97382 # DEPENDENCYPART_ARC
(3,9),-1.96503 # DEPENDENCYPART_ARC
(3,12),-0.814879 # DEPENDENCYPART_ARC
(3,13),-1.71686 # DEPENDENCYPART_ARC
(3,14),-1.8159 # DEPENDENCYPART_ARC
(3,36),-1.42099 # DEPENDENCYPART_ARC
(4,6),-1.1717 # DEPENDENCYPART_ARC
(5,1),-1.80791 # DEPENDENCYPART_ARC
(5,2),-1.40079 # DEPENDENCYPART_ARC
(5,3),-1.11997 # DEPENDENCYPART_ARC
(5,4),1.43129 # DEPENDENCYPART_ARC
(5,6),-1.00894 # DEPENDENCYPART_ARC
(6,1),-0.832958 # DEPENDENCYPART_ARC
(6,2),0.467249 # DEPENDENCYPART_ARC
(6,3),-0.874873 # DEPENDENCYPART_ARC
(6,4),-0.877224 # DEPENDENCYPART_ARC
(6,5),-0.664034 # DEPENDENCYPART_ARC
(6,7),1.1558 # DEPENDENCYPART_ARC
(6,8),0.102039 # DEPENDENCYPART_ARC
(6,9),0.179774 # DEPENDENCYPART_ARC
(6,10),-0.714661 # DEPENDENCYPART_ARC
(6,11),-0.522605 # DEPENDENCYPART_ARC
(6,12),-0.906442 # DEPENDENCYPART_ARC
(6,13),-0.290034 # DEPENDENCYPART_ARC
(6,14),-0.649328 # DEPENDENCYPART_ARC
(6,15),-1.88276 # DEPENDENCYPART_ARC
(6,16),-1.46529 # DEPENDENCYPART_ARC
(6,17),-1.586 # DEPENDENCYPART_ARC
(6,18),-0.960095 # DEPENDENCYPART_ARC
(6,19),-1.30856 # DEPENDENCYPART_ARC
(6,20),-1.92087 # DEPENDENCYPART_ARC
(6,21),-2.38487 # DEPENDENCYPART_ARC
(6,22),-0.742771 # DEPENDENCYPART_ARC
(6,23),-1.62518 # DEPENDENCYPART_ARC
(6,24),-2.2122 # DEPENDENCYPART_ARC
(6,25),-2.16124 # DEPENDENCYPART_ARC
(6,30),-2.65107 # DEPENDENCYPART_ARC
(6,31),-2.55598 # DEPENDENCYPART_ARC
(6,32),-2.28467 # DEPENDENCYPART_ARC
(6,36),0.308844 # DEPENDENCYPART_ARC
(6,37),-0.4931 # DEPENDENCYPART_ARC
(7,3),-1.81531 # DEPENDENCYPART_ARC
(7,5),-1.88815 # DEPENDENCYPART_ARC
(7,8),-0.642344 # DEPENDENCYPART_ARC
(7,9),-1.41974 # DEPENDENCYPART_ARC
(7,10),-1.17312 # DEPENDENCYPART_ARC
(7,12),-2.1684 # DEPENDENCYPART_ARC
(8,6),-2.40211 # DEPENDENCYPART_ARC
(8,7),-1.44189 # DEPENDENCYPART_ARC
(8,9),-0.997354 # DEPENDENCYPART_ARC
(8,10),-0.960064 # DEPENDENCYPART_ARC
(8,11),-2.06742 # DEPENDENCYPART_ARC
(8,12),-2.29824 # DEPENDENCYPART_ARC
(9,1),-1.82846 # DEPENDENCYPART_ARC
(9,2),-1.505 # DEPENDENCYPART_ARC
(9,3),-1.5617 # DEPENDENCYPART_ARC
(9,4),-2.07084 # DEPENDENCYPART_ARC
(9,5),-1.44752 # DEPENDENCYPART_ARC
(9,6),-0.946579 # DEPENDENCYPART_ARC
(9,7),-0.701254 # DEPENDENCYPART_ARC
(9,8),0.466525 # DEPENDENCYPART_ARC
(9,10),0.93874 # DEPENDENCYPART_ARC
(9,11),-0.164632 # DEPENDENCYPART_ARC
(9,12),-1.06758 # DEPENDENCYPART_ARC
(9,13),-1.39947 # DEPENDENCYPART_ARC
(9,14),-1.44567 # DEPENDENCYPART_ARC
(9,16),-1.79664 # DEPENDENCYPART_ARC
(9,17),-1.52175 # DEPENDENCYPART_ARC
(9,18),-1.77835 # DEPENDENCYPART_ARC
(9,19),-1.40685 # DEPENDENCYPART_ARC
(9,21),-2.25594 # DEPENDENCYPART_ARC
(9,22),-1.66624 # DEPENDENCYPART_ARC
(9,23),-1.93232 # DEPENDENCYPART_ARC
(9,32),-2.34274 # DEPENDENCYPART_ARC
(9,36),-2.79376 # DEPENDENCYPART_ARC
(10,3),-1.68847 # DEPENDENCYPART_ARC
(10,7),-1.62271 # DEPENDENCYPART_ARC
(10,8),-1.453 # DEPENDENCYPART_ARC
(10,11),-0.21465 # DEPENDENCYPART_ARC
(10,12),0.698631 # DEPENDENCYPART_ARC
(10,13),-1.33943 # DEPENDENCYPART_ARC
(10,14),-1.53864 # DEPENDENCYPART_ARC
(10,16),-1.0211 # DEPENDENCYPART_ARC
(10,23),-2.0964 # DEPENDENCYPART_ARC
(11,1),-2.24453 # DEPENDENCYPART_ARC
(11,2),-2.05648 # DEPENDENCYPART_ARC
(11,3),-2.05473 # DEPENDENCYPART_ARC
(11,5),-1.93096 # DEPENDENCYPART_ARC
(11,8),-0.96732 # DEPENDENCYPART_ARC
(11,10),-0.946995 # DEPENDENCYPART_ARC
(11,12),-0.222122 # DEPENDENCYPART_ARC
(11,13),-1.57511 # DEPENDENCYPART_ARC
