# _root_ At Jefferies & Co. , J. Francis Palamara did n't reach the office until 5:30 a.m. , but then he had been up most of the night at home .
#goldHeads=9,1,2,3,9,8,8,9,0,9,9,13,11,11,16,14,9,9,18,21,19,21,22,22,24,27,25,22,28,9,
#predictedHeads=9,1,2,3,9,8,8,9,0,9,9,13,11,11,16,14,9,9,21,21,18,21,22,22,24,27,25,27,28,9,
(0,1),-3.80465 # DEPENDENCYPART_ARC
(0,2),-3.67455 # DEPENDENCYPART_ARC
(0,9),-1.61875 # DEPENDENCYPART_ARC
(0,11),-4.46454 # DEPENDENCYPART_ARC
(0,21),-2.76199 # DEPENDENCYPART_ARC
(1,2),0.627669 # DEPENDENCYPART_ARC
(1,3),-0.890791 # DEPENDENCYPART_ARC
(1,4),-1.1646 # DEPENDENCYPART_ARC
(1,5),-1.37193 # DEPENDENCYPART_ARC
(1,6),-2.67217 # DEPENDENCYPART_ARC
(1,7),-2.68412 # DEPENDENCYPART_ARC
(1,8),-2.19271 # DEPENDENCYPART_ARC
(1,9),-0.282804 # DEPENDENCYPART_ARC
(1,11),-2.08768 # DEPENDENCYPART_ARC
(1,17),-0.893188 # DEPENDENCYPART_ARC
(1,18),-1.72055 # DEPENDENCYPART_ARC
(1,30),-3.01101 # DEPENDENCYPART_ARC
(2,1),-1.26149 # DEPENDENCYPART_ARC
(2,3),1.60615 # DEPENDENCYPART_ARC
(2,4),-0.14159 # DEPENDENCYPART_ARC
(2,5),-0.578335 # DEPENDENCYPART_ARC
(2,6),-1.67949 # DEPENDENCYPART_ARC
(2,7),-2.51742 # DEPENDENCYPART_ARC
(2,8),-2.93548 # DEPENDENCYPART_ARC
(2,9),-1.76537 # DEPENDENCYPART_ARC
(2,10),-2.22944 # DEPENDENCYPART_ARC
(2,11),-2.8013 # DEPENDENCYPART_ARC
(2,13),-3.31991 # DEPENDENCYPART_ARC
(2,16),-3.64052 # DEPENDENCYPART_ARC
(2,17),-1.77317 # DEPENDENCYPART_ARC
(3,1),-1.7186 # DEPENDENCYPART_ARC
(3,2),-1.17147 # DEPENDENCYPART_ARC
(3,4),2.03148 # DEPENDENCYPART_ARC
(3,5),0.0739817 # DEPENDENCYPART_ARC
(3,6),-1.15408 # DEPENDENCYPART_ARC
(3,7),-1.2321 # DEPENDENCYPART_ARC
(3,8),-1.08596 # DEPENDENCYPART_ARC
(3,9),-0.799312 # DEPENDENCYPART_ARC
(3,10),-1.71773 # DEPENDENCYPART_ARC
(3,11),-1.51559 # DEPENDENCYPART_ARC
(3,13),-1.60852 # DEPENDENCYPART_ARC
(3,14),-1.77417 # DEPENDENCYPART_ARC
(3,16),-1.78149 # DEPENDENCYPART_ARC
(3,17),-0.718383 # DEPENDENCYPART_ARC
(3,18),-1.125 # DEPENDENCYPART_ARC
(3,21),-2.17702 # DEPENDENCYPART_ARC
(4,2),-3.48223 # DEPENDENCYPART_ARC
(4,5),-0.593231 # DEPENDENCYPART_ARC
(4,6),-1.85185 # DEPENDENCYPART_ARC
(4,7),-2.77806 # DEPENDENCYPART_ARC
(4,8),-2.81321 # DEPENDENCYPART_ARC
(4,9),-2.14883 # DEPENDENCYPART_ARC
(6,2),-4.04986 # DEPENDENCYPART_ARC
(6,4),-2.56304 # DEPENDENCYPART_ARC
(6,5),-2.0139 # DEPENDENCYPART_ARC
(6,7),-1.60228 # DEPENDENCYPART_ARC
(6,8),-1.99149 # DEPENDENCYPART_ARC
(7,2),-3.18005 # DEPENDENCYPART_ARC
(7,4),-2.31684 # DEPENDENCYPART_ARC
(7,5),-1.98012 # DEPENDENCYPART_ARC
(7,6),0.130611 # DEPENDENCYPART_ARC
(7,8),-0.109364 # DEPENDENCYPART_ARC
(7,9),-1.72004 # DEPENDENCYPART_ARC
(7,10),-2.16941 # DEPENDENCYPART_ARC
(7,11),-2.79569 # DEPENDENCYPART_ARC
(7,13),-2.61753 # DEPENDENCYPART_ARC
(7,16),-3.00986 # DEPENDENCYPART_ARC
(8,1),-2.93289 # DEPENDENCYPART_ARC
(8,2),-2.74267 # DEPENDENCYPART_ARC
(8,3),-2.08482 # DEPENDENCYPART_ARC
(8,4),-1.37097 # DEPENDENCYPART_ARC
(8,5),-1.09899 # DEPENDENCYPART_ARC
(8,6),1.12758 # DEPENDENCYPART_ARC
(8,7),1.11125 # DEPENDENCYPART_ARC
(8,9),-1.26135 # DEPENDENCYPART_ARC
(8,10),-2.00356 # DEPENDENCYPART_ARC
(8,11),-2.67225 # DEPENDENCYPART_ARC
(8,13),-2.48213 # DEPENDENCYPART_ARC
(9,1),-1.16767 # DEPENDENCYPART_ARC
(9,2),-1.31051 # DEPENDENCYPART_ARC
(9,3),-1.56571 # DEPENDENCYPART_ARC
(9,4),-2.20534 # DEPENDENCYPART_ARC
(9,5),-0.278991 # DEPENDENCYPART_ARC
(9,6),-1.12912 # DEPENDENCYPART_ARC
(9,7),-0.984314 # DEPENDENCYPART_ARC
(9,8),0.191567 # DEPENDENCYPART_ARC
(9,10),1.34333 # DEPENDENCYPART_ARC
(9,11),0.824956 # DEPENDENCYPART_ARC
(9,12),-1.84667 # DEPENDENCYPART_ARC
(9,13),-0.438416 # DEPENDENCYPART_ARC
(9,14),-0.285542 # DEPENDENCYPART_ARC
(9,15),-2.4858 # DEPENDENCYPART_ARC
(9,16),-1.05178 # DEPENDENCYPART_ARC
