# _root_ New management at Kentucky Fried Chicken , a unit of PepsiCo Inc. , has fought back with new medium and large chicken sandwiches for the lunch crowd .
#goldHeads=2,14,2,6,6,3,6,9,6,9,10,11,6,0,14,15,15,23,23,19,20,23,17,23,27,27,24,14,
#predictedHeads=2,14,2,6,6,3,6,9,6,9,10,11,6,0,14,15,15,19,17,19,23,23,20,15,27,27,24,14,
(0,1),-3.21912 # DEPENDENCYPART_ARC
(0,2),-3.77432 # DEPENDENCYPART_ARC
(0,3),-4.24957 # DEPENDENCYPART_ARC
(0,6),-4.35781 # DEPENDENCYPART_ARC
(0,14),-0.665016 # DEPENDENCYPART_ARC
(0,15),-3.02846 # DEPENDENCYPART_ARC
(1,2),-1.03634 # DEPENDENCYPART_ARC
(1,3),-1.48587 # DEPENDENCYPART_ARC
(1,6),-2.5862 # DEPENDENCYPART_ARC
(1,7),-1.6462 # DEPENDENCYPART_ARC
(2,1),1.38496 # DEPENDENCYPART_ARC
(2,3),-0.00267788 # DEPENDENCYPART_ARC
(2,4),-1.83594 # DEPENDENCYPART_ARC
(2,5),-1.67827 # DEPENDENCYPART_ARC
(2,6),-1.45328 # DEPENDENCYPART_ARC
(2,7),-1.77546 # DEPENDENCYPART_ARC
(2,9),-2.50316 # DEPENDENCYPART_ARC
(2,10),-2.57467 # DEPENDENCYPART_ARC
(2,11),-2.92678 # DEPENDENCYPART_ARC
(2,12),-2.48429 # DEPENDENCYPART_ARC
(2,13),-1.74829 # DEPENDENCYPART_ARC
(2,14),-2.52466 # DEPENDENCYPART_ARC
(2,15),-2.94901 # DEPENDENCYPART_ARC
(2,17),-2.56226 # DEPENDENCYPART_ARC
(2,20),-2.35883 # DEPENDENCYPART_ARC
(2,24),-2.9109 # DEPENDENCYPART_ARC
(2,28),-3.21907 # DEPENDENCYPART_ARC
(3,1),-2.17915 # DEPENDENCYPART_ARC
(3,2),-1.62565 # DEPENDENCYPART_ARC
(3,4),-0.218837 # DEPENDENCYPART_ARC
(3,5),-0.520621 # DEPENDENCYPART_ARC
(3,6),-0.302114 # DEPENDENCYPART_ARC
(3,7),-1.48851 # DEPENDENCYPART_ARC
(3,9),-1.25165 # DEPENDENCYPART_ARC
(3,11),-2.99899 # DEPENDENCYPART_ARC
(3,12),-2.25706 # DEPENDENCYPART_ARC
(3,14),-2.70777 # DEPENDENCYPART_ARC
(4,5),-1.71443 # DEPENDENCYPART_ARC
(4,6),-1.95133 # DEPENDENCYPART_ARC
(4,7),-1.30348 # DEPENDENCYPART_ARC
(4,9),-2.96718 # DEPENDENCYPART_ARC
(4,13),-1.95619 # DEPENDENCYPART_ARC
(5,1),-2.32535 # DEPENDENCYPART_ARC
(5,2),-2.44259 # DEPENDENCYPART_ARC
(5,3),-2.44882 # DEPENDENCYPART_ARC
(5,4),-0.0792206 # DEPENDENCYPART_ARC
(5,6),-0.495304 # DEPENDENCYPART_ARC
(5,7),-0.937272 # DEPENDENCYPART_ARC
(5,9),-2.01419 # DEPENDENCYPART_ARC
(5,10),-2.29359 # DEPENDENCYPART_ARC
(5,12),-3.09556 # DEPENDENCYPART_ARC
(5,13),-1.46034 # DEPENDENCYPART_ARC
(5,14),-2.98503 # DEPENDENCYPART_ARC
(6,1),-1.07502 # DEPENDENCYPART_ARC
(6,2),-1.52928 # DEPENDENCYPART_ARC
(6,3),-1.61818 # DEPENDENCYPART_ARC
(6,4),0.876553 # DEPENDENCYPART_ARC
(6,5),1.14953 # DEPENDENCYPART_ARC
(6,7),0.163013 # DEPENDENCYPART_ARC
(6,8),-1.78689 # DEPENDENCYPART_ARC
(6,9),-1.11871 # DEPENDENCYPART_ARC
(6,10),-1.52757 # DEPENDENCYPART_ARC
(6,11),-2.94439 # DEPENDENCYPART_ARC
(6,12),-2.00859 # DEPENDENCYPART_ARC
(6,13),-0.176389 # DEPENDENCYPART_ARC
(6,14),-2.21855 # DEPENDENCYPART_ARC
(6,15),-2.60924 # DEPENDENCYPART_ARC
(6,16),-2.511 # DEPENDENCYPART_ARC
(6,17),-2.73912 # DEPENDENCYPART_ARC
(6,19),-3.48571 # DEPENDENCYPART_ARC
(6,20),-2.33658 # DEPENDENCYPART_ARC
(6,23),-3.34102 # DEPENDENCYPART_ARC
(6,28),-2.8472 # DEPENDENCYPART_ARC
(7,9),-2.38587 # DEPENDENCYPART_ARC
(8,7),-1.80645 # DEPENDENCYPART_ARC
(8,10),-1.41237 # DEPENDENCYPART_ARC
(9,1),-2.38035 # DEPENDENCYPART_ARC
(9,3),-2.03749 # DEPENDENCYPART_ARC
(9,4),-2.06732 # DEPENDENCYPART_ARC
(9,5),-1.76577 # DEPENDENCYPART_ARC
(9,6),-1.89912 # DEPENDENCYPART_ARC
(9,7),-1.33307 # DEPENDENCYPART_ARC
(9,8),1.72886 # DEPENDENCYPART_ARC
(9,10),1.02159 # DEPENDENCYPART_ARC
(9,11),-1.26165 # DEPENDENCYPART_ARC
(9,12),-0.871567 # DEPENDENCYPART_ARC
(9,13),-0.805275 # DEPENDENCYPART_ARC
(9,14),-0.88488 # DEPENDENCYPART_ARC
(9,15),-1.57577 # DEPENDENCYPART_ARC
(9,16),-1.59113 # DEPENDENCYPART_ARC
(9,17),-1.25608 # DEPENDENCYPART_ARC
(9,19),-1.95726 # DEPENDENCYPART_ARC
(9,20),-1.29712 # DEPENDENCYPART_ARC
(9,24),-1.37513 # DEPENDENCYPART_ARC
(9,27),-2.85818 # DEPENDENCYPART_ARC
(9,28),-2.48241 # DEPENDENCYPART_ARC
(10,11),0.0412638 # DEPENDENCYPART_ARC
(10,12),0.147917 # DEPENDENCYPART_ARC
(10,13),-1.2171 # DEPENDENCYPART_ARC
(10,14),-1.19733 # DEPENDENCYPART_ARC
(10,15),-1.88917 # DEPENDENCYPART_ARC
(10,16),-2.02102 # DEPENDENCYPART_ARC
(10,19),-1.43357 # DEPENDENCYPART_ARC
(11,6),-3.20437 # DEPENDENCYPART_ARC
(11,9),-1.89184 # DEPENDENCYPART_ARC
(11,10),-1.21408 # DEPENDENCYPART_ARC
(11,12),0.962813 # DEPENDENCYPART_ARC
(11,13),-0.34648 # DEPENDENCYPART_ARC
(11,14),-0.821031 # DEPENDENCYPART_ARC
(11,15),-1.56888 # DEPENDENCYPART_ARC
(11,16),-1.65803 # DEPENDENCYPART_ARC
(11,17),-1.65345 # DEPENDENCYPART_ARC
(11,18),-1.94293 # DEPENDENCYPART_ARC
(11,19),-2.35106 # DEPENDENCYPART_ARC
(11,20),-1.28645 # DEPENDENCYPART_ARC
(11,21),-2.12613 # DEPENDENCYPART_ARC
(11,23),-2.75627 # DEPENDENCYPART_ARC
(11,28),-2.29582 # DEPENDENCYPART_ARC
(12,2),-4.80224 # DEPENDENCYPART_ARC
(12,9),-2.88164 # DEPENDENCYPART_ARC
(12,11),-0.460155 # DEPENDENCYPART_ARC
(12,13),-1.99366 # DEPENDENCYPART_ARC
(12,14),-2.3715 # DEPENDENCYPART_ARC
(14,1),-2.11176 # DEPENDENCYPART_ARC
(14,2),-1.58282 # DEPENDENCYPART_ARC
(14,3),-2.36607 # DEPENDENCYPART_ARC
(14,4),-1.52532 # DEPENDENCYPART_ARC
(14,5),-1.37691 # DEPENDENCYPART_ARC
(14,6),-1.18684 # DEPENDENCYPART_ARC
(14,7),-1.05534 # DEPENDENCYPART_ARC
(14,9),-0.900454 # DEPENDENCYPART_ARC
(14,10),-2.19877 # DEPENDENCYPART_ARC
(14,11),-1.15399 # DEPENDENCYPART_ARC
(14,12),-0.645674 # DEPENDENCYPART_ARC
(14,13),-0.781333 # DEPENDENCYPART_ARC
(14,15),2.02332 # DEPENDENCYPART_ARC
(14,16),-0.639478 # DEPENDENCYPART_ARC
(14,17),-1.23283 # DEPENDENCYPART_ARC
(14,18),-1.96628 # DEPENDENCYPART_ARC
(14,19),-1.24149 # DEPENDENCYPART_ARC
(14,20),-0.640517 # DEPENDENCYPART_ARC
(14,23),-1.67903 # DEPENDENCYPART_ARC
(14,24),-1.44282 # DEPENDENCYPART_ARC
(14,28),0.870983 # DEPENDENCYPART_ARC
(15,2),-2.31696 # DEPENDENCYPART_ARC
(15,3),-1.72049 # DEPENDENCYPART_ARC
(15,5),-2.2051 # DEPENDENCYPART_ARC
(15,6),-2.27897 # DEPENDENCYPART_ARC
(15,7),-2.12836 # DEPENDENCYPART_ARC
(15,9),-1.79237 # DEPENDENCYPART_ARC
(15,10),-1.61067 # DEPENDENCYPART_ARC
(15,11),-1.89388 # DEPENDENCYPART_ARC
(15,12),-1.64951 # DEPENDENCYPART_ARC
(15,13),-1.8356 # DEPENDENCYPART_ARC
