# _root_ Purchase of the 76-story structure is subject to execution of a definitive agreement , approval by the boards of Seafirst and its parent company BankAmerica Corp. , and approval by regulators .
#goldHeads=6,1,5,5,2,0,6,7,8,9,13,13,10,9,9,15,18,16,18,19,20,25,25,25,21,25,15,15,28,29,30,6,
#predictedHeads=6,1,5,5,2,0,6,7,8,9,13,13,10,9,9,15,18,16,18,19,20,25,25,25,21,25,25,25,28,29,30,6,
(0,1),-3.52378 # DEPENDENCYPART_ARC
(0,6),-1.43005 # DEPENDENCYPART_ARC
(1,2),1.15711 # DEPENDENCYPART_ARC
(1,3),-1.54473 # DEPENDENCYPART_ARC
(1,4),-1.10498 # DEPENDENCYPART_ARC
(1,5),-0.768935 # DEPENDENCYPART_ARC
(1,6),-0.879124 # DEPENDENCYPART_ARC
(1,7),-1.63956 # DEPENDENCYPART_ARC
(1,8),-1.17573 # DEPENDENCYPART_ARC
(1,9),-1.36902 # DEPENDENCYPART_ARC
(1,10),-0.703187 # DEPENDENCYPART_ARC
(1,13),-1.85566 # DEPENDENCYPART_ARC
(1,14),-0.793041 # DEPENDENCYPART_ARC
(1,15),-1.99853 # DEPENDENCYPART_ARC
(1,16),-0.570854 # DEPENDENCYPART_ARC
(1,18),-2.07443 # DEPENDENCYPART_ARC
(1,19),-2.76714 # DEPENDENCYPART_ARC
(1,21),-1.43411 # DEPENDENCYPART_ARC
(1,27),-1.62617 # DEPENDENCYPART_ARC
(1,28),-2.12322 # DEPENDENCYPART_ARC
(1,30),-0.797684 # DEPENDENCYPART_ARC
(1,32),-2.09555 # DEPENDENCYPART_ARC
(2,3),-1.24076 # DEPENDENCYPART_ARC
(2,4),-0.929056 # DEPENDENCYPART_ARC
(2,5),0.818394 # DEPENDENCYPART_ARC
(2,6),-0.541249 # DEPENDENCYPART_ARC
(2,7),-1.72693 # DEPENDENCYPART_ARC
(2,8),-2.09381 # DEPENDENCYPART_ARC
(2,9),-1.17654 # DEPENDENCYPART_ARC
(2,13),-1.27533 # DEPENDENCYPART_ARC
(2,32),-3.20682 # DEPENDENCYPART_ARC
(3,6),-1.62857 # DEPENDENCYPART_ARC
(4,1),-1.84407 # DEPENDENCYPART_ARC
(4,3),-0.741989 # DEPENDENCYPART_ARC
(4,6),-0.919119 # DEPENDENCYPART_ARC
(4,7),-1.94492 # DEPENDENCYPART_ARC
(4,8),-1.57002 # DEPENDENCYPART_ARC
(5,1),-1.8217 # DEPENDENCYPART_ARC
(5,2),-1.45389 # DEPENDENCYPART_ARC
(5,3),1.24493 # DEPENDENCYPART_ARC
(5,4),1.65509 # DEPENDENCYPART_ARC
(5,6),-0.991552 # DEPENDENCYPART_ARC
(5,7),-1.60664 # DEPENDENCYPART_ARC
(5,8),-1.45236 # DEPENDENCYPART_ARC
(5,9),-2.03158 # DEPENDENCYPART_ARC
(5,10),-1.14357 # DEPENDENCYPART_ARC
(5,14),-1.85636 # DEPENDENCYPART_ARC
(6,1),-0.347937 # DEPENDENCYPART_ARC
(6,2),-1.50806 # DEPENDENCYPART_ARC
(6,3),-1.79119 # DEPENDENCYPART_ARC
(6,4),-1.27052 # DEPENDENCYPART_ARC
(6,5),0.789795 # DEPENDENCYPART_ARC
(6,7),1.03328 # DEPENDENCYPART_ARC
(6,8),-0.477226 # DEPENDENCYPART_ARC
(6,9),-0.359413 # DEPENDENCYPART_ARC
(6,10),-0.674336 # DEPENDENCYPART_ARC
(6,13),-1.53833 # DEPENDENCYPART_ARC
