# _root_ In a stark lesson in the power of the appropriations committees , the House deliberately killed a handful of projects backed by lawmakers in Florida , Illinois and Pennsylvania who had voted against the panel leadership on the House floor .
#goldHeads=16,4,4,1,4,7,5,7,11,11,8,16,14,16,16,0,18,16,18,19,20,21,22,23,24,25,25,27,28,31,23,31,32,36,36,33,32,40,40,37,16,
#predictedHeads=16,4,4,1,4,7,5,7,11,11,8,16,14,16,16,0,18,16,18,19,20,21,22,23,24,25,25,27,28,31,23,31,32,36,36,33,36,40,40,37,16,
(0,1),-3.90409 # DEPENDENCYPART_ARC
(0,4),-4.11099 # DEPENDENCYPART_ARC
(0,16),-1.57284 # DEPENDENCYPART_ARC
(0,21),-4.09531 # DEPENDENCYPART_ARC
(1,2),-0.983353 # DEPENDENCYPART_ARC
(1,3),-0.818398 # DEPENDENCYPART_ARC
(1,4),0.559637 # DEPENDENCYPART_ARC
(1,5),-1.56526 # DEPENDENCYPART_ARC
(1,7),-1.22495 # DEPENDENCYPART_ARC
(1,8),-1.89638 # DEPENDENCYPART_ARC
(1,11),-2.13988 # DEPENDENCYPART_ARC
(1,12),-1.27438 # DEPENDENCYPART_ARC
(1,41),-2.00677 # DEPENDENCYPART_ARC
(2,5),-1.56006 # DEPENDENCYPART_ARC
(3,1),-1.68774 # DEPENDENCYPART_ARC
(3,2),-0.690229 # DEPENDENCYPART_ARC
(3,5),-1.29575 # DEPENDENCYPART_ARC
(3,8),-1.76608 # DEPENDENCYPART_ARC
(4,1),-1.41219 # DEPENDENCYPART_ARC
(4,2),1.32444 # DEPENDENCYPART_ARC
(4,3),1.82035 # DEPENDENCYPART_ARC
(4,5),0.245783 # DEPENDENCYPART_ARC
(4,7),-1.13586 # DEPENDENCYPART_ARC
(4,8),-1.05255 # DEPENDENCYPART_ARC
(4,10),-1.74453 # DEPENDENCYPART_ARC
(4,11),-1.65954 # DEPENDENCYPART_ARC
(4,12),-1.44915 # DEPENDENCYPART_ARC
(4,14),-2.7396 # DEPENDENCYPART_ARC
(4,15),-2.21907 # DEPENDENCYPART_ARC
(4,16),-2.02733 # DEPENDENCYPART_ARC
(4,18),-2.65052 # DEPENDENCYPART_ARC
(4,21),-2.51421 # DEPENDENCYPART_ARC
(4,41),-3.09271 # DEPENDENCYPART_ARC
(5,1),-1.9253 # DEPENDENCYPART_ARC
(5,4),-1.80261 # DEPENDENCYPART_ARC
(5,6),-1.27685 # DEPENDENCYPART_ARC
(5,7),1.15211 # DEPENDENCYPART_ARC
(5,8),-1.40115 # DEPENDENCYPART_ARC
(5,10),-0.900536 # DEPENDENCYPART_ARC
(5,11),-1.34659 # DEPENDENCYPART_ARC
(5,12),-1.5225 # DEPENDENCYPART_ARC
(5,41),-2.20455 # DEPENDENCYPART_ARC
(7,2),-2.20961 # DEPENDENCYPART_ARC
(7,3),-1.5501 # DEPENDENCYPART_ARC
(7,5),-1.47744 # DEPENDENCYPART_ARC
(7,6),1.3138 # DEPENDENCYPART_ARC
(7,8),0.868278 # DEPENDENCYPART_ARC
(7,9),-1.67394 # DEPENDENCYPART_ARC
(7,10),-1.06174 # DEPENDENCYPART_ARC
(7,11),-1.06972 # DEPENDENCYPART_ARC
(7,12),-1.14398 # DEPENDENCYPART_ARC
(7,13),-2.26418 # DEPENDENCYPART_ARC
(7,14),-2.24427 # DEPENDENCYPART_ARC
(7,15),-1.77695 # DEPENDENCYPART_ARC
(7,16),-1.45595 # DEPENDENCYPART_ARC
(7,18),-2.14535 # DEPENDENCYPART_ARC
(7,21),-2.07239 # DEPENDENCYPART_ARC
(7,24),-2.86002 # DEPENDENCYPART_ARC
(7,26),-1.61457 # DEPENDENCYPART_ARC
(7,41),-2.49434 # DEPENDENCYPART_ARC
(8,9),-1.08344 # DEPENDENCYPART_ARC
(8,10),0.835089 # DEPENDENCYPART_ARC
(8,11),0.0379064 # DEPENDENCYPART_ARC
(8,12),-1.58552 # DEPENDENCYPART_ARC
(8,14),-2.39757 # DEPENDENCYPART_ARC
(8,15),-2.00792 # DEPENDENCYPART_ARC
(9,10),-1.84859 # DEPENDENCYPART_ARC
(10,9),0.544811 # DEPENDENCYPART_ARC
(10,11),-0.992576 # DEPENDENCYPART_ARC
(10,12),-1.82133 # DEPENDENCYPART_ARC
(10,13),-2.37817 # DEPENDENCYPART_ARC
(10,14),-2.24648 # DEPENDENCYPART_ARC
(10,15),-1.88929 # DEPENDENCYPART_ARC
(10,16),-1.63469 # DEPENDENCYPART_ARC
(10,18),-2.59057 # DEPENDENCYPART_ARC
(10,19),-2.31636 # DEPENDENCYPART_ARC
(10,21),-2.36339 # DEPENDENCYPART_ARC
(11,1),-2.08951 # DEPENDENCYPART_ARC
(11,5),-1.88139 # DEPENDENCYPART_ARC
(11,6),-1.52467 # DEPENDENCYPART_ARC
(11,7),-1.07747 # DEPENDENCYPART_ARC
(11,8),-1.29972 # DEPENDENCYPART_ARC
(11,9),0.844953 # DEPENDENCYPART_ARC
(11,10),1.28095 # DEPENDENCYPART_ARC
(11,12),-0.705465 # DEPENDENCYPART_ARC
(11,13),-2.14085 # DEPENDENCYPART_ARC
(11,14),-1.97256 # DEPENDENCYPART_ARC
(11,15),-1.723 # DEPENDENCYPART_ARC
(11,16),-1.43329 # DEPENDENCYPART_ARC
(11,18),-2.41837 # DEPENDENCYPART_ARC
(11,19),-2.5077 # DEPENDENCYPART_ARC
(11,20),-2.33676 # DEPENDENCYPART_ARC
(11,21),-2.23747 # DEPENDENCYPART_ARC
(11,23),-3.01591 # DEPENDENCYPART_ARC
(11,24),-2.50601 # DEPENDENCYPART_ARC
(11,26),-1.42737 # DEPENDENCYPART_ARC
(11,31),-1.79855 # DEPENDENCYPART_ARC
(11,41),-4.32904 # DEPENDENCYPART_ARC
(14,9),-1.77514 # DEPENDENCYPART_ARC
(14,11),-1.66852 # DEPENDENCYPART_ARC
(14,12),-1.46787 # DEPENDENCYPART_ARC
(14,13),0.970933 # DEPENDENCYPART_ARC
(14,15),-1.3416 # DEPENDENCYPART_ARC
(14,16),-1.50627 # DEPENDENCYPART_ARC
(14,18),-2.43471 # DEPENDENCYPART_ARC
(14,19),-1.9288 # DEPENDENCYPART_ARC
(14,28),-2.17699 # DEPENDENCYPART_ARC
(15,1),-2.22549 # DEPENDENCYPART_ARC
(15,5),-2.06151 # DEPENDENCYPART_ARC
(15,13),-1.49404 # DEPENDENCYPART_ARC
(15,14),-1.55955 # DEPENDENCYPART_ARC
(15,18),-1.91288 # DEPENDENCYPART_ARC
(15,19),-1.71486 # DEPENDENCYPART_ARC
(16,1),-0.931187 # DEPENDENCYPART_ARC
(16,4),-0.813856 # DEPENDENCYPART_ARC
(16,5),-1.39587 # DEPENDENCYPART_ARC
(16,7),-0.534185 # DEPENDENCYPART_ARC
(16,8),-1.90149 # DEPENDENCYPART_ARC
(16,9),-1.75575 # DEPENDENCYPART_ARC
(16,10),-0.56466 # DEPENDENCYPART_ARC
(16,11),-0.818182 # DEPENDENCYPART_ARC
(16,12),-0.0656899 # DEPENDENCYPART_ARC
(16,13),-0.975554 # DEPENDENCYPART_ARC
(16,14),0.0233501 # DEPENDENCYPART_ARC
(16,15),1.14176 # DEPENDENCYPART_ARC
(16,17),-0.736807 # DEPENDENCYPART_ARC
(16,18),0.548632 # DEPENDENCYPART_ARC
(16,19),-0.360808 # DEPENDENCYPART_ARC
(16,20),-0.853252 # DEPENDENCYPART_ARC
(16,21),-1.02434 # DEPENDENCYPART_ARC
(16,22),-0.483964 # DEPENDENCYPART_ARC
(16,23),-1.67967 # DEPENDENCYPART_ARC
(16,24),-0.635966 # DEPENDENCYPART_ARC
(16,25),-1.94635 # DEPENDENCYPART_ARC
(16,26),-1.45061 # DEPENDENCYPART_ARC
(16,27),-2.48869 # DEPENDENCYPART_ARC
(16,28),-1.43549 # DEPENDENCYPART_ARC
(16,29),-2.44371 # DEPENDENCYPART_ARC
(16,31),-1.94653 # DEPENDENCYPART_ARC
(16,32),-2.41966 # DEPENDENCYPART_ARC
(16,33),-2.15148 # DEPENDENCYPART_ARC
(16,36),-2.54583 # DEPENDENCYPART_ARC
