# _root_ `` Because Tokyo did n't collapse , let 's pick up a little stock , '' Mr. Smith said .
#goldHeads=19,8,4,2,4,4,8,19,8,8,10,14,14,10,19,19,18,19,0,19,
#predictedHeads=19,19,4,2,4,4,6,6,8,8,10,14,14,10,19,19,18,19,0,19,
(0,4),-1.61406 # DEPENDENCYPART_ARC
(0,6),-4.08536 # DEPENDENCYPART_ARC
(0,19),1.69482 # DEPENDENCYPART_ARC
(1,2),-2.96189 # DEPENDENCYPART_ARC
(1,3),-3.58847 # DEPENDENCYPART_ARC
(1,4),-3.147 # DEPENDENCYPART_ARC
(2,1),-1.37692 # DEPENDENCYPART_ARC
(2,3),0.384654 # DEPENDENCYPART_ARC
(2,4),1.42579 # DEPENDENCYPART_ARC
(2,5),-1.69086 # DEPENDENCYPART_ARC
(2,6),-1.37426 # DEPENDENCYPART_ARC
(2,7),-1.40587 # DEPENDENCYPART_ARC
(2,8),-1.97707 # DEPENDENCYPART_ARC
(2,9),-2.84105 # DEPENDENCYPART_ARC
(2,10),-2.18016 # DEPENDENCYPART_ARC
(2,11),-2.25872 # DEPENDENCYPART_ARC
(2,14),-2.49786 # DEPENDENCYPART_ARC
(2,15),-1.48664 # DEPENDENCYPART_ARC
(2,16),-1.8104 # DEPENDENCYPART_ARC
(2,19),-1.75789 # DEPENDENCYPART_ARC
(3,1),-1.39641 # DEPENDENCYPART_ARC
(3,2),-1.01801 # DEPENDENCYPART_ARC
(3,4),-1.67955 # DEPENDENCYPART_ARC
(3,7),-2.3854 # DEPENDENCYPART_ARC
(3,9),-2.63657 # DEPENDENCYPART_ARC
(4,1),-0.728533 # DEPENDENCYPART_ARC
(4,2),-1.29727 # DEPENDENCYPART_ARC
(4,3),-0.058389 # DEPENDENCYPART_ARC
(4,5),1.15749 # DEPENDENCYPART_ARC
(4,6),0.591629 # DEPENDENCYPART_ARC
(4,7),-0.855344 # DEPENDENCYPART_ARC
(4,8),-0.542785 # DEPENDENCYPART_ARC
(4,9),-1.74028 # DEPENDENCYPART_ARC
(4,10),-1.15487 # DEPENDENCYPART_ARC
(4,11),-1.45441 # DEPENDENCYPART_ARC
(4,14),-1.81013 # DEPENDENCYPART_ARC
(4,15),-1.18684 # DEPENDENCYPART_ARC
(4,16),-0.905917 # DEPENDENCYPART_ARC
(4,18),-2.6731 # DEPENDENCYPART_ARC
(4,19),-2.27049 # DEPENDENCYPART_ARC
(4,20),-0.923366 # DEPENDENCYPART_ARC
(5,1),-2.48597 # DEPENDENCYPART_ARC
(5,2),-1.4338 # DEPENDENCYPART_ARC
(5,3),-2.25705 # DEPENDENCYPART_ARC
(5,6),-1.39956 # DEPENDENCYPART_ARC
(5,7),-2.36335 # DEPENDENCYPART_ARC
(5,9),-3.13132 # DEPENDENCYPART_ARC
(6,1),-1.71071 # DEPENDENCYPART_ARC
(6,2),-1.10637 # DEPENDENCYPART_ARC
(6,3),-1.42566 # DEPENDENCYPART_ARC
(6,4),-1.55126 # DEPENDENCYPART_ARC
(6,5),-0.473477 # DEPENDENCYPART_ARC
(6,7),-0.0437111 # DEPENDENCYPART_ARC
(6,8),0.256397 # DEPENDENCYPART_ARC
(6,9),-1.44496 # DEPENDENCYPART_ARC
(6,10),-0.706021 # DEPENDENCYPART_ARC
(6,11),-0.810232 # DEPENDENCYPART_ARC
(6,14),-1.15455 # DEPENDENCYPART_ARC
(6,15),-1.37414 # DEPENDENCYPART_ARC
(6,16),-1.58146 # DEPENDENCYPART_ARC
(6,18),-2.35496 # DEPENDENCYPART_ARC
(6,19),-1.90178 # DEPENDENCYPART_ARC
(7,6),-2.08611 # DEPENDENCYPART_ARC
(7,8),-1.45753 # DEPENDENCYPART_ARC
(8,1),-1.9232 # DEPENDENCYPART_ARC
(8,2),-1.01287 # DEPENDENCYPART_ARC
(8,3),-1.76645 # DEPENDENCYPART_ARC
(8,4),-1.52219 # DEPENDENCYPART_ARC
(8,5),-0.979982 # DEPENDENCYPART_ARC
(8,6),-1.31907 # DEPENDENCYPART_ARC
(8,7),-0.494972 # DEPENDENCYPART_ARC
(8,9),0.418675 # DEPENDENCYPART_ARC
(8,10),0.652902 # DEPENDENCYPART_ARC
(8,11),-0.105525 # DEPENDENCYPART_ARC
(8,13),-1.29639 # DEPENDENCYPART_ARC
(8,14),-0.538362 # DEPENDENCYPART_ARC
(8,15),-1.00824 # DEPENDENCYPART_ARC
(8,16),-0.937364 # DEPENDENCYPART_ARC
(8,18),-1.56162 # DEPENDENCYPART_ARC
(8,19),-1.29737 # DEPENDENCYPART_ARC
(8,20),-1.31242 # DEPENDENCYPART_ARC
(9,7),-1.42887 # DEPENDENCYPART_ARC
(9,8),-0.727771 # DEPENDENCYPART_ARC
(9,10),-1.25961 # DEPENDENCYPART_ARC
(10,1),-1.92599 # DEPENDENCYPART_ARC
(10,2),-1.16103 # DEPENDENCYPART_ARC
(10,3),-1.84213 # DEPENDENCYPART_ARC
(10,4),-1.45823 # DEPENDENCYPART_ARC
(10,5),-1.25596 # DEPENDENCYPART_ARC
(10,6),-1.39882 # DEPENDENCYPART_ARC
(10,7),-0.997028 # DEPENDENCYPART_ARC
(10,8),-1.18734 # DEPENDENCYPART_ARC
(10,9),-0.379279 # DEPENDENCYPART_ARC
(10,11),0.94011 # DEPENDENCYPART_ARC
