# _root_ He said the third-quarter estimate indicates profit for the nine months of $ 4.65 a share , `` almost equal to the full-year 1988 earnings '' of $ 108.6 million , or $ 4.81 a share .
#goldHeads=2,0,5,5,6,2,6,7,11,11,8,7,12,13,16,13,7,20,20,7,20,25,25,25,21,25,25,27,28,28,28,28,32,33,36,33,2,
#predictedHeads=2,0,5,5,6,2,6,7,11,11,8,11,12,13,16,13,13,13,20,13,20,25,25,25,21,25,25,27,28,28,28,28,32,33,36,33,2,
(0,2),0.199819 # DEPENDENCYPART_ARC
(0,6),-1.54169 # DEPENDENCYPART_ARC
(1,5),-1.96416 # DEPENDENCYPART_ARC
(1,6),-1.76989 # DEPENDENCYPART_ARC
(2,1),1.65125 # DEPENDENCYPART_ARC
(2,3),-0.896094 # DEPENDENCYPART_ARC
(2,4),-1.00839 # DEPENDENCYPART_ARC
(2,5),-0.630017 # DEPENDENCYPART_ARC
(2,6),0.277295 # DEPENDENCYPART_ARC
(2,7),-0.880935 # DEPENDENCYPART_ARC
(2,8),-0.845564 # DEPENDENCYPART_ARC
(2,11),-2.30729 # DEPENDENCYPART_ARC
(2,12),-1.91237 # DEPENDENCYPART_ARC
(2,13),-2.31749 # DEPENDENCYPART_ARC
(2,17),-1.32046 # DEPENDENCYPART_ARC
(2,18),-1.62063 # DEPENDENCYPART_ARC
(2,19),-2.27964 # DEPENDENCYPART_ARC
(2,20),-2.94649 # DEPENDENCYPART_ARC
(2,21),-2.72773 # DEPENDENCYPART_ARC
(2,26),-1.14042 # DEPENDENCYPART_ARC
(2,31),-2.03945 # DEPENDENCYPART_ARC
(2,37),2.17301 # DEPENDENCYPART_ARC
(3,2),-1.91504 # DEPENDENCYPART_ARC
(3,4),-1.86483 # DEPENDENCYPART_ARC
(3,6),-1.39337 # DEPENDENCYPART_ARC
(3,8),-2.24395 # DEPENDENCYPART_ARC
(4,2),-2.0073 # DEPENDENCYPART_ARC
(4,3),-0.971767 # DEPENDENCYPART_ARC
(4,5),-1.08612 # DEPENDENCYPART_ARC
(4,6),-1.11451 # DEPENDENCYPART_ARC
(4,7),-2.07865 # DEPENDENCYPART_ARC
(4,8),-1.85518 # DEPENDENCYPART_ARC
(5,1),-1.96072 # DEPENDENCYPART_ARC
(5,2),-1.55242 # DEPENDENCYPART_ARC
(5,3),1.1 # DEPENDENCYPART_ARC
(5,4),1.56045 # DEPENDENCYPART_ARC
(5,6),-0.534709 # DEPENDENCYPART_ARC
(5,7),-1.40783 # DEPENDENCYPART_ARC
(5,8),-0.305811 # DEPENDENCYPART_ARC
(5,11),-2.09069 # DEPENDENCYPART_ARC
(5,12),-2.01989 # DEPENDENCYPART_ARC
(5,17),-1.67222 # DEPENDENCYPART_ARC
(5,21),-2.53973 # DEPENDENCYPART_ARC
(6,1),-1.82836 # DEPENDENCYPART_ARC
(6,2),-1.43395 # DEPENDENCYPART_ARC
(6,3),-1.59414 # DEPENDENCYPART_ARC
(6,4),-1.33504 # DEPENDENCYPART_ARC
(6,5),0.573717 # DEPENDENCYPART_ARC
(6,7),0.833927 # DEPENDENCYPART_ARC
(6,8),0.0218495 # DEPENDENCYPART_ARC
(6,10),-2.03146 # DEPENDENCYPART_ARC
(6,11),-0.807807 # DEPENDENCYPART_ARC
(6,12),-1.18105 # DEPENDENCYPART_ARC
(6,13),-2.29797 # DEPENDENCYPART_ARC
(6,16),-1.88044 # DEPENDENCYPART_ARC
(6,17),-1.26906 # DEPENDENCYPART_ARC
(6,18),-1.65325 # DEPENDENCYPART_ARC
(6,19),-2.37315 # DEPENDENCYPART_ARC
(6,20),-2.56933 # DEPENDENCYPART_ARC
(6,21),-2.3636 # DEPENDENCYPART_ARC
(6,25),-2.48499 # DEPENDENCYPART_ARC
(6,26),-1.43363 # DEPENDENCYPART_ARC
(6,31),-1.46391 # DEPENDENCYPART_ARC
(6,37),0.171042 # DEPENDENCYPART_ARC
(7,2),-2.34543 # DEPENDENCYPART_ARC
(7,3),-1.09388 # DEPENDENCYPART_ARC
(7,4),-0.238868 # DEPENDENCYPART_ARC
(7,5),-0.164504 # DEPENDENCYPART_ARC
(7,6),-0.812377 # DEPENDENCYPART_ARC
(7,8),0.503111 # DEPENDENCYPART_ARC
