# _root_ In composite trading on the New York Stock Exchange , the company closed at $ 25.25 a share , down 25 cents .
#goldHeads=13,3,1,3,9,9,9,9,4,13,12,13,0,13,14,15,18,15,13,13,22,20,13,
#predictedHeads=13,3,1,3,9,9,9,9,4,13,12,13,0,13,14,15,18,15,13,13,22,20,13,
(0,1),-3.68733 # DEPENDENCYPART_ARC
(0,3),-4.09655 # DEPENDENCYPART_ARC
(0,4),-4.73406 # DEPENDENCYPART_ARC
(0,13),-1.42811 # DEPENDENCYPART_ARC
(1,2),-0.36362 # DEPENDENCYPART_ARC
(1,3),1.41603 # DEPENDENCYPART_ARC
(1,4),-1.31432 # DEPENDENCYPART_ARC
(1,6),-2.27744 # DEPENDENCYPART_ARC
(1,7),-2.43981 # DEPENDENCYPART_ARC
(1,9),-2.26917 # DEPENDENCYPART_ARC
(1,10),-1.12304 # DEPENDENCYPART_ARC
(1,23),-2.83859 # DEPENDENCYPART_ARC
(2,1),-1.76923 # DEPENDENCYPART_ARC
(2,4),-1.43051 # DEPENDENCYPART_ARC
(3,1),-1.33175 # DEPENDENCYPART_ARC
(3,2),1.3726 # DEPENDENCYPART_ARC
(3,4),0.373877 # DEPENDENCYPART_ARC
(3,7),-1.65456 # DEPENDENCYPART_ARC
(3,9),-1.60416 # DEPENDENCYPART_ARC
(3,10),-1.70959 # DEPENDENCYPART_ARC
(3,12),-2.17871 # DEPENDENCYPART_ARC
(3,13),-2.03188 # DEPENDENCYPART_ARC
(3,19),-1.91775 # DEPENDENCYPART_ARC
(3,20),-2.71048 # DEPENDENCYPART_ARC
(3,23),-2.80088 # DEPENDENCYPART_ARC
(4,1),-1.3459 # DEPENDENCYPART_ARC
(4,3),-1.66151 # DEPENDENCYPART_ARC
(4,5),-1.139 # DEPENDENCYPART_ARC
(4,6),-0.982977 # DEPENDENCYPART_ARC
(4,7),-1.14177 # DEPENDENCYPART_ARC
(4,8),-1.2482 # DEPENDENCYPART_ARC
(4,9),0.112097 # DEPENDENCYPART_ARC
(4,10),-1.3919 # DEPENDENCYPART_ARC
(4,12),-0.960806 # DEPENDENCYPART_ARC
(4,13),-0.965265 # DEPENDENCYPART_ARC
(4,23),-3.08119 # DEPENDENCYPART_ARC
(6,5),-1.45508 # DEPENDENCYPART_ARC
(6,7),-1.94736 # DEPENDENCYPART_ARC
(6,10),-1.87457 # DEPENDENCYPART_ARC
(7,5),-1.66335 # DEPENDENCYPART_ARC
(7,6),-1.35143 # DEPENDENCYPART_ARC
(7,8),-2.00258 # DEPENDENCYPART_ARC
(7,10),-1.75924 # DEPENDENCYPART_ARC
(7,12),-3.40599 # DEPENDENCYPART_ARC
(8,5),-1.51469 # DEPENDENCYPART_ARC
(8,6),-1.00549 # DEPENDENCYPART_ARC
(8,7),-0.447429 # DEPENDENCYPART_ARC
(8,9),-0.724911 # DEPENDENCYPART_ARC
(8,10),-1.18991 # DEPENDENCYPART_ARC
(8,12),-2.50889 # DEPENDENCYPART_ARC
(8,18),-3.3699 # DEPENDENCYPART_ARC
(8,19),-2.13018 # DEPENDENCYPART_ARC
(8,23),-3.06497 # DEPENDENCYPART_ARC
(9,1),-2.56172 # DEPENDENCYPART_ARC
(9,2),-2.00472 # DEPENDENCYPART_ARC
(9,3),-2.54302 # DEPENDENCYPART_ARC
(9,4),-1.79754 # DEPENDENCYPART_ARC
(9,5),0.349373 # DEPENDENCYPART_ARC
(9,6),0.461113 # DEPENDENCYPART_ARC
(9,7),0.659382 # DEPENDENCYPART_ARC
(9,8),1.35607 # DEPENDENCYPART_ARC
(9,10),-0.0460792 # DEPENDENCYPART_ARC
(9,11),-1.91701 # DEPENDENCYPART_ARC
(9,12),-1.78976 # DEPENDENCYPART_ARC
(9,13),-1.55965 # DEPENDENCYPART_ARC
(9,14),-2.16086 # DEPENDENCYPART_ARC
(9,15),-2.69081 # DEPENDENCYPART_ARC
(9,18),-2.46508 # DEPENDENCYPART_ARC
(9,19),-0.825011 # DEPENDENCYPART_ARC
(9,20),-2.57272 # DEPENDENCYPART_ARC
(9,22),-3.41879 # DEPENDENCYPART_ARC
(9,23),-2.66495 # DEPENDENCYPART_ARC
(11,10),-2.02221 # DEPENDENCYPART_ARC
(12,4),-2.2377 # DEPENDENCYPART_ARC
(12,5),-0.45506 # DEPENDENCYPART_ARC
(12,6),-2.4386 # DEPENDENCYPART_ARC
(12,7),-2.06869 # DEPENDENCYPART_ARC
(12,8),-1.82393 # DEPENDENCYPART_ARC
(12,9),-1.8695 # DEPENDENCYPART_ARC
(12,10),-1.06849 # DEPENDENCYPART_ARC
(12,11),2.00042 # DEPENDENCYPART_ARC
(12,13),-0.687297 # DEPENDENCYPART_ARC
(12,14),-1.18093 # DEPENDENCYPART_ARC
(12,15),-1.57874 # DEPENDENCYPART_ARC
(12,18),-1.9438 # DEPENDENCYPART_ARC
(12,20),-2.17086 # DEPENDENCYPART_ARC
(12,22),-2.43491 # DEPENDENCYPART_ARC
(13,1),-0.484733 # DEPENDENCYPART_ARC
(13,3),-0.684353 # DEPENDENCYPART_ARC
(13,4),-1.22413 # DEPENDENCYPART_ARC
(13,5),-2.68911 # DEPENDENCYPART_ARC
