# _root_ Two years ago when the NAHB lobbied for the $ 19 billion omnibus housing bill , the organization `` basically dropped out of the taxpayers ' coalition , '' says Ms. MacDonald .
#goldHeads=2,3,21,7,6,7,21,7,15,15,10,10,15,15,8,21,18,21,21,21,30,21,22,25,27,25,23,30,30,0,32,30,30,
#predictedHeads=2,3,21,7,6,7,21,7,15,15,10,10,15,15,8,21,18,21,21,21,30,21,21,25,27,25,23,30,30,0,32,30,30,
(0,7),-1.80574 # DEPENDENCYPART_ARC
(0,30),2.17664 # DEPENDENCYPART_ARC
(1,6),-2.61759 # DEPENDENCYPART_ARC
(1,7),-1.85882 # DEPENDENCYPART_ARC
(2,1),1.16669 # DEPENDENCYPART_ARC
(2,3),-0.975007 # DEPENDENCYPART_ARC
(2,4),-2.03092 # DEPENDENCYPART_ARC
(2,5),-2.39183 # DEPENDENCYPART_ARC
(2,6),-2.1377 # DEPENDENCYPART_ARC
(2,7),-1.43688 # DEPENDENCYPART_ARC
(2,8),-1.48136 # DEPENDENCYPART_ARC
(2,15),-2.95701 # DEPENDENCYPART_ARC
(3,1),-1.35393 # DEPENDENCYPART_ARC
(3,2),0.911867 # DEPENDENCYPART_ARC
(3,4),-1.75911 # DEPENDENCYPART_ARC
(3,5),-2.21352 # DEPENDENCYPART_ARC
(3,6),-2.5624 # DEPENDENCYPART_ARC
(3,7),-1.61231 # DEPENDENCYPART_ARC
(3,8),-2.22041 # DEPENDENCYPART_ARC
(4,1),-2.37247 # DEPENDENCYPART_ARC
(4,2),-2.03342 # DEPENDENCYPART_ARC
(4,3),-0.835385 # DEPENDENCYPART_ARC
(4,5),-1.74284 # DEPENDENCYPART_ARC
(4,6),-2.0817 # DEPENDENCYPART_ARC
(4,8),-2.04164 # DEPENDENCYPART_ARC
(5,3),-2.96777 # DEPENDENCYPART_ARC
(5,4),-1.90459 # DEPENDENCYPART_ARC
(5,7),-1.43572 # DEPENDENCYPART_ARC
(6,1),-2.18742 # DEPENDENCYPART_ARC
(6,2),-1.92213 # DEPENDENCYPART_ARC
(6,3),-1.7849 # DEPENDENCYPART_ARC
(6,4),-1.49306 # DEPENDENCYPART_ARC
(6,5),0.864801 # DEPENDENCYPART_ARC
(6,7),-1.05571 # DEPENDENCYPART_ARC
(6,8),-1.40773 # DEPENDENCYPART_ARC
(6,16),-1.68189 # DEPENDENCYPART_ARC
(7,1),-1.67542 # DEPENDENCYPART_ARC
(7,2),-0.904185 # DEPENDENCYPART_ARC
(7,3),-1.16513 # DEPENDENCYPART_ARC
(7,4),1.61393 # DEPENDENCYPART_ARC
(7,5),-1.05575 # DEPENDENCYPART_ARC
(7,6),0.636257 # DEPENDENCYPART_ARC
(7,8),1.56711 # DEPENDENCYPART_ARC
(7,9),-1.44638 # DEPENDENCYPART_ARC
(7,10),-1.12674 # DEPENDENCYPART_ARC
(7,13),-1.28258 # DEPENDENCYPART_ARC
(7,14),-1.32267 # DEPENDENCYPART_ARC
(7,15),-1.12946 # DEPENDENCYPART_ARC
(7,16),-1.25747 # DEPENDENCYPART_ARC
(7,18),-2.2007 # DEPENDENCYPART_ARC
(7,19),-1.52203 # DEPENDENCYPART_ARC
(7,20),-1.70806 # DEPENDENCYPART_ARC
(7,21),-1.5682 # DEPENDENCYPART_ARC
(7,22),-1.83956 # DEPENDENCYPART_ARC
(7,26),-2.92599 # DEPENDENCYPART_ARC
(7,28),-1.55032 # DEPENDENCYPART_ARC
(7,29),-1.15358 # DEPENDENCYPART_ARC
(7,30),-1.38959 # DEPENDENCYPART_ARC
(7,33),-0.038331 # DEPENDENCYPART_ARC
(8,3),-2.33153 # DEPENDENCYPART_ARC
(8,4),-1.21689 # DEPENDENCYPART_ARC
(8,6),-2.29002 # DEPENDENCYPART_ARC
(8,9),-1.11295 # DEPENDENCYPART_ARC
(8,10),-0.511501 # DEPENDENCYPART_ARC
(8,12),-2.26277 # DEPENDENCYPART_ARC
(8,13),-0.795442 # DEPENDENCYPART_ARC
(8,14),-1.42424 # DEPENDENCYPART_ARC
(8,15),-0.673019 # DEPENDENCYPART_ARC
(8,16),-1.59688 # DEPENDENCYPART_ARC
(8,21),-2.56914 # DEPENDENCYPART_ARC
(8,33),-3.19291 # DEPENDENCYPART_ARC
(9,10),-1.92253 # DEPENDENCYPART_ARC
(10,2),-2.56632 # DEPENDENCYPART_ARC
(10,3),-2.63641 # DEPENDENCYPART_ARC
(10,4),-1.96547 # DEPENDENCYPART_ARC
(10,5),-2.2278 # DEPENDENCYPART_ARC
(10,6),-2.589 # DEPENDENCYPART_ARC
(10,7),-1.8331 # DEPENDENCYPART_ARC
(10,8),-1.40387 # DEPENDENCYPART_ARC
(10,9),-0.426036 # DEPENDENCYPART_ARC
(10,11),2.13225 # DEPENDENCYPART_ARC
(10,12),1.8373 # DEPENDENCYPART_ARC
(10,13),-1.1288 # DEPENDENCYPART_ARC
(10,14),-1.32295 # DEPENDENCYPART_ARC
(10,15),-1.57502 # DEPENDENCYPART_ARC
(10,16),-0.821313 # DEPENDENCYPART_ARC
(10,17),-2.11502 # DEPENDENCYPART_ARC
(10,18),-1.80704 # DEPENDENCYPART_ARC
(10,19),-1.48563 # DEPENDENCYPART_ARC
(10,20),-2.0589 # DEPENDENCYPART_ARC
(10,21),-1.62403 # DEPENDENCYPART_ARC
(10,22),-1.84075 # DEPENDENCYPART_ARC
(10,23),-2.75535 # DEPENDENCYPART_ARC
(10,26),-2.52368 # DEPENDENCYPART_ARC
(10,27),-2.53864 # DEPENDENCYPART_ARC
(10,28),-2.68253 # DEPENDENCYPART_ARC
(10,29),-2.07694 # DEPENDENCYPART_ARC
(10,30),-1.86411 # DEPENDENCYPART_ARC
(10,32),-2.97784 # DEPENDENCYPART_ARC
(10,33),-2.27182 # DEPENDENCYPART_ARC
(11,9),-1.72568 # DEPENDENCYPART_ARC
(11,12),-0.868753 # DEPENDENCYPART_ARC
(11,13),-1.57053 # DEPENDENCYPART_ARC
(12,8),-1.57212 # DEPENDENCYPART_ARC
(12,9),-1.61459 # DEPENDENCYPART_ARC
(12,11),-0.0582365 # DEPENDENCYPART_ARC
(12,13),-0.319154 # DEPENDENCYPART_ARC
(12,14),-1.52301 # DEPENDENCYPART_ARC
(13,9),-0.831307 # DEPENDENCYPART_ARC
(13,10),-0.869692 # DEPENDENCYPART_ARC
(13,11),-1.62596 # DEPENDENCYPART_ARC
(13,12),-0.774834 # DEPENDENCYPART_ARC
(13,14),-1.0061 # DEPENDENCYPART_ARC
(13,15),-1.81646 # DEPENDENCYPART_ARC
(13,16),-1.4004 # DEPENDENCYPART_ARC
(13,18),-2.50719 # DEPENDENCYPART_ARC
(13,19),-2.23248 # DEPENDENCYPART_ARC
(13,21),-2.05222 # DEPENDENCYPART_ARC
(13,23),-2.50729 # DEPENDENCYPART_ARC
(14,5),-3.78077 # DEPENDENCYPART_ARC
(14,9),-0.979848 # DEPENDENCYPART_ARC
(14,10),-0.997241 # DEPENDENCYPART_ARC
(14,12),-1.00162 # DEPENDENCYPART_ARC
(14,13),-0.156993 # DEPENDENCYPART_ARC
(14,15),-1.09587 # DEPENDENCYPART_ARC
(14,16),-1.93187 # DEPENDENCYPART_ARC
(14,18),-2.42406 # DEPENDENCYPART_ARC
(14,21),-2.11638 # DEPENDENCYPART_ARC
(14,23),-2.48182 # DEPENDENCYPART_ARC
(15,1),-2.86397 # DEPENDENCYPART_ARC
(15,2),-1.70033 # DEPENDENCYPART_ARC
(15,3),-2.21083 # DEPENDENCYPART_ARC
(15,4),-2.48725 # DEPENDENCYPART_ARC
(15,5),-1.97839 # DEPENDENCYPART_ARC
(15,6),-1.79822 # DEPENDENCYPART_ARC
(15,7),-1.81125 # DEPENDENCYPART_ARC
(15,8),-1.52541 # DEPENDENCYPART_ARC
(15,9),0.225559 # DEPENDENCYPART_ARC
(15,10),0.244439 # DEPENDENCYPART_ARC
(15,11),-0.99759 # DEPENDENCYPART_ARC
(15,12),-0.343175 # DEPENDENCYPART_ARC
(15,13),1.07074 # DEPENDENCYPART_ARC
(15,14),1.85725 # DEPENDENCYPART_ARC
(15,16),-0.504004 # DEPENDENCYPART_ARC
(15,17),-2.18971 # DEPENDENCYPART_ARC
(15,18),-1.63505 # DEPENDENCYPART_ARC
(15,19),-1.91116 # DEPENDENCYPART_ARC
(15,20),-1.96625 # DEPENDENCYPART_ARC
(15,21),-1.82423 # DEPENDENCYPART_ARC
(15,22),-2.14042 # DEPENDENCYPART_ARC
(15,23),-2.23566 # DEPENDENCYPART_ARC
(15,25),-2.33312 # DEPENDENCYPART_ARC
(15,26),-3.07559 # DEPENDENCYPART_ARC
(15,27),-2.56248 # DEPENDENCYPART_ARC
(15,28),-1.39975 # DEPENDENCYPART_ARC
(15,29),-1.75542 # DEPENDENCYPART_ARC
(15,30),-2.78654 # DEPENDENCYPART_ARC
(15,32),-3.54808 # DEPENDENCYPART_ARC
(15,33),-2.71285 # DEPENDENCYPART_ARC
(18,9),-2.35437 # DEPENDENCYPART_ARC
(18,10),-2.06778 # DEPENDENCYPART_ARC
(18,15),-1.99519 # DEPENDENCYPART_ARC
(18,16),-1.4295 # DEPENDENCYPART_ARC
(18,17),1.07336 # DEPENDENCYPART_ARC
(18,19),-0.873199 # DEPENDENCYPART_ARC
(18,20),-1.28461 # DEPENDENCYPART_ARC
(18,21),-0.711361 # DEPENDENCYPART_ARC
(18,22),-1.5806 # DEPENDENCYPART_ARC
(18,23),-0.948712 # DEPENDENCYPART_ARC
(18,25),-2.02926 # DEPENDENCYPART_ARC
(18,26),-2.4355 # DEPENDENCYPART_ARC
(18,27),-2.17921 # DEPENDENCYPART_ARC
(18,28),-1.61857 # DEPENDENCYPART_ARC
(18,29),-1.32026 # DEPENDENCYPART_ARC
(18,30),-2.12929 # DEPENDENCYPART_ARC
(18,32),-2.94696 # DEPENDENCYPART_ARC
(18,33),-2.39616 # DEPENDENCYPART_ARC
(19,15),-2.6921 # DEPENDENCYPART_ARC
(19,17),-2.27644 # DEPENDENCYPART_ARC
(19,18),-1.67752 # DEPENDENCYPART_ARC
(19,20),-1.82796 # DEPENDENCYPART_ARC
(19,21),-1.9847 # DEPENDENCYPART_ARC
(20,17),-2.03432 # DEPENDENCYPART_ARC
(20,18),-1.94392 # DEPENDENCYPART_ARC
(20,19),-1.36808 # DEPENDENCYPART_ARC
(20,21),-0.430471 # DEPENDENCYPART_ARC
(20,22),-1.22027 # DEPENDENCYPART_ARC
(20,23),-1.14557 # DEPENDENCYPART_ARC
(20,25),-2.25878 # DEPENDENCYPART_ARC
(21,1),-2.44998 # DEPENDENCYPART_ARC
(21,2),-1.75598 # DEPENDENCYPART_ARC
(21,3),-1.21792 # DEPENDENCYPART_ARC
(21,4),-0.70607 # DEPENDENCYPART_ARC
(21,5),-2.76048 # DEPENDENCYPART_ARC
(21,6),-1.55447 # DEPENDENCYPART_ARC
(21,7),-1.55802 # DEPENDENCYPART_ARC
(21,8),-1.55009 # DEPENDENCYPART_ARC
(21,9),-2.61163 # DEPENDENCYPART_ARC
(21,10),-1.84472 # DEPENDENCYPART_ARC
(21,12),-2.23627 # DEPENDENCYPART_ARC
(21,13),-1.48522 # DEPENDENCYPART_ARC
(21,14),-1.4068 # DEPENDENCYPART_ARC
(21,15),-1.27991 # DEPENDENCYPART_ARC
(21,16),-0.660143 # DEPENDENCYPART_ARC
(21,17),-1.47951 # DEPENDENCYPART_ARC
(21,18),-0.516074 # DEPENDENCYPART_ARC
(21,19),-0.33613 # DEPENDENCYPART_ARC
(21,20),0.724742 # DEPENDENCYPART_ARC
(21,22),1.16122 # DEPENDENCYPART_ARC
(21,23),0.13329 # DEPENDENCYPART_ARC
(21,24),-1.8329 # DEPENDENCYPART_ARC
(21,25),-0.587893 # DEPENDENCYPART_ARC
(21,26),-1.50876 # DEPENDENCYPART_ARC
(21,27),-0.767991 # DEPENDENCYPART_ARC
(21,28),-0.647178 # DEPENDENCYPART_ARC
(21,29),-0.910328 # DEPENDENCYPART_ARC
(21,30),-0.836611 # DEPENDENCYPART_ARC
(21,31),-2.11946 # DEPENDENCYPART_ARC
(21,32),-2.01562 # DEPENDENCYPART_ARC
(21,33),-0.953839 # DEPENDENCYPART_ARC
(22,19),-1.75242 # DEPENDENCYPART_ARC
(22,20),-1.64742 # DEPENDENCYPART_ARC
(22,23),-0.911568 # DEPENDENCYPART_ARC
(22,25),-1.92195 # DEPENDENCYPART_ARC
(22,26),-2.53 # DEPENDENCYPART_ARC
(22,27),-2.38485 # DEPENDENCYPART_ARC
(23,22),-1.61226 # DEPENDENCYPART_ARC
(23,24),-0.919895 # DEPENDENCYPART_ARC
(23,25),0.991621 # DEPENDENCYPART_ARC
(23,26),-1.66844 # DEPENDENCYPART_ARC
(23,27),0.520788 # DEPENDENCYPART_ARC
(23,28),-1.49518 # DEPENDENCYPART_ARC
(23,29),-1.38293 # DEPENDENCYPART_ARC
(23,30),-1.41732 # DEPENDENCYPART_ARC
(23,32),-2.14142 # DEPENDENCYPART_ARC
(25,20),-1.85528 # DEPENDENCYPART_ARC
(25,22),-2.03479 # DEPENDENCYPART_ARC
(25,24),1.71302 # DEPENDENCYPART_ARC
(25,26),1.88679 # DEPENDENCYPART_ARC
(25,27),-1.22532 # DEPENDENCYPART_ARC
(25,28),-1.14711 # DEPENDENCYPART_ARC
(25,29),-1.28764 # DEPENDENCYPART_ARC
(25,30),-1.17445 # DEPENDENCYPART_ARC
(25,32),-2.3998 # DEPENDENCYPART_ARC
(26,24),-1.2198 # DEPENDENCYPART_ARC
(26,25),-0.855542 # DEPENDENCYPART_ARC
(26,27),-1.67758 # DEPENDENCYPART_ARC
(27,10),-2.55475 # DEPENDENCYPART_ARC
(27,17),-4.39071 # DEPENDENCYPART_ARC
(27,18),-2.35516 # DEPENDENCYPART_ARC
(27,19),-2.09135 # DEPENDENCYPART_ARC
(27,20),-2.05778 # DEPENDENCYPART_ARC
(27,22),-1.99311 # DEPENDENCYPART_ARC
(27,23),-1.62704 # DEPENDENCYPART_ARC
(27,24),-0.979065 # DEPENDENCYPART_ARC
(27,25),0.263996 # DEPENDENCYPART_ARC
(27,26),-0.528854 # DEPENDENCYPART_ARC
(27,28),-0.8995 # DEPENDENCYPART_ARC
(27,29),-1.2829 # DEPENDENCYPART_ARC
(27,30),-1.60752 # DEPENDENCYPART_ARC
(27,31),-2.15469 # DEPENDENCYPART_ARC
(27,32),-2.24962 # DEPENDENCYPART_ARC
(30,2),-3.24993 # DEPENDENCYPART_ARC
(30,3),-3.0703 # DEPENDENCYPART_ARC
(30,4),-2.19161 # DEPENDENCYPART_ARC
(30,6),-2.72723 # DEPENDENCYPART_ARC
(30,7),-1.03399 # DEPENDENCYPART_ARC
(30,8),-3.07131 # DEPENDENCYPART_ARC
(30,10),-2.9199 # DEPENDENCYPART_ARC
(30,15),-3.21448 # DEPENDENCYPART_ARC
(30,16),-2.42063 # DEPENDENCYPART_ARC
(30,18),-2.28952 # DEPENDENCYPART_ARC
(30,19),-1.126 # DEPENDENCYPART_ARC
(30,20),-2.09482 # DEPENDENCYPART_ARC
(30,21),-1.23056 # DEPENDENCYPART_ARC
(30,22),-2.16355 # DEPENDENCYPART_ARC
(30,23),-2.26483 # DEPENDENCYPART_ARC
(30,25),-2.24574 # DEPENDENCYPART_ARC
(30,26),-1.83431 # DEPENDENCYPART_ARC
(30,27),-1.3705 # DEPENDENCYPART_ARC
(30,28),0.0872763 # DEPENDENCYPART_ARC
(30,29),0.479696 # DEPENDENCYPART_ARC
(30,31),-0.508583 # DEPENDENCYPART_ARC
(30,32),-0.560223 # DEPENDENCYPART_ARC
(30,33),0.736772 # DEPENDENCYPART_ARC
(31,32),-1.39111 # DEPENDENCYPART_ARC
(32,24),-2.44886 # DEPENDENCYPART_ARC
(32,25),-2.059 # DEPENDENCYPART_ARC
(32,27),-1.97213 # DEPENDENCYPART_ARC
(32,28),-1.95771 # DEPENDENCYPART_ARC
(32,29),-1.77906 # DEPENDENCYPART_ARC
(32,30),-1.10464 # DEPENDENCYPART_ARC
(32,31),1.20664 # DEPENDENCYPART_ARC
(32,33),-1.05715 # DEPENDENCYPART_ARC
(33,32),-2.36457 # DEPENDENCYPART_ARC
(0,7),(0,30),-1.83686 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0681258 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.111573 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0083951 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0648494 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.249507 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0187465 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0464243 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.00955824 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0840745 # DEPENDENCYPART_SIBL
