# _root_ That should stop a lot of account-churning , and produce a stock market driven only by professional concern , careful thought and good sense .
#goldHeads=2,0,2,5,3,5,6,3,3,9,13,13,10,13,14,14,18,16,18,21,18,21,24,22,2,
#predictedHeads=2,0,2,5,3,5,6,3,3,9,13,13,10,13,16,14,18,16,18,21,18,21,24,22,2,
(0,1),-3.36377 # DEPENDENCYPART_ARC
(0,2),-1.62782 # DEPENDENCYPART_ARC
(0,3),-3.12138 # DEPENDENCYPART_ARC
(1,2),-1.13013 # DEPENDENCYPART_ARC
(1,3),-1.965 # DEPENDENCYPART_ARC
(1,8),-2.14851 # DEPENDENCYPART_ARC
(1,9),-1.9684 # DEPENDENCYPART_ARC
(2,1),0.415634 # DEPENDENCYPART_ARC
(2,3),2.17354 # DEPENDENCYPART_ARC
(2,5),-1.27043 # DEPENDENCYPART_ARC
(2,6),-1.11174 # DEPENDENCYPART_ARC
(2,7),-1.58587 # DEPENDENCYPART_ARC
(2,8),-0.641422 # DEPENDENCYPART_ARC
(2,9),-0.802504 # DEPENDENCYPART_ARC
(2,10),-1.5269 # DEPENDENCYPART_ARC
(2,14),-1.90758 # DEPENDENCYPART_ARC
(2,19),-1.6617 # DEPENDENCYPART_ARC
(2,22),-2.29313 # DEPENDENCYPART_ARC
(2,25),0.450987 # DEPENDENCYPART_ARC
(3,1),-1.36655 # DEPENDENCYPART_ARC
(3,2),-1.15532 # DEPENDENCYPART_ARC
(3,4),-0.678458 # DEPENDENCYPART_ARC
(3,5),0.52752 # DEPENDENCYPART_ARC
(3,6),-0.278634 # DEPENDENCYPART_ARC
(3,7),-0.455706 # DEPENDENCYPART_ARC
(3,8),-0.945351 # DEPENDENCYPART_ARC
(3,9),-0.592176 # DEPENDENCYPART_ARC
(3,10),-1.43412 # DEPENDENCYPART_ARC
(3,13),-1.29425 # DEPENDENCYPART_ARC
(3,14),-1.4988 # DEPENDENCYPART_ARC
(3,15),-1.84931 # DEPENDENCYPART_ARC
(3,16),-1.3185 # DEPENDENCYPART_ARC
(3,18),-1.89448 # DEPENDENCYPART_ARC
(3,19),-1.28438 # DEPENDENCYPART_ARC
(3,20),-2.38304 # DEPENDENCYPART_ARC
(3,22),-1.9687 # DEPENDENCYPART_ARC
(3,25),-1.4431 # DEPENDENCYPART_ARC
(4,1),-2.12136 # DEPENDENCYPART_ARC
(4,6),-1.41924 # DEPENDENCYPART_ARC
(4,9),-1.80157 # DEPENDENCYPART_ARC
(5,1),-1.84773 # DEPENDENCYPART_ARC
(5,4),1.55698 # DEPENDENCYPART_ARC
(5,6),0.966634 # DEPENDENCYPART_ARC
(5,7),-0.747447 # DEPENDENCYPART_ARC
(5,8),-0.920835 # DEPENDENCYPART_ARC
(5,9),-1.09102 # DEPENDENCYPART_ARC
(5,10),-1.71106 # DEPENDENCYPART_ARC
(5,12),-1.87106 # DEPENDENCYPART_ARC
(5,13),-1.63672 # DEPENDENCYPART_ARC
(5,14),-1.62667 # DEPENDENCYPART_ARC
