# _root_ West German Economics Minister Helmut Haussmann said , `` In my view , the stock market will stabilize relatively quickly .
#goldHeads=6,6,6,6,6,7,0,7,7,17,12,10,17,16,16,17,7,17,18,19,7,
#predictedHeads=2,6,6,6,6,7,0,7,7,17,12,10,17,16,16,17,7,17,18,19,7,
(0,7),0.318137 # DEPENDENCYPART_ARC
(0,17),-3.10376 # DEPENDENCYPART_ARC
(1,2),-1.13669 # DEPENDENCYPART_ARC
(1,3),-1.7216 # DEPENDENCYPART_ARC
(1,4),-1.92413 # DEPENDENCYPART_ARC
(1,8),-1.65926 # DEPENDENCYPART_ARC
(1,10),-2.07095 # DEPENDENCYPART_ARC
(1,17),-2.24227 # DEPENDENCYPART_ARC
(2,1),0.675251 # DEPENDENCYPART_ARC
(2,3),-1.12322 # DEPENDENCYPART_ARC
(2,4),-1.59332 # DEPENDENCYPART_ARC
(2,5),-1.86907 # DEPENDENCYPART_ARC
(2,8),-1.23864 # DEPENDENCYPART_ARC
(2,9),-2.30715 # DEPENDENCYPART_ARC
(2,10),-2.14958 # DEPENDENCYPART_ARC
(2,13),-1.40025 # DEPENDENCYPART_ARC
(2,17),-2.15113 # DEPENDENCYPART_ARC
(3,1),-1.89415 # DEPENDENCYPART_ARC
(3,2),-0.861595 # DEPENDENCYPART_ARC
(3,4),-1.68901 # DEPENDENCYPART_ARC
(3,5),-2.35012 # DEPENDENCYPART_ARC
(3,6),-2.59572 # DEPENDENCYPART_ARC
(4,1),-2.0889 # DEPENDENCYPART_ARC
(4,2),-1.13634 # DEPENDENCYPART_ARC
(4,3),-0.781076 # DEPENDENCYPART_ARC
(4,5),-1.50028 # DEPENDENCYPART_ARC
(4,6),-1.7479 # DEPENDENCYPART_ARC
(4,8),-2.09174 # DEPENDENCYPART_ARC
(4,13),-2.53707 # DEPENDENCYPART_ARC
(5,1),-2.00315 # DEPENDENCYPART_ARC
(5,2),-1.22647 # DEPENDENCYPART_ARC
(5,3),-0.857431 # DEPENDENCYPART_ARC
(5,4),-0.386183 # DEPENDENCYPART_ARC
(5,6),-0.477815 # DEPENDENCYPART_ARC
(5,7),-1.97334 # DEPENDENCYPART_ARC
(5,8),-1.7834 # DEPENDENCYPART_ARC
(5,9),-2.68145 # DEPENDENCYPART_ARC
(5,10),-2.97396 # DEPENDENCYPART_ARC
(5,12),-3.02891 # DEPENDENCYPART_ARC
(5,13),-2.36489 # DEPENDENCYPART_ARC
(5,16),-4.50158 # DEPENDENCYPART_ARC
(5,17),-3.22083 # DEPENDENCYPART_ARC
(6,1),-0.979694 # DEPENDENCYPART_ARC
(6,2),-0.163353 # DEPENDENCYPART_ARC
(6,3),0.214503 # DEPENDENCYPART_ARC
(6,4),0.785921 # DEPENDENCYPART_ARC
(6,5),1.41368 # DEPENDENCYPART_ARC
(6,7),-0.442697 # DEPENDENCYPART_ARC
(6,8),-1.19636 # DEPENDENCYPART_ARC
(6,9),-1.84115 # DEPENDENCYPART_ARC
(6,10),-2.06767 # DEPENDENCYPART_ARC
(6,12),-2.34006 # DEPENDENCYPART_ARC
(6,13),-1.67657 # DEPENDENCYPART_ARC
(6,16),-3.34079 # DEPENDENCYPART_ARC
(6,17),-2.35828 # DEPENDENCYPART_ARC
(7,1),-1.90223 # DEPENDENCYPART_ARC
(7,2),-2.07331 # DEPENDENCYPART_ARC
(7,3),-1.80554 # DEPENDENCYPART_ARC
(7,4),-1.53045 # DEPENDENCYPART_ARC
(7,5),-1.24766 # DEPENDENCYPART_ARC
(7,6),0.00302048 # DEPENDENCYPART_ARC
(7,8),1.06141 # DEPENDENCYPART_ARC
(7,9),-0.353797 # DEPENDENCYPART_ARC
(7,10),-1.27128 # DEPENDENCYPART_ARC
(7,12),-1.92971 # DEPENDENCYPART_ARC
(7,13),-1.18292 # DEPENDENCYPART_ARC
(7,16),-2.85608 # DEPENDENCYPART_ARC
(7,17),-0.721165 # DEPENDENCYPART_ARC
(7,18),-2.50587 # DEPENDENCYPART_ARC
(7,19),-2.34952 # DEPENDENCYPART_ARC
(7,20),-2.45474 # DEPENDENCYPART_ARC
(7,21),-0.420816 # DEPENDENCYPART_ARC
(8,9),-1.46117 # DEPENDENCYPART_ARC
(9,6),-2.89154 # DEPENDENCYPART_ARC
(9,7),-2.65123 # DEPENDENCYPART_ARC
(9,8),-1.84324 # DEPENDENCYPART_ARC
(9,10),-2.03737 # DEPENDENCYPART_ARC
(10,6),-2.75629 # DEPENDENCYPART_ARC
(10,7),-1.83394 # DEPENDENCYPART_ARC
(10,8),-1.87522 # DEPENDENCYPART_ARC
(10,9),-1.38606 # DEPENDENCYPART_ARC
(10,11),-0.742525 # DEPENDENCYPART_ARC
(10,12),1.49077 # DEPENDENCYPART_ARC
(10,13),-1.12309 # DEPENDENCYPART_ARC
(10,15),-1.61842 # DEPENDENCYPART_ARC
(10,16),-1.26312 # DEPENDENCYPART_ARC
(10,17),-1.13889 # DEPENDENCYPART_ARC
(10,18),-1.95717 # DEPENDENCYPART_ARC
(10,19),-2.29073 # DEPENDENCYPART_ARC
(10,20),-2.34196 # DEPENDENCYPART_ARC
(10,21),-2.18239 # DEPENDENCYPART_ARC
(12,1),-2.76931 # DEPENDENCYPART_ARC
(12,2),-2.40851 # DEPENDENCYPART_ARC
(12,3),-2.87391 # DEPENDENCYPART_ARC
(12,6),-3.0162 # DEPENDENCYPART_ARC
(12,7),-2.33511 # DEPENDENCYPART_ARC
(12,8),-2.04578 # DEPENDENCYPART_ARC
(12,9),-1.49373 # DEPENDENCYPART_ARC
(12,11),1.63029 # DEPENDENCYPART_ARC
(12,13),-0.874459 # DEPENDENCYPART_ARC
(12,15),-1.74799 # DEPENDENCYPART_ARC
(12,16),-1.74824 # DEPENDENCYPART_ARC
(12,17),-1.92779 # DEPENDENCYPART_ARC
(12,19),-2.20367 # DEPENDENCYPART_ARC
(12,20),-2.29533 # DEPENDENCYPART_ARC
(12,21),-2.4401 # DEPENDENCYPART_ARC
(15,11),-2.24195 # DEPENDENCYPART_ARC
(15,14),-0.61981 # DEPENDENCYPART_ARC
(15,16),-1.10976 # DEPENDENCYPART_ARC
(15,19),-2.17938 # DEPENDENCYPART_ARC
(15,20),-2.24142 # DEPENDENCYPART_ARC
(16,1),-2.74226 # DEPENDENCYPART_ARC
(16,2),-2.64598 # DEPENDENCYPART_ARC
(16,7),-2.19554 # DEPENDENCYPART_ARC
(16,9),-2.1647 # DEPENDENCYPART_ARC
(16,10),-1.4972 # DEPENDENCYPART_ARC
(16,11),-0.185291 # DEPENDENCYPART_ARC
(16,12),-1.09406 # DEPENDENCYPART_ARC
(16,13),-1.2305 # DEPENDENCYPART_ARC
(16,14),1.66118 # DEPENDENCYPART_ARC
(16,15),1.87881 # DEPENDENCYPART_ARC
(16,17),-1.58743 # DEPENDENCYPART_ARC
(16,19),-2.04661 # DEPENDENCYPART_ARC
(16,20),-2.23962 # DEPENDENCYPART_ARC
(17,1),-2.24823 # DEPENDENCYPART_ARC
(17,2),-2.34287 # DEPENDENCYPART_ARC
(17,3),-1.53792 # DEPENDENCYPART_ARC
(17,4),-1.53629 # DEPENDENCYPART_ARC
(17,5),-1.51552 # DEPENDENCYPART_ARC
(17,6),-1.4789 # DEPENDENCYPART_ARC
(17,7),-1.57452 # DEPENDENCYPART_ARC
(17,8),-1.47341 # DEPENDENCYPART_ARC
(17,9),-0.895375 # DEPENDENCYPART_ARC
(17,10),-0.521046 # DEPENDENCYPART_ARC
(17,11),-1.21981 # DEPENDENCYPART_ARC
(17,12),-0.78532 # DEPENDENCYPART_ARC
(17,13),0.194749 # DEPENDENCYPART_ARC
