# _root_ Mr. Eskandarian , who resigned his Della Femina post in September , becomes chairman and chief executive of Arnold .
#goldHeads=2,13,2,5,2,9,9,9,5,5,10,2,0,13,14,17,15,14,18,13,
#predictedHeads=2,13,2,5,2,9,9,9,5,5,10,2,0,13,14,17,15,14,18,13,
(0,1),-3.33977 # DEPENDENCYPART_ARC
(0,2),-3.8042 # DEPENDENCYPART_ARC
(0,5),-1.82057 # DEPENDENCYPART_ARC
(0,13),-0.163541 # DEPENDENCYPART_ARC
(1,2),-1.18326 # DEPENDENCYPART_ARC
(1,3),-1.24691 # DEPENDENCYPART_ARC
(1,4),-2.69909 # DEPENDENCYPART_ARC
(1,5),-1.91161 # DEPENDENCYPART_ARC
(1,9),-3.41375 # DEPENDENCYPART_ARC
(1,10),-2.57569 # DEPENDENCYPART_ARC
(1,12),-1.33175 # DEPENDENCYPART_ARC
(1,13),-3.1332 # DEPENDENCYPART_ARC
(1,20),-3.36725 # DEPENDENCYPART_ARC
(2,1),1.80185 # DEPENDENCYPART_ARC
(2,3),0.334781 # DEPENDENCYPART_ARC
(2,4),-1.80285 # DEPENDENCYPART_ARC
(2,5),-0.965422 # DEPENDENCYPART_ARC
(2,6),-2.07505 # DEPENDENCYPART_ARC
(2,7),-2.63369 # DEPENDENCYPART_ARC
(2,8),-2.98793 # DEPENDENCYPART_ARC
(2,9),-2.36513 # DEPENDENCYPART_ARC
(2,10),-2.24783 # DEPENDENCYPART_ARC
(2,11),-3.0093 # DEPENDENCYPART_ARC
(2,12),-0.458072 # DEPENDENCYPART_ARC
(2,13),-2.40149 # DEPENDENCYPART_ARC
(2,14),-3.77518 # DEPENDENCYPART_ARC
(2,15),-2.91872 # DEPENDENCYPART_ARC
(2,17),-4.09868 # DEPENDENCYPART_ARC
(2,18),-3.17301 # DEPENDENCYPART_ARC
(2,19),-4.78957 # DEPENDENCYPART_ARC
(2,20),-2.77413 # DEPENDENCYPART_ARC
(3,4),-2.17291 # DEPENDENCYPART_ARC
(3,5),-1.86301 # DEPENDENCYPART_ARC
(4,2),-2.45377 # DEPENDENCYPART_ARC
(4,3),-1.71802 # DEPENDENCYPART_ARC
(4,5),-0.898094 # DEPENDENCYPART_ARC
(4,9),-2.52948 # DEPENDENCYPART_ARC
(5,1),-2.21429 # DEPENDENCYPART_ARC
(5,2),-1.94234 # DEPENDENCYPART_ARC
(5,3),-1.86192 # DEPENDENCYPART_ARC
(5,4),1.53978 # DEPENDENCYPART_ARC
(5,6),-0.49916 # DEPENDENCYPART_ARC
(5,7),-0.392103 # DEPENDENCYPART_ARC
(5,8),-0.713115 # DEPENDENCYPART_ARC
(5,9),-0.259372 # DEPENDENCYPART_ARC
(5,10),0.293093 # DEPENDENCYPART_ARC
(5,11),-1.28179 # DEPENDENCYPART_ARC
(5,12),-0.804646 # DEPENDENCYPART_ARC
(5,13),-0.950298 # DEPENDENCYPART_ARC
(5,14),-1.37061 # DEPENDENCYPART_ARC
(5,15),-1.04258 # DEPENDENCYPART_ARC
(5,17),-1.61018 # DEPENDENCYPART_ARC
(5,18),-1.00813 # DEPENDENCYPART_ARC
(5,19),-2.24459 # DEPENDENCYPART_ARC
(5,20),-0.909087 # DEPENDENCYPART_ARC
(6,2),-2.74048 # DEPENDENCYPART_ARC
(6,3),-2.28219 # DEPENDENCYPART_ARC
(6,4),-1.68565 # DEPENDENCYPART_ARC
(6,5),-1.60002 # DEPENDENCYPART_ARC
(6,7),-1.40169 # DEPENDENCYPART_ARC
(6,8),-2.06863 # DEPENDENCYPART_ARC
(6,10),-2.07625 # DEPENDENCYPART_ARC
(7,2),-3.89779 # DEPENDENCYPART_ARC
(7,4),-3.17118 # DEPENDENCYPART_ARC
(7,5),-2.90099 # DEPENDENCYPART_ARC
(7,6),-1.22516 # DEPENDENCYPART_ARC
(7,8),-1.78961 # DEPENDENCYPART_ARC
(7,10),-2.31788 # DEPENDENCYPART_ARC
(7,11),-3.06806 # DEPENDENCYPART_ARC
(7,12),-2.11369 # DEPENDENCYPART_ARC
(7,13),-2.83023 # DEPENDENCYPART_ARC
(7,14),-3.89168 # DEPENDENCYPART_ARC
(7,15),-2.84408 # DEPENDENCYPART_ARC
(8,2),-4.26252 # DEPENDENCYPART_ARC
(8,4),-2.73547 # DEPENDENCYPART_ARC
(8,5),-2.45484 # DEPENDENCYPART_ARC
(8,6),-1.01006 # DEPENDENCYPART_ARC
(8,7),-0.484614 # DEPENDENCYPART_ARC
(8,9),-1.33311 # DEPENDENCYPART_ARC
(8,10),-1.83174 # DEPENDENCYPART_ARC
(8,11),-2.44985 # DEPENDENCYPART_ARC
(8,12),-1.4735 # DEPENDENCYPART_ARC
(8,13),-2.21264 # DEPENDENCYPART_ARC
(8,14),-3.41593 # DEPENDENCYPART_ARC
(8,15),-2.45191 # DEPENDENCYPART_ARC
(8,20),-3.01875 # DEPENDENCYPART_ARC
(9,1),-1.96355 # DEPENDENCYPART_ARC
(9,2),-2.27825 # DEPENDENCYPART_ARC
(9,3),-2.29806 # DEPENDENCYPART_ARC
(9,4),-0.984792 # DEPENDENCYPART_ARC
(9,5),-1.22479 # DEPENDENCYPART_ARC
(9,6),1.10436 # DEPENDENCYPART_ARC
(9,7),1.02476 # DEPENDENCYPART_ARC
(9,8),1.47581 # DEPENDENCYPART_ARC
(9,10),0.201873 # DEPENDENCYPART_ARC
(9,11),-1.23722 # DEPENDENCYPART_ARC
(9,12),-0.984928 # DEPENDENCYPART_ARC
(9,13),-1.25507 # DEPENDENCYPART_ARC
(9,14),-1.89308 # DEPENDENCYPART_ARC
(9,15),-1.24743 # DEPENDENCYPART_ARC
(9,17),-2.45465 # DEPENDENCYPART_ARC
(9,18),-1.84744 # DEPENDENCYPART_ARC
(9,19),-2.90116 # DEPENDENCYPART_ARC
(9,20),-2.04596 # DEPENDENCYPART_ARC
(10,4),-1.98614 # DEPENDENCYPART_ARC
(10,9),-1.706 # DEPENDENCYPART_ARC
(10,11),1.65779 # DEPENDENCYPART_ARC
(10,12),-1.46317 # DEPENDENCYPART_ARC
(10,13),-0.924933 # DEPENDENCYPART_ARC
(10,14),-0.75385 # DEPENDENCYPART_ARC
(10,15),-1.87694 # DEPENDENCYPART_ARC
(10,17),-1.72715 # DEPENDENCYPART_ARC
(11,6),-2.45806 # DEPENDENCYPART_ARC
(11,7),-1.98707 # DEPENDENCYPART_ARC
(11,8),-1.96737 # DEPENDENCYPART_ARC
(11,9),-1.93349 # DEPENDENCYPART_ARC
(11,12),-1.22265 # DEPENDENCYPART_ARC
(11,13),-1.74267 # DEPENDENCYPART_ARC
(11,14),-2.47018 # DEPENDENCYPART_ARC
(11,15),-2.48489 # DEPENDENCYPART_ARC
(11,17),-3.43431 # DEPENDENCYPART_ARC
(11,18),-2.32672 # DEPENDENCYPART_ARC
(13,1),-2.0363 # DEPENDENCYPART_ARC
(13,2),-1.70188 # DEPENDENCYPART_ARC
(13,3),-1.85034 # DEPENDENCYPART_ARC
(13,4),-1.159 # DEPENDENCYPART_ARC
(13,5),-1.50246 # DEPENDENCYPART_ARC
(13,6),-2.01584 # DEPENDENCYPART_ARC
(13,7),-1.50966 # DEPENDENCYPART_ARC
(13,8),-1.61755 # DEPENDENCYPART_ARC
(13,9),-1.05124 # DEPENDENCYPART_ARC
(13,10),-1.37766 # DEPENDENCYPART_ARC
(13,11),-0.801518 # DEPENDENCYPART_ARC
(13,12),-0.756381 # DEPENDENCYPART_ARC
(13,14),0.953541 # DEPENDENCYPART_ARC
(13,15),0.0745195 # DEPENDENCYPART_ARC
(13,16),-1.01738 # DEPENDENCYPART_ARC
(13,17),-0.362824 # DEPENDENCYPART_ARC
(13,18),-0.725023 # DEPENDENCYPART_ARC
(13,19),-1.93513 # DEPENDENCYPART_ARC
(13,20),0.479511 # DEPENDENCYPART_ARC
(14,6),-1.7164 # DEPENDENCYPART_ARC
(14,9),-2.40404 # DEPENDENCYPART_ARC
(14,10),-2.22361 # DEPENDENCYPART_ARC
(14,11),-1.82625 # DEPENDENCYPART_ARC
(14,12),-1.88462 # DEPENDENCYPART_ARC
(14,13),-1.05255 # DEPENDENCYPART_ARC
(14,15),1.63607 # DEPENDENCYPART_ARC
(14,16),-0.817488 # DEPENDENCYPART_ARC
(14,17),-0.979767 # DEPENDENCYPART_ARC
(14,18),0.680431 # DEPENDENCYPART_ARC
(14,19),-1.63856 # DEPENDENCYPART_ARC
(14,20),-1.82403 # DEPENDENCYPART_ARC
(15,2),-1.94307 # DEPENDENCYPART_ARC
(15,16),0.176952 # DEPENDENCYPART_ARC
(15,17),0.526153 # DEPENDENCYPART_ARC
(15,18),-1.16596 # DEPENDENCYPART_ARC
(15,19),-1.98194 # DEPENDENCYPART_ARC
(16,18),-1.38044 # DEPENDENCYPART_ARC
(16,19),-2.3873 # DEPENDENCYPART_ARC
(17,6),-1.57182 # DEPENDENCYPART_ARC
(17,7),-2.39541 # DEPENDENCYPART_ARC
(17,9),-2.70026 # DEPENDENCYPART_ARC
(17,10),-2.28631 # DEPENDENCYPART_ARC
(17,11),-2.80187 # DEPENDENCYPART_ARC
(17,14),-0.923719 # DEPENDENCYPART_ARC
(17,15),-1.41699 # DEPENDENCYPART_ARC
(17,16),1.10683 # DEPENDENCYPART_ARC
(17,18),0.798517 # DEPENDENCYPART_ARC
(17,19),-1.58693 # DEPENDENCYPART_ARC
(17,20),-1.57985 # DEPENDENCYPART_ARC
(18,17),-1.4182 # DEPENDENCYPART_ARC
(18,19),1.03788 # DEPENDENCYPART_ARC
(18,20),-2.10397 # DEPENDENCYPART_ARC
(19,16),-1.52013 # DEPENDENCYPART_ARC
(19,17),-1.62275 # DEPENDENCYPART_ARC
(19,20),-1.46459 # DEPENDENCYPART_ARC
(20,19),-2.20846 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.221316 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.763768 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.657603 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.763386 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.656255 # DEPENDENCYPART_SIBL
(0,5),(0,13),-1.38231 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0122182 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0852745 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0314453 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0769277 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0274765 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.0122182 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0323027 # DEPENDENCYPART_SIBL
(1,2),(1,20),0.00140003 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.061135 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.55526 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.628119 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.22741 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0717663 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.456652 # DEPENDENCYPART_SIBL
(1,3),(1,20),-0.0015518 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0095783 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.10003 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0133569 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0183385 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0321968 # DEPENDENCYPART_SIBL
(1,4),(1,20),-0.0166224 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.130122 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0100735 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.429878 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.139771 # DEPENDENCYPART_SIBL
(1,5),(1,20),0.014837 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0118621 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.234567 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.0383143 # DEPENDENCYPART_SIBL
(1,9),(1,20),0.0585526 # DEPENDENCYPART_SIBL
(1,10),(1,12),0.0159359 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.0342119 # DEPENDENCYPART_SIBL
(1,10),(1,20),0.0127333 # DEPENDENCYPART_SIBL
(1,12),(1,13),0.456652 # DEPENDENCYPART_SIBL
(1,12),(1,20),-0.0015518 # DEPENDENCYPART_SIBL
(1,13),(1,20),0.161256 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0593893 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.104897 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0682834 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0498917 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0286515 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0306701 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0834516 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0532418 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0319088 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0593893 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0177727 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0964475 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.28704 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0543536 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.027284 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0309032 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0946449 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0669884 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.530228 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.164877 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.702809 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.702558 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.643063 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.226792 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.700908 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0761993 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.46516 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.806322 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.449565 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.692781 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.347133 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.714647 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.00426558 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00781821 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0538394 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0277881 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0277733 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0968443 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0199421 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0272238 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0313252 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0311946 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0569503 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0499935 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0898537 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0515028 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0303321 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0166049 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0481616 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0131575 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0131428 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.126861 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.00356364 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0125059 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.417079 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.138693 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0923522 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0751634 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.119571 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0633726 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.0157015 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.014933 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.041816 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0418012 # DEPENDENCYPART_SIBL
