# _root_ At Shearson Lehman , executives created potential new commercials Friday night and throughout the weekend , then had to regroup yesterday afternoon .
#goldHeads=6,3,1,6,6,0,9,9,6,11,6,11,12,15,13,6,18,6,18,19,22,20,6,
#predictedHeads=6,3,1,6,6,0,9,9,6,11,6,6,12,15,13,18,18,12,18,19,22,20,6,
(0,1),-3.80465 # DEPENDENCYPART_ARC
(0,3),-3.9435 # DEPENDENCYPART_ARC
(0,5),-3.61168 # DEPENDENCYPART_ARC
(0,6),-1.57399 # DEPENDENCYPART_ARC
(0,18),-2.72019 # DEPENDENCYPART_ARC
(1,2),-0.426441 # DEPENDENCYPART_ARC
(1,3),0.153057 # DEPENDENCYPART_ARC
(1,4),-1.3021 # DEPENDENCYPART_ARC
(1,5),-1.24835 # DEPENDENCYPART_ARC
(1,6),-0.18224 # DEPENDENCYPART_ARC
(1,7),-2.41846 # DEPENDENCYPART_ARC
(1,9),-1.89136 # DEPENDENCYPART_ARC
(1,11),-2.4787 # DEPENDENCYPART_ARC
(1,12),-0.833271 # DEPENDENCYPART_ARC
(1,23),-3.39087 # DEPENDENCYPART_ARC
(2,1),-2.18083 # DEPENDENCYPART_ARC
(2,3),-0.952067 # DEPENDENCYPART_ARC
(2,4),-1.63344 # DEPENDENCYPART_ARC
(2,5),-2.39432 # DEPENDENCYPART_ARC
(2,6),-2.15485 # DEPENDENCYPART_ARC
(3,1),-1.52915 # DEPENDENCYPART_ARC
(3,2),1.58753 # DEPENDENCYPART_ARC
(3,4),-0.529944 # DEPENDENCYPART_ARC
(3,5),-1.64128 # DEPENDENCYPART_ARC
(3,6),-1.50268 # DEPENDENCYPART_ARC
(3,7),-2.00713 # DEPENDENCYPART_ARC
(3,8),-2.12969 # DEPENDENCYPART_ARC
(3,9),-2.7487 # DEPENDENCYPART_ARC
(3,10),-3.52477 # DEPENDENCYPART_ARC
(3,11),-2.9576 # DEPENDENCYPART_ARC
(3,12),-2.99279 # DEPENDENCYPART_ARC
(3,15),-3.64188 # DEPENDENCYPART_ARC
(3,16),-1.30841 # DEPENDENCYPART_ARC
(3,18),-3.13264 # DEPENDENCYPART_ARC
(3,23),-3.26957 # DEPENDENCYPART_ARC
(5,1),-2.19588 # DEPENDENCYPART_ARC
(5,2),-1.03523 # DEPENDENCYPART_ARC
(5,3),-0.648935 # DEPENDENCYPART_ARC
(5,4),-1.17047 # DEPENDENCYPART_ARC
(5,6),-0.39527 # DEPENDENCYPART_ARC
(5,7),-1.25391 # DEPENDENCYPART_ARC
(5,8),-1.43897 # DEPENDENCYPART_ARC
(5,9),-1.42803 # DEPENDENCYPART_ARC
(5,10),-2.0646 # DEPENDENCYPART_ARC
(5,11),-2.06555 # DEPENDENCYPART_ARC
(5,12),-1.45874 # DEPENDENCYPART_ARC
(5,13),-1.43958 # DEPENDENCYPART_ARC
(5,16),-1.30429 # DEPENDENCYPART_ARC
(5,18),-2.22863 # DEPENDENCYPART_ARC
(5,23),-2.8778 # DEPENDENCYPART_ARC
(6,1),-1.08311 # DEPENDENCYPART_ARC
(6,2),-1.58656 # DEPENDENCYPART_ARC
(6,3),-1.2175 # DEPENDENCYPART_ARC
(6,4),-0.103814 # DEPENDENCYPART_ARC
(6,5),1.20403 # DEPENDENCYPART_ARC
(6,7),0.14657 # DEPENDENCYPART_ARC
(6,8),-0.896012 # DEPENDENCYPART_ARC
(6,9),-0.376751 # DEPENDENCYPART_ARC
(6,10),-0.827831 # DEPENDENCYPART_ARC
(6,11),-0.690286 # DEPENDENCYPART_ARC
(6,12),-0.696268 # DEPENDENCYPART_ARC
(6,13),-0.527353 # DEPENDENCYPART_ARC
(6,15),-1.46484 # DEPENDENCYPART_ARC
(6,16),-1.28328 # DEPENDENCYPART_ARC
(6,17),-1.29011 # DEPENDENCYPART_ARC
(6,18),-1.86595 # DEPENDENCYPART_ARC
(6,19),-1.57104 # DEPENDENCYPART_ARC
(6,21),-2.04727 # DEPENDENCYPART_ARC
(6,22),-2.56253 # DEPENDENCYPART_ARC
(6,23),0.18116 # DEPENDENCYPART_ARC
(7,3),-2.1685 # DEPENDENCYPART_ARC
(7,5),-1.8157 # DEPENDENCYPART_ARC
(7,6),-1.30479 # DEPENDENCYPART_ARC
(7,8),-0.861961 # DEPENDENCYPART_ARC
(7,9),-1.28552 # DEPENDENCYPART_ARC
(7,10),-1.83078 # DEPENDENCYPART_ARC
(7,11),-1.71778 # DEPENDENCYPART_ARC
(7,12),-1.77875 # DEPENDENCYPART_ARC
(7,13),-1.66287 # DEPENDENCYPART_ARC
(8,1),-2.22689 # DEPENDENCYPART_ARC
(8,3),-2.37375 # DEPENDENCYPART_ARC
(8,4),-2.32695 # DEPENDENCYPART_ARC
(8,5),-2.01388 # DEPENDENCYPART_ARC
(8,6),-1.96624 # DEPENDENCYPART_ARC
(8,7),-0.152654 # DEPENDENCYPART_ARC
(8,9),-1.08803 # DEPENDENCYPART_ARC
(8,10),-1.97024 # DEPENDENCYPART_ARC
(8,11),-1.86651 # DEPENDENCYPART_ARC
(8,12),-1.76956 # DEPENDENCYPART_ARC
(9,1),-2.29051 # DEPENDENCYPART_ARC
(9,2),-1.7351 # DEPENDENCYPART_ARC
(9,3),-2.22655 # DEPENDENCYPART_ARC
(9,4),-2.08645 # DEPENDENCYPART_ARC
(9,5),-1.49855 # DEPENDENCYPART_ARC
(9,6),-1.38817 # DEPENDENCYPART_ARC
(9,7),1.04782 # DEPENDENCYPART_ARC
(9,8),1.49398 # DEPENDENCYPART_ARC
(9,10),-1.31539 # DEPENDENCYPART_ARC
(9,11),-1.39046 # DEPENDENCYPART_ARC
(9,12),-1.40422 # DEPENDENCYPART_ARC
(9,13),-1.30556 # DEPENDENCYPART_ARC
(9,15),-2.17373 # DEPENDENCYPART_ARC
(9,16),-1.38981 # DEPENDENCYPART_ARC
(9,17),-1.94832 # DEPENDENCYPART_ARC
(9,18),-1.69256 # DEPENDENCYPART_ARC
(9,19),-1.98954 # DEPENDENCYPART_ARC
(9,23),-2.64989 # DEPENDENCYPART_ARC
(10,7),-2.43483 # DEPENDENCYPART_ARC
(10,8),-1.84879 # DEPENDENCYPART_ARC
(10,9),-1.53867 # DEPENDENCYPART_ARC
(10,12),-1.49615 # DEPENDENCYPART_ARC
(10,13),-1.94989 # DEPENDENCYPART_ARC
(11,1),-2.27828 # DEPENDENCYPART_ARC
(11,2),-2.3274 # DEPENDENCYPART_ARC
(11,3),-2.76717 # DEPENDENCYPART_ARC
(11,4),-2.80969 # DEPENDENCYPART_ARC
(11,5),-1.87426 # DEPENDENCYPART_ARC
(11,6),-1.90068 # DEPENDENCYPART_ARC
(11,7),-0.504829 # DEPENDENCYPART_ARC
(11,8),-0.227538 # DEPENDENCYPART_ARC
(11,9),-0.263062 # DEPENDENCYPART_ARC
(11,10),1.08599 # DEPENDENCYPART_ARC
(11,12),-0.302289 # DEPENDENCYPART_ARC
(11,13),-1.25097 # DEPENDENCYPART_ARC
(11,15),-1.89049 # DEPENDENCYPART_ARC
(11,16),-1.71372 # DEPENDENCYPART_ARC
(11,17),-1.96358 # DEPENDENCYPART_ARC
(11,18),-1.90174 # DEPENDENCYPART_ARC
(11,19),-2.00821 # DEPENDENCYPART_ARC
(11,23),-2.62099 # DEPENDENCYPART_ARC
(12,10),-1.91941 # DEPENDENCYPART_ARC
(12,11),-1.49135 # DEPENDENCYPART_ARC
(12,13),0.96978 # DEPENDENCYPART_ARC
(12,14),-1.77972 # DEPENDENCYPART_ARC
(12,15),-0.879963 # DEPENDENCYPART_ARC
(12,16),-1.29419 # DEPENDENCYPART_ARC
(12,17),-2.07011 # DEPENDENCYPART_ARC
(12,18),-0.748649 # DEPENDENCYPART_ARC
(12,19),-1.32368 # DEPENDENCYPART_ARC
(12,22),-2.40913 # DEPENDENCYPART_ARC
(13,14),-1.32857 # DEPENDENCYPART_ARC
(13,15),0.786904 # DEPENDENCYPART_ARC
(13,16),-1.37091 # DEPENDENCYPART_ARC
(13,17),-1.44936 # DEPENDENCYPART_ARC
(13,18),-0.319483 # DEPENDENCYPART_ARC
(13,19),-2.05213 # DEPENDENCYPART_ARC
(13,22),-2.22954 # DEPENDENCYPART_ARC
(13,23),-2.81392 # DEPENDENCYPART_ARC
(15,10),-1.8734 # DEPENDENCYPART_ARC
(15,13),-1.31152 # DEPENDENCYPART_ARC
(15,14),1.52665 # DEPENDENCYPART_ARC
(15,16),-1.1198 # DEPENDENCYPART_ARC
(15,17),-1.54296 # DEPENDENCYPART_ARC
(15,18),-1.3963 # DEPENDENCYPART_ARC
(15,19),-1.60603 # DEPENDENCYPART_ARC
(15,22),-2.32104 # DEPENDENCYPART_ARC
(17,15),-2.2489 # DEPENDENCYPART_ARC
(17,18),-0.696299 # DEPENDENCYPART_ARC
(17,19),-1.32932 # DEPENDENCYPART_ARC
(17,22),-2.44884 # DEPENDENCYPART_ARC
(18,1),-1.33604 # DEPENDENCYPART_ARC
(18,2),-2.06417 # DEPENDENCYPART_ARC
(18,3),-2.11053 # DEPENDENCYPART_ARC
(18,4),-2.33834 # DEPENDENCYPART_ARC
(18,5),-1.44381 # DEPENDENCYPART_ARC
(18,6),-2.16083 # DEPENDENCYPART_ARC
(18,7),-2.25759 # DEPENDENCYPART_ARC
(18,8),-2.31669 # DEPENDENCYPART_ARC
(18,9),-1.44458 # DEPENDENCYPART_ARC
(18,10),-1.65037 # DEPENDENCYPART_ARC
(18,11),-1.55465 # DEPENDENCYPART_ARC
(18,12),-1.93792 # DEPENDENCYPART_ARC
(18,13),-1.5805 # DEPENDENCYPART_ARC
(18,14),-2.18812 # DEPENDENCYPART_ARC
(18,15),-1.18835 # DEPENDENCYPART_ARC
(18,16),-1.10208 # DEPENDENCYPART_ARC
(18,17),0.165006 # DEPENDENCYPART_ARC
(18,19),1.68823 # DEPENDENCYPART_ARC
(18,20),-0.0231633 # DEPENDENCYPART_ARC
(18,21),-0.26546 # DEPENDENCYPART_ARC
(18,22),-0.572532 # DEPENDENCYPART_ARC
(18,23),-0.405187 # DEPENDENCYPART_ARC
(19,17),-1.59083 # DEPENDENCYPART_ARC
(19,20),1.83815 # DEPENDENCYPART_ARC
(19,21),-0.364378 # DEPENDENCYPART_ARC
(19,22),-0.908509 # DEPENDENCYPART_ARC
(20,1),-1.40374 # DEPENDENCYPART_ARC
(20,4),-1.9007 # DEPENDENCYPART_ARC
(20,9),-1.26283 # DEPENDENCYPART_ARC
(20,11),-1.46264 # DEPENDENCYPART_ARC
(20,13),-0.982169 # DEPENDENCYPART_ARC
(20,15),-1.26777 # DEPENDENCYPART_ARC
(20,16),-1.16147 # DEPENDENCYPART_ARC
(20,17),-0.707565 # DEPENDENCYPART_ARC
(20,19),-0.2651 # DEPENDENCYPART_ARC
(20,21),0.308601 # DEPENDENCYPART_ARC
(20,22),0.157105 # DEPENDENCYPART_ARC
(20,23),-1.5867 # DEPENDENCYPART_ARC
(21,22),-1.36675 # DEPENDENCYPART_ARC
(22,7),-3.128 # DEPENDENCYPART_ARC
(22,14),-1.99564 # DEPENDENCYPART_ARC
(22,15),-2.27245 # DEPENDENCYPART_ARC
(22,17),-1.76153 # DEPENDENCYPART_ARC
(22,19),-2.23227 # DEPENDENCYPART_ARC
(22,20),-1.15557 # DEPENDENCYPART_ARC
(22,21),1.23616 # DEPENDENCYPART_ARC
(22,23),-1.64318 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.119224 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.171833 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.744468 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.766127 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.186873 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.773241 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.771456 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.754292 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.764374 # DEPENDENCYPART_SIBL
(0,6),(0,18),-1.65664 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.70219 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0792717 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.716373 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.627716 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.302292 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.706895 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.757469 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0734145 # DEPENDENCYPART_SIBL
(1,2),(1,23),-0.170845 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0785386 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.716371 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.62719 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.302287 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.706893 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.756922 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0724619 # DEPENDENCYPART_SIBL
(1,3),(1,23),-0.16915 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0898987 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.130277 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.147439 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0842295 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0299553 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.531667 # DEPENDENCYPART_SIBL
(1,4),(1,23),0.0214683 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.604597 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.247533 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.876198 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.689255 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0631812 # DEPENDENCYPART_SIBL
(1,5),(1,23),-0.122099 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.142578 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.407472 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.412777 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.16885 # DEPENDENCYPART_SIBL
(1,6),(1,23),0.190504 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.482196 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.441358 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.0755046 # DEPENDENCYPART_SIBL
(1,7),(1,23),-0.0968451 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.690945 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.0560463 # DEPENDENCYPART_SIBL
(1,9),(1,23),-0.0971249 # DEPENDENCYPART_SIBL
(1,11),(1,12),-0.0893446 # DEPENDENCYPART_SIBL
(1,11),(1,23),-0.112269 # DEPENDENCYPART_SIBL
(1,12),(1,23),-0.0285502 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.11257 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0659556 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0403867 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.013782 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0398741 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0577364 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0904412 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.368225 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.471821 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0715289 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.062293 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0759988 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0403763 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0137468 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.017863 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0403237 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0398527 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.138525 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0211189 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0636571 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0287275 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0759988 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0320629 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.0784501 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0664524 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0296862 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0384921 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0720985 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.122211 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0202967 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0968654 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0291768 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0306574 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0481833 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0664524 # DEPENDENCYPART_SIBL
