# _root_ The average discount rate on new three-month Treasury bills was 7.37 % , the lowest since the average of 7.36 % at the auction on Oct. 17 , 1988 .
#goldHeads=4,4,4,10,4,9,9,9,5,0,12,10,12,15,12,15,18,16,18,21,19,18,24,22,24,25,26,26,26,10,
#predictedHeads=4,4,4,10,4,9,9,9,5,0,12,10,12,15,12,15,18,16,18,21,19,18,24,22,24,25,26,26,26,10,
(0,4),-3.67078 # DEPENDENCYPART_ARC
(0,9),-3.17039 # DEPENDENCYPART_ARC
(0,10),-1.17229 # DEPENDENCYPART_ARC
(2,1),-0.923857 # DEPENDENCYPART_ARC
(2,3),-0.942735 # DEPENDENCYPART_ARC
(2,5),-1.61957 # DEPENDENCYPART_ARC
(2,6),-2.31629 # DEPENDENCYPART_ARC
(3,1),-0.273501 # DEPENDENCYPART_ARC
(3,2),-0.15021 # DEPENDENCYPART_ARC
(3,4),-1.14672 # DEPENDENCYPART_ARC
(3,5),-1.35548 # DEPENDENCYPART_ARC
(3,6),-2.0607 # DEPENDENCYPART_ARC
(3,9),-2.53183 # DEPENDENCYPART_ARC
(4,1),0.984158 # DEPENDENCYPART_ARC
(4,2),1.30401 # DEPENDENCYPART_ARC
(4,3),1.93066 # DEPENDENCYPART_ARC
(4,5),0.283402 # DEPENDENCYPART_ARC
(4,6),-1.15274 # DEPENDENCYPART_ARC
(4,7),-1.43932 # DEPENDENCYPART_ARC
(4,8),-1.7351 # DEPENDENCYPART_ARC
(4,9),-1.5137 # DEPENDENCYPART_ARC
(4,10),-1.3066 # DEPENDENCYPART_ARC
(4,12),-1.64445 # DEPENDENCYPART_ARC
(4,13),-1.49026 # DEPENDENCYPART_ARC
(4,14),-2.7513 # DEPENDENCYPART_ARC
(4,15),-2.17695 # DEPENDENCYPART_ARC
(4,16),-2.11512 # DEPENDENCYPART_ARC
(4,18),-2.60033 # DEPENDENCYPART_ARC
(4,19),-3.79471 # DEPENDENCYPART_ARC
(4,21),-2.85992 # DEPENDENCYPART_ARC
(4,22),-1.83764 # DEPENDENCYPART_ARC
(4,24),-2.97708 # DEPENDENCYPART_ARC
(4,25),-2.43315 # DEPENDENCYPART_ARC
(4,30),-2.82415 # DEPENDENCYPART_ARC
(5,4),-1.46639 # DEPENDENCYPART_ARC
(5,6),-0.347423 # DEPENDENCYPART_ARC
(5,7),-0.940072 # DEPENDENCYPART_ARC
(5,8),-1.09631 # DEPENDENCYPART_ARC
(5,9),0.526323 # DEPENDENCYPART_ARC
(5,10),-0.612497 # DEPENDENCYPART_ARC
(5,12),-1.05284 # DEPENDENCYPART_ARC
(5,13),-1.43951 # DEPENDENCYPART_ARC
(5,15),-1.99039 # DEPENDENCYPART_ARC
(5,30),-2.86616 # DEPENDENCYPART_ARC
(6,4),-2.36798 # DEPENDENCYPART_ARC
(6,5),-1.63377 # DEPENDENCYPART_ARC
(6,7),-1.24322 # DEPENDENCYPART_ARC
(6,8),-1.72007 # DEPENDENCYPART_ARC
(6,16),-2.11567 # DEPENDENCYPART_ARC
(7,4),-1.61075 # DEPENDENCYPART_ARC
(7,5),-1.38645 # DEPENDENCYPART_ARC
(7,6),-0.151842 # DEPENDENCYPART_ARC
(7,8),-1.27885 # DEPENDENCYPART_ARC
(7,9),-1.42736 # DEPENDENCYPART_ARC
(7,10),-1.38821 # DEPENDENCYPART_ARC
(7,11),-2.27496 # DEPENDENCYPART_ARC
(7,12),-2.19744 # DEPENDENCYPART_ARC
(7,13),-1.65781 # DEPENDENCYPART_ARC
(7,15),-2.38149 # DEPENDENCYPART_ARC
(7,16),-2.27572 # DEPENDENCYPART_ARC
(8,4),-2.49198 # DEPENDENCYPART_ARC
(8,6),-1.11641 # DEPENDENCYPART_ARC
(8,7),-0.19204 # DEPENDENCYPART_ARC
(8,9),-1.63086 # DEPENDENCYPART_ARC
(8,10),-1.81921 # DEPENDENCYPART_ARC
(8,11),-2.35601 # DEPENDENCYPART_ARC
(8,12),-2.70982 # DEPENDENCYPART_ARC
(8,13),-2.08121 # DEPENDENCYPART_ARC
(8,18),-3.87348 # DEPENDENCYPART_ARC
(9,1),-1.90647 # DEPENDENCYPART_ARC
(9,2),-1.09688 # DEPENDENCYPART_ARC
(9,3),-1.13731 # DEPENDENCYPART_ARC
(9,4),-1.42724 # DEPENDENCYPART_ARC
(9,5),-1.8958 # DEPENDENCYPART_ARC
(9,6),0.490946 # DEPENDENCYPART_ARC
(9,7),0.902041 # DEPENDENCYPART_ARC
(9,8),1.52506 # DEPENDENCYPART_ARC
(9,10),-1.03589 # DEPENDENCYPART_ARC
(9,12),-1.96357 # DEPENDENCYPART_ARC
(9,13),-2.02489 # DEPENDENCYPART_ARC
(9,15),-2.59397 # DEPENDENCYPART_ARC
(9,16),-2.14221 # DEPENDENCYPART_ARC
(9,18),-2.91132 # DEPENDENCYPART_ARC
(9,30),-2.3642 # DEPENDENCYPART_ARC
(10,2),-1.79279 # DEPENDENCYPART_ARC
(10,3),-0.599147 # DEPENDENCYPART_ARC
(10,4),0.0565733 # DEPENDENCYPART_ARC
(10,5),-1.67608 # DEPENDENCYPART_ARC
(10,6),-1.5687 # DEPENDENCYPART_ARC
(10,7),-1.35169 # DEPENDENCYPART_ARC
(10,8),-1.00573 # DEPENDENCYPART_ARC
(10,9),0.183309 # DEPENDENCYPART_ARC
(10,11),-0.580982 # DEPENDENCYPART_ARC
(10,12),0.246556 # DEPENDENCYPART_ARC
(10,13),-0.793113 # DEPENDENCYPART_ARC
(10,14),-2.17989 # DEPENDENCYPART_ARC
(10,15),-1.36715 # DEPENDENCYPART_ARC
(10,16),-0.468722 # DEPENDENCYPART_ARC
(10,18),-1.81946 # DEPENDENCYPART_ARC
(10,19),-1.74219 # DEPENDENCYPART_ARC
(10,21),-2.65877 # DEPENDENCYPART_ARC
(10,22),-1.46539 # DEPENDENCYPART_ARC
(10,25),-1.85685 # DEPENDENCYPART_ARC
(10,26),-2.59348 # DEPENDENCYPART_ARC
(10,28),-1.23145 # DEPENDENCYPART_ARC
(10,30),0.0528606 # DEPENDENCYPART_ARC
(11,5),-2.17304 # DEPENDENCYPART_ARC
(11,9),-1.67466 # DEPENDENCYPART_ARC
(11,12),-1.26636 # DEPENDENCYPART_ARC
(11,13),-1.61012 # DEPENDENCYPART_ARC
(11,14),-2.53978 # DEPENDENCYPART_ARC
(11,15),-2.23726 # DEPENDENCYPART_ARC
(11,16),-1.95405 # DEPENDENCYPART_ARC
(11,18),-2.6141 # DEPENDENCYPART_ARC
(12,2),-1.83315 # DEPENDENCYPART_ARC
(12,4),-3.10832 # DEPENDENCYPART_ARC
(12,5),-2.30818 # DEPENDENCYPART_ARC
(12,6),-1.39195 # DEPENDENCYPART_ARC
(12,7),-0.896636 # DEPENDENCYPART_ARC
(12,8),-1.27097 # DEPENDENCYPART_ARC
(12,9),-1.24775 # DEPENDENCYPART_ARC
(12,10),-1.27907 # DEPENDENCYPART_ARC
(12,11),1.55742 # DEPENDENCYPART_ARC
(12,13),-0.773631 # DEPENDENCYPART_ARC
(12,14),-2.37137 # DEPENDENCYPART_ARC
(12,15),-1.77982 # DEPENDENCYPART_ARC
(12,16),-2.06618 # DEPENDENCYPART_ARC
(12,18),-2.15858 # DEPENDENCYPART_ARC
(12,19),-2.76516 # DEPENDENCYPART_ARC
(12,21),-2.51372 # DEPENDENCYPART_ARC
(12,22),-2.75297 # DEPENDENCYPART_ARC
(12,24),-3.10077 # DEPENDENCYPART_ARC
(12,28),-1.50485 # DEPENDENCYPART_ARC
(12,30),-3.0579 # DEPENDENCYPART_ARC
(13,14),-1.85304 # DEPENDENCYPART_ARC
(14,12),-2.71606 # DEPENDENCYPART_ARC
(14,13),-1.94838 # DEPENDENCYPART_ARC
(14,16),-1.89551 # DEPENDENCYPART_ARC
(14,18),-2.50393 # DEPENDENCYPART_ARC
(15,4),-2.70525 # DEPENDENCYPART_ARC
(15,5),-2.32398 # DEPENDENCYPART_ARC
(15,9),-2.10309 # DEPENDENCYPART_ARC
(15,12),-1.68289 # DEPENDENCYPART_ARC
(15,13),-1.62864 # DEPENDENCYPART_ARC
(15,14),0.131896 # DEPENDENCYPART_ARC
(15,16),0.0968696 # DEPENDENCYPART_ARC
(15,18),-1.77186 # DEPENDENCYPART_ARC
(15,19),-1.28153 # DEPENDENCYPART_ARC
(15,20),-2.57712 # DEPENDENCYPART_ARC
(15,21),-2.27226 # DEPENDENCYPART_ARC
(15,22),-1.65973 # DEPENDENCYPART_ARC
(15,24),-2.51457 # DEPENDENCYPART_ARC
(15,25),-1.84995 # DEPENDENCYPART_ARC
(16,12),-2.23188 # DEPENDENCYPART_ARC
(16,14),-1.9191 # DEPENDENCYPART_ARC
(16,15),-1.63846 # DEPENDENCYPART_ARC
(16,17),-1.27774 # DEPENDENCYPART_ARC
(16,18),0.502582 # DEPENDENCYPART_ARC
(16,19),-1.28151 # DEPENDENCYPART_ARC
(16,20),-2.32352 # DEPENDENCYPART_ARC
(16,21),-1.28349 # DEPENDENCYPART_ARC
(16,22),-1.78696 # DEPENDENCYPART_ARC
(16,25),-1.77483 # DEPENDENCYPART_ARC
(16,29),-3.69922 # DEPENDENCYPART_ARC
(16,30),-2.97428 # DEPENDENCYPART_ARC
(18,14),-2.11809 # DEPENDENCYPART_ARC
(18,15),-1.35449 # DEPENDENCYPART_ARC
(18,16),-1.25913 # DEPENDENCYPART_ARC
(18,17),1.42722 # DEPENDENCYPART_ARC
(18,19),0.657074 # DEPENDENCYPART_ARC
(18,20),-0.835045 # DEPENDENCYPART_ARC
(18,21),-1.05203 # DEPENDENCYPART_ARC
(18,22),-0.488153 # DEPENDENCYPART_ARC
(18,24),-1.54981 # DEPENDENCYPART_ARC
(18,25),-0.847821 # DEPENDENCYPART_ARC
(18,26),-1.95 # DEPENDENCYPART_ARC
(18,28),-1.2052 # DEPENDENCYPART_ARC
(18,30),-1.30842 # DEPENDENCYPART_ARC
(19,14),-2.83554 # DEPENDENCYPART_ARC
(19,20),-0.385616 # DEPENDENCYPART_ARC
(19,21),0.718635 # DEPENDENCYPART_ARC
(19,22),-1.29695 # DEPENDENCYPART_ARC
(19,24),-0.966391 # DEPENDENCYPART_ARC
(19,25),-1.46778 # DEPENDENCYPART_ARC
