# _root_ Even food products and automobiles , which have long depended on color , are making the switch .
#goldHeads=3,3,14,3,4,3,8,3,10,8,10,11,3,0,14,17,15,14,
#predictedHeads=3,3,14,3,4,3,8,3,8,8,10,11,3,0,14,17,15,14,
(0,1),-3.20915 # DEPENDENCYPART_ARC
(0,3),-3.44852 # DEPENDENCYPART_ARC
(0,8),-2.52212 # DEPENDENCYPART_ARC
(0,10),-4.05417 # DEPENDENCYPART_ARC
(0,14),-1.95654 # DEPENDENCYPART_ARC
(1,2),-0.909455 # DEPENDENCYPART_ARC
(1,3),-1.55183 # DEPENDENCYPART_ARC
(1,4),-1.40323 # DEPENDENCYPART_ARC
(1,5),-2.19974 # DEPENDENCYPART_ARC
(1,6),-1.99108 # DEPENDENCYPART_ARC
(1,8),-1.88988 # DEPENDENCYPART_ARC
(1,18),-2.88122 # DEPENDENCYPART_ARC
(2,1),-0.371778 # DEPENDENCYPART_ARC
(2,3),-0.924949 # DEPENDENCYPART_ARC
(2,4),-0.83754 # DEPENDENCYPART_ARC
(2,5),-1.67962 # DEPENDENCYPART_ARC
(2,6),-1.4107 # DEPENDENCYPART_ARC
(2,8),-1.245 # DEPENDENCYPART_ARC
(2,10),-2.41308 # DEPENDENCYPART_ARC
(2,13),-1.60087 # DEPENDENCYPART_ARC
(3,1),-0.125222 # DEPENDENCYPART_ARC
(3,2),1.88585 # DEPENDENCYPART_ARC
(3,4),1.02345 # DEPENDENCYPART_ARC
(3,5),-0.795401 # DEPENDENCYPART_ARC
(3,6),-0.764615 # DEPENDENCYPART_ARC
(3,7),-2.32535 # DEPENDENCYPART_ARC
(3,8),-0.565541 # DEPENDENCYPART_ARC
(3,9),-1.58241 # DEPENDENCYPART_ARC
(3,10),-1.59557 # DEPENDENCYPART_ARC
(3,11),-1.34919 # DEPENDENCYPART_ARC
(3,12),-1.93548 # DEPENDENCYPART_ARC
(3,13),-0.798097 # DEPENDENCYPART_ARC
(3,14),-2.20229 # DEPENDENCYPART_ARC
(3,15),-1.78574 # DEPENDENCYPART_ARC
(3,18),-3.0591 # DEPENDENCYPART_ARC
(4,1),-2.5364 # DEPENDENCYPART_ARC
(4,5),1.67216 # DEPENDENCYPART_ARC
(4,6),-1.13518 # DEPENDENCYPART_ARC
(4,7),-2.57071 # DEPENDENCYPART_ARC
(4,8),-0.9679 # DEPENDENCYPART_ARC
(4,9),-2.516 # DEPENDENCYPART_ARC
(4,10),-2.0558 # DEPENDENCYPART_ARC
(4,14),-1.84374 # DEPENDENCYPART_ARC
(4,15),-2.31632 # DEPENDENCYPART_ARC
(5,1),-2.25342 # DEPENDENCYPART_ARC
(5,2),-1.48693 # DEPENDENCYPART_ARC
(5,3),-1.65231 # DEPENDENCYPART_ARC
(5,6),-0.395764 # DEPENDENCYPART_ARC
(5,7),-2.01393 # DEPENDENCYPART_ARC
(5,8),-0.381725 # DEPENDENCYPART_ARC
(5,9),-1.71935 # DEPENDENCYPART_ARC
(5,10),-1.74685 # DEPENDENCYPART_ARC
(5,11),-1.33635 # DEPENDENCYPART_ARC
(5,12),-1.88342 # DEPENDENCYPART_ARC
(5,13),-0.443868 # DEPENDENCYPART_ARC
(5,14),-2.17086 # DEPENDENCYPART_ARC
(5,15),-2.07869 # DEPENDENCYPART_ARC
(5,18),-3.09263 # DEPENDENCYPART_ARC
(7,3),-2.56403 # DEPENDENCYPART_ARC
(7,6),-1.54024 # DEPENDENCYPART_ARC
(7,8),-0.893807 # DEPENDENCYPART_ARC
(7,9),-2.29951 # DEPENDENCYPART_ARC
(8,1),-1.774 # DEPENDENCYPART_ARC
(8,3),-1.65429 # DEPENDENCYPART_ARC
(8,4),-2.10513 # DEPENDENCYPART_ARC
(8,5),-1.03548 # DEPENDENCYPART_ARC
(8,6),-1.52547 # DEPENDENCYPART_ARC
(8,7),1.34389 # DEPENDENCYPART_ARC
(8,9),0.894176 # DEPENDENCYPART_ARC
(8,10),1.08273 # DEPENDENCYPART_ARC
(8,11),-0.446253 # DEPENDENCYPART_ARC
(8,12),-1.03255 # DEPENDENCYPART_ARC
(8,13),-0.957634 # DEPENDENCYPART_ARC
(8,14),-0.756444 # DEPENDENCYPART_ARC
(8,15),-1.00372 # DEPENDENCYPART_ARC
(8,17),-1.74595 # DEPENDENCYPART_ARC
(8,18),-0.757474 # DEPENDENCYPART_ARC
(9,6),-1.95426 # DEPENDENCYPART_ARC
(9,7),-1.85101 # DEPENDENCYPART_ARC
(9,10),-0.954301 # DEPENDENCYPART_ARC
(9,11),-1.04447 # DEPENDENCYPART_ARC
(9,12),-1.65173 # DEPENDENCYPART_ARC
