# _root_ In 1989 , Regatta will have sales `` in excess of $ 10 million '' and will show a profit , Mr. Parker said .
#goldHeads=5,1,5,5,24,5,6,9,6,9,10,11,12,12,9,5,16,17,20,18,24,23,24,0,24,
#predictedHeads=5,1,5,5,24,5,6,7,7,9,10,11,12,12,5,5,16,17,20,18,24,23,24,0,24,
(0,5),-1.98687 # DEPENDENCYPART_ARC
(0,24),1.49906 # DEPENDENCYPART_ARC
(1,2),1.42809 # DEPENDENCYPART_ARC
(1,3),-1.39956 # DEPENDENCYPART_ARC
(1,4),-1.40897 # DEPENDENCYPART_ARC
(1,5),-0.404677 # DEPENDENCYPART_ARC
(1,6),-1.62755 # DEPENDENCYPART_ARC
(1,7),-1.5472 # DEPENDENCYPART_ARC
(1,8),-1.80211 # DEPENDENCYPART_ARC
(1,9),-1.74226 # DEPENDENCYPART_ARC
(1,11),-1.7204 # DEPENDENCYPART_ARC
(2,1),-1.58691 # DEPENDENCYPART_ARC
(2,3),-1.06988 # DEPENDENCYPART_ARC
(2,4),-1.90792 # DEPENDENCYPART_ARC
(2,5),-1.41588 # DEPENDENCYPART_ARC
(2,7),-2.35202 # DEPENDENCYPART_ARC
(3,4),-2.08779 # DEPENDENCYPART_ARC
(4,1),-2.12869 # DEPENDENCYPART_ARC
(4,2),-1.38138 # DEPENDENCYPART_ARC
(4,3),-1.0543 # DEPENDENCYPART_ARC
(4,5),-1.0315 # DEPENDENCYPART_ARC
(4,6),-1.93626 # DEPENDENCYPART_ARC
(4,7),-2.24146 # DEPENDENCYPART_ARC
(5,1),-0.624483 # DEPENDENCYPART_ARC
(5,2),-1.25357 # DEPENDENCYPART_ARC
(5,3),0.362692 # DEPENDENCYPART_ARC
(5,4),0.689825 # DEPENDENCYPART_ARC
(5,6),2.33529 # DEPENDENCYPART_ARC
(5,7),-0.363758 # DEPENDENCYPART_ARC
(5,8),-1.14833 # DEPENDENCYPART_ARC
(5,9),-1.09416 # DEPENDENCYPART_ARC
(5,10),-1.63054 # DEPENDENCYPART_ARC
(5,11),-1.17443 # DEPENDENCYPART_ARC
(5,12),-1.99586 # DEPENDENCYPART_ARC
(5,15),-1.38193 # DEPENDENCYPART_ARC
(5,16),-0.488556 # DEPENDENCYPART_ARC
(5,17),-1.41923 # DEPENDENCYPART_ARC
(5,18),-1.38825 # DEPENDENCYPART_ARC
(5,21),-1.28641 # DEPENDENCYPART_ARC
(5,24),-2.06472 # DEPENDENCYPART_ARC
(5,25),-0.473943 # DEPENDENCYPART_ARC
(6,1),-1.69385 # DEPENDENCYPART_ARC
(6,2),-2.19372 # DEPENDENCYPART_ARC
(6,3),-1.85981 # DEPENDENCYPART_ARC
(6,4),-1.996 # DEPENDENCYPART_ARC
(6,7),0.957115 # DEPENDENCYPART_ARC
(6,8),-0.687411 # DEPENDENCYPART_ARC
(6,9),-0.242665 # DEPENDENCYPART_ARC
(6,10),-0.808244 # DEPENDENCYPART_ARC
(6,11),-1.10414 # DEPENDENCYPART_ARC
(6,12),-1.71023 # DEPENDENCYPART_ARC
(6,15),-1.04156 # DEPENDENCYPART_ARC
(6,16),-1.06871 # DEPENDENCYPART_ARC
(6,17),-1.97967 # DEPENDENCYPART_ARC
(6,18),-2.29488 # DEPENDENCYPART_ARC
(6,20),-1.60988 # DEPENDENCYPART_ARC
(6,21),-1.24547 # DEPENDENCYPART_ARC
(6,23),-2.69122 # DEPENDENCYPART_ARC
(7,2),-1.84816 # DEPENDENCYPART_ARC
(7,3),-2.14113 # DEPENDENCYPART_ARC
(7,4),-1.11591 # DEPENDENCYPART_ARC
(7,5),-1.15558 # DEPENDENCYPART_ARC
(7,6),-0.603922 # DEPENDENCYPART_ARC
(7,8),-0.661531 # DEPENDENCYPART_ARC
(7,9),-0.647064 # DEPENDENCYPART_ARC
(7,10),-1.35849 # DEPENDENCYPART_ARC
(7,11),-0.806344 # DEPENDENCYPART_ARC
(7,12),-1.5338 # DEPENDENCYPART_ARC
(7,15),-1.48799 # DEPENDENCYPART_ARC
(7,16),-0.930385 # DEPENDENCYPART_ARC
(7,17),-1.46163 # DEPENDENCYPART_ARC
(7,20),-2.51194 # DEPENDENCYPART_ARC
(7,21),-1.56142 # DEPENDENCYPART_ARC
(7,23),-2.70932 # DEPENDENCYPART_ARC
(7,24),-1.95972 # DEPENDENCYPART_ARC
(8,1),-2.48095 # DEPENDENCYPART_ARC
(8,3),-2.6686 # DEPENDENCYPART_ARC
(8,4),-2.7473 # DEPENDENCYPART_ARC
(8,5),-2.16811 # DEPENDENCYPART_ARC
(8,6),-2.21092 # DEPENDENCYPART_ARC
(8,7),-1.24799 # DEPENDENCYPART_ARC
(8,9),-2.11411 # DEPENDENCYPART_ARC
(9,7),-2.03036 # DEPENDENCYPART_ARC
