# _root_ The multibillion-dollar prospects , where the bidder must line up a consortium of banks and / or issue billions in high-yield debt , were where the damage was concentrated .
#goldHeads=3,3,24,3,9,7,8,3,8,9,12,9,12,13,9,15,15,15,18,19,22,20,3,0,29,27,28,24,28,24,
#predictedHeads=3,3,24,3,9,7,8,3,8,9,12,9,12,13,8,15,16,19,15,19,22,20,24,0,29,27,28,24,28,24,
(0,3),-3.39096 # DEPENDENCYPART_ARC
(0,8),-2.29472 # DEPENDENCYPART_ARC
(0,9),-3.77201 # DEPENDENCYPART_ARC
(0,24),-2.00394 # DEPENDENCYPART_ARC
(0,28),-3.55419 # DEPENDENCYPART_ARC
(1,4),-2.08321 # DEPENDENCYPART_ARC
(2,1),-0.5086 # DEPENDENCYPART_ARC
(2,4),-1.68852 # DEPENDENCYPART_ARC
(2,7),-2.27662 # DEPENDENCYPART_ARC
(2,8),-1.82123 # DEPENDENCYPART_ARC
(3,1),1.23035 # DEPENDENCYPART_ARC
(3,2),1.54873 # DEPENDENCYPART_ARC
(3,4),-0.280417 # DEPENDENCYPART_ARC
(3,5),-1.71915 # DEPENDENCYPART_ARC
(3,6),-2.00539 # DEPENDENCYPART_ARC
(3,7),-1.61872 # DEPENDENCYPART_ARC
(3,8),-1.24819 # DEPENDENCYPART_ARC
(3,9),-2.35054 # DEPENDENCYPART_ARC
(3,10),-2.11203 # DEPENDENCYPART_ARC
(3,12),-2.32495 # DEPENDENCYPART_ARC
(3,13),-2.0098 # DEPENDENCYPART_ARC
(3,14),-2.06866 # DEPENDENCYPART_ARC
(3,15),-2.22878 # DEPENDENCYPART_ARC
(3,16),-2.25817 # DEPENDENCYPART_ARC
(3,17),-2.2816 # DEPENDENCYPART_ARC
(3,23),-0.929673 # DEPENDENCYPART_ARC
(3,30),-3.6014 # DEPENDENCYPART_ARC
(4,3),-2.15895 # DEPENDENCYPART_ARC
(4,5),-1.86987 # DEPENDENCYPART_ARC
(5,3),-2.07749 # DEPENDENCYPART_ARC
(5,4),-1.22372 # DEPENDENCYPART_ARC
(5,6),-1.60934 # DEPENDENCYPART_ARC
(5,7),-1.44636 # DEPENDENCYPART_ARC
(5,8),-1.63393 # DEPENDENCYPART_ARC
(5,10),-2.18493 # DEPENDENCYPART_ARC
