# _root_ DPC Acquisition Partners , a hostile suitor for Dataproducts Corp. , said it intends to launch a tender offer for the computer printer maker 's common stock .
#goldHeads=3,3,12,3,7,7,3,7,8,9,3,0,14,12,14,15,19,19,16,19,24,24,24,27,24,27,20,12,
#predictedHeads=3,3,12,3,7,7,3,7,8,9,3,0,14,12,14,15,19,19,16,19,24,24,24,27,24,27,20,12,
(0,2),-3.71068 # DEPENDENCYPART_ARC
(0,3),-4.58973 # DEPENDENCYPART_ARC
(0,12),1.5536 # DEPENDENCYPART_ARC
(0,14),-1.63741 # DEPENDENCYPART_ARC
(1,2),-1.83683 # DEPENDENCYPART_ARC
(1,3),-2.0091 # DEPENDENCYPART_ARC
(1,4),-1.20128 # DEPENDENCYPART_ARC
(1,7),-2.85442 # DEPENDENCYPART_ARC
(1,11),-1.54639 # DEPENDENCYPART_ARC
(2,1),-0.183426 # DEPENDENCYPART_ARC
(2,3),-0.513066 # DEPENDENCYPART_ARC
(2,4),-0.917432 # DEPENDENCYPART_ARC
(2,7),-1.9746 # DEPENDENCYPART_ARC
(2,8),-2.29951 # DEPENDENCYPART_ARC
(2,9),-4.05326 # DEPENDENCYPART_ARC
(2,10),-3.25142 # DEPENDENCYPART_ARC
(2,11),-1.28808 # DEPENDENCYPART_ARC
(2,14),-3.07897 # DEPENDENCYPART_ARC
(2,19),-4.44902 # DEPENDENCYPART_ARC
(3,1),0.674058 # DEPENDENCYPART_ARC
(3,2),1.24977 # DEPENDENCYPART_ARC
(3,4),0.134912 # DEPENDENCYPART_ARC
(3,5),-1.75482 # DEPENDENCYPART_ARC
(3,6),-1.52292 # DEPENDENCYPART_ARC
(3,7),-1.10435 # DEPENDENCYPART_ARC
(3,8),-1.82335 # DEPENDENCYPART_ARC
(3,9),-3.52701 # DEPENDENCYPART_ARC
(3,10),-2.15315 # DEPENDENCYPART_ARC
(3,11),-0.166469 # DEPENDENCYPART_ARC
(3,12),-2.42537 # DEPENDENCYPART_ARC
(3,13),-2.22068 # DEPENDENCYPART_ARC
(3,14),-2.34142 # DEPENDENCYPART_ARC
(3,19),-3.75679 # DEPENDENCYPART_ARC
(3,27),-5.39198 # DEPENDENCYPART_ARC
(5,3),-2.42957 # DEPENDENCYPART_ARC
(5,4),-1.71193 # DEPENDENCYPART_ARC
(5,8),-1.55275 # DEPENDENCYPART_ARC
(5,14),-1.75974 # DEPENDENCYPART_ARC
(6,3),-1.87404 # DEPENDENCYPART_ARC
(6,4),-1.80118 # DEPENDENCYPART_ARC
(6,5),-0.838957 # DEPENDENCYPART_ARC
(6,8),-1.29959 # DEPENDENCYPART_ARC
