# _root_ `` The pendulum is swinging back to black and white , '' says Richard DeMoulin , the general manager of Eastman Kodak Co. 's professional photography division .
#goldHeads=4,3,4,13,4,5,5,7,8,9,4,4,0,15,13,15,19,19,15,19,23,23,27,23,27,27,20,13,
#predictedHeads=13,3,4,13,4,5,6,7,8,9,13,13,0,15,13,15,19,19,15,19,23,23,27,23,27,27,20,13,
(0,4),-1.62043 # DEPENDENCYPART_ARC
(0,13),1.94735 # DEPENDENCYPART_ARC
(1,3),-2.86138 # DEPENDENCYPART_ARC
(1,4),-2.60601 # DEPENDENCYPART_ARC
(2,1),-1.95616 # DEPENDENCYPART_ARC
(2,4),-1.48505 # DEPENDENCYPART_ARC
(2,5),-2.36151 # DEPENDENCYPART_ARC
(3,1),-1.24289 # DEPENDENCYPART_ARC
(3,2),1.24525 # DEPENDENCYPART_ARC
(3,4),-0.814571 # DEPENDENCYPART_ARC
(3,5),-1.30053 # DEPENDENCYPART_ARC
(3,6),-1.68913 # DEPENDENCYPART_ARC
(3,7),-1.5306 # DEPENDENCYPART_ARC
(3,8),-2.02565 # DEPENDENCYPART_ARC
(3,9),-1.4002 # DEPENDENCYPART_ARC
(3,12),-1.91345 # DEPENDENCYPART_ARC
(4,1),-0.472806 # DEPENDENCYPART_ARC
(4,2),-1.26541 # DEPENDENCYPART_ARC
(4,3),1.24587 # DEPENDENCYPART_ARC
(4,5),1.4599 # DEPENDENCYPART_ARC
(4,6),-0.788396 # DEPENDENCYPART_ARC
(4,7),-1.10125 # DEPENDENCYPART_ARC
(4,8),-1.16172 # DEPENDENCYPART_ARC
(4,9),-0.774646 # DEPENDENCYPART_ARC
(4,10),-1.80968 # DEPENDENCYPART_ARC
(4,11),-0.980513 # DEPENDENCYPART_ARC
(4,12),-0.832727 # DEPENDENCYPART_ARC
(4,13),-1.73903 # DEPENDENCYPART_ARC
(4,15),-3.00572 # DEPENDENCYPART_ARC
(4,16),-2.13541 # DEPENDENCYPART_ARC
(4,19),-3.09756 # DEPENDENCYPART_ARC
(4,28),-1.09866 # DEPENDENCYPART_ARC
(5,1),-1.68312 # DEPENDENCYPART_ARC
(5,2),-1.50197 # DEPENDENCYPART_ARC
(5,3),-1.56649 # DEPENDENCYPART_ARC
(5,4),-1.25886 # DEPENDENCYPART_ARC
(5,6),0.802423 # DEPENDENCYPART_ARC
(5,7),0.547728 # DEPENDENCYPART_ARC
(5,8),-0.153471 # DEPENDENCYPART_ARC
(5,9),-0.614572 # DEPENDENCYPART_ARC
(5,10),-0.453944 # DEPENDENCYPART_ARC
(5,11),-0.885405 # DEPENDENCYPART_ARC
(5,12),-0.735054 # DEPENDENCYPART_ARC
(5,13),-1.46408 # DEPENDENCYPART_ARC
(5,15),-1.8041 # DEPENDENCYPART_ARC
(5,16),-1.30996 # DEPENDENCYPART_ARC
(5,19),-1.88696 # DEPENDENCYPART_ARC
(5,20),-2.33976 # DEPENDENCYPART_ARC
(5,27),-2.38145 # DEPENDENCYPART_ARC
(6,1),-2.70267 # DEPENDENCYPART_ARC
(6,3),-2.03543 # DEPENDENCYPART_ARC
(6,4),-2.05704 # DEPENDENCYPART_ARC
(6,5),-1.45502 # DEPENDENCYPART_ARC
(6,7),0.213618 # DEPENDENCYPART_ARC
(6,8),-0.980481 # DEPENDENCYPART_ARC
(6,9),-1.118 # DEPENDENCYPART_ARC
(6,10),-1.66956 # DEPENDENCYPART_ARC
(6,11),-1.79786 # DEPENDENCYPART_ARC
(6,12),-1.35576 # DEPENDENCYPART_ARC
(6,13),-1.38041 # DEPENDENCYPART_ARC
(6,15),-2.85426 # DEPENDENCYPART_ARC
(7,6),-1.14528 # DEPENDENCYPART_ARC
(7,8),1.42126 # DEPENDENCYPART_ARC
(7,9),-0.501221 # DEPENDENCYPART_ARC
(7,10),-0.213394 # DEPENDENCYPART_ARC
(7,11),-1.57784 # DEPENDENCYPART_ARC
(7,12),-1.22472 # DEPENDENCYPART_ARC
(7,15),-1.94896 # DEPENDENCYPART_ARC
(7,16),-1.58522 # DEPENDENCYPART_ARC
(7,19),-2.2568 # DEPENDENCYPART_ARC
(8,1),-2.77731 # DEPENDENCYPART_ARC
(8,2),-2.49448 # DEPENDENCYPART_ARC
(8,3),-1.62997 # DEPENDENCYPART_ARC
(8,5),-1.8689 # DEPENDENCYPART_ARC
(8,6),-0.93549 # DEPENDENCYPART_ARC
(8,7),-1.34643 # DEPENDENCYPART_ARC
(8,9),1.46361 # DEPENDENCYPART_ARC
(8,10),-0.889378 # DEPENDENCYPART_ARC
(8,11),-0.900264 # DEPENDENCYPART_ARC
(8,12),-0.897763 # DEPENDENCYPART_ARC
(8,13),-1.14795 # DEPENDENCYPART_ARC
(8,15),-1.76826 # DEPENDENCYPART_ARC
(8,16),-1.42856 # DEPENDENCYPART_ARC
(8,19),-2.83076 # DEPENDENCYPART_ARC
(8,20),-1.65173 # DEPENDENCYPART_ARC
(8,23),-2.91183 # DEPENDENCYPART_ARC
(8,27),-3.76615 # DEPENDENCYPART_ARC
(9,10),1.39417 # DEPENDENCYPART_ARC
(9,11),-1.02298 # DEPENDENCYPART_ARC
(9,12),-1.25941 # DEPENDENCYPART_ARC
(9,13),-0.454019 # DEPENDENCYPART_ARC
(9,15),-2.4629 # DEPENDENCYPART_ARC
(9,16),-1.28725 # DEPENDENCYPART_ARC
(9,19),-1.4337 # DEPENDENCYPART_ARC
(9,27),-2.42052 # DEPENDENCYPART_ARC
(10,6),-2.22208 # DEPENDENCYPART_ARC
(10,7),-2.98753 # DEPENDENCYPART_ARC
(10,8),-1.2414 # DEPENDENCYPART_ARC
(10,9),-1.56764 # DEPENDENCYPART_ARC
(10,11),-0.835995 # DEPENDENCYPART_ARC
(10,12),-1.18388 # DEPENDENCYPART_ARC
(10,13),-1.45111 # DEPENDENCYPART_ARC
(10,15),-1.85362 # DEPENDENCYPART_ARC
(10,16),-1.28479 # DEPENDENCYPART_ARC
(10,19),-2.78704 # DEPENDENCYPART_ARC
(10,20),-2.70714 # DEPENDENCYPART_ARC
(10,27),-3.84593 # DEPENDENCYPART_ARC
