# _root_ Some traders said that the closely watched Major Market Index , whose 20 stocks mimic the Dow industrials , did n't lead yesterday 's big rally .
#goldHeads=2,3,0,3,10,7,10,10,10,20,10,14,14,15,10,18,18,15,10,4,20,20,26,23,26,22,3,
#predictedHeads=2,3,0,3,10,7,10,10,10,20,10,14,14,15,4,18,18,15,10,4,20,20,26,23,26,22,3,
(0,2),-3.05204 # DEPENDENCYPART_ARC
(0,3),0.401944 # DEPENDENCYPART_ARC
(0,15),-1.52862 # DEPENDENCYPART_ARC
(0,20),-1.56915 # DEPENDENCYPART_ARC
(1,2),-1.04174 # DEPENDENCYPART_ARC
(1,3),-0.941499 # DEPENDENCYPART_ARC
(1,4),-1.16648 # DEPENDENCYPART_ARC
(2,1),1.47028 # DEPENDENCYPART_ARC
(2,3),-0.429188 # DEPENDENCYPART_ARC
(2,4),-0.835142 # DEPENDENCYPART_ARC
(2,6),-1.4736 # DEPENDENCYPART_ARC
(2,7),-1.65441 # DEPENDENCYPART_ARC
(2,11),-0.598816 # DEPENDENCYPART_ARC
(2,15),-2.44709 # DEPENDENCYPART_ARC
(2,19),-0.944935 # DEPENDENCYPART_ARC
(3,1),-0.695702 # DEPENDENCYPART_ARC
(3,2),1.12384 # DEPENDENCYPART_ARC
(3,4),1.14536 # DEPENDENCYPART_ARC
(3,5),-1.73668 # DEPENDENCYPART_ARC
(3,6),-0.953553 # DEPENDENCYPART_ARC
(3,7),-0.922932 # DEPENDENCYPART_ARC
(3,9),-2.47492 # DEPENDENCYPART_ARC
(3,10),-2.24182 # DEPENDENCYPART_ARC
(3,11),-0.644337 # DEPENDENCYPART_ARC
(3,12),-1.88923 # DEPENDENCYPART_ARC
(3,15),-0.882937 # DEPENDENCYPART_ARC
(3,20),-0.499615 # DEPENDENCYPART_ARC
(3,22),-2.05355 # DEPENDENCYPART_ARC
(3,27),0.861572 # DEPENDENCYPART_ARC
(4,2),-2.14268 # DEPENDENCYPART_ARC
(4,3),-1.29391 # DEPENDENCYPART_ARC
(4,5),-2.00224 # DEPENDENCYPART_ARC
(4,6),-1.89868 # DEPENDENCYPART_ARC
(4,7),-1.78051 # DEPENDENCYPART_ARC
(4,8),-3.4578 # DEPENDENCYPART_ARC
