# _root_ Thomas G. Dahlen , Big Bear 's executive vice president , said the chain is still reviewing its product list to avoid such problems .
#goldHeads=3,3,12,3,6,10,6,10,10,3,3,0,14,15,12,15,15,20,20,17,17,21,24,22,12,
#predictedHeads=3,3,12,3,6,10,6,10,10,3,3,0,14,15,12,15,15,20,20,17,17,21,24,22,12,
(0,12),1.91056 # DEPENDENCYPART_ARC
(0,15),-1.91261 # DEPENDENCYPART_ARC
(1,2),-1.74425 # DEPENDENCYPART_ARC
(1,3),-1.9401 # DEPENDENCYPART_ARC
(1,4),-1.36293 # DEPENDENCYPART_ARC
(1,6),-3.75301 # DEPENDENCYPART_ARC
(1,10),-3.29671 # DEPENDENCYPART_ARC
(1,11),-1.83556 # DEPENDENCYPART_ARC
(2,1),-0.257638 # DEPENDENCYPART_ARC
(2,3),-0.433644 # DEPENDENCYPART_ARC
(2,4),-1.19929 # DEPENDENCYPART_ARC
(2,5),-2.17349 # DEPENDENCYPART_ARC
(2,6),-3.12598 # DEPENDENCYPART_ARC
(2,7),-3.09501 # DEPENDENCYPART_ARC
(2,8),-2.78209 # DEPENDENCYPART_ARC
(2,9),-2.75479 # DEPENDENCYPART_ARC
(2,10),-2.5604 # DEPENDENCYPART_ARC
(2,11),-1.23756 # DEPENDENCYPART_ARC
(2,14),-4.25281 # DEPENDENCYPART_ARC
(2,15),-2.98321 # DEPENDENCYPART_ARC
(3,1),0.220713 # DEPENDENCYPART_ARC
(3,2),0.798782 # DEPENDENCYPART_ARC
(3,4),0.334888 # DEPENDENCYPART_ARC
(3,5),-1.28132 # DEPENDENCYPART_ARC
(3,6),-2.00499 # DEPENDENCYPART_ARC
(3,7),-1.60082 # DEPENDENCYPART_ARC
(3,8),-1.814 # DEPENDENCYPART_ARC
(3,9),-2.00575 # DEPENDENCYPART_ARC
(3,10),-1.63474 # DEPENDENCYPART_ARC
(3,11),0.148963 # DEPENDENCYPART_ARC
(3,14),-3.60988 # DEPENDENCYPART_ARC
(3,15),-2.25318 # DEPENDENCYPART_ARC
(3,16),-2.83945 # DEPENDENCYPART_ARC
(3,17),-2.76824 # DEPENDENCYPART_ARC
(3,20),-4.34288 # DEPENDENCYPART_ARC
(3,24),-3.47213 # DEPENDENCYPART_ARC
(5,1),-3.6088 # DEPENDENCYPART_ARC
(5,2),-3.1763 # DEPENDENCYPART_ARC
(5,3),-2.52994 # DEPENDENCYPART_ARC
(5,4),-1.78421 # DEPENDENCYPART_ARC
(5,6),-1.95566 # DEPENDENCYPART_ARC
(5,7),-1.79274 # DEPENDENCYPART_ARC
(5,11),-2.39019 # DEPENDENCYPART_ARC
(5,15),-3.2794 # DEPENDENCYPART_ARC
(6,1),-0.789458 # DEPENDENCYPART_ARC
(6,2),-0.465304 # DEPENDENCYPART_ARC
(6,3),-1.48578 # DEPENDENCYPART_ARC
(6,4),-1.40625 # DEPENDENCYPART_ARC
(6,5),2.53766 # DEPENDENCYPART_ARC
(6,7),2.41822 # DEPENDENCYPART_ARC
(6,8),-1.00085 # DEPENDENCYPART_ARC
(6,9),-1.53791 # DEPENDENCYPART_ARC
(6,10),-1.42546 # DEPENDENCYPART_ARC
(6,11),-0.760471 # DEPENDENCYPART_ARC
(6,14),-3.03249 # DEPENDENCYPART_ARC
(6,15),-1.61362 # DEPENDENCYPART_ARC
(7,4),-1.75317 # DEPENDENCYPART_ARC
(7,8),-1.63773 # DEPENDENCYPART_ARC
(8,3),-2.11739 # DEPENDENCYPART_ARC
(8,4),-2.00821 # DEPENDENCYPART_ARC
(8,6),-1.46869 # DEPENDENCYPART_ARC
(8,7),-1.60058 # DEPENDENCYPART_ARC
(8,9),-0.958097 # DEPENDENCYPART_ARC
(8,11),-1.35793 # DEPENDENCYPART_ARC
(9,1),-3.17964 # DEPENDENCYPART_ARC
(9,2),-2.97379 # DEPENDENCYPART_ARC
(9,5),-1.3489 # DEPENDENCYPART_ARC
(9,6),-1.07545 # DEPENDENCYPART_ARC
(9,8),-0.331276 # DEPENDENCYPART_ARC
(9,10),-1.09674 # DEPENDENCYPART_ARC
(9,11),-1.60266 # DEPENDENCYPART_ARC
(9,15),-2.18576 # DEPENDENCYPART_ARC
(10,1),-2.20603 # DEPENDENCYPART_ARC
(10,2),-2.10059 # DEPENDENCYPART_ARC
(10,3),-2.50093 # DEPENDENCYPART_ARC
(10,4),-2.45546 # DEPENDENCYPART_ARC
(10,5),-0.239413 # DEPENDENCYPART_ARC
(10,6),-0.0856478 # DEPENDENCYPART_ARC
(10,7),-1.18278 # DEPENDENCYPART_ARC
(10,8),0.903867 # DEPENDENCYPART_ARC
(10,9),1.70654 # DEPENDENCYPART_ARC
(10,11),-0.716833 # DEPENDENCYPART_ARC
(10,12),-1.70481 # DEPENDENCYPART_ARC
(10,14),-2.1134 # DEPENDENCYPART_ARC
(10,15),-2.05213 # DEPENDENCYPART_ARC
(10,16),-2.30239 # DEPENDENCYPART_ARC
(10,17),-2.46437 # DEPENDENCYPART_ARC
(10,20),-2.83089 # DEPENDENCYPART_ARC
(10,21),-2.90534 # DEPENDENCYPART_ARC
(12,1),-1.3562 # DEPENDENCYPART_ARC
(12,2),-1.35677 # DEPENDENCYPART_ARC
(12,3),-1.07822 # DEPENDENCYPART_ARC
(12,4),-0.29598 # DEPENDENCYPART_ARC
(12,5),-1.39793 # DEPENDENCYPART_ARC
