# _root_ Copper inventories in New York 's Commodity Exchange warehouses rose yesterday by 516 tons , to 10,004 tons .
#goldHeads=2,10,2,5,9,5,9,9,3,0,10,10,14,12,10,10,18,16,10,
#predictedHeads=2,10,2,5,9,5,9,9,3,0,10,10,14,12,10,10,18,16,10,
(0,2),-3.57619 # DEPENDENCYPART_ARC
(0,9),-3.80059 # DEPENDENCYPART_ARC
(0,10),-2.0715 # DEPENDENCYPART_ARC
(1,2),-1.05422 # DEPENDENCYPART_ARC
(1,3),-1.12948 # DEPENDENCYPART_ARC
(1,5),-2.13274 # DEPENDENCYPART_ARC
(1,6),-2.54163 # DEPENDENCYPART_ARC
(1,10),-1.86844 # DEPENDENCYPART_ARC
(1,12),-2.02321 # DEPENDENCYPART_ARC
(1,19),-2.8438 # DEPENDENCYPART_ARC
(2,1),1.8841 # DEPENDENCYPART_ARC
(2,3),0.128881 # DEPENDENCYPART_ARC
(2,5),-1.61475 # DEPENDENCYPART_ARC
(2,6),-1.42274 # DEPENDENCYPART_ARC
(2,7),-2.09086 # DEPENDENCYPART_ARC
(2,9),-2.01606 # DEPENDENCYPART_ARC
(2,10),-1.37885 # DEPENDENCYPART_ARC
(2,11),-2.0739 # DEPENDENCYPART_ARC
(2,12),-1.43329 # DEPENDENCYPART_ARC
(2,14),-2.74475 # DEPENDENCYPART_ARC
(2,15),-1.41194 # DEPENDENCYPART_ARC
(2,16),-2.19489 # DEPENDENCYPART_ARC
(2,18),-3.4021 # DEPENDENCYPART_ARC
(2,19),-2.7874 # DEPENDENCYPART_ARC
(3,2),-1.53444 # DEPENDENCYPART_ARC
(3,4),-0.255611 # DEPENDENCYPART_ARC
(3,5),-0.254066 # DEPENDENCYPART_ARC
(3,6),-2.31251 # DEPENDENCYPART_ARC
(3,7),-1.57878 # DEPENDENCYPART_ARC
(3,8),-1.36625 # DEPENDENCYPART_ARC
(3,9),-0.888236 # DEPENDENCYPART_ARC
(3,10),-0.964378 # DEPENDENCYPART_ARC
(3,11),-2.43283 # DEPENDENCYPART_ARC
(3,14),-2.52458 # DEPENDENCYPART_ARC
(3,19),-3.15417 # DEPENDENCYPART_ARC
(4,3),-2.68748 # DEPENDENCYPART_ARC
(4,5),-2.31238 # DEPENDENCYPART_ARC
(4,6),-2.02863 # DEPENDENCYPART_ARC
(5,1),-1.47168 # DEPENDENCYPART_ARC
(5,2),-1.31981 # DEPENDENCYPART_ARC
(5,3),-1.62764 # DEPENDENCYPART_ARC
(5,4),2.76447 # DEPENDENCYPART_ARC
(5,6),1.81896 # DEPENDENCYPART_ARC
(5,7),-1.9807 # DEPENDENCYPART_ARC
(5,8),-2.14877 # DEPENDENCYPART_ARC
(5,19),-2.85596 # DEPENDENCYPART_ARC
(6,2),-2.23525 # DEPENDENCYPART_ARC
(6,3),-1.81888 # DEPENDENCYPART_ARC
(7,2),-2.69955 # DEPENDENCYPART_ARC
(7,3),-3.14868 # DEPENDENCYPART_ARC
(7,4),-1.77972 # DEPENDENCYPART_ARC
(7,5),-1.37115 # DEPENDENCYPART_ARC
(7,6),-1.83304 # DEPENDENCYPART_ARC
(7,8),-1.24522 # DEPENDENCYPART_ARC
(8,2),-2.64254 # DEPENDENCYPART_ARC
(8,3),-2.98693 # DEPENDENCYPART_ARC
(8,4),-1.12128 # DEPENDENCYPART_ARC
(8,5),-1.40468 # DEPENDENCYPART_ARC
(8,6),-1.79127 # DEPENDENCYPART_ARC
(8,7),0.171913 # DEPENDENCYPART_ARC
(8,9),-1.72245 # DEPENDENCYPART_ARC
(8,11),-2.44513 # DEPENDENCYPART_ARC
(8,15),-1.98563 # DEPENDENCYPART_ARC
(8,19),-3.06617 # DEPENDENCYPART_ARC
(9,1),-1.01895 # DEPENDENCYPART_ARC
(9,2),-1.40116 # DEPENDENCYPART_ARC
(9,3),-1.68554 # DEPENDENCYPART_ARC
(9,4),0.114351 # DEPENDENCYPART_ARC
(9,5),0.0977789 # DEPENDENCYPART_ARC
(9,6),-1.10944 # DEPENDENCYPART_ARC
(9,7),1.23131 # DEPENDENCYPART_ARC
(9,8),1.99732 # DEPENDENCYPART_ARC
(9,10),-0.801987 # DEPENDENCYPART_ARC
(9,11),-1.65316 # DEPENDENCYPART_ARC
(9,12),-1.21957 # DEPENDENCYPART_ARC
(9,14),-1.99356 # DEPENDENCYPART_ARC
(9,15),-1.74783 # DEPENDENCYPART_ARC
(9,16),-2.01114 # DEPENDENCYPART_ARC
(9,18),-2.9587 # DEPENDENCYPART_ARC
(10,1),-0.304241 # DEPENDENCYPART_ARC
(10,2),0.404488 # DEPENDENCYPART_ARC
(10,3),-0.322021 # DEPENDENCYPART_ARC
(10,4),-1.13181 # DEPENDENCYPART_ARC
(10,5),-1.1514 # DEPENDENCYPART_ARC
(10,6),-1.06074 # DEPENDENCYPART_ARC
(10,7),-0.686502 # DEPENDENCYPART_ARC
(10,8),-0.313629 # DEPENDENCYPART_ARC
(10,9),1.40327 # DEPENDENCYPART_ARC
(10,11),1.64576 # DEPENDENCYPART_ARC
(10,12),0.589044 # DEPENDENCYPART_ARC
(10,13),-1.60645 # DEPENDENCYPART_ARC
(10,14),-0.673667 # DEPENDENCYPART_ARC
(10,15),-0.462627 # DEPENDENCYPART_ARC
(10,16),-0.0774812 # DEPENDENCYPART_ARC
(10,17),-2.53683 # DEPENDENCYPART_ARC
(10,18),-1.76078 # DEPENDENCYPART_ARC
(10,19),-0.017052 # DEPENDENCYPART_ARC
(11,5),-3.56489 # DEPENDENCYPART_ARC
(11,9),-2.03017 # DEPENDENCYPART_ARC
(11,12),-0.538028 # DEPENDENCYPART_ARC
(11,13),-1.35589 # DEPENDENCYPART_ARC
(11,14),-1.36943 # DEPENDENCYPART_ARC
(11,15),-1.68618 # DEPENDENCYPART_ARC
(11,16),-1.54956 # DEPENDENCYPART_ARC
(11,18),-2.23022 # DEPENDENCYPART_ARC
(11,19),-2.2123 # DEPENDENCYPART_ARC
(12,11),-1.73819 # DEPENDENCYPART_ARC
(12,13),-0.285832 # DEPENDENCYPART_ARC
(12,14),1.13524 # DEPENDENCYPART_ARC
(12,15),-1.37376 # DEPENDENCYPART_ARC
(12,16),-1.64416 # DEPENDENCYPART_ARC
(12,17),-2.5106 # DEPENDENCYPART_ARC
(12,18),-1.31 # DEPENDENCYPART_ARC
(13,12),-1.39547 # DEPENDENCYPART_ARC
(13,14),-1.32482 # DEPENDENCYPART_ARC
(13,15),-1.79838 # DEPENDENCYPART_ARC
(13,16),-2.02063 # DEPENDENCYPART_ARC
(13,18),-2.6804 # DEPENDENCYPART_ARC
(14,2),-2.68938 # DEPENDENCYPART_ARC
(14,3),-2.29967 # DEPENDENCYPART_ARC
(14,5),-1.99395 # DEPENDENCYPART_ARC
(14,7),-1.90472 # DEPENDENCYPART_ARC
(14,9),-1.80478 # DEPENDENCYPART_ARC
(14,11),-1.43871 # DEPENDENCYPART_ARC
(14,12),-1.01361 # DEPENDENCYPART_ARC
(14,13),1.43703 # DEPENDENCYPART_ARC
(14,15),-0.87952 # DEPENDENCYPART_ARC
(14,16),-1.22082 # DEPENDENCYPART_ARC
(14,17),-1.96691 # DEPENDENCYPART_ARC
(14,18),-1.66654 # DEPENDENCYPART_ARC
(14,19),-2.23161 # DEPENDENCYPART_ARC
(15,16),-1.76743 # DEPENDENCYPART_ARC
(16,12),-2.11767 # DEPENDENCYPART_ARC
(16,14),-2.28582 # DEPENDENCYPART_ARC
(16,15),-1.45675 # DEPENDENCYPART_ARC
(16,17),-0.181027 # DEPENDENCYPART_ARC
(16,18),0.669526 # DEPENDENCYPART_ARC
(16,19),-2.02399 # DEPENDENCYPART_ARC
(17,12),-2.25549 # DEPENDENCYPART_ARC
(17,13),-1.9001 # DEPENDENCYPART_ARC
(17,14),-2.15607 # DEPENDENCYPART_ARC
(17,16),-0.958824 # DEPENDENCYPART_ARC
(17,18),-1.40607 # DEPENDENCYPART_ARC
(18,12),-1.78922 # DEPENDENCYPART_ARC
(18,13),-1.27764 # DEPENDENCYPART_ARC
(18,14),-1.6609 # DEPENDENCYPART_ARC
(18,15),-1.72247 # DEPENDENCYPART_ARC
(18,16),-1.15111 # DEPENDENCYPART_ARC
(18,17),1.04507 # DEPENDENCYPART_ARC
(18,19),-1.46314 # DEPENDENCYPART_ARC
(19,18),-2.67687 # DEPENDENCYPART_ARC
(0,2),(0,9),-0.342511 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.763018 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.763016 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0434456 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0959447 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0786835 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.112993 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.0191578 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.0129747 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0495335 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0037382 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.00312514 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.107058 # DEPENDENCYPART_SIBL
(1,3),(1,19),0.0197752 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.134343 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0558825 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0351394 # DEPENDENCYPART_SIBL
(1,5),(1,19),-0.0594526 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.102908 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.0112775 # DEPENDENCYPART_SIBL
(1,6),(1,19),-0.162072 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.0555157 # DEPENDENCYPART_SIBL
(1,10),(1,19),0.0694261 # DEPENDENCYPART_SIBL
(1,12),(1,19),0.0881002 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00554243 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.018037 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0940878 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0226544 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0163584 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0312059 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0446195 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.11895 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.00487931 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.00571535 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.154476 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.00487931 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0102196 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.041996 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0852811 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0446726 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0795346 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.115354 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.330508 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.131868 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0727168 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0673696 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.00613662 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0727168 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0414946 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.156207 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0999432 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0280221 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0221435 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0294637 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0230135 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0342177 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.100616 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0198541 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0342177 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.0297601 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.170266 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.156375 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.115677 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.227216 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0672785 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.16257 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.236187 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.179923 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.16257 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.16941 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.027881 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0239781 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0261801 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0312024 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0340766 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0588943 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0205946 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0340766 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.0384727 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0557257 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.00432519 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0583302 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.221776 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0201102 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0294343 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.221776 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.0155831 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0230176 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0308479 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0051842 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.114598 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0411368 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0051842 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.0899646 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.126493 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.130387 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.0481273 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0711383 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.130387 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.0423875 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.0511672 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.108891 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.387297 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.0511672 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.126693 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.00835254 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.0531939 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.222698 # DEPENDENCYPART_SIBL
(2,14),(2,19),0.0411156 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.146268 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.692566 # DEPENDENCYPART_SIBL
(2,15),(2,19),0.0228979 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.134875 # DEPENDENCYPART_SIBL
(2,16),(2,19),0.174689 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.0411156 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0734041 # DEPENDENCYPART_SIBL
