# _root_ She pointed out that even after Monday 's 10 % decline , the Straits Times index is up 24 % this year , so investors who bailed out generally did so profitably .
#goldHeads=2,0,2,2,6,17,11,7,10,11,6,17,16,16,16,17,4,17,20,18,22,17,2,2,30,27,25,27,30,24,30,30,2,
#predictedHeads=2,0,2,2,6,17,11,7,10,11,6,17,16,16,16,17,4,17,20,18,22,17,17,17,30,27,25,27,30,24,30,31,2,
(0,1),-2.1682 # DEPENDENCYPART_ARC
(0,2),-1.0489 # DEPENDENCYPART_ARC
(0,17),-2.53817 # DEPENDENCYPART_ARC
(0,30),-3.7525 # DEPENDENCYPART_ARC
(1,2),-0.839493 # DEPENDENCYPART_ARC
(1,3),-2.00559 # DEPENDENCYPART_ARC
(1,4),-1.77547 # DEPENDENCYPART_ARC
(2,1),1.28849 # DEPENDENCYPART_ARC
(2,3),1.37614 # DEPENDENCYPART_ARC
(2,4),0.495291 # DEPENDENCYPART_ARC
(2,5),-0.41508 # DEPENDENCYPART_ARC
(2,6),0.185126 # DEPENDENCYPART_ARC
(2,7),-0.945738 # DEPENDENCYPART_ARC
(2,8),-1.51619 # DEPENDENCYPART_ARC
(2,10),-1.22059 # DEPENDENCYPART_ARC
(2,11),-0.910531 # DEPENDENCYPART_ARC
(2,12),-0.974315 # DEPENDENCYPART_ARC
(2,16),-1.99115 # DEPENDENCYPART_ARC
(2,17),-0.945556 # DEPENDENCYPART_ARC
(2,18),-1.55377 # DEPENDENCYPART_ARC
(2,20),-2.25227 # DEPENDENCYPART_ARC
(2,22),-1.97372 # DEPENDENCYPART_ARC
(2,23),-1.15652 # DEPENDENCYPART_ARC
(2,24),-1.02871 # DEPENDENCYPART_ARC
(2,27),-2.13113 # DEPENDENCYPART_ARC
(2,28),-2.174 # DEPENDENCYPART_ARC
(2,29),-2.23561 # DEPENDENCYPART_ARC
(2,31),-1.82428 # DEPENDENCYPART_ARC
(2,32),-2.52322 # DEPENDENCYPART_ARC
(2,33),0.633311 # DEPENDENCYPART_ARC
(3,1),-1.64077 # DEPENDENCYPART_ARC
(3,4),-1.18568 # DEPENDENCYPART_ARC
(3,5),-2.05949 # DEPENDENCYPART_ARC
(3,6),-1.99355 # DEPENDENCYPART_ARC
(4,2),-2.03021 # DEPENDENCYPART_ARC
(4,3),-1.39257 # DEPENDENCYPART_ARC
(4,5),-1.23104 # DEPENDENCYPART_ARC
(4,6),-2.05391 # DEPENDENCYPART_ARC
(4,7),-3.05095 # DEPENDENCYPART_ARC
(4,8),-3.02635 # DEPENDENCYPART_ARC
(4,9),-3.44884 # DEPENDENCYPART_ARC
(4,11),-2.41284 # DEPENDENCYPART_ARC
(4,12),-1.62361 # DEPENDENCYPART_ARC
(4,17),0.890046 # DEPENDENCYPART_ARC
(4,23),-1.77389 # DEPENDENCYPART_ARC
(4,27),-0.768279 # DEPENDENCYPART_ARC
(4,30),-1.22829 # DEPENDENCYPART_ARC
(4,33),-2.56805 # DEPENDENCYPART_ARC
(5,2),-1.8292 # DEPENDENCYPART_ARC
(5,3),-1.58691 # DEPENDENCYPART_ARC
(5,4),-0.203554 # DEPENDENCYPART_ARC
(5,6),-0.712734 # DEPENDENCYPART_ARC
(5,7),-1.65071 # DEPENDENCYPART_ARC
(5,8),-2.16874 # DEPENDENCYPART_ARC
(5,9),-1.41464 # DEPENDENCYPART_ARC
(5,10),-1.59554 # DEPENDENCYPART_ARC
(5,11),-2.21551 # DEPENDENCYPART_ARC
(5,17),-1.65658 # DEPENDENCYPART_ARC
(5,33),-2.20491 # DEPENDENCYPART_ARC
(6,2),-1.45441 # DEPENDENCYPART_ARC
(6,3),-1.42045 # DEPENDENCYPART_ARC
(6,4),-0.927223 # DEPENDENCYPART_ARC
(6,5),0.418918 # DEPENDENCYPART_ARC
(6,7),-0.406837 # DEPENDENCYPART_ARC
