# _root_ By 10:25 , the Dow had turned up for the day , prompting cheers on trading desks and exchange floors .
#goldHeads=6,1,6,5,6,0,6,7,7,11,9,7,7,13,13,17,15,17,20,18,6,
#predictedHeads=6,1,6,5,6,0,6,7,7,11,9,7,7,13,13,17,15,17,20,18,6,
(0,1),-3.84808 # DEPENDENCYPART_ARC
(0,2),-3.94619 # DEPENDENCYPART_ARC
(0,6),-1.22855 # DEPENDENCYPART_ARC
(0,7),-3.8125 # DEPENDENCYPART_ARC
(1,2),0.85607 # DEPENDENCYPART_ARC
(1,3),-1.19731 # DEPENDENCYPART_ARC
(1,4),-2.60427 # DEPENDENCYPART_ARC
(1,5),-1.88632 # DEPENDENCYPART_ARC
(1,6),-0.769657 # DEPENDENCYPART_ARC
(1,7),-1.76798 # DEPENDENCYPART_ARC
(1,8),-1.87295 # DEPENDENCYPART_ARC
(1,9),-1.55132 # DEPENDENCYPART_ARC
(1,12),-1.62174 # DEPENDENCYPART_ARC
(1,21),-2.81459 # DEPENDENCYPART_ARC
(2,1),-1.30796 # DEPENDENCYPART_ARC
(2,3),-0.971066 # DEPENDENCYPART_ARC
(2,4),-1.96897 # DEPENDENCYPART_ARC
(2,5),-2.04585 # DEPENDENCYPART_ARC
(2,6),-1.34316 # DEPENDENCYPART_ARC
(2,7),-1.9529 # DEPENDENCYPART_ARC
(2,8),-2.00307 # DEPENDENCYPART_ARC
(2,9),-2.07474 # DEPENDENCYPART_ARC
(2,11),-2.34815 # DEPENDENCYPART_ARC
(2,12),-1.55809 # DEPENDENCYPART_ARC
(2,13),-2.18463 # DEPENDENCYPART_ARC
(3,1),-2.75121 # DEPENDENCYPART_ARC
(3,2),-2.3599 # DEPENDENCYPART_ARC
(4,1),-2.52325 # DEPENDENCYPART_ARC
(4,2),-2.72765 # DEPENDENCYPART_ARC
(4,3),-2.05586 # DEPENDENCYPART_ARC
(4,7),-2.13827 # DEPENDENCYPART_ARC
(5,1),-2.0869 # DEPENDENCYPART_ARC
(5,2),-1.77032 # DEPENDENCYPART_ARC
(5,3),-1.34598 # DEPENDENCYPART_ARC
(5,4),0.952273 # DEPENDENCYPART_ARC
(5,7),-1.71732 # DEPENDENCYPART_ARC
(6,1),-0.814219 # DEPENDENCYPART_ARC
(6,2),-2.00138 # DEPENDENCYPART_ARC
(6,3),-0.270183 # DEPENDENCYPART_ARC
(6,4),-1.27594 # DEPENDENCYPART_ARC
(6,5),0.416697 # DEPENDENCYPART_ARC
(6,7),2.00356 # DEPENDENCYPART_ARC
(6,8),-0.653373 # DEPENDENCYPART_ARC
(6,9),-0.997884 # DEPENDENCYPART_ARC
(6,11),-1.26334 # DEPENDENCYPART_ARC
(6,12),-0.927704 # DEPENDENCYPART_ARC
(6,13),-1.27844 # DEPENDENCYPART_ARC
(6,14),-2.11561 # DEPENDENCYPART_ARC
(6,15),-1.97851 # DEPENDENCYPART_ARC
(6,16),-2.15216 # DEPENDENCYPART_ARC
(6,17),-2.70538 # DEPENDENCYPART_ARC
(6,18),-1.59311 # DEPENDENCYPART_ARC
(6,21),-0.230047 # DEPENDENCYPART_ARC
(7,1),-1.85593 # DEPENDENCYPART_ARC
(7,2),-2.49497 # DEPENDENCYPART_ARC
(7,3),-1.84865 # DEPENDENCYPART_ARC
(7,4),-1.75061 # DEPENDENCYPART_ARC
(7,5),-1.8413 # DEPENDENCYPART_ARC
(7,6),-1.2959 # DEPENDENCYPART_ARC
(7,8),1.21309 # DEPENDENCYPART_ARC
(7,9),0.363652 # DEPENDENCYPART_ARC
(7,11),-0.378301 # DEPENDENCYPART_ARC
(7,12),-0.518831 # DEPENDENCYPART_ARC
(7,13),-0.504322 # DEPENDENCYPART_ARC
(7,14),-1.47143 # DEPENDENCYPART_ARC
(7,15),-0.536507 # DEPENDENCYPART_ARC
(7,16),-1.08501 # DEPENDENCYPART_ARC
(7,17),-1.92885 # DEPENDENCYPART_ARC
(7,18),-1.67376 # DEPENDENCYPART_ARC
(7,20),-2.15367 # DEPENDENCYPART_ARC
(7,21),-1.35205 # DEPENDENCYPART_ARC
(8,1),-1.33442 # DEPENDENCYPART_ARC
(8,2),-2.42708 # DEPENDENCYPART_ARC
