# _root_ It also recommends better retirement and day-care benefits , and basing pay on education , experience and nurses ' demanding work schedules .
#goldHeads=3,3,0,5,3,5,8,6,8,8,10,11,11,13,14,14,16,22,18,22,22,17,3,
#predictedHeads=3,3,0,5,3,5,8,6,3,3,10,11,11,13,14,14,16,22,18,22,22,17,3,
(0,1),-2.31528 # DEPENDENCYPART_ARC
(0,2),-3.62126 # DEPENDENCYPART_ARC
(0,3),-1.11274 # DEPENDENCYPART_ARC
(0,5),-4.29984 # DEPENDENCYPART_ARC
(1,2),-1.18166 # DEPENDENCYPART_ARC
(1,3),-1.41923 # DEPENDENCYPART_ARC
(1,4),-2.10424 # DEPENDENCYPART_ARC
(1,5),-2.1144 # DEPENDENCYPART_ARC
(1,6),-1.57678 # DEPENDENCYPART_ARC
(1,9),-1.74738 # DEPENDENCYPART_ARC
(1,10),-1.87841 # DEPENDENCYPART_ARC
(2,1),-1.72285 # DEPENDENCYPART_ARC
(2,3),-0.777005 # DEPENDENCYPART_ARC
(2,4),-1.89814 # DEPENDENCYPART_ARC
(2,5),-2.12127 # DEPENDENCYPART_ARC
(2,6),-1.98644 # DEPENDENCYPART_ARC
(2,10),-2.43604 # DEPENDENCYPART_ARC
(2,23),-1.76704 # DEPENDENCYPART_ARC
(3,1),0.699564 # DEPENDENCYPART_ARC
(3,2),0.793227 # DEPENDENCYPART_ARC
(3,4),0.0203305 # DEPENDENCYPART_ARC
(3,5),0.196647 # DEPENDENCYPART_ARC
(3,6),-0.264223 # DEPENDENCYPART_ARC
(3,7),-0.704115 # DEPENDENCYPART_ARC
(3,8),-0.50249 # DEPENDENCYPART_ARC
(3,9),-0.402423 # DEPENDENCYPART_ARC
(3,10),-0.805542 # DEPENDENCYPART_ARC
(3,11),-1.14035 # DEPENDENCYPART_ARC
(3,12),-1.48665 # DEPENDENCYPART_ARC
(3,13),-1.23698 # DEPENDENCYPART_ARC
(3,15),-1.28976 # DEPENDENCYPART_ARC
(3,17),-1.74027 # DEPENDENCYPART_ARC
(3,22),-2.1006 # DEPENDENCYPART_ARC
(3,23),-0.411755 # DEPENDENCYPART_ARC
(4,1),-2.54958 # DEPENDENCYPART_ARC
(4,2),-0.964701 # DEPENDENCYPART_ARC
(4,3),-1.20503 # DEPENDENCYPART_ARC
(4,5),-1.24747 # DEPENDENCYPART_ARC
(4,6),-0.865222 # DEPENDENCYPART_ARC
(4,8),-2.41223 # DEPENDENCYPART_ARC
(4,9),-1.89657 # DEPENDENCYPART_ARC
(4,10),-1.35111 # DEPENDENCYPART_ARC
(4,11),-2.08374 # DEPENDENCYPART_ARC
(4,13),-1.9186 # DEPENDENCYPART_ARC
(4,15),-1.97037 # DEPENDENCYPART_ARC
(4,17),-1.90288 # DEPENDENCYPART_ARC
(5,1),-2.08732 # DEPENDENCYPART_ARC
(5,2),-1.243 # DEPENDENCYPART_ARC
(5,3),-1.22519 # DEPENDENCYPART_ARC
(5,4),0.795214 # DEPENDENCYPART_ARC
(5,6),1.49581 # DEPENDENCYPART_ARC
(5,7),-1.02905 # DEPENDENCYPART_ARC
(5,8),-0.96783 # DEPENDENCYPART_ARC
(5,9),-1.24841 # DEPENDENCYPART_ARC
(5,10),-1.56311 # DEPENDENCYPART_ARC
(5,11),-1.42084 # DEPENDENCYPART_ARC
(5,12),-2.31274 # DEPENDENCYPART_ARC
(5,13),-0.890232 # DEPENDENCYPART_ARC
(5,14),-2.55298 # DEPENDENCYPART_ARC
(5,15),-1.34909 # DEPENDENCYPART_ARC
(5,16),-2.91194 # DEPENDENCYPART_ARC
(5,17),-2.24414 # DEPENDENCYPART_ARC
(5,19),-3.54215 # DEPENDENCYPART_ARC
(5,23),-2.45807 # DEPENDENCYPART_ARC
(6,4),-2.27328 # DEPENDENCYPART_ARC
(6,7),0.831029 # DEPENDENCYPART_ARC
(6,8),0.388347 # DEPENDENCYPART_ARC
(6,9),-0.848562 # DEPENDENCYPART_ARC
(6,10),-1.06021 # DEPENDENCYPART_ARC
(6,11),-1.65169 # DEPENDENCYPART_ARC
(6,12),-1.23883 # DEPENDENCYPART_ARC
(6,13),-2.1568 # DEPENDENCYPART_ARC
(6,14),-2.08562 # DEPENDENCYPART_ARC
(6,16),-2.4581 # DEPENDENCYPART_ARC
(7,4),-2.72146 # DEPENDENCYPART_ARC
(7,8),-0.997203 # DEPENDENCYPART_ARC
(7,9),-2.07916 # DEPENDENCYPART_ARC
(7,10),-1.77931 # DEPENDENCYPART_ARC
(7,11),-1.91669 # DEPENDENCYPART_ARC
(8,1),-3.18475 # DEPENDENCYPART_ARC
(8,2),-2.14148 # DEPENDENCYPART_ARC
(8,4),-0.665868 # DEPENDENCYPART_ARC
(8,5),-0.617868 # DEPENDENCYPART_ARC
(8,6),-1.427 # DEPENDENCYPART_ARC
(8,7),1.60972 # DEPENDENCYPART_ARC
(8,9),-1.04322 # DEPENDENCYPART_ARC
(8,10),-1.34627 # DEPENDENCYPART_ARC
(8,11),-1.58976 # DEPENDENCYPART_ARC
(8,12),-2.19351 # DEPENDENCYPART_ARC
(8,13),-1.66906 # DEPENDENCYPART_ARC
(8,14),-2.29037 # DEPENDENCYPART_ARC
