# _root_ `` We went down 3\/4 point in 10 minutes right before lunch , then after lunch we went up 3\/4 point in 12 minutes , '' he said .
#goldHeads=3,3,28,3,6,4,3,9,7,11,3,11,3,18,18,15,18,3,18,21,19,18,24,22,3,3,28,0,28,
#predictedHeads=28,3,28,3,6,4,3,9,7,11,3,11,3,15,3,15,18,15,18,21,19,18,24,22,28,28,28,0,28,
(0,3),-1.64565 # DEPENDENCYPART_ARC
(0,28),1.16815 # DEPENDENCYPART_ARC
(1,2),-2.45319 # DEPENDENCYPART_ARC
(1,3),-2.40363 # DEPENDENCYPART_ARC
(2,1),-1.63314 # DEPENDENCYPART_ARC
(2,3),-0.733312 # DEPENDENCYPART_ARC
(2,4),-1.92773 # DEPENDENCYPART_ARC
(2,5),-2.39242 # DEPENDENCYPART_ARC
(2,6),-2.2425 # DEPENDENCYPART_ARC
(3,1),-0.527018 # DEPENDENCYPART_ARC
(3,2),1.4897 # DEPENDENCYPART_ARC
(3,4),0.962085 # DEPENDENCYPART_ARC
(3,5),-0.699113 # DEPENDENCYPART_ARC
(3,6),-0.0202653 # DEPENDENCYPART_ARC
(3,7),0.774209 # DEPENDENCYPART_ARC
(3,8),-1.79951 # DEPENDENCYPART_ARC
(3,9),-1.19086 # DEPENDENCYPART_ARC
(3,10),-0.876799 # DEPENDENCYPART_ARC
(3,11),0.12335 # DEPENDENCYPART_ARC
(3,12),-1.40162 # DEPENDENCYPART_ARC
(3,13),-0.482566 # DEPENDENCYPART_ARC
(3,14),-1.10156 # DEPENDENCYPART_ARC
(3,15),-0.407902 # DEPENDENCYPART_ARC
(3,16),-2.4907 # DEPENDENCYPART_ARC
(3,17),-2.13687 # DEPENDENCYPART_ARC
(3,18),-1.6776 # DEPENDENCYPART_ARC
(3,19),-1.90685 # DEPENDENCYPART_ARC
(3,22),-1.09144 # DEPENDENCYPART_ARC
(3,25),-1.1159 # DEPENDENCYPART_ARC
(3,26),-0.883679 # DEPENDENCYPART_ARC
(3,28),-3.06708 # DEPENDENCYPART_ARC
(3,29),0.257746 # DEPENDENCYPART_ARC
(4,1),-2.17287 # DEPENDENCYPART_ARC
(4,2),-2.04549 # DEPENDENCYPART_ARC
(4,3),-1.22687 # DEPENDENCYPART_ARC
(4,5),0.11224 # DEPENDENCYPART_ARC
(4,6),-0.438391 # DEPENDENCYPART_ARC
(4,7),-0.970321 # DEPENDENCYPART_ARC
(4,8),-1.48727 # DEPENDENCYPART_ARC
(4,9),-1.44338 # DEPENDENCYPART_ARC
(4,10),-2.12491 # DEPENDENCYPART_ARC
(4,11),-1.75136 # DEPENDENCYPART_ARC
(4,12),-2.07781 # DEPENDENCYPART_ARC
(4,13),-1.82692 # DEPENDENCYPART_ARC
(4,15),-2.17529 # DEPENDENCYPART_ARC
(4,18),-2.26905 # DEPENDENCYPART_ARC
(4,20),-3.47403 # DEPENDENCYPART_ARC
(4,21),-2.2066 # DEPENDENCYPART_ARC
(4,22),-2.62006 # DEPENDENCYPART_ARC
(4,24),-2.37465 # DEPENDENCYPART_ARC
(4,29),-2.00823 # DEPENDENCYPART_ARC
(5,1),-2.18139 # DEPENDENCYPART_ARC
(5,2),-2.51859 # DEPENDENCYPART_ARC
(5,3),-1.71562 # DEPENDENCYPART_ARC
(5,4),-1.02285 # DEPENDENCYPART_ARC
(5,6),-1.2841 # DEPENDENCYPART_ARC
(5,7),-1.65594 # DEPENDENCYPART_ARC
(5,9),-2.38069 # DEPENDENCYPART_ARC
(6,1),-1.35565 # DEPENDENCYPART_ARC
(6,2),-1.91698 # DEPENDENCYPART_ARC
(6,3),-1.36163 # DEPENDENCYPART_ARC
(6,4),0.0640144 # DEPENDENCYPART_ARC
(6,5),0.750158 # DEPENDENCYPART_ARC
(6,7),-0.0276062 # DEPENDENCYPART_ARC
(6,8),-1.18417 # DEPENDENCYPART_ARC
(6,9),-1.27483 # DEPENDENCYPART_ARC
(6,10),-1.58803 # DEPENDENCYPART_ARC
(6,11),-1.48195 # DEPENDENCYPART_ARC
(6,12),-1.78891 # DEPENDENCYPART_ARC
(6,13),-1.28844 # DEPENDENCYPART_ARC
(6,14),-1.82212 # DEPENDENCYPART_ARC
(6,15),-1.95 # DEPENDENCYPART_ARC
(6,16),-2.46106 # DEPENDENCYPART_ARC
(6,18),-2.05697 # DEPENDENCYPART_ARC
(6,29),-1.67582 # DEPENDENCYPART_ARC
(7,4),-1.95723 # DEPENDENCYPART_ARC
(7,5),-2.49961 # DEPENDENCYPART_ARC
(7,6),-1.76933 # DEPENDENCYPART_ARC
(7,8),-0.0108596 # DEPENDENCYPART_ARC
(7,9),0.774918 # DEPENDENCYPART_ARC
(7,10),-1.60853 # DEPENDENCYPART_ARC
(7,11),-1.63083 # DEPENDENCYPART_ARC
(7,12),-0.551082 # DEPENDENCYPART_ARC
(8,5),-2.44281 # DEPENDENCYPART_ARC
(8,6),-2.69107 # DEPENDENCYPART_ARC
(8,7),-1.48457 # DEPENDENCYPART_ARC
(8,9),-1.24266 # DEPENDENCYPART_ARC
(8,10),-1.7615 # DEPENDENCYPART_ARC
(9,1),-2.44168 # DEPENDENCYPART_ARC
(9,4),-0.614417 # DEPENDENCYPART_ARC
(9,5),-1.30645 # DEPENDENCYPART_ARC
(9,6),-1.45955 # DEPENDENCYPART_ARC
(9,7),-0.83043 # DEPENDENCYPART_ARC
(9,8),1.52786 # DEPENDENCYPART_ARC
(9,10),-1.16304 # DEPENDENCYPART_ARC
(9,11),-1.35292 # DEPENDENCYPART_ARC
(9,12),-1.62508 # DEPENDENCYPART_ARC
(9,13),-1.79001 # DEPENDENCYPART_ARC
(9,14),-1.94346 # DEPENDENCYPART_ARC
(9,15),-2.11504 # DEPENDENCYPART_ARC
(9,16),-2.46384 # DEPENDENCYPART_ARC
(9,18),-1.92592 # DEPENDENCYPART_ARC
(9,26),-2.51353 # DEPENDENCYPART_ARC
(10,3),-2.42317 # DEPENDENCYPART_ARC
(10,4),-2.49438 # DEPENDENCYPART_ARC
(10,5),-2.96986 # DEPENDENCYPART_ARC
(10,6),-2.2814 # DEPENDENCYPART_ARC
(10,7),-1.55735 # DEPENDENCYPART_ARC
(10,8),-2.24559 # DEPENDENCYPART_ARC
(10,9),-0.412995 # DEPENDENCYPART_ARC
(10,11),-0.538015 # DEPENDENCYPART_ARC
(10,12),-0.940309 # DEPENDENCYPART_ARC
(10,14),-1.28593 # DEPENDENCYPART_ARC
(11,4),-1.50623 # DEPENDENCYPART_ARC
(11,6),-1.53651 # DEPENDENCYPART_ARC
(11,7),-0.959017 # DEPENDENCYPART_ARC
(11,8),-1.55242 # DEPENDENCYPART_ARC
(11,9),-1.07039 # DEPENDENCYPART_ARC
(11,10),0.323464 # DEPENDENCYPART_ARC
(11,12),0.934042 # DEPENDENCYPART_ARC
(11,13),-1.58808 # DEPENDENCYPART_ARC
(11,14),-1.59514 # DEPENDENCYPART_ARC
(11,15),-2.05802 # DEPENDENCYPART_ARC
(11,16),-1.98373 # DEPENDENCYPART_ARC
(11,18),-1.16493 # DEPENDENCYPART_ARC
(12,7),-2.37013 # DEPENDENCYPART_ARC
(12,8),-2.31991 # DEPENDENCYPART_ARC
(12,9),-1.62807 # DEPENDENCYPART_ARC
(12,10),-0.783939 # DEPENDENCYPART_ARC
(12,11),-0.66565 # DEPENDENCYPART_ARC
(12,13),-0.905554 # DEPENDENCYPART_ARC
(12,14),-1.47129 # DEPENDENCYPART_ARC
(12,15),-1.53533 # DEPENDENCYPART_ARC
(12,16),-1.69224 # DEPENDENCYPART_ARC
(12,17),-2.22673 # DEPENDENCYPART_ARC
(12,18),-1.82298 # DEPENDENCYPART_ARC
(12,19),-1.92406 # DEPENDENCYPART_ARC
(12,21),-2.45432 # DEPENDENCYPART_ARC
(12,25),-1.38379 # DEPENDENCYPART_ARC
(12,26),-1.74496 # DEPENDENCYPART_ARC
(14,11),-1.66468 # DEPENDENCYPART_ARC
(14,12),-2.1566 # DEPENDENCYPART_ARC
(14,13),-1.51808 # DEPENDENCYPART_ARC
(14,15),-1.01454 # DEPENDENCYPART_ARC
(14,16),-1.26392 # DEPENDENCYPART_ARC
(14,17),-2.04974 # DEPENDENCYPART_ARC
(14,18),-1.41713 # DEPENDENCYPART_ARC
(14,19),-2.31472 # DEPENDENCYPART_ARC
(14,20),-2.86054 # DEPENDENCYPART_ARC
(14,22),-2.43963 # DEPENDENCYPART_ARC
(15,10),-1.55618 # DEPENDENCYPART_ARC
(15,12),-1.77248 # DEPENDENCYPART_ARC
(15,13),-1.83406 # DEPENDENCYPART_ARC
(15,14),0.093623 # DEPENDENCYPART_ARC
(15,16),0.926336 # DEPENDENCYPART_ARC
(15,17),-1.0334 # DEPENDENCYPART_ARC
(15,18),0.516002 # DEPENDENCYPART_ARC
(15,19),-1.92594 # DEPENDENCYPART_ARC
(15,20),-2.66994 # DEPENDENCYPART_ARC
(15,21),-1.92419 # DEPENDENCYPART_ARC
(15,25),-1.50456 # DEPENDENCYPART_ARC
(15,28),-2.00966 # DEPENDENCYPART_ARC
(16,14),-1.0547 # DEPENDENCYPART_ARC
(16,15),-0.784503 # DEPENDENCYPART_ARC
(16,17),-0.741203 # DEPENDENCYPART_ARC
(16,18),-0.438339 # DEPENDENCYPART_ARC
(16,19),-1.08881 # DEPENDENCYPART_ARC
(16,20),-1.41893 # DEPENDENCYPART_ARC
(16,21),-1.41891 # DEPENDENCYPART_ARC
(16,22),-1.05933 # DEPENDENCYPART_ARC
(16,24),-1.77692 # DEPENDENCYPART_ARC
(16,25),-1.32831 # DEPENDENCYPART_ARC
(16,26),-1.28779 # DEPENDENCYPART_ARC
(16,28),-1.86814 # DEPENDENCYPART_ARC
(16,29),-2.12569 # DEPENDENCYPART_ARC
(17,16),-1.65263 # DEPENDENCYPART_ARC
(18,1),-1.49862 # DEPENDENCYPART_ARC
(18,2),-1.85292 # DEPENDENCYPART_ARC
(18,3),-1.74703 # DEPENDENCYPART_ARC
(18,4),-2.02511 # DEPENDENCYPART_ARC
(18,5),-2.54778 # DEPENDENCYPART_ARC
(18,6),-1.9122 # DEPENDENCYPART_ARC
(18,7),-1.998 # DEPENDENCYPART_ARC
(18,8),-2.55763 # DEPENDENCYPART_ARC
(18,9),-1.62264 # DEPENDENCYPART_ARC
(18,10),-1.83893 # DEPENDENCYPART_ARC
(18,11),-1.32271 # DEPENDENCYPART_ARC
(18,12),-1.48534 # DEPENDENCYPART_ARC
(18,13),-1.10501 # DEPENDENCYPART_ARC
(18,14),-1.31694 # DEPENDENCYPART_ARC
(18,15),-1.04356 # DEPENDENCYPART_ARC
(18,16),-0.963158 # DEPENDENCYPART_ARC
(18,17),1.6422 # DEPENDENCYPART_ARC
(18,19),0.936045 # DEPENDENCYPART_ARC
(18,20),-0.762889 # DEPENDENCYPART_ARC
(18,21),-0.0840416 # DEPENDENCYPART_ARC
(18,22),0.710433 # DEPENDENCYPART_ARC
(18,23),-1.89251 # DEPENDENCYPART_ARC
(18,24),-1.0969 # DEPENDENCYPART_ARC
(18,25),-0.403086 # DEPENDENCYPART_ARC
(18,26),-0.888422 # DEPENDENCYPART_ARC
(18,27),-1.83081 # DEPENDENCYPART_ARC
(18,28),-1.28407 # DEPENDENCYPART_ARC
(18,29),-0.455733 # DEPENDENCYPART_ARC
(19,17),-2.08773 # DEPENDENCYPART_ARC
(19,20),0.182629 # DEPENDENCYPART_ARC
(19,21),-0.223437 # DEPENDENCYPART_ARC
(19,22),-0.907685 # DEPENDENCYPART_ARC
(19,23),-1.47275 # DEPENDENCYPART_ARC
(19,24),-1.49946 # DEPENDENCYPART_ARC
(19,25),-1.60152 # DEPENDENCYPART_ARC
(19,28),-1.86792 # DEPENDENCYPART_ARC
(20,17),-2.70273 # DEPENDENCYPART_ARC
(20,19),-1.16801 # DEPENDENCYPART_ARC
(20,21),-1.51995 # DEPENDENCYPART_ARC
(20,22),-1.89178 # DEPENDENCYPART_ARC
(21,16),-0.955932 # DEPENDENCYPART_ARC
(21,17),-1.88401 # DEPENDENCYPART_ARC
(21,19),0.0447468 # DEPENDENCYPART_ARC
(21,20),0.750158 # DEPENDENCYPART_ARC
(21,22),-0.0276062 # DEPENDENCYPART_ARC
(21,23),-1.20821 # DEPENDENCYPART_ARC
(21,24),-1.12993 # DEPENDENCYPART_ARC
(21,25),-1.30669 # DEPENDENCYPART_ARC
(21,26),-1.62709 # DEPENDENCYPART_ARC
(21,28),-1.3941 # DEPENDENCYPART_ARC
(22,21),-1.76392 # DEPENDENCYPART_ARC
(22,23),-0.040191 # DEPENDENCYPART_ARC
(22,24),1.21584 # DEPENDENCYPART_ARC
(22,25),-1.6337 # DEPENDENCYPART_ARC
(22,26),-1.63728 # DEPENDENCYPART_ARC
(22,27),-2.22403 # DEPENDENCYPART_ARC
(22,28),-2.02671 # DEPENDENCYPART_ARC
(23,20),-2.48599 # DEPENDENCYPART_ARC
(23,28),-1.9095 # DEPENDENCYPART_ARC
(24,19),-0.531801 # DEPENDENCYPART_ARC
(24,20),-1.34116 # DEPENDENCYPART_ARC
(24,21),-1.36569 # DEPENDENCYPART_ARC
(24,22),-0.969996 # DEPENDENCYPART_ARC
(24,23),1.57019 # DEPENDENCYPART_ARC
(24,25),-0.608162 # DEPENDENCYPART_ARC
(24,26),-0.99224 # DEPENDENCYPART_ARC
(24,27),-1.69303 # DEPENDENCYPART_ARC
(24,28),-0.935215 # DEPENDENCYPART_ARC
(25,24),-2.12006 # DEPENDENCYPART_ARC
(26,24),-2.48917 # DEPENDENCYPART_ARC
(26,27),-1.88259 # DEPENDENCYPART_ARC
(27,24),-2.11584 # DEPENDENCYPART_ARC
(27,26),-1.55836 # DEPENDENCYPART_ARC
(28,1),-0.451809 # DEPENDENCYPART_ARC
(28,2),-2.13633 # DEPENDENCYPART_ARC
(28,3),-0.16563 # DEPENDENCYPART_ARC
(28,4),-2.80852 # DEPENDENCYPART_ARC
(28,5),-3.22277 # DEPENDENCYPART_ARC
(28,11),-2.60538 # DEPENDENCYPART_ARC
(28,13),-3.32218 # DEPENDENCYPART_ARC
(28,14),-1.91592 # DEPENDENCYPART_ARC
(28,15),-1.82106 # DEPENDENCYPART_ARC
(28,17),-1.41752 # DEPENDENCYPART_ARC
(28,18),-0.728525 # DEPENDENCYPART_ARC
(28,19),-2.02621 # DEPENDENCYPART_ARC
(28,20),-2.34863 # DEPENDENCYPART_ARC
(28,21),-2.04337 # DEPENDENCYPART_ARC
(28,22),-1.93665 # DEPENDENCYPART_ARC
(28,23),-2.09761 # DEPENDENCYPART_ARC
(28,24),-1.67829 # DEPENDENCYPART_ARC
(28,25),0.0698666 # DEPENDENCYPART_ARC
(28,26),-0.336554 # DEPENDENCYPART_ARC
(28,27),1.84846 # DEPENDENCYPART_ARC
(28,29),0.860376 # DEPENDENCYPART_ARC
(0,3),(0,28),-2.28756 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0596231 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0421368 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00177424 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0422389 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0178544 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0174451 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0571009 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0736405 # DEPENDENCYPART_SIBL
