# _root_ The stock market has lost some precursory power , analysts at the Columbia center claim , because of the growing impact of international developments .
#goldHeads=3,3,4,15,4,8,8,5,5,15,10,14,14,11,0,5,5,17,21,21,17,21,24,22,4,
#predictedHeads=3,3,4,0,4,8,8,5,5,5,5,15,15,15,11,5,5,17,21,21,17,21,24,22,4,
(0,3),-3.40665 # DEPENDENCYPART_ARC
(0,4),-1.06048 # DEPENDENCYPART_ARC
(0,5),-3.59057 # DEPENDENCYPART_ARC
(2,1),-0.297429 # DEPENDENCYPART_ARC
(2,3),-1.15182 # DEPENDENCYPART_ARC
(2,4),-1.27084 # DEPENDENCYPART_ARC
(2,5),-1.78356 # DEPENDENCYPART_ARC
(2,8),-2.80387 # DEPENDENCYPART_ARC
(2,9),-1.82452 # DEPENDENCYPART_ARC
(2,11),-2.30316 # DEPENDENCYPART_ARC
(3,1),1.325 # DEPENDENCYPART_ARC
(3,2),1.79606 # DEPENDENCYPART_ARC
(3,4),-1.17633 # DEPENDENCYPART_ARC
(3,5),-1.55118 # DEPENDENCYPART_ARC
(3,8),-1.90625 # DEPENDENCYPART_ARC
(3,9),-1.86788 # DEPENDENCYPART_ARC
(4,1),-1.858 # DEPENDENCYPART_ARC
(4,2),-0.498205 # DEPENDENCYPART_ARC
(4,3),1.00035 # DEPENDENCYPART_ARC
(4,5),2.2541 # DEPENDENCYPART_ARC
(4,6),-1.50868 # DEPENDENCYPART_ARC
(4,7),-1.6429 # DEPENDENCYPART_ARC
(4,8),-0.819929 # DEPENDENCYPART_ARC
(4,9),-1.48958 # DEPENDENCYPART_ARC
(4,10),-1.7199 # DEPENDENCYPART_ARC
(4,11),-1.52201 # DEPENDENCYPART_ARC
(4,15),-2.57333 # DEPENDENCYPART_ARC
(4,16),-1.56121 # DEPENDENCYPART_ARC
(4,17),-1.61602 # DEPENDENCYPART_ARC
(4,20),-2.45207 # DEPENDENCYPART_ARC
(4,25),0.275065 # DEPENDENCYPART_ARC
(5,2),-1.36825 # DEPENDENCYPART_ARC
(5,3),-1.55209 # DEPENDENCYPART_ARC
(5,4),-1.17711 # DEPENDENCYPART_ARC
(5,6),-0.801048 # DEPENDENCYPART_ARC
(5,7),-0.71931 # DEPENDENCYPART_ARC
(5,8),0.0440039 # DEPENDENCYPART_ARC
(5,9),-0.986182 # DEPENDENCYPART_ARC
(5,10),-0.854112 # DEPENDENCYPART_ARC
(5,11),-0.612859 # DEPENDENCYPART_ARC
(5,13),-1.61013 # DEPENDENCYPART_ARC
(5,14),-0.973389 # DEPENDENCYPART_ARC
(5,15),-0.873275 # DEPENDENCYPART_ARC
(5,16),-0.911809 # DEPENDENCYPART_ARC
(5,17),-0.884368 # DEPENDENCYPART_ARC
(5,18),-2.45983 # DEPENDENCYPART_ARC
(5,20),-1.29192 # DEPENDENCYPART_ARC
(5,21),-1.79079 # DEPENDENCYPART_ARC
(5,25),-2.03034 # DEPENDENCYPART_ARC
(6,3),-2.25695 # DEPENDENCYPART_ARC
(6,7),-1.09897 # DEPENDENCYPART_ARC
(6,8),-1.36781 # DEPENDENCYPART_ARC
(6,9),-1.2816 # DEPENDENCYPART_ARC
(6,10),-1.8379 # DEPENDENCYPART_ARC
(6,11),-1.57132 # DEPENDENCYPART_ARC
(6,16),-1.5051 # DEPENDENCYPART_ARC
(7,3),-2.21307 # DEPENDENCYPART_ARC
(7,6),-0.963453 # DEPENDENCYPART_ARC
(7,8),-1.01483 # DEPENDENCYPART_ARC
(7,9),-1.68939 # DEPENDENCYPART_ARC
(7,10),-1.97363 # DEPENDENCYPART_ARC
(7,11),-1.94872 # DEPENDENCYPART_ARC
(8,1),-3.1366 # DEPENDENCYPART_ARC
(8,2),-1.57855 # DEPENDENCYPART_ARC
(8,3),-1.65131 # DEPENDENCYPART_ARC
(8,5),-1.24577 # DEPENDENCYPART_ARC
(8,6),0.6336 # DEPENDENCYPART_ARC
(8,7),1.69381 # DEPENDENCYPART_ARC
(8,9),-0.404623 # DEPENDENCYPART_ARC
(8,10),-1.05602 # DEPENDENCYPART_ARC
(8,11),-1.35814 # DEPENDENCYPART_ARC
(8,13),-2.20139 # DEPENDENCYPART_ARC
(8,14),-1.95584 # DEPENDENCYPART_ARC
(8,15),-1.78405 # DEPENDENCYPART_ARC
(8,16),-1.15613 # DEPENDENCYPART_ARC
(8,17),-2.43118 # DEPENDENCYPART_ARC
(8,18),-3.71002 # DEPENDENCYPART_ARC
(8,20),-2.73221 # DEPENDENCYPART_ARC
(8,21),-2.97247 # DEPENDENCYPART_ARC
(8,25),-2.28554 # DEPENDENCYPART_ARC
(9,10),-1.94769 # DEPENDENCYPART_ARC
(10,6),-1.24374 # DEPENDENCYPART_ARC
(10,7),-1.34135 # DEPENDENCYPART_ARC
(10,8),-1.34207 # DEPENDENCYPART_ARC
(10,9),-1.83522 # DEPENDENCYPART_ARC
(10,11),0.139901 # DEPENDENCYPART_ARC
(10,12),-1.84605 # DEPENDENCYPART_ARC
(10,13),-1.4696 # DEPENDENCYPART_ARC
(10,14),-1.29065 # DEPENDENCYPART_ARC
(10,15),-1.42043 # DEPENDENCYPART_ARC
(10,16),-1.15158 # DEPENDENCYPART_ARC
(10,17),-1.75257 # DEPENDENCYPART_ARC
(10,18),-2.48437 # DEPENDENCYPART_ARC
(10,20),-1.50226 # DEPENDENCYPART_ARC
(10,21),-2.45979 # DEPENDENCYPART_ARC
(10,22),-3.17617 # DEPENDENCYPART_ARC
(10,25),-2.66261 # DEPENDENCYPART_ARC
