# _root_ At its low , shortly before Wall Street opened , it was off more than 130 points .
#goldHeads=12,3,1,12,6,12,8,9,6,12,12,0,12,16,16,17,13,12,
#predictedHeads=12,3,1,12,6,12,8,9,6,12,12,0,12,16,16,17,13,12,
(0,1),-3.92988 # DEPENDENCYPART_ARC
(0,9),-1.51779 # DEPENDENCYPART_ARC
(0,12),-2.22451 # DEPENDENCYPART_ARC
(1,2),-0.866914 # DEPENDENCYPART_ARC
(1,3),-0.417391 # DEPENDENCYPART_ARC
(1,4),-1.23894 # DEPENDENCYPART_ARC
(1,5),-1.64363 # DEPENDENCYPART_ARC
(1,6),-1.6456 # DEPENDENCYPART_ARC
(1,8),-2.52473 # DEPENDENCYPART_ARC
(1,9),-0.718496 # DEPENDENCYPART_ARC
(1,10),-1.36442 # DEPENDENCYPART_ARC
(1,12),-1.98937 # DEPENDENCYPART_ARC
(1,14),-2.70914 # DEPENDENCYPART_ARC
(1,15),-2.17748 # DEPENDENCYPART_ARC
(1,17),-2.28329 # DEPENDENCYPART_ARC
(1,18),-2.53485 # DEPENDENCYPART_ARC
(2,1),-1.9036 # DEPENDENCYPART_ARC
(2,3),-1.61554 # DEPENDENCYPART_ARC
(2,4),-2.10998 # DEPENDENCYPART_ARC
(2,5),-2.3073 # DEPENDENCYPART_ARC
(3,1),-1.67727 # DEPENDENCYPART_ARC
(3,2),-0.637185 # DEPENDENCYPART_ARC
(3,4),-1.08254 # DEPENDENCYPART_ARC
(3,5),-1.72818 # DEPENDENCYPART_ARC
(3,6),-1.73975 # DEPENDENCYPART_ARC
(3,8),-2.36027 # DEPENDENCYPART_ARC
(3,9),-1.98447 # DEPENDENCYPART_ARC
(3,10),-1.65372 # DEPENDENCYPART_ARC
(3,12),-2.15793 # DEPENDENCYPART_ARC
(3,13),-2.69185 # DEPENDENCYPART_ARC
(3,14),-2.77741 # DEPENDENCYPART_ARC
(3,15),-2.22342 # DEPENDENCYPART_ARC
(3,18),-2.51441 # DEPENDENCYPART_ARC
(4,2),-2.28005 # DEPENDENCYPART_ARC
(4,3),-2.19173 # DEPENDENCYPART_ARC
(5,1),-1.66649 # DEPENDENCYPART_ARC
(5,2),-2.15586 # DEPENDENCYPART_ARC
(5,3),-2.13819 # DEPENDENCYPART_ARC
(5,4),-1.52993 # DEPENDENCYPART_ARC
(5,6),-0.791689 # DEPENDENCYPART_ARC
(5,7),-1.82554 # DEPENDENCYPART_ARC
(5,8),-2.14205 # DEPENDENCYPART_ARC
(5,9),-1.43421 # DEPENDENCYPART_ARC
(5,10),-1.79367 # DEPENDENCYPART_ARC
(5,12),-1.94224 # DEPENDENCYPART_ARC
(5,13),-2.68417 # DEPENDENCYPART_ARC
(5,14),-2.26182 # DEPENDENCYPART_ARC
