# _root_ Paris , which has been the center of speculation fever in recent weeks , also was hard hit .
#goldHeads=16,1,4,1,4,7,5,7,10,8,5,13,11,1,16,0,18,16,16,
#predictedHeads=16,1,4,1,4,7,5,7,10,8,7,13,11,1,16,0,18,16,16,
(0,1),-3.68337 # DEPENDENCYPART_ARC
(0,4),-1.81796 # DEPENDENCYPART_ARC
(0,5),-3.47046 # DEPENDENCYPART_ARC
(0,16),-1.86507 # DEPENDENCYPART_ARC
(0,18),-4.36819 # DEPENDENCYPART_ARC
(1,2),0.357754 # DEPENDENCYPART_ARC
(1,3),-1.75387 # DEPENDENCYPART_ARC
(1,4),-0.362643 # DEPENDENCYPART_ARC
(1,5),-1.71436 # DEPENDENCYPART_ARC
(1,7),-2.08144 # DEPENDENCYPART_ARC
(1,8),-1.97946 # DEPENDENCYPART_ARC
(1,9),-2.86751 # DEPENDENCYPART_ARC
(1,10),-2.81478 # DEPENDENCYPART_ARC
(1,11),-2.46816 # DEPENDENCYPART_ARC
(1,13),-2.96179 # DEPENDENCYPART_ARC
(1,14),-0.35194 # DEPENDENCYPART_ARC
(1,15),-2.81714 # DEPENDENCYPART_ARC
(1,16),-2.25866 # DEPENDENCYPART_ARC
(1,17),-2.9575 # DEPENDENCYPART_ARC
(1,18),-3.08865 # DEPENDENCYPART_ARC
(1,19),-2.73968 # DEPENDENCYPART_ARC
(2,1),-2.37747 # DEPENDENCYPART_ARC
(2,4),-2.13532 # DEPENDENCYPART_ARC
(3,1),-2.27257 # DEPENDENCYPART_ARC
(3,2),-1.63965 # DEPENDENCYPART_ARC
(3,4),-1.01635 # DEPENDENCYPART_ARC
(3,5),-1.9417 # DEPENDENCYPART_ARC
(4,1),-1.50283 # DEPENDENCYPART_ARC
(4,2),-1.28874 # DEPENDENCYPART_ARC
(4,3),1.91938 # DEPENDENCYPART_ARC
(4,5),1.92192 # DEPENDENCYPART_ARC
(4,7),-0.985732 # DEPENDENCYPART_ARC
(4,8),-1.65826 # DEPENDENCYPART_ARC
(4,10),-2.14715 # DEPENDENCYPART_ARC
(4,11),-1.66522 # DEPENDENCYPART_ARC
(4,13),-1.88561 # DEPENDENCYPART_ARC
(4,14),-1.65004 # DEPENDENCYPART_ARC
(4,15),-2.28969 # DEPENDENCYPART_ARC
(4,16),-1.78428 # DEPENDENCYPART_ARC
(4,17),-2.41869 # DEPENDENCYPART_ARC
(4,18),-2.63023 # DEPENDENCYPART_ARC
(4,19),-0.841969 # DEPENDENCYPART_ARC
(5,1),-2.06048 # DEPENDENCYPART_ARC
(5,2),-1.82521 # DEPENDENCYPART_ARC
(5,3),-0.912209 # DEPENDENCYPART_ARC
(5,4),-1.04101 # DEPENDENCYPART_ARC
(5,6),-0.673344 # DEPENDENCYPART_ARC
(5,7),0.234729 # DEPENDENCYPART_ARC
(5,8),-0.479995 # DEPENDENCYPART_ARC
(5,9),-0.485351 # DEPENDENCYPART_ARC
(5,10),-0.259017 # DEPENDENCYPART_ARC
(5,11),-0.431603 # DEPENDENCYPART_ARC
(5,12),-1.41764 # DEPENDENCYPART_ARC
(5,13),-1.28595 # DEPENDENCYPART_ARC
(5,14),-0.821922 # DEPENDENCYPART_ARC
(5,15),-1.45308 # DEPENDENCYPART_ARC
(5,16),-1.66915 # DEPENDENCYPART_ARC
(5,17),-1.8298 # DEPENDENCYPART_ARC
(5,18),-1.98942 # DEPENDENCYPART_ARC
(5,19),-1.55649 # DEPENDENCYPART_ARC
(6,8),-1.75267 # DEPENDENCYPART_ARC
(7,1),-4.02344 # DEPENDENCYPART_ARC
(7,3),-2.23164 # DEPENDENCYPART_ARC
(7,4),-2.19999 # DEPENDENCYPART_ARC
(7,5),-1.42435 # DEPENDENCYPART_ARC
(7,6),0.943609 # DEPENDENCYPART_ARC
(7,8),0.900226 # DEPENDENCYPART_ARC
(7,9),-0.809717 # DEPENDENCYPART_ARC
(7,10),-0.791811 # DEPENDENCYPART_ARC
(7,11),-0.334721 # DEPENDENCYPART_ARC
(7,12),-1.52374 # DEPENDENCYPART_ARC
(7,13),-1.44657 # DEPENDENCYPART_ARC
(7,14),-1.00179 # DEPENDENCYPART_ARC
(7,15),-1.57007 # DEPENDENCYPART_ARC
