# _root_ خَصَّصَت الحُكُومَةُ المِصْرِيَّةُ 5,2 بِلْيُونِ جُنَيْهٍ ( 585 مِلْيُونَ دُولارٍ ) لِ إِصْلاحِ شَرِكَةِ الحَدِيدِ وَ الصُلْبِ وَ 5,1 بِلْيُونٍ ( 153 مِلْيُونَ دُولارٍ ) لِ إِصْلاحِ قِطاعِ الغَزْلِ وَ النَسِيجِ فِي الوَقْتِ الَّذِي سَ تَمْتَنِعُ عَن بَيْعِ 115 شَرِكَةً تابِعَةً سابِقاً لِ وِزارَةِ الاِقْتِصادِ قَبْلَ إِلْغائِ ها .
#goldHeads=18,1,2,7,4,5,1,7,8,9,7,1,12,13,16,14,16,32,21,19,18,21,22,23,21,18,26,27,30,28,30,0,32,32,36,32,36,37,38,39,40,41,41,43,44,41,46,47,0,
#predictedHeads=0,1,2,7,4,5,1,7,8,9,7,1,12,13,16,14,16,14,21,19,18,21,22,23,21,1,26,27,30,14,30,31,32,33,36,33,36,37,38,39,40,41,42,43,44,36,46,47,0,
(0,1),1.09655 # DEPENDENCYPART_ARC
(0,2),-1.55732 # DEPENDENCYPART_ARC
(0,3),-1.4439 # DEPENDENCYPART_ARC
(0,4),-0.45975 # DEPENDENCYPART_ARC
(0,7),-0.199102 # DEPENDENCYPART_ARC
(0,8),-0.537666 # DEPENDENCYPART_ARC
(0,11),-0.0465331 # DEPENDENCYPART_ARC
(0,13),-1.7539 # DEPENDENCYPART_ARC
(0,16),-0.969572 # DEPENDENCYPART_ARC
(0,18),-0.417784 # DEPENDENCYPART_ARC
(0,19),-1.52269 # DEPENDENCYPART_ARC
(0,21),-1.3299 # DEPENDENCYPART_ARC
(0,22),-1.53716 # DEPENDENCYPART_ARC
(0,25),-0.66589 # DEPENDENCYPART_ARC
(0,27),-2.24301 # DEPENDENCYPART_ARC
(0,35),-3.47706 # DEPENDENCYPART_ARC
(0,36),-0.638279 # DEPENDENCYPART_ARC
(0,37),-1.09864 # DEPENDENCYPART_ARC
(0,38),-2.4998 # DEPENDENCYPART_ARC
(0,40),-1.10384 # DEPENDENCYPART_ARC
(0,49),7.50721 # DEPENDENCYPART_ARC
(1,2),3.08671 # DEPENDENCYPART_ARC
(1,3),-0.381218 # DEPENDENCYPART_ARC
(1,4),1.05503 # DEPENDENCYPART_ARC
(1,5),-0.294961 # DEPENDENCYPART_ARC
(1,6),-0.442413 # DEPENDENCYPART_ARC
(1,7),0.375351 # DEPENDENCYPART_ARC
(1,8),0.048159 # DEPENDENCYPART_ARC
(1,9),0.571703 # DEPENDENCYPART_ARC
(1,10),-1.03994 # DEPENDENCYPART_ARC
(1,11),-0.22278 # DEPENDENCYPART_ARC
(1,12),1.4633 # DEPENDENCYPART_ARC
(1,13),-1.37938 # DEPENDENCYPART_ARC
(1,14),-1.76554 # DEPENDENCYPART_ARC
(1,15),-1.21258 # DEPENDENCYPART_ARC
(1,16),0.0994975 # DEPENDENCYPART_ARC
(1,17),-3.20386 # DEPENDENCYPART_ARC
(1,18),-0.546005 # DEPENDENCYPART_ARC
(1,19),-0.911737 # DEPENDENCYPART_ARC
(1,20),-3.5046 # DEPENDENCYPART_ARC
(1,23),-1.88076 # DEPENDENCYPART_ARC
(1,26),0.566166 # DEPENDENCYPART_ARC
(1,28),-2.91023 # DEPENDENCYPART_ARC
(1,29),-3.37104 # DEPENDENCYPART_ARC
(1,32),-1.34923 # DEPENDENCYPART_ARC
(1,41),-2.89634 # DEPENDENCYPART_ARC
(1,42),-2.61481 # DEPENDENCYPART_ARC
(1,43),-1.71851 # DEPENDENCYPART_ARC
(1,46),-0.557077 # DEPENDENCYPART_ARC
(2,3),2.64994 # DEPENDENCYPART_ARC
(2,4),-0.926543 # DEPENDENCYPART_ARC
(2,5),-1.19038 # DEPENDENCYPART_ARC
(2,6),-1.72146 # DEPENDENCYPART_ARC
(2,7),-1.271 # DEPENDENCYPART_ARC
(2,8),-1.77901 # DEPENDENCYPART_ARC
(2,12),-1.23774 # DEPENDENCYPART_ARC
(3,2),-0.938973 # DEPENDENCYPART_ARC
(3,4),-0.148682 # DEPENDENCYPART_ARC
(3,5),-0.668123 # DEPENDENCYPART_ARC
(3,6),-0.840158 # DEPENDENCYPART_ARC
(3,7),-1.18022 # DEPENDENCYPART_ARC
(4,2),0.339722 # DEPENDENCYPART_ARC
(4,3),0.124478 # DEPENDENCYPART_ARC
(4,5),2.64594 # DEPENDENCYPART_ARC
(4,6),0.862206 # DEPENDENCYPART_ARC
(4,7),-0.0379351 # DEPENDENCYPART_ARC
(4,11),-0.165263 # DEPENDENCYPART_ARC
(4,12),-0.280896 # DEPENDENCYPART_ARC
(5,1),-0.632572 # DEPENDENCYPART_ARC
(5,2),-0.901069 # DEPENDENCYPART_ARC
(5,3),-0.941812 # DEPENDENCYPART_ARC
(5,4),0.232817 # DEPENDENCYPART_ARC
(5,6),2.60631 # DEPENDENCYPART_ARC
(5,7),0.000847209 # DEPENDENCYPART_ARC
(5,8),-0.658447 # DEPENDENCYPART_ARC
(5,9),-0.363494 # DEPENDENCYPART_ARC
(5,10),0.0910517 # DEPENDENCYPART_ARC
(5,12),-0.568623 # DEPENDENCYPART_ARC
(5,16),-0.225273 # DEPENDENCYPART_ARC
(6,1),-1.47877 # DEPENDENCYPART_ARC
(6,2),-1.08535 # DEPENDENCYPART_ARC
(6,3),-1.61572 # DEPENDENCYPART_ARC
(6,4),-0.426168 # DEPENDENCYPART_ARC
(6,5),-0.989112 # DEPENDENCYPART_ARC
(6,7),-0.0395575 # DEPENDENCYPART_ARC
(6,8),-0.550138 # DEPENDENCYPART_ARC
(6,9),-2.10552 # DEPENDENCYPART_ARC
(6,10),-0.669913 # DEPENDENCYPART_ARC
(6,12),-0.778139 # DEPENDENCYPART_ARC
(7,1),0.264288 # DEPENDENCYPART_ARC
(7,2),0.607052 # DEPENDENCYPART_ARC
(7,3),0.430231 # DEPENDENCYPART_ARC
(7,4),2.1421 # DEPENDENCYPART_ARC
(7,5),0.924089 # DEPENDENCYPART_ARC
(7,6),1.21582 # DEPENDENCYPART_ARC
(7,8),1.31474 # DEPENDENCYPART_ARC
(7,9),0.773681 # DEPENDENCYPART_ARC
(7,10),0.651836 # DEPENDENCYPART_ARC
(7,11),1.49609 # DEPENDENCYPART_ARC
(7,12),0.471492 # DEPENDENCYPART_ARC
(7,13),0.161391 # DEPENDENCYPART_ARC
(7,14),-0.00925812 # DEPENDENCYPART_ARC
(7,21),-1.05962 # DEPENDENCYPART_ARC
(7,25),-1.03681 # DEPENDENCYPART_ARC
(8,5),0.264767 # DEPENDENCYPART_ARC
(8,6),0.74941 # DEPENDENCYPART_ARC
(8,7),0.759417 # DEPENDENCYPART_ARC
(8,9),2.29673 # DEPENDENCYPART_ARC
(8,10),0.400126 # DEPENDENCYPART_ARC
(8,11),0.3915 # DEPENDENCYPART_ARC
(8,12),-0.571087 # DEPENDENCYPART_ARC
(8,16),-0.229826 # DEPENDENCYPART_ARC
(9,1),-0.573546 # DEPENDENCYPART_ARC
(9,8),-0.330285 # DEPENDENCYPART_ARC
(9,10),2.57491 # DEPENDENCYPART_ARC
(9,11),-0.360673 # DEPENDENCYPART_ARC
(9,12),-0.500515 # DEPENDENCYPART_ARC
(9,13),-1.55023 # DEPENDENCYPART_ARC
(9,14),-0.713658 # DEPENDENCYPART_ARC
(9,15),-0.790359 # DEPENDENCYPART_ARC
(9,16),-0.351235 # DEPENDENCYPART_ARC
(9,18),-1.12013 # DEPENDENCYPART_ARC
(10,11),-1.16064 # DEPENDENCYPART_ARC
(10,12),-1.68669 # DEPENDENCYPART_ARC
(11,1),-0.949535 # DEPENDENCYPART_ARC
(11,8),-0.208087 # DEPENDENCYPART_ARC
(11,9),-0.0975419 # DEPENDENCYPART_ARC
(11,10),0.221013 # DEPENDENCYPART_ARC
(11,12),-0.4677 # DEPENDENCYPART_ARC
(12,9),-0.415743 # DEPENDENCYPART_ARC
(12,10),0.007853 # DEPENDENCYPART_ARC
(12,11),-0.00299018 # DEPENDENCYPART_ARC
(12,13),2.49506 # DEPENDENCYPART_ARC
(12,14),0.47855 # DEPENDENCYPART_ARC
(12,15),-1.00528 # DEPENDENCYPART_ARC
(12,16),0.391285 # DEPENDENCYPART_ARC
(12,18),-0.650651 # DEPENDENCYPART_ARC
(13,14),2.13145 # DEPENDENCYPART_ARC
(13,15),0.905992 # DEPENDENCYPART_ARC
(13,16),0.639975 # DEPENDENCYPART_ARC
(13,17),-0.856049 # DEPENDENCYPART_ARC
(13,18),-0.474513 # DEPENDENCYPART_ARC
(13,19),-0.570211 # DEPENDENCYPART_ARC
(13,20),-0.977828 # DEPENDENCYPART_ARC
(13,21),-0.356316 # DEPENDENCYPART_ARC
(13,22),-0.736086 # DEPENDENCYPART_ARC
(13,30),-0.138929 # DEPENDENCYPART_ARC
(14,13),-1.46978 # DEPENDENCYPART_ARC
(14,15),2.92802 # DEPENDENCYPART_ARC
(14,16),2.06684 # DEPENDENCYPART_ARC
(14,17),0.174206 # DEPENDENCYPART_ARC
(14,18),0.779443 # DEPENDENCYPART_ARC
(14,19),0.0697424 # DEPENDENCYPART_ARC
(14,20),0.0580323 # DEPENDENCYPART_ARC
(14,21),0.0384242 # DEPENDENCYPART_ARC
(14,22),-0.156984 # DEPENDENCYPART_ARC
(14,30),1.32864 # DEPENDENCYPART_ARC
(14,34),-0.106104 # DEPENDENCYPART_ARC
(15,16),-0.248885 # DEPENDENCYPART_ARC
(16,1),-0.143173 # DEPENDENCYPART_ARC
(16,2),0.231712 # DEPENDENCYPART_ARC
(16,3),-0.894761 # DEPENDENCYPART_ARC
(16,4),-0.961847 # DEPENDENCYPART_ARC
(16,5),-0.0747723 # DEPENDENCYPART_ARC
(16,6),-0.492154 # DEPENDENCYPART_ARC
(16,7),-0.485331 # DEPENDENCYPART_ARC
(16,8),-0.642532 # DEPENDENCYPART_ARC
(16,9),-0.154227 # DEPENDENCYPART_ARC
(16,10),-0.0614833 # DEPENDENCYPART_ARC
(16,11),-0.951513 # DEPENDENCYPART_ARC
(16,13),1.29499 # DEPENDENCYPART_ARC
(16,14),0.96205 # DEPENDENCYPART_ARC
(16,15),3.21605 # DEPENDENCYPART_ARC
(16,17),2.40214 # DEPENDENCYPART_ARC
(16,18),0.178201 # DEPENDENCYPART_ARC
(16,19),0.215515 # DEPENDENCYPART_ARC
(16,20),0.794435 # DEPENDENCYPART_ARC
(16,21),-0.198841 # DEPENDENCYPART_ARC
(16,22),-0.328346 # DEPENDENCYPART_ARC
(16,23),-0.0990726 # DEPENDENCYPART_ARC
(16,24),0.8049 # DEPENDENCYPART_ARC
(16,25),-0.407653 # DEPENDENCYPART_ARC
(16,26),-0.365814 # DEPENDENCYPART_ARC
(16,27),-0.462112 # DEPENDENCYPART_ARC
(16,28),-0.60473 # DEPENDENCYPART_ARC
(16,29),-0.527345 # DEPENDENCYPART_ARC
(16,30),-0.0145175 # DEPENDENCYPART_ARC
(16,31),-0.317184 # DEPENDENCYPART_ARC
(16,32),-0.770167 # DEPENDENCYPART_ARC
(16,33),-0.920255 # DEPENDENCYPART_ARC
(16,36),-1.01135 # DEPENDENCYPART_ARC
(16,37),-1.69306 # DEPENDENCYPART_ARC
(16,38),-2.09413 # DEPENDENCYPART_ARC
(16,39),-1.87074 # DEPENDENCYPART_ARC
(16,40),-2.27693 # DEPENDENCYPART_ARC
(17,18),-1.03431 # DEPENDENCYPART_ARC
(17,19),-1.77969 # DEPENDENCYPART_ARC
(18,1),0.391043 # DEPENDENCYPART_ARC
(18,2),-0.293871 # DEPENDENCYPART_ARC
(18,3),-0.433998 # DEPENDENCYPART_ARC
(18,4),-0.0874937 # DEPENDENCYPART_ARC
(18,5),-0.647757 # DEPENDENCYPART_ARC
(18,6),-0.97236 # DEPENDENCYPART_ARC
(18,7),0.278659 # DEPENDENCYPART_ARC
