# _root_ تَوَقَّعَت الحُكُومَةُ المِصْرِيَّةُ زِيادَةً فِي حَجْمِ مُوازَنَةِ السَنَةِ المُقْبِلَةِ بِ نِسْبَةِ 13 فِي المِئَةِ إِلَى 140 بِلْيُونَ جُنَيْهٍ ( 33 بِلْيُونَ دُولارٍ ) اِرْتِفاعاً مِن 8,126 بِلْيُونَ جُنَيْهٍ ( 7,29 بِلْيُونَ دُولارٍ ) لِ المُوازَنَةِ الحالِيَّةِ . وَ شَدَّدَ وَزِيرُ المالِ مِدْحَت حَسانَيْن فِي تَصْرِيحٍ لِ » الحَياَةِ « عَلَى ضَرُورَةِ أَن تَتَحَوَّلَ مُوازَنَةُ الدَوْلَةِ إِلَى » مُوازَنَةِ مَوارِدَ وَ بَرامِجَ وَ أَداءٍ وَ لَيْسَت مُوازَنَةِ إِنْفاقٍ « مُشِيراً إِلَى أَنَّ المُشْكِلَةَ تَكْمُنُ فِي تَراجُعِ حَجْمِ الإِيراداتِ وَ اِرْتِفاعِ حَجْمِ الإِنْفاقِ سَنَوِيّاً .
#goldHeads=0,1,2,1,4,5,6,7,8,4,10,11,12,13,4,19,16,17,15,19,20,21,19,4,24,29,26,27,25,29,30,31,29,24,34,35,0,0,0,39,40,43,40,39,44,45,48,46,48,39,50,51,52,53,54,53,64,64,60,58,60,60,60,56,66,64,66,64,39,69,70,73,71,73,78,75,76,74,78,79,80,78,0,
#predictedHeads=0,1,2,1,1,5,6,7,8,1,10,11,12,13,1,19,16,17,15,19,20,21,19,19,24,29,26,27,24,29,30,31,29,1,34,35,0,0,0,39,40,43,40,39,44,45,48,46,48,39,50,51,52,53,54,53,58,56,60,58,60,60,60,0,64,78,66,58,39,69,70,73,71,73,74,75,76,75,78,79,80,78,0,
(0,1),1.15625 # DEPENDENCYPART_ARC
(0,2),-1.49762 # DEPENDENCYPART_ARC
(0,3),-1.38014 # DEPENDENCYPART_ARC
(0,4),-0.814059 # DEPENDENCYPART_ARC
(0,5),-1.41531 # DEPENDENCYPART_ARC
(0,6),-1.82671 # DEPENDENCYPART_ARC
(0,9),-1.55069 # DEPENDENCYPART_ARC
(0,12),-1.30554 # DEPENDENCYPART_ARC
(0,16),-1.26175 # DEPENDENCYPART_ARC
(0,19),-2.03893 # DEPENDENCYPART_ARC
(0,20),-1.36133 # DEPENDENCYPART_ARC
(0,23),-1.49643 # DEPENDENCYPART_ARC
(0,26),-2.07818 # DEPENDENCYPART_ARC
(0,30),-2.09473 # DEPENDENCYPART_ARC
(0,37),5.06672 # DEPENDENCYPART_ARC
(0,38),3.26195 # DEPENDENCYPART_ARC
(0,39),0.600178 # DEPENDENCYPART_ARC
(0,42),-2.16151 # DEPENDENCYPART_ARC
(0,43),-2.15899 # DEPENDENCYPART_ARC
(0,48),-1.95639 # DEPENDENCYPART_ARC
(0,53),-0.645508 # DEPENDENCYPART_ARC
(0,60),-0.903004 # DEPENDENCYPART_ARC
(0,62),-0.985415 # DEPENDENCYPART_ARC
(0,64),1.0803 # DEPENDENCYPART_ARC
(0,65),-1.55039 # DEPENDENCYPART_ARC
(0,69),4.53408 # DEPENDENCYPART_ARC
(0,73),-1.68008 # DEPENDENCYPART_ARC
(0,83),12.9748 # DEPENDENCYPART_ARC
(1,2),2.97365 # DEPENDENCYPART_ARC
(1,3),-0.465925 # DEPENDENCYPART_ARC
(1,4),2.27877 # DEPENDENCYPART_ARC
(1,5),1.93766 # DEPENDENCYPART_ARC
(1,6),-0.473096 # DEPENDENCYPART_ARC
(1,7),-1.07164 # DEPENDENCYPART_ARC
(1,8),-1.08871 # DEPENDENCYPART_ARC
(1,9),-1.92563 # DEPENDENCYPART_ARC
(1,10),1.1094 # DEPENDENCYPART_ARC
(1,11),-2.02427 # DEPENDENCYPART_ARC
(1,12),0.35275 # DEPENDENCYPART_ARC
(1,13),1.25143 # DEPENDENCYPART_ARC
(1,14),-2.29807 # DEPENDENCYPART_ARC
(1,15),1.25615 # DEPENDENCYPART_ARC
(1,16),-0.616727 # DEPENDENCYPART_ARC
(1,17),0.0190259 # DEPENDENCYPART_ARC
(1,18),-1.89071 # DEPENDENCYPART_ARC
(1,19),-0.613315 # DEPENDENCYPART_ARC
(1,20),-1.03244 # DEPENDENCYPART_ARC
(1,21),-0.374977 # DEPENDENCYPART_ARC
(1,22),-2.1833 # DEPENDENCYPART_ARC
(1,24),-0.563753 # DEPENDENCYPART_ARC
(1,25),-0.296011 # DEPENDENCYPART_ARC
(1,27),-0.989189 # DEPENDENCYPART_ARC
(1,28),-2.78329 # DEPENDENCYPART_ARC
(1,31),-1.30016 # DEPENDENCYPART_ARC
(1,32),-3.18158 # DEPENDENCYPART_ARC
(1,34),0.716593 # DEPENDENCYPART_ARC
(1,36),-4.10253 # DEPENDENCYPART_ARC
(1,44),-0.22511 # DEPENDENCYPART_ARC
(1,46),-0.786211 # DEPENDENCYPART_ARC
(1,50),-2.16281 # DEPENDENCYPART_ARC
(2,3),2.81541 # DEPENDENCYPART_ARC
(2,4),-2.9982 # DEPENDENCYPART_ARC
(2,5),-0.488451 # DEPENDENCYPART_ARC
(2,6),-1.88202 # DEPENDENCYPART_ARC
(2,7),-2.46443 # DEPENDENCYPART_ARC
(2,9),-0.926587 # DEPENDENCYPART_ARC
(2,10),-1.02934 # DEPENDENCYPART_ARC
(2,13),-1.42045 # DEPENDENCYPART_ARC
(2,15),-1.67959 # DEPENDENCYPART_ARC
(3,2),-0.93678 # DEPENDENCYPART_ARC
(3,4),-1.57796 # DEPENDENCYPART_ARC
(3,5),-0.0354564 # DEPENDENCYPART_ARC
(3,6),-1.03636 # DEPENDENCYPART_ARC
(3,7),-2.10342 # DEPENDENCYPART_ARC
(3,9),-2.07732 # DEPENDENCYPART_ARC
(3,10),-0.775184 # DEPENDENCYPART_ARC
(4,2),-0.80912 # DEPENDENCYPART_ARC
(4,3),-1.3147 # DEPENDENCYPART_ARC
(4,5),1.61996 # DEPENDENCYPART_ARC
(4,6),-0.0559747 # DEPENDENCYPART_ARC
(4,7),-1.00228 # DEPENDENCYPART_ARC
(4,8),-0.954153 # DEPENDENCYPART_ARC
(4,9),-1.18653 # DEPENDENCYPART_ARC
(4,10),0.355528 # DEPENDENCYPART_ARC
(4,13),0.218787 # DEPENDENCYPART_ARC
(5,2),-0.517252 # DEPENDENCYPART_ARC
(5,3),-0.769692 # DEPENDENCYPART_ARC
(5,4),0.200687 # DEPENDENCYPART_ARC
(5,6),2.68011 # DEPENDENCYPART_ARC
(5,7),0.663548 # DEPENDENCYPART_ARC
(5,8),-0.261233 # DEPENDENCYPART_ARC
(5,9),-0.599819 # DEPENDENCYPART_ARC
(6,3),-1.70664 # DEPENDENCYPART_ARC
(6,4),-1.00418 # DEPENDENCYPART_ARC
(6,7),2.24347 # DEPENDENCYPART_ARC
(6,8),0.8801 # DEPENDENCYPART_ARC
(6,9),0.00688631 # DEPENDENCYPART_ARC
(6,10),0.385995 # DEPENDENCYPART_ARC
(6,11),-0.717071 # DEPENDENCYPART_ARC
(6,12),-0.591361 # DEPENDENCYPART_ARC
(6,13),0.0305487 # DEPENDENCYPART_ARC
(6,15),-0.0302536 # DEPENDENCYPART_ARC
(6,16),-0.933921 # DEPENDENCYPART_ARC
(7,2),-1.12696 # DEPENDENCYPART_ARC
(7,3),-1.49711 # DEPENDENCYPART_ARC
(7,4),-0.781174 # DEPENDENCYPART_ARC
(7,5),0.0160595 # DEPENDENCYPART_ARC
(7,6),-1.56319 # DEPENDENCYPART_ARC
(7,8),3.42967 # DEPENDENCYPART_ARC
(7,9),2.16661 # DEPENDENCYPART_ARC
(7,10),0.888732 # DEPENDENCYPART_ARC
(7,11),-0.0814059 # DEPENDENCYPART_ARC
(7,12),-0.221418 # DEPENDENCYPART_ARC
