# _root_ وَ يُشَكِّلُ هٰذا الخَفْضُ , بِ الإِضافَةِ إِلَى ثَلاثَةِ آلافِ آخَرِينَ فِي مارِس الماضِي , نِسْبَةَ 11 بِ المِائَةِ مِن مَجْمُوعِ عَدَدِ العامِلِينَ عَلَى أَجْهِزَةِ الفَحْصِ وَ البالِغِ 55600 شَخْصٍ . وَ مِن المُتَوَقَّعِ أَن تُوَفِّرَ إِدارَةُ أَمْنِ النَقْلِ مَبْلَغاً يَقْرَبُ مِن 280 مِلْيُونَ دُولارٍ أَمْرِيكِيٍّ .
#goldHeads=0,0,4,8,4,8,8,2,8,9,10,11,12,13,14,2,16,17,18,17,20,21,22,23,24,25,28,22,28,29,0,0,0,33,33,35,36,37,38,36,40,41,42,43,44,45,0,
#predictedHeads=0,0,4,2,4,8,8,2,8,9,10,11,12,13,14,15,16,17,18,17,20,21,22,23,24,25,25,27,28,29,0,0,29,33,33,35,36,37,38,36,40,41,42,43,44,45,0,
(0,1),3.01821 # DEPENDENCYPART_ARC
(0,2),0.789741 # DEPENDENCYPART_ARC
(0,3),-0.540521 # DEPENDENCYPART_ARC
(0,4),-1.60612 # DEPENDENCYPART_ARC
(0,5),-0.678152 # DEPENDENCYPART_ARC
(0,6),-1.49359 # DEPENDENCYPART_ARC
(0,7),-2.48175 # DEPENDENCYPART_ARC
(0,8),-2.02218 # DEPENDENCYPART_ARC
(0,13),-1.60907 # DEPENDENCYPART_ARC
(0,14),-1.24351 # DEPENDENCYPART_ARC
(0,15),-1.94863 # DEPENDENCYPART_ARC
(0,17),-1.48418 # DEPENDENCYPART_ARC
(0,31),4.04069 # DEPENDENCYPART_ARC
(0,32),0.555347 # DEPENDENCYPART_ARC
(0,36),-0.945146 # DEPENDENCYPART_ARC
(0,41),-1.71345 # DEPENDENCYPART_ARC
(0,47),7.39095 # DEPENDENCYPART_ARC
(1,2),-0.957037 # DEPENDENCYPART_ARC
(1,4),-1.61805 # DEPENDENCYPART_ARC
(1,6),-2.18784 # DEPENDENCYPART_ARC
(2,1),0.051777 # DEPENDENCYPART_ARC
(2,3),1.34848 # DEPENDENCYPART_ARC
(2,4),2.07235 # DEPENDENCYPART_ARC
(2,5),0.149838 # DEPENDENCYPART_ARC
(2,6),1.23275 # DEPENDENCYPART_ARC
(2,7),-1.94234 # DEPENDENCYPART_ARC
(2,8),0.720679 # DEPENDENCYPART_ARC
(2,9),-2.95866 # DEPENDENCYPART_ARC
(2,10),-1.99661 # DEPENDENCYPART_ARC
(2,11),-3.04329 # DEPENDENCYPART_ARC
(2,12),0.00161045 # DEPENDENCYPART_ARC
(2,14),-1.28811 # DEPENDENCYPART_ARC
(2,15),-0.0677064 # DEPENDENCYPART_ARC
(2,16),-0.251856 # DEPENDENCYPART_ARC
(2,17),-0.361376 # DEPENDENCYPART_ARC
(2,18),-0.599335 # DEPENDENCYPART_ARC
(2,19),-3.58242 # DEPENDENCYPART_ARC
(2,20),-1.42496 # DEPENDENCYPART_ARC
(2,21),-3.86821 # DEPENDENCYPART_ARC
(2,22),-3.39781 # DEPENDENCYPART_ARC
(2,23),-3.77948 # DEPENDENCYPART_ARC
(2,24),-1.57334 # DEPENDENCYPART_ARC
(2,26),-4.05302 # DEPENDENCYPART_ARC
(2,28),-4.27864 # DEPENDENCYPART_ARC
(2,31),-0.564054 # DEPENDENCYPART_ARC
(2,35),-2.44338 # DEPENDENCYPART_ARC
(3,4),-0.12966 # DEPENDENCYPART_ARC
(3,6),-0.252268 # DEPENDENCYPART_ARC
(3,8),-0.493643 # DEPENDENCYPART_ARC
(4,1),-0.222455 # DEPENDENCYPART_ARC
(4,2),0.516802 # DEPENDENCYPART_ARC
(4,3),3.99842 # DEPENDENCYPART_ARC
(4,5),1.11592 # DEPENDENCYPART_ARC
(4,6),0.0991705 # DEPENDENCYPART_ARC
(4,7),-1.13897 # DEPENDENCYPART_ARC
(4,8),-0.419649 # DEPENDENCYPART_ARC
(4,9),-2.03481 # DEPENDENCYPART_ARC
(4,12),-0.791001 # DEPENDENCYPART_ARC
(5,2),-0.652379 # DEPENDENCYPART_ARC
(5,4),-0.0564119 # DEPENDENCYPART_ARC
(5,6),-0.370975 # DEPENDENCYPART_ARC
(5,7),-0.644269 # DEPENDENCYPART_ARC
(5,8),-0.675971 # DEPENDENCYPART_ARC
(6,1),-0.44502 # DEPENDENCYPART_ARC
(6,4),-0.358382 # DEPENDENCYPART_ARC
(6,5),0.209845 # DEPENDENCYPART_ARC
(6,7),1.83905 # DEPENDENCYPART_ARC
(6,8),-0.116585 # DEPENDENCYPART_ARC
(6,9),0.462667 # DEPENDENCYPART_ARC
(6,10),-0.640962 # DEPENDENCYPART_ARC
(6,11),-0.653278 # DEPENDENCYPART_ARC
(6,15),0.0549265 # DEPENDENCYPART_ARC
(7,5),-0.674824 # DEPENDENCYPART_ARC
(7,8),0.655246 # DEPENDENCYPART_ARC
(7,9),-1.36872 # DEPENDENCYPART_ARC
(7,10),-0.928932 # DEPENDENCYPART_ARC
(7,12),-0.401072 # DEPENDENCYPART_ARC
(7,18),-0.91431 # DEPENDENCYPART_ARC
(8,1),0.619246 # DEPENDENCYPART_ARC
(8,2),0.93474 # DEPENDENCYPART_ARC
(8,4),0.402127 # DEPENDENCYPART_ARC
(8,5),0.150621 # DEPENDENCYPART_ARC
(8,6),1.58522 # DEPENDENCYPART_ARC
(8,7),2.35606 # DEPENDENCYPART_ARC
(8,9),2.20125 # DEPENDENCYPART_ARC
(8,10),0.29002 # DEPENDENCYPART_ARC
(8,11),-0.492297 # DEPENDENCYPART_ARC
(8,13),-0.551692 # DEPENDENCYPART_ARC
(8,27),-0.8288 # DEPENDENCYPART_ARC
(9,7),-2.03333 # DEPENDENCYPART_ARC
(9,10),2.41076 # DEPENDENCYPART_ARC
(9,11),0.941586 # DEPENDENCYPART_ARC
(9,12),0.95153 # DEPENDENCYPART_ARC
(9,13),-0.875983 # DEPENDENCYPART_ARC
(9,14),-0.250829 # DEPENDENCYPART_ARC
(9,15),-0.347628 # DEPENDENCYPART_ARC
(9,16),-1.01962 # DEPENDENCYPART_ARC
(9,17),-0.423624 # DEPENDENCYPART_ARC
(9,18),0.151116 # DEPENDENCYPART_ARC
(9,19),-0.776771 # DEPENDENCYPART_ARC
(9,20),-0.377491 # DEPENDENCYPART_ARC
(9,22),-0.457189 # DEPENDENCYPART_ARC
(9,24),-0.143824 # DEPENDENCYPART_ARC
(9,27),0.144516 # DEPENDENCYPART_ARC
(10,5),-0.561447 # DEPENDENCYPART_ARC
(10,9),-0.633706 # DEPENDENCYPART_ARC
(10,11),2.97184 # DEPENDENCYPART_ARC
(10,12),0.865642 # DEPENDENCYPART_ARC
(10,13),-0.609676 # DEPENDENCYPART_ARC
(10,14),-0.0575283 # DEPENDENCYPART_ARC
(10,15),-0.47361 # DEPENDENCYPART_ARC
(10,16),-0.0775123 # DEPENDENCYPART_ARC
(10,18),-0.0872709 # DEPENDENCYPART_ARC
(10,19),-1.12214 # DEPENDENCYPART_ARC
(10,20),-0.432323 # DEPENDENCYPART_ARC
(10,24),-0.464586 # DEPENDENCYPART_ARC
(11,10),-1.47331 # DEPENDENCYPART_ARC
(11,12),1.02281 # DEPENDENCYPART_ARC
(11,13),-0.493598 # DEPENDENCYPART_ARC
(11,14),-0.597314 # DEPENDENCYPART_ARC
(11,16),-1.52412 # DEPENDENCYPART_ARC
(11,18),-0.406425 # DEPENDENCYPART_ARC
(11,20),-0.610537 # DEPENDENCYPART_ARC
(12,1),-0.986199 # DEPENDENCYPART_ARC
(12,5),-0.231774 # DEPENDENCYPART_ARC
(12,8),-1.02639 # DEPENDENCYPART_ARC
(12,10),-0.54253 # DEPENDENCYPART_ARC
(12,11),0.154793 # DEPENDENCYPART_ARC
(12,13),1.62709 # DEPENDENCYPART_ARC
(12,14),-0.299357 # DEPENDENCYPART_ARC
(12,15),0.157133 # DEPENDENCYPART_ARC
(12,16),-0.833359 # DEPENDENCYPART_ARC
(12,17),-0.632683 # DEPENDENCYPART_ARC
(12,19),-0.601296 # DEPENDENCYPART_ARC
(13,11),-0.353497 # DEPENDENCYPART_ARC
(13,14),1.03919 # DEPENDENCYPART_ARC
(13,15),-0.2774 # DEPENDENCYPART_ARC
(13,16),-0.916229 # DEPENDENCYPART_ARC
(14,4),-1.13687 # DEPENDENCYPART_ARC
(14,6),-0.676915 # DEPENDENCYPART_ARC
(14,7),-1.16489 # DEPENDENCYPART_ARC
(14,9),-0.95502 # DEPENDENCYPART_ARC
(14,10),-0.595382 # DEPENDENCYPART_ARC
(14,11),-0.732366 # DEPENDENCYPART_ARC
(14,12),0.0853399 # DEPENDENCYPART_ARC
(14,13),0.181861 # DEPENDENCYPART_ARC
(14,15),0.554583 # DEPENDENCYPART_ARC
(14,16),-1.08395 # DEPENDENCYPART_ARC
(14,17),-0.553767 # DEPENDENCYPART_ARC
(14,18),-0.83505 # DEPENDENCYPART_ARC
(14,20),-0.970795 # DEPENDENCYPART_ARC
(14,35),-1.07576 # DEPENDENCYPART_ARC
(15,2),-0.279089 # DEPENDENCYPART_ARC
(15,4),-0.342298 # DEPENDENCYPART_ARC
(15,7),0.0651788 # DEPENDENCYPART_ARC
(15,9),0.429648 # DEPENDENCYPART_ARC
(15,10),0.257362 # DEPENDENCYPART_ARC
(15,11),0.152686 # DEPENDENCYPART_ARC
(15,12),-0.545424 # DEPENDENCYPART_ARC
(15,13),0.666797 # DEPENDENCYPART_ARC
(15,14),-0.122716 # DEPENDENCYPART_ARC
(15,16),0.0594797 # DEPENDENCYPART_ARC
(15,17),-0.266508 # DEPENDENCYPART_ARC
(16,2),-2.69294 # DEPENDENCYPART_ARC
(16,5),-1.17669 # DEPENDENCYPART_ARC
(16,12),-0.759565 # DEPENDENCYPART_ARC
(16,13),-0.85864 # DEPENDENCYPART_ARC
(16,14),-0.886342 # DEPENDENCYPART_ARC
(16,15),0.0222997 # DEPENDENCYPART_ARC
(16,17),1.35107 # DEPENDENCYPART_ARC
(16,18),0.526742 # DEPENDENCYPART_ARC
(16,19),-0.58093 # DEPENDENCYPART_ARC
(16,20),0.340204 # DEPENDENCYPART_ARC
(16,21),-0.648929 # DEPENDENCYPART_ARC
(16,22),-0.191766 # DEPENDENCYPART_ARC
(16,23),-0.881408 # DEPENDENCYPART_ARC
(16,24),-0.305104 # DEPENDENCYPART_ARC
(16,31),-0.763925 # DEPENDENCYPART_ARC
(17,16),0.296851 # DEPENDENCYPART_ARC
(17,18),1.67262 # DEPENDENCYPART_ARC
(17,19),0.93354 # DEPENDENCYPART_ARC
(17,20),1.37059 # DEPENDENCYPART_ARC
(17,21),0.317648 # DEPENDENCYPART_ARC
(17,24),0.347774 # DEPENDENCYPART_ARC
(18,17),-0.351294 # DEPENDENCYPART_ARC
(18,19),2.70081 # DEPENDENCYPART_ARC
(18,20),-0.00763928 # DEPENDENCYPART_ARC
(18,21),0.619655 # DEPENDENCYPART_ARC
(18,22),-0.683615 # DEPENDENCYPART_ARC
(18,23),-0.609144 # DEPENDENCYPART_ARC
(18,25),0.0818225 # DEPENDENCYPART_ARC
(18,27),-0.609495 # DEPENDENCYPART_ARC
(19,20),0.588477 # DEPENDENCYPART_ARC
(19,21),-1.06059 # DEPENDENCYPART_ARC
(19,22),-1.00867 # DEPENDENCYPART_ARC
(19,23),-1.39608 # DEPENDENCYPART_ARC
(19,24),-0.628137 # DEPENDENCYPART_ARC
(20,18),0.400346 # DEPENDENCYPART_ARC
(20,19),1.00604 # DEPENDENCYPART_ARC
(20,21),2.3654 # DEPENDENCYPART_ARC
(20,22),0.516016 # DEPENDENCYPART_ARC
(20,23),-0.169498 # DEPENDENCYPART_ARC
(20,25),0.380333 # DEPENDENCYPART_ARC
(20,27),-0.503891 # DEPENDENCYPART_ARC
(21,22),1.84151 # DEPENDENCYPART_ARC
(21,23),1.13712 # DEPENDENCYPART_ARC
(21,24),0.689837 # DEPENDENCYPART_ARC
(21,25),-0.897127 # DEPENDENCYPART_ARC
(21,26),-0.0697734 # DEPENDENCYPART_ARC
(21,27),0.167349 # DEPENDENCYPART_ARC
(21,28),-0.815704 # DEPENDENCYPART_ARC
(21,29),-0.705237 # DEPENDENCYPART_ARC
(21,30),-1.00139 # DEPENDENCYPART_ARC
(22,21),-0.809025 # DEPENDENCYPART_ARC
(22,23),3.25342 # DEPENDENCYPART_ARC
(22,24),1.03896 # DEPENDENCYPART_ARC
(22,25),-0.601544 # DEPENDENCYPART_ARC
(22,26),0.404762 # DEPENDENCYPART_ARC
(22,27),0.786056 # DEPENDENCYPART_ARC
