# _root_ كَما أَعْلَنَت أَنَّ طائِراتِ مُكافَحَةِ المُخَدِّراتِ , وَ هِيَ جُزْءٌ مِن بَرْنامَجِ المُراقَبَةِ الجَوِّيَّةِ الَّذِي تُمَوِّلُ هُ الوِلاياتُ المُتَّحِدَةُ , سَ يَتِمُّ اِسْتِئْنافُ العَمَلِ بِ ها قَرِيباً جِدّاً .
#goldHeads=0,0,2,22,4,5,10,10,10,4,10,11,12,13,12,12,16,16,18,10,22,3,22,23,24,25,22,27,0,
#predictedHeads=0,0,2,10,4,5,6,3,10,8,10,11,12,13,13,13,16,16,18,19,22,3,22,23,22,25,22,27,0,
(0,1),2.05252 # DEPENDENCYPART_ARC
(0,2),1.10575 # DEPENDENCYPART_ARC
(0,3),-2.0415 # DEPENDENCYPART_ARC
(0,4),-1.94962 # DEPENDENCYPART_ARC
(0,7),-0.768172 # DEPENDENCYPART_ARC
(0,8),0.369751 # DEPENDENCYPART_ARC
(0,10),-1.40906 # DEPENDENCYPART_ARC
(0,16),-2.1977 # DEPENDENCYPART_ARC
(0,19),-2.41185 # DEPENDENCYPART_ARC
(0,20),-2.59732 # DEPENDENCYPART_ARC
(0,21),-3.23108 # DEPENDENCYPART_ARC
(0,22),-1.71719 # DEPENDENCYPART_ARC
(0,24),-3.47973 # DEPENDENCYPART_ARC
(0,25),-2.85043 # DEPENDENCYPART_ARC
(0,27),-2.38388 # DEPENDENCYPART_ARC
(0,28),-2.67915 # DEPENDENCYPART_ARC
(0,29),4.62663 # DEPENDENCYPART_ARC
(1,2),-0.499183 # DEPENDENCYPART_ARC
(1,3),-1.84704 # DEPENDENCYPART_ARC
(1,8),-1.95239 # DEPENDENCYPART_ARC
(2,1),0.743416 # DEPENDENCYPART_ARC
(2,3),1.98347 # DEPENDENCYPART_ARC
(2,4),-0.535556 # DEPENDENCYPART_ARC
(2,5),-2.24636 # DEPENDENCYPART_ARC
(2,6),-1.86007 # DEPENDENCYPART_ARC
(2,7),-0.244923 # DEPENDENCYPART_ARC
(2,8),-0.155869 # DEPENDENCYPART_ARC
(2,10),-1.66663 # DEPENDENCYPART_ARC
(2,11),-0.849481 # DEPENDENCYPART_ARC
(2,12),-3.19275 # DEPENDENCYPART_ARC
(2,13),-3.42985 # DEPENDENCYPART_ARC
(2,14),-3.34656 # DEPENDENCYPART_ARC
(2,19),-3.79942 # DEPENDENCYPART_ARC
(2,21),-2.09096 # DEPENDENCYPART_ARC
(2,27),-1.45229 # DEPENDENCYPART_ARC
(3,1),-1.00301 # DEPENDENCYPART_ARC
(3,2),-0.229588 # DEPENDENCYPART_ARC
(3,4),-0.188749 # DEPENDENCYPART_ARC
(3,5),-0.63291 # DEPENDENCYPART_ARC
(3,6),-0.279705 # DEPENDENCYPART_ARC
(3,7),0.0754207 # DEPENDENCYPART_ARC
(3,8),0.413104 # DEPENDENCYPART_ARC
(3,9),-0.621837 # DEPENDENCYPART_ARC
(3,10),0.0170701 # DEPENDENCYPART_ARC
(3,11),0.344005 # DEPENDENCYPART_ARC
(3,12),-0.377354 # DEPENDENCYPART_ARC
(3,13),-0.47016 # DEPENDENCYPART_ARC
(3,14),0.0618094 # DEPENDENCYPART_ARC
(3,15),-0.342176 # DEPENDENCYPART_ARC
(3,16),-0.317597 # DEPENDENCYPART_ARC
(3,17),-1.39716 # DEPENDENCYPART_ARC
(3,18),-0.280685 # DEPENDENCYPART_ARC
(3,20),-0.471655 # DEPENDENCYPART_ARC
(3,22),-0.39754 # DEPENDENCYPART_ARC
(3,23),-0.388204 # DEPENDENCYPART_ARC
(3,28),-0.842372 # DEPENDENCYPART_ARC
(4,2),-1.57808 # DEPENDENCYPART_ARC
(4,3),-0.356149 # DEPENDENCYPART_ARC
(4,5),2.47172 # DEPENDENCYPART_ARC
(4,6),1.19844 # DEPENDENCYPART_ARC
(4,7),0.445068 # DEPENDENCYPART_ARC
(4,8),0.499687 # DEPENDENCYPART_ARC
(4,9),-0.963865 # DEPENDENCYPART_ARC
(4,10),-1.08864 # DEPENDENCYPART_ARC
(4,11),0.249166 # DEPENDENCYPART_ARC
(4,12),-0.885621 # DEPENDENCYPART_ARC
(4,13),-0.593393 # DEPENDENCYPART_ARC
(4,14),-1.54341 # DEPENDENCYPART_ARC
(4,15),0.281395 # DEPENDENCYPART_ARC
(4,16),0.58139 # DEPENDENCYPART_ARC
(5,1),-0.122063 # DEPENDENCYPART_ARC
(5,2),-1.76461 # DEPENDENCYPART_ARC
(5,3),0.191834 # DEPENDENCYPART_ARC
(5,6),3.33325 # DEPENDENCYPART_ARC
(5,7),0.263969 # DEPENDENCYPART_ARC
(5,8),0.306919 # DEPENDENCYPART_ARC
(5,9),-1.10124 # DEPENDENCYPART_ARC
(5,10),-1.53518 # DEPENDENCYPART_ARC
(5,11),-0.0381736 # DEPENDENCYPART_ARC
(5,15),0.228983 # DEPENDENCYPART_ARC
(5,16),-0.103459 # DEPENDENCYPART_ARC
(6,2),-1.66112 # DEPENDENCYPART_ARC
(6,5),-3.24217 # DEPENDENCYPART_ARC
(6,7),1.28333 # DEPENDENCYPART_ARC
(6,8),-0.0183534 # DEPENDENCYPART_ARC
(6,9),-2.66368 # DEPENDENCYPART_ARC
(6,10),-3.06313 # DEPENDENCYPART_ARC
(6,11),-0.865227 # DEPENDENCYPART_ARC
(7,2),-0.992443 # DEPENDENCYPART_ARC
(7,4),-0.112812 # DEPENDENCYPART_ARC
(7,5),0.0623533 # DEPENDENCYPART_ARC
(7,6),0.122215 # DEPENDENCYPART_ARC
(8,1),-0.233894 # DEPENDENCYPART_ARC
(8,2),0.351407 # DEPENDENCYPART_ARC
(8,3),0.142005 # DEPENDENCYPART_ARC
(8,4),-0.0860032 # DEPENDENCYPART_ARC
(8,5),0.234031 # DEPENDENCYPART_ARC
(8,6),-0.056002 # DEPENDENCYPART_ARC
(8,7),-0.0199195 # DEPENDENCYPART_ARC
(8,9),-0.539832 # DEPENDENCYPART_ARC
(8,10),0.286252 # DEPENDENCYPART_ARC
