# _root_ وَ كانَ خَطُّ الإِنْتاجِ هٰذا قَد بَدَأَ بِناؤُ هُ فِي مايُو 2002 , وَ طاقَتُ هُ الإِنْتاجِيَّةُ التصميمية 150 أَلْفَ طُنِّ سَنَوِيّاً , وَ مُنْتَجاتُ هُ تُناسِبُ قِطاعَيْ العُمْرانِ وَ الأَجْهِزَةِ الكَهْرَبائِيَّةِ المَنْزِلِيَّةِ .
#goldHeads=0,14,2,3,3,7,2,7,8,7,10,11,12,0,19,15,15,15,14,19,20,19,22,14,27,25,14,27,30,28,30,31,31,0,
#predictedHeads=0,0,2,3,4,7,2,7,8,7,10,11,12,3,14,15,15,15,18,19,20,21,22,14,24,25,25,27,30,28,30,31,31,0,
(0,1),3.01821 # DEPENDENCYPART_ARC
(0,2),0.874118 # DEPENDENCYPART_ARC
(0,3),-1.29657 # DEPENDENCYPART_ARC
(0,4),-2.7151 # DEPENDENCYPART_ARC
(0,5),-0.98945 # DEPENDENCYPART_ARC
(0,6),-1.87542 # DEPENDENCYPART_ARC
(0,7),-0.390018 # DEPENDENCYPART_ARC
(0,11),-1.55851 # DEPENDENCYPART_ARC
(0,12),-1.2451 # DEPENDENCYPART_ARC
(0,13),-1.06513 # DEPENDENCYPART_ARC
(0,14),-0.431521 # DEPENDENCYPART_ARC
(0,23),-1.94443 # DEPENDENCYPART_ARC
(0,24),-1.11011 # DEPENDENCYPART_ARC
(0,27),-2.38182 # DEPENDENCYPART_ARC
(0,34),5.68787 # DEPENDENCYPART_ARC
(1,2),-1.13961 # DEPENDENCYPART_ARC
(1,3),-1.5985 # DEPENDENCYPART_ARC
(1,4),-1.80103 # DEPENDENCYPART_ARC
(1,7),-2.85701 # DEPENDENCYPART_ARC
(1,14),-2.65234 # DEPENDENCYPART_ARC
(2,1),0.164667 # DEPENDENCYPART_ARC
(2,3),2.56448 # DEPENDENCYPART_ARC
(2,4),-0.0153438 # DEPENDENCYPART_ARC
(2,6),-0.213561 # DEPENDENCYPART_ARC
(2,7),1.03773 # DEPENDENCYPART_ARC
(2,8),-0.0180952 # DEPENDENCYPART_ARC
(2,10),-0.836485 # DEPENDENCYPART_ARC
(2,11),-0.996738 # DEPENDENCYPART_ARC
(2,12),-0.190123 # DEPENDENCYPART_ARC
(2,13),-0.385502 # DEPENDENCYPART_ARC
(2,14),-0.176375 # DEPENDENCYPART_ARC
(2,17),-2.50752 # DEPENDENCYPART_ARC
(2,18),-0.304888 # DEPENDENCYPART_ARC
(2,19),-0.456797 # DEPENDENCYPART_ARC
(2,22),0.0434305 # DEPENDENCYPART_ARC
(2,24),-0.78743 # DEPENDENCYPART_ARC
(2,30),-1.56158 # DEPENDENCYPART_ARC
(3,1),-0.713722 # DEPENDENCYPART_ARC
(3,2),0.723664 # DEPENDENCYPART_ARC
(3,4),2.93728 # DEPENDENCYPART_ARC
(3,5),0.939729 # DEPENDENCYPART_ARC
(3,6),0.38984 # DEPENDENCYPART_ARC
(3,7),0.501881 # DEPENDENCYPART_ARC
(3,8),0.560313 # DEPENDENCYPART_ARC
(3,9),0.292777 # DEPENDENCYPART_ARC
(3,10),0.459551 # DEPENDENCYPART_ARC
(3,11),-1.05154 # DEPENDENCYPART_ARC
(3,14),0.595773 # DEPENDENCYPART_ARC
(4,1),-0.712771 # DEPENDENCYPART_ARC
(4,2),-0.175436 # DEPENDENCYPART_ARC
(4,3),-0.730003 # DEPENDENCYPART_ARC
(4,5),1.38264 # DEPENDENCYPART_ARC
(4,6),-0.398856 # DEPENDENCYPART_ARC
(4,7),0.355725 # DEPENDENCYPART_ARC
(4,8),-2.23857 # DEPENDENCYPART_ARC
(4,9),-1.03901 # DEPENDENCYPART_ARC
(4,10),-0.253847 # DEPENDENCYPART_ARC
(4,14),-0.727648 # DEPENDENCYPART_ARC
(5,3),-0.460549 # DEPENDENCYPART_ARC
(5,4),-0.435634 # DEPENDENCYPART_ARC
(5,7),-1.24859 # DEPENDENCYPART_ARC
(6,3),-0.141911 # DEPENDENCYPART_ARC
(6,4),-0.0377379 # DEPENDENCYPART_ARC
(6,7),-0.378197 # DEPENDENCYPART_ARC
(6,8),-0.679069 # DEPENDENCYPART_ARC
(7,1),0.192529 # DEPENDENCYPART_ARC
(7,3),-0.25245 # DEPENDENCYPART_ARC
(7,4),-1.79363 # DEPENDENCYPART_ARC
(7,6),2.22663 # DEPENDENCYPART_ARC
(7,8),2.96827 # DEPENDENCYPART_ARC
(7,9),-1.19584 # DEPENDENCYPART_ARC
(7,10),1.52172 # DEPENDENCYPART_ARC
(7,11),0.150645 # DEPENDENCYPART_ARC
(7,12),0.334543 # DEPENDENCYPART_ARC
(7,13),0.0393855 # DEPENDENCYPART_ARC
(7,14),0.397416 # DEPENDENCYPART_ARC
(7,15),-0.912045 # DEPENDENCYPART_ARC
(7,17),-1.69211 # DEPENDENCYPART_ARC
(7,18),-0.00883811 # DEPENDENCYPART_ARC
(7,19),-0.357333 # DEPENDENCYPART_ARC
(7,20),-0.563516 # DEPENDENCYPART_ARC
(7,21),-1.57758 # DEPENDENCYPART_ARC
(7,22),1.06965 # DEPENDENCYPART_ARC
(7,23),-0.488814 # DEPENDENCYPART_ARC
(7,24),-0.50193 # DEPENDENCYPART_ARC
(7,25),-1.99189 # DEPENDENCYPART_ARC
