# _root_ تَجْدُرُ الإِشارَةُ إِلَى أَنَّ بونومى البالِغُ مِن العُمْرِ 44 عاماً , وَ هُوَ مُحام سابِقٌ , كانَ يَعْمَلُ رَئِيساً لِ مَجْلِسِ إِدارَةِ شَرِكَةِ / إِس آي أَي / المَسْؤُولَةِ عَن إِدارَةِ مَطارَيْ ليناتى ومالبينسا فِي مِيلانُو خِلالَ الفَتْرَةِ مِن 1997 ـ 1999 .
#goldHeads=0,1,2,3,6,12,6,7,8,9,10,4,14,12,14,15,14,17,18,19,20,21,22,27,27,27,23,27,23,29,30,31,34,32,32,35,29,37,38,41,39,41,0,
#predictedHeads=0,1,1,3,4,5,6,7,8,9,10,4,14,17,14,15,4,17,18,19,20,21,22,27,27,27,23,27,23,29,30,31,34,32,32,35,31,37,38,39,39,41,0,
(0,1),1.25317 # DEPENDENCYPART_ARC
(0,2),-1.75194 # DEPENDENCYPART_ARC
(0,3),-1.29571 # DEPENDENCYPART_ARC
(0,4),-0.835379 # DEPENDENCYPART_ARC
(0,5),-1.21444 # DEPENDENCYPART_ARC
(0,6),-0.795373 # DEPENDENCYPART_ARC
(0,9),-0.927898 # DEPENDENCYPART_ARC
(0,11),-0.791988 # DEPENDENCYPART_ARC
(0,12),0.378232 # DEPENDENCYPART_ARC
(0,16),-1.44106 # DEPENDENCYPART_ARC
(0,17),-0.381048 # DEPENDENCYPART_ARC
(0,18),-0.79912 # DEPENDENCYPART_ARC
(0,19),-1.87367 # DEPENDENCYPART_ARC
(0,21),-2.33683 # DEPENDENCYPART_ARC
(0,24),-1.73755 # DEPENDENCYPART_ARC
(0,25),-2.53295 # DEPENDENCYPART_ARC
(0,26),-2.80254 # DEPENDENCYPART_ARC
(0,27),-2.55482 # DEPENDENCYPART_ARC
(0,28),-1.23045 # DEPENDENCYPART_ARC
(0,29),-2.59613 # DEPENDENCYPART_ARC
(0,30),-0.709255 # DEPENDENCYPART_ARC
(0,36),-1.45182 # DEPENDENCYPART_ARC
(0,40),-2.40726 # DEPENDENCYPART_ARC
(0,42),-2.39182 # DEPENDENCYPART_ARC
(0,43),3.30565 # DEPENDENCYPART_ARC
(1,2),3.02274 # DEPENDENCYPART_ARC
(1,3),1.56895 # DEPENDENCYPART_ARC
(1,4),0.443228 # DEPENDENCYPART_ARC
(1,5),-0.363914 # DEPENDENCYPART_ARC
(1,6),-2.08787 # DEPENDENCYPART_ARC
(1,7),-0.067665 # DEPENDENCYPART_ARC
(1,8),-2.59719 # DEPENDENCYPART_ARC
(1,9),-0.766666 # DEPENDENCYPART_ARC
(1,10),-0.59396 # DEPENDENCYPART_ARC
(1,11),-0.541396 # DEPENDENCYPART_ARC
(1,12),-0.571222 # DEPENDENCYPART_ARC
(1,14),-1.65679 # DEPENDENCYPART_ARC
(1,15),-1.51764 # DEPENDENCYPART_ARC
(1,16),-0.66165 # DEPENDENCYPART_ARC
(1,18),-2.94244 # DEPENDENCYPART_ARC
(1,20),-1.45081 # DEPENDENCYPART_ARC
(1,29),-4.36822 # DEPENDENCYPART_ARC
(1,30),-2.61045 # DEPENDENCYPART_ARC
(2,3),1.42539 # DEPENDENCYPART_ARC
(2,4),0.439723 # DEPENDENCYPART_ARC
(2,5),-0.129617 # DEPENDENCYPART_ARC
(2,6),-1.55329 # DEPENDENCYPART_ARC
(2,7),0.154582 # DEPENDENCYPART_ARC
(3,2),0.509524 # DEPENDENCYPART_ARC
(3,4),1.95209 # DEPENDENCYPART_ARC
(3,5),0.154899 # DEPENDENCYPART_ARC
(3,6),-0.780261 # DEPENDENCYPART_ARC
(4,1),-0.237368 # DEPENDENCYPART_ARC
(4,2),-1.07896 # DEPENDENCYPART_ARC
(4,3),0.118318 # DEPENDENCYPART_ARC
(4,5),0.519136 # DEPENDENCYPART_ARC
(4,6),0.481215 # DEPENDENCYPART_ARC
(4,7),-0.114193 # DEPENDENCYPART_ARC
(4,8),-0.726474 # DEPENDENCYPART_ARC
(4,9),-0.738591 # DEPENDENCYPART_ARC
(4,10),-0.519804 # DEPENDENCYPART_ARC
(4,11),-0.147129 # DEPENDENCYPART_ARC
(4,12),0.471817 # DEPENDENCYPART_ARC
(4,13),-1.31786 # DEPENDENCYPART_ARC
(4,14),-0.0513249 # DEPENDENCYPART_ARC
(4,15),0.0114906 # DEPENDENCYPART_ARC
(4,16),-0.564124 # DEPENDENCYPART_ARC
(4,17),0.660272 # DEPENDENCYPART_ARC
(4,18),-0.633138 # DEPENDENCYPART_ARC
(4,20),-1.35863 # DEPENDENCYPART_ARC
(5,1),-0.9227 # DEPENDENCYPART_ARC
(5,2),-0.381681 # DEPENDENCYPART_ARC
(5,3),-0.050048 # DEPENDENCYPART_ARC
(5,4),-0.149141 # DEPENDENCYPART_ARC
(5,6),1.66731 # DEPENDENCYPART_ARC
(5,7),0.521416 # DEPENDENCYPART_ARC
(5,8),0.35755 # DEPENDENCYPART_ARC
(5,10),0.315037 # DEPENDENCYPART_ARC
(5,11),-0.189394 # DEPENDENCYPART_ARC
(5,12),0.0483808 # DEPENDENCYPART_ARC
(5,14),-0.127876 # DEPENDENCYPART_ARC
(5,15),-0.156237 # DEPENDENCYPART_ARC
(5,16),-0.437163 # DEPENDENCYPART_ARC
(5,17),-0.228942 # DEPENDENCYPART_ARC
(5,19),-0.681667 # DEPENDENCYPART_ARC
(5,20),-1.05012 # DEPENDENCYPART_ARC
(5,21),-1.01544 # DEPENDENCYPART_ARC
