# _root_ وَ تُعارِضُ إِيرانُ ، ثانِي أَكْبَرِ مُنْتِجٍ لِ النَفْطِ فِي أُوبِك حَيْثُ يَبْلُغُ إِنْتاجُ ها 3,7 مِلْيُون بَرْمِيلٍ فِي اليَوْمِ بَيْنَ ها 2,4 مِلْيُون بَرْمِيلٍ مُخَصَّصَةٍ لِ التَصْدِيرِ ، أَيَّ رَفْعٍ لِ الإِنْتاجِ رَغْمَ اِعْتِمادِ ها عَلَى عائِداتِ النَفْطِ .
#goldHeads=0,0,4,2,4,5,6,7,8,6,10,11,12,13,14,13,16,17,18,19,16,21,21,23,24,23,26,27,4,2,30,31,32,2,34,35,35,37,38,0,
#predictedHeads=0,0,2,3,2,5,6,7,8,9,10,11,12,13,14,13,16,17,13,19,16,21,26,23,24,16,26,27,28,28,30,31,32,33,34,35,35,37,38,0,
(0,1),3.01821 # DEPENDENCYPART_ARC
(0,2),1.46505 # DEPENDENCYPART_ARC
(0,3),-0.611851 # DEPENDENCYPART_ARC
(0,4),-0.658186 # DEPENDENCYPART_ARC
(0,5),-1.37148 # DEPENDENCYPART_ARC
(0,6),-2.07019 # DEPENDENCYPART_ARC
(0,7),-2.18194 # DEPENDENCYPART_ARC
(0,8),-2.12493 # DEPENDENCYPART_ARC
(0,10),-1.83085 # DEPENDENCYPART_ARC
(0,11),-1.64065 # DEPENDENCYPART_ARC
(0,12),-1.40466 # DEPENDENCYPART_ARC
(0,13),-1.13487 # DEPENDENCYPART_ARC
(0,16),-1.50128 # DEPENDENCYPART_ARC
(0,23),-2.26056 # DEPENDENCYPART_ARC
(0,40),6.32436 # DEPENDENCYPART_ARC
(1,2),-1.19092 # DEPENDENCYPART_ARC
(1,3),-2.08053 # DEPENDENCYPART_ARC
(1,4),-1.91651 # DEPENDENCYPART_ARC
(1,6),-2.52663 # DEPENDENCYPART_ARC
(1,8),-2.3532 # DEPENDENCYPART_ARC
(1,16),-3.08349 # DEPENDENCYPART_ARC
(2,1),-0.00463368 # DEPENDENCYPART_ARC
(2,3),1.67882 # DEPENDENCYPART_ARC
(2,4),0.632991 # DEPENDENCYPART_ARC
(2,5),0.447554 # DEPENDENCYPART_ARC
(2,6),-0.775908 # DEPENDENCYPART_ARC
(2,7),-0.373061 # DEPENDENCYPART_ARC
(2,8),0.371969 # DEPENDENCYPART_ARC
(2,9),-1.72278 # DEPENDENCYPART_ARC
(2,10),0.234588 # DEPENDENCYPART_ARC
(2,11),-0.7572 # DEPENDENCYPART_ARC
(2,12),0.19371 # DEPENDENCYPART_ARC
(2,13),-1.73009 # DEPENDENCYPART_ARC
(2,14),-0.0899341 # DEPENDENCYPART_ARC
(2,16),-0.749406 # DEPENDENCYPART_ARC
(2,17),-1.32752 # DEPENDENCYPART_ARC
(2,18),-1.62045 # DEPENDENCYPART_ARC
(2,19),-0.972675 # DEPENDENCYPART_ARC
(2,20),-2.78498 # DEPENDENCYPART_ARC
(2,21),-1.55417 # DEPENDENCYPART_ARC
(2,24),-1.71429 # DEPENDENCYPART_ARC
(2,25),-2.42913 # DEPENDENCYPART_ARC
(2,26),-3.287 # DEPENDENCYPART_ARC
(2,27),-1.38064 # DEPENDENCYPART_ARC
(2,30),-1.16159 # DEPENDENCYPART_ARC
(2,31),-2.62503 # DEPENDENCYPART_ARC
(2,32),-1.83822 # DEPENDENCYPART_ARC
(2,34),-2.28414 # DEPENDENCYPART_ARC
(3,4),1.11965 # DEPENDENCYPART_ARC
(3,5),0.131729 # DEPENDENCYPART_ARC
(3,6),-0.244595 # DEPENDENCYPART_ARC
(3,7),-0.258812 # DEPENDENCYPART_ARC
(3,9),0.0126421 # DEPENDENCYPART_ARC
(4,2),0.136227 # DEPENDENCYPART_ARC
(4,3),0.457833 # DEPENDENCYPART_ARC
(4,5),-0.15816 # DEPENDENCYPART_ARC
(4,6),-0.118712 # DEPENDENCYPART_ARC
(4,7),-0.593724 # DEPENDENCYPART_ARC
(4,8),-0.770581 # DEPENDENCYPART_ARC
(4,10),-0.591211 # DEPENDENCYPART_ARC
(4,13),-0.214665 # DEPENDENCYPART_ARC
(5,1),-0.523106 # DEPENDENCYPART_ARC
(5,2),-0.266767 # DEPENDENCYPART_ARC
(5,3),-0.106063 # DEPENDENCYPART_ARC
(5,4),0.390694 # DEPENDENCYPART_ARC
(5,6),2.24636 # DEPENDENCYPART_ARC
(5,7),0.898748 # DEPENDENCYPART_ARC
(5,8),0.803515 # DEPENDENCYPART_ARC
(5,9),-0.541662 # DEPENDENCYPART_ARC
(5,10),0.609548 # DEPENDENCYPART_ARC
(5,11),-0.791849 # DEPENDENCYPART_ARC
(5,12),0.156309 # DEPENDENCYPART_ARC
(5,13),-1.17073 # DEPENDENCYPART_ARC
(5,15),-1.52586 # DEPENDENCYPART_ARC
(5,16),-0.925127 # DEPENDENCYPART_ARC
(5,19),-0.908151 # DEPENDENCYPART_ARC
(6,1),-0.593306 # DEPENDENCYPART_ARC
(6,3),-1.2458 # DEPENDENCYPART_ARC
(6,4),-0.245611 # DEPENDENCYPART_ARC
(6,5),0.516375 # DEPENDENCYPART_ARC
(6,7),1.95798 # DEPENDENCYPART_ARC
(6,8),0.347299 # DEPENDENCYPART_ARC
(6,9),0.463601 # DEPENDENCYPART_ARC
(6,10),0.387352 # DEPENDENCYPART_ARC
(6,12),-0.524369 # DEPENDENCYPART_ARC
(6,13),-0.713404 # DEPENDENCYPART_ARC
(7,1),-0.278395 # DEPENDENCYPART_ARC
(7,2),-1.33916 # DEPENDENCYPART_ARC
(7,3),-0.780154 # DEPENDENCYPART_ARC
(7,4),-0.497897 # DEPENDENCYPART_ARC
(7,5),0.249154 # DEPENDENCYPART_ARC
(7,6),-0.915772 # DEPENDENCYPART_ARC
(7,8),1.83397 # DEPENDENCYPART_ARC
(7,9),0.304018 # DEPENDENCYPART_ARC
(7,10),0.792698 # DEPENDENCYPART_ARC
(7,11),-0.785046 # DEPENDENCYPART_ARC
(7,12),0.147511 # DEPENDENCYPART_ARC
(7,13),-0.25487 # DEPENDENCYPART_ARC
(7,15),-1.88497 # DEPENDENCYPART_ARC
(7,16),-0.732352 # DEPENDENCYPART_ARC
(8,1),-0.775581 # DEPENDENCYPART_ARC
(8,2),-0.366511 # DEPENDENCYPART_ARC
(8,4),-0.866992 # DEPENDENCYPART_ARC
(8,5),-0.154815 # DEPENDENCYPART_ARC
(8,6),-0.571429 # DEPENDENCYPART_ARC
(8,7),0.694432 # DEPENDENCYPART_ARC
(8,9),2.65526 # DEPENDENCYPART_ARC
(8,10),-0.0426034 # DEPENDENCYPART_ARC
(8,11),-0.116245 # DEPENDENCYPART_ARC
(8,12),-0.545469 # DEPENDENCYPART_ARC
(9,10),0.920198 # DEPENDENCYPART_ARC
(9,11),-0.772059 # DEPENDENCYPART_ARC
(9,12),-0.121857 # DEPENDENCYPART_ARC
(9,13),-0.916613 # DEPENDENCYPART_ARC
(9,14),-2.40245 # DEPENDENCYPART_ARC
(9,15),-2.22349 # DEPENDENCYPART_ARC
(9,16),-1.04461 # DEPENDENCYPART_ARC
(9,19),-1.23018 # DEPENDENCYPART_ARC
(10,1),-0.996713 # DEPENDENCYPART_ARC
(10,4),0.144088 # DEPENDENCYPART_ARC
(10,5),-0.373133 # DEPENDENCYPART_ARC
(10,7),-0.145567 # DEPENDENCYPART_ARC
(10,8),-0.21894 # DEPENDENCYPART_ARC
(10,9),0.707785 # DEPENDENCYPART_ARC
(10,11),2.19459 # DEPENDENCYPART_ARC
(10,12),0.235193 # DEPENDENCYPART_ARC
(10,13),-0.729041 # DEPENDENCYPART_ARC
(10,14),-0.730889 # DEPENDENCYPART_ARC
(11,9),-0.372213 # DEPENDENCYPART_ARC
(11,12),0.575983 # DEPENDENCYPART_ARC
