# _root_ El conseller , contràriament , va defensar que l' ànim del govern català sempre ha estat " el d' ajudar el Barça " .
#goldHeads=2,7,4,7,4,7,0,16,10,16,10,11,12,16,16,7,19,19,16,19,22,20,19,7,
#predictedHeads=2,7,4,7,4,7,0,16,10,16,10,11,12,16,16,7,19,19,16,19,22,20,19,7,
(0,2),-4.24831 # DEPENDENCYPART_ARC
(0,6),-1.54076 # DEPENDENCYPART_ARC
(0,7),-3.14838 # DEPENDENCYPART_ARC
(0,15),-2.78063 # DEPENDENCYPART_ARC
(0,16),-3.42728 # DEPENDENCYPART_ARC
(0,20),-4.41099 # DEPENDENCYPART_ARC
(1,2),-1.21868 # DEPENDENCYPART_ARC
(2,1),1.64187 # DEPENDENCYPART_ARC
(2,3),-0.485096 # DEPENDENCYPART_ARC
(2,4),-1.33529 # DEPENDENCYPART_ARC
(2,5),-0.654555 # DEPENDENCYPART_ARC
(2,6),-1.69267 # DEPENDENCYPART_ARC
(2,7),-1.71875 # DEPENDENCYPART_ARC
(2,8),-1.36162 # DEPENDENCYPART_ARC
(2,10),-1.82441 # DEPENDENCYPART_ARC
(2,11),-1.81024 # DEPENDENCYPART_ARC
(2,13),-1.18706 # DEPENDENCYPART_ARC
(2,17),-2.05297 # DEPENDENCYPART_ARC
(2,22),-2.83166 # DEPENDENCYPART_ARC
(2,24),-2.78876 # DEPENDENCYPART_ARC
(3,2),-1.74227 # DEPENDENCYPART_ARC
(4,2),-1.71473 # DEPENDENCYPART_ARC
(4,3),0.0586965 # DEPENDENCYPART_ARC
(4,5),0.638403 # DEPENDENCYPART_ARC
(4,6),-1.32558 # DEPENDENCYPART_ARC
(4,7),-1.85694 # DEPENDENCYPART_ARC
(4,8),-1.95204 # DEPENDENCYPART_ARC
(4,11),-2.39951 # DEPENDENCYPART_ARC
(4,14),-2.46835 # DEPENDENCYPART_ARC
(4,16),-2.45427 # DEPENDENCYPART_ARC
(4,17),-1.62639 # DEPENDENCYPART_ARC
(4,19),-2.89668 # DEPENDENCYPART_ARC
(4,20),-2.64652 # DEPENDENCYPART_ARC
(5,3),-1.72158 # DEPENDENCYPART_ARC
(6,2),-3.42476 # DEPENDENCYPART_ARC
(6,3),-3.31141 # DEPENDENCYPART_ARC
(6,4),-2.16882 # DEPENDENCYPART_ARC
(6,5),-2.2349 # DEPENDENCYPART_ARC
(6,7),-0.337016 # DEPENDENCYPART_ARC
(6,10),-2.35567 # DEPENDENCYPART_ARC
(6,16),-2.84985 # DEPENDENCYPART_ARC
(6,23),-1.75829 # DEPENDENCYPART_ARC
(6,24),-2.78668 # DEPENDENCYPART_ARC
(7,1),-2.89365 # DEPENDENCYPART_ARC
(7,2),-1.28008 # DEPENDENCYPART_ARC
(7,3),-1.57196 # DEPENDENCYPART_ARC
(7,4),-0.303491 # DEPENDENCYPART_ARC
(7,5),-1.04458 # DEPENDENCYPART_ARC
(7,6),2.31333 # DEPENDENCYPART_ARC
(7,8),-0.71522 # DEPENDENCYPART_ARC
(7,10),-0.549504 # DEPENDENCYPART_ARC
(7,11),-0.594793 # DEPENDENCYPART_ARC
(7,12),-1.35118 # DEPENDENCYPART_ARC
(7,13),-1.46003 # DEPENDENCYPART_ARC
(7,14),-1.74549 # DEPENDENCYPART_ARC
(7,15),-1.15162 # DEPENDENCYPART_ARC
(7,16),-0.8795 # DEPENDENCYPART_ARC
(7,17),-1.10596 # DEPENDENCYPART_ARC
(7,19),-2.23312 # DEPENDENCYPART_ARC
(7,20),-0.909712 # DEPENDENCYPART_ARC
(7,22),-2.70911 # DEPENDENCYPART_ARC
(7,23),-0.987231 # DEPENDENCYPART_ARC
(7,24),-0.751865 # DEPENDENCYPART_ARC
(8,10),-2.01927 # DEPENDENCYPART_ARC
(8,11),-1.97644 # DEPENDENCYPART_ARC
(8,13),-2.60627 # DEPENDENCYPART_ARC
(9,10),-0.777115 # DEPENDENCYPART_ARC
(9,11),-0.887143 # DEPENDENCYPART_ARC
(10,2),-2.77921 # DEPENDENCYPART_ARC
(10,3),-2.22995 # DEPENDENCYPART_ARC
(10,4),-1.85867 # DEPENDENCYPART_ARC
(10,5),-2.47417 # DEPENDENCYPART_ARC
(10,7),-2.24986 # DEPENDENCYPART_ARC
(10,8),-1.27821 # DEPENDENCYPART_ARC
(10,9),1.72695 # DEPENDENCYPART_ARC
(10,11),0.908025 # DEPENDENCYPART_ARC
(10,12),-0.434065 # DEPENDENCYPART_ARC
(10,13),0.311365 # DEPENDENCYPART_ARC
(10,14),-1.39741 # DEPENDENCYPART_ARC
(10,15),-1.6878 # DEPENDENCYPART_ARC
(10,16),-1.5716 # DEPENDENCYPART_ARC
(10,17),-1.20644 # DEPENDENCYPART_ARC
(10,19),-1.95367 # DEPENDENCYPART_ARC
(10,20),-2.20256 # DEPENDENCYPART_ARC
(10,22),-2.42382 # DEPENDENCYPART_ARC
(10,23),-1.97613 # DEPENDENCYPART_ARC
(10,24),-2.52801 # DEPENDENCYPART_ARC
(11,7),-2.49047 # DEPENDENCYPART_ARC
(11,8),-2.02991 # DEPENDENCYPART_ARC
(11,9),-2.14663 # DEPENDENCYPART_ARC
(11,10),-1.83027 # DEPENDENCYPART_ARC
(11,12),2.32402 # DEPENDENCYPART_ARC
(11,13),-1.28984 # DEPENDENCYPART_ARC
(11,14),-1.68929 # DEPENDENCYPART_ARC
(11,15),-1.97566 # DEPENDENCYPART_ARC
(11,16),-1.6329 # DEPENDENCYPART_ARC
(11,19),-2.61604 # DEPENDENCYPART_ARC
(12,4),-2.64874 # DEPENDENCYPART_ARC
(12,7),-3.2827 # DEPENDENCYPART_ARC
(12,8),-2.4906 # DEPENDENCYPART_ARC
(12,9),-1.97648 # DEPENDENCYPART_ARC
(12,13),1.22249 # DEPENDENCYPART_ARC
(12,14),-1.28834 # DEPENDENCYPART_ARC
(12,15),-1.3621 # DEPENDENCYPART_ARC
(12,16),-1.45698 # DEPENDENCYPART_ARC
(12,17),-1.54582 # DEPENDENCYPART_ARC
(12,19),-2.00957 # DEPENDENCYPART_ARC
(12,20),-2.37642 # DEPENDENCYPART_ARC
(12,22),-2.11833 # DEPENDENCYPART_ARC
(12,23),-2.21884 # DEPENDENCYPART_ARC
(13,3),-3.01494 # DEPENDENCYPART_ARC
(13,5),-3.09072 # DEPENDENCYPART_ARC
(13,9),-2.63599 # DEPENDENCYPART_ARC
(13,10),-2.5994 # DEPENDENCYPART_ARC
(13,11),-1.81239 # DEPENDENCYPART_ARC
(13,14),-0.478618 # DEPENDENCYPART_ARC
(13,15),-1.67251 # DEPENDENCYPART_ARC
(13,16),-1.80809 # DEPENDENCYPART_ARC
(13,17),-1.74752 # DEPENDENCYPART_ARC
(13,19),-2.63319 # DEPENDENCYPART_ARC
(13,20),-2.4663 # DEPENDENCYPART_ARC
(14,11),-1.80965 # DEPENDENCYPART_ARC
(14,12),-1.73555 # DEPENDENCYPART_ARC
(14,13),-1.12595 # DEPENDENCYPART_ARC
(14,15),-0.855667 # DEPENDENCYPART_ARC
(14,19),-2.5144 # DEPENDENCYPART_ARC
(15,2),-4.52808 # DEPENDENCYPART_ARC
(15,4),-3.51593 # DEPENDENCYPART_ARC
(15,8),-1.40949 # DEPENDENCYPART_ARC
(15,10),-3.30001 # DEPENDENCYPART_ARC
(15,13),-3.34992 # DEPENDENCYPART_ARC
(15,14),-1.24709 # DEPENDENCYPART_ARC
(15,16),-0.771137 # DEPENDENCYPART_ARC
(15,19),-2.74415 # DEPENDENCYPART_ARC
(15,20),-2.54958 # DEPENDENCYPART_ARC
(15,23),-2.38299 # DEPENDENCYPART_ARC
(15,24),-3.08984 # DEPENDENCYPART_ARC
(16,2),-2.56936 # DEPENDENCYPART_ARC
(16,3),-3.37747 # DEPENDENCYPART_ARC
(16,4),-1.54936 # DEPENDENCYPART_ARC
(16,5),-3.17729 # DEPENDENCYPART_ARC
(16,6),-2.22436 # DEPENDENCYPART_ARC
(16,7),-1.69539 # DEPENDENCYPART_ARC
(16,8),0.762112 # DEPENDENCYPART_ARC
(16,9),-2.48542 # DEPENDENCYPART_ARC
(16,10),-1.0611 # DEPENDENCYPART_ARC
(16,11),-1.57651 # DEPENDENCYPART_ARC
(16,12),-1.2575 # DEPENDENCYPART_ARC
(16,13),-1.60602 # DEPENDENCYPART_ARC
(16,14),0.498644 # DEPENDENCYPART_ARC
(16,15),2.88388 # DEPENDENCYPART_ARC
(16,17),-0.627291 # DEPENDENCYPART_ARC
(16,19),-0.615606 # DEPENDENCYPART_ARC
(16,20),-1.27343 # DEPENDENCYPART_ARC
(16,22),-1.88657 # DEPENDENCYPART_ARC
(16,23),-1.1309 # DEPENDENCYPART_ARC
(16,24),-1.18707 # DEPENDENCYPART_ARC
(18,14),-2.31464 # DEPENDENCYPART_ARC
(18,17),-0.871637 # DEPENDENCYPART_ARC
(18,21),-1.46193 # DEPENDENCYPART_ARC
(19,7),-2.04571 # DEPENDENCYPART_ARC
(19,17),-1.08614 # DEPENDENCYPART_ARC
(19,18),-0.286433 # DEPENDENCYPART_ARC
(19,20),2.42649 # DEPENDENCYPART_ARC
(19,22),-0.728452 # DEPENDENCYPART_ARC
(19,23),-0.569543 # DEPENDENCYPART_ARC
(19,24),-1.1625 # DEPENDENCYPART_ARC
(20,2),-2.93804 # DEPENDENCYPART_ARC
(20,3),-3.87304 # DEPENDENCYPART_ARC
(20,4),-1.92923 # DEPENDENCYPART_ARC
(20,6),-2.86171 # DEPENDENCYPART_ARC
(20,7),-2.00077 # DEPENDENCYPART_ARC
(20,8),-0.199084 # DEPENDENCYPART_ARC
(20,10),-1.77771 # DEPENDENCYPART_ARC
(20,11),-2.54055 # DEPENDENCYPART_ARC
(20,12),-2.03182 # DEPENDENCYPART_ARC
(20,13),-2.30482 # DEPENDENCYPART_ARC
(20,14),-1.44299 # DEPENDENCYPART_ARC
(20,15),-0.470698 # DEPENDENCYPART_ARC
(20,16),-0.187085 # DEPENDENCYPART_ARC
(20,17),-0.357887 # DEPENDENCYPART_ARC
(20,18),-0.934975 # DEPENDENCYPART_ARC
(20,19),0.247554 # DEPENDENCYPART_ARC
(20,22),0.534465 # DEPENDENCYPART_ARC
(20,23),-0.451232 # DEPENDENCYPART_ARC
(20,24),-1.10519 # DEPENDENCYPART_ARC
(21,22),-1.52959 # DEPENDENCYPART_ARC
(21,23),-1.8574 # DEPENDENCYPART_ARC
(22,18),-2.92295 # DEPENDENCYPART_ARC
(22,20),-0.817129 # DEPENDENCYPART_ARC
(22,21),1.1018 # DEPENDENCYPART_ARC
(22,23),-0.920587 # DEPENDENCYPART_ARC
(22,24),-1.37753 # DEPENDENCYPART_ARC
(0,2),(0,6),-0.442675 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.421635 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.423891 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.431922 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.418887 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.946003 # DEPENDENCYPART_SIBL
