# _root_ En xifres globals , a Catalunya han mort 240 persones durant els cinc primers mesos de l' any , la xifra més alta des_de 1994 segons dades de la Prefectura_de_Trànsit_de_Barcelona .
#goldHeads=8,1,2,1,8,5,8,0,10,8,8,15,12,15,11,15,18,16,21,21,10,23,21,23,24,8,26,27,30,28,8,
#predictedHeads=8,1,2,1,8,5,8,0,10,8,8,15,12,15,11,15,18,16,21,21,10,23,21,23,24,8,26,27,30,28,8,
(0,1),-4.35119 # DEPENDENCYPART_ARC
(0,7),-1.43265 # DEPENDENCYPART_ARC
(0,8),-2.37819 # DEPENDENCYPART_ARC
(0,10),-5.70334 # DEPENDENCYPART_ARC
(1,2),3.27314 # DEPENDENCYPART_ARC
(1,3),-0.137926 # DEPENDENCYPART_ARC
(1,4),0.362412 # DEPENDENCYPART_ARC
(1,5),-1.0563 # DEPENDENCYPART_ARC
(1,6),-0.874569 # DEPENDENCYPART_ARC
(1,19),-0.755066 # DEPENDENCYPART_ARC
(2,3),1.6241 # DEPENDENCYPART_ARC
(2,4),-1.104 # DEPENDENCYPART_ARC
(2,5),-0.757179 # DEPENDENCYPART_ARC
(2,6),-1.37605 # DEPENDENCYPART_ARC
(2,7),-1.22573 # DEPENDENCYPART_ARC
(2,8),-1.50031 # DEPENDENCYPART_ARC
(2,9),-2.05683 # DEPENDENCYPART_ARC
(2,10),-0.824159 # DEPENDENCYPART_ARC
(2,11),-1.38444 # DEPENDENCYPART_ARC
(2,15),-1.48885 # DEPENDENCYPART_ARC
(2,16),-2.47278 # DEPENDENCYPART_ARC
(2,21),-2.65346 # DEPENDENCYPART_ARC
(2,31),-3.16085 # DEPENDENCYPART_ARC
(3,1),-0.867302 # DEPENDENCYPART_ARC
(3,4),-1.14699 # DEPENDENCYPART_ARC
(3,5),-1.14625 # DEPENDENCYPART_ARC
(3,11),-2.48832 # DEPENDENCYPART_ARC
(4,3),-1.3387 # DEPENDENCYPART_ARC
(5,1),-2.09003 # DEPENDENCYPART_ARC
(5,3),-2.32767 # DEPENDENCYPART_ARC
(5,4),-0.417618 # DEPENDENCYPART_ARC
(5,6),1.73615 # DEPENDENCYPART_ARC
(5,7),-1.28439 # DEPENDENCYPART_ARC
(5,9),-2.47709 # DEPENDENCYPART_ARC
(5,10),-2.2291 # DEPENDENCYPART_ARC
(5,19),-1.23365 # DEPENDENCYPART_ARC
(6,1),-2.5337 # DEPENDENCYPART_ARC
(6,4),-1.73795 # DEPENDENCYPART_ARC
(6,5),-0.739376 # DEPENDENCYPART_ARC
(6,7),-1.68925 # DEPENDENCYPART_ARC
(7,1),-2.63292 # DEPENDENCYPART_ARC
(7,4),-2.72021 # DEPENDENCYPART_ARC
(7,5),-1.77592 # DEPENDENCYPART_ARC
(7,6),-2.41529 # DEPENDENCYPART_ARC
(7,8),-0.696734 # DEPENDENCYPART_ARC
(7,9),-2.31948 # DEPENDENCYPART_ARC
(7,10),-1.18653 # DEPENDENCYPART_ARC
(7,11),-1.61697 # DEPENDENCYPART_ARC
(7,15),-2.38437 # DEPENDENCYPART_ARC
(7,26),-2.60088 # DEPENDENCYPART_ARC
(7,31),-2.65195 # DEPENDENCYPART_ARC
(8,1),-0.385802 # DEPENDENCYPART_ARC
(8,2),-1.20068 # DEPENDENCYPART_ARC
(8,3),-1.32412 # DEPENDENCYPART_ARC
(8,4),-0.602056 # DEPENDENCYPART_ARC
(8,5),0.278741 # DEPENDENCYPART_ARC
(8,6),-0.164742 # DEPENDENCYPART_ARC
(8,7),2.55069 # DEPENDENCYPART_ARC
(8,9),-0.208164 # DEPENDENCYPART_ARC
(8,10),1.25597 # DEPENDENCYPART_ARC
(8,11),0.466615 # DEPENDENCYPART_ARC
(8,14),-1.61181 # DEPENDENCYPART_ARC
(8,15),-0.542989 # DEPENDENCYPART_ARC
(8,16),-1.16501 # DEPENDENCYPART_ARC
(8,18),-1.36493 # DEPENDENCYPART_ARC
(8,19),-0.9124 # DEPENDENCYPART_ARC
(8,21),-1.5958 # DEPENDENCYPART_ARC
(8,22),-1.9247 # DEPENDENCYPART_ARC
(8,23),-1.55734 # DEPENDENCYPART_ARC
(8,24),-1.03409 # DEPENDENCYPART_ARC
(8,25),-1.86981 # DEPENDENCYPART_ARC
(8,26),-0.726614 # DEPENDENCYPART_ARC
(8,27),-1.47908 # DEPENDENCYPART_ARC
(8,28),-1.84454 # DEPENDENCYPART_ARC
(8,30),-1.75842 # DEPENDENCYPART_ARC
(8,31),0.0279293 # DEPENDENCYPART_ARC
(9,1),-1.99166 # DEPENDENCYPART_ARC
(9,5),-1.91159 # DEPENDENCYPART_ARC
(9,10),-1.10243 # DEPENDENCYPART_ARC
(9,11),-1.42504 # DEPENDENCYPART_ARC
(9,15),-2.47647 # DEPENDENCYPART_ARC
(9,16),-1.94189 # DEPENDENCYPART_ARC
(9,21),-2.43252 # DEPENDENCYPART_ARC
(10,1),-2.44456 # DEPENDENCYPART_ARC
(10,3),-1.13739 # DEPENDENCYPART_ARC
(10,4),-1.81184 # DEPENDENCYPART_ARC
(10,5),-2.2578 # DEPENDENCYPART_ARC
(10,7),-1.41756 # DEPENDENCYPART_ARC
(10,8),-1.19374 # DEPENDENCYPART_ARC
(10,9),1.51083 # DEPENDENCYPART_ARC
(10,11),0.0215344 # DEPENDENCYPART_ARC
(10,14),-1.47159 # DEPENDENCYPART_ARC
(10,15),-0.42239 # DEPENDENCYPART_ARC
(10,16),-1.14475 # DEPENDENCYPART_ARC
(10,18),-2.13087 # DEPENDENCYPART_ARC
(10,19),-1.10862 # DEPENDENCYPART_ARC
(10,21),-2.06536 # DEPENDENCYPART_ARC
(10,22),-1.41205 # DEPENDENCYPART_ARC
(10,23),-2.35071 # DEPENDENCYPART_ARC
(10,24),-1.04658 # DEPENDENCYPART_ARC
(10,25),-1.79084 # DEPENDENCYPART_ARC
(10,26),-1.4915 # DEPENDENCYPART_ARC
(10,27),-1.51751 # DEPENDENCYPART_ARC
(10,28),-3.08631 # DEPENDENCYPART_ARC
(10,31),-2.66507 # DEPENDENCYPART_ARC
(11,9),-2.20284 # DEPENDENCYPART_ARC
(11,10),-1.69954 # DEPENDENCYPART_ARC
(11,12),-1.3873 # DEPENDENCYPART_ARC
(11,15),0.165637 # DEPENDENCYPART_ARC
(11,16),-1.95198 # DEPENDENCYPART_ARC
(11,18),-0.619124 # DEPENDENCYPART_ARC
(11,19),-1.44164 # DEPENDENCYPART_ARC
(11,21),-1.73432 # DEPENDENCYPART_ARC
(11,23),-2.03005 # DEPENDENCYPART_ARC
(12,10),-2.28842 # DEPENDENCYPART_ARC
(12,11),-1.43614 # DEPENDENCYPART_ARC
(12,13),2.54351 # DEPENDENCYPART_ARC
(12,14),-0.526036 # DEPENDENCYPART_ARC
(13,11),-1.12982 # DEPENDENCYPART_ARC
(14,12),-1.48687 # DEPENDENCYPART_ARC
(14,13),-1.30983 # DEPENDENCYPART_ARC
(14,16),-1.38053 # DEPENDENCYPART_ARC
(15,1),-1.33093 # DEPENDENCYPART_ARC
(15,3),-1.42747 # DEPENDENCYPART_ARC
(15,4),-1.94946 # DEPENDENCYPART_ARC
(15,5),-1.30759 # DEPENDENCYPART_ARC
(15,10),-2.16202 # DEPENDENCYPART_ARC
(15,11),-0.962265 # DEPENDENCYPART_ARC
(15,12),0.0114414 # DEPENDENCYPART_ARC
(15,13),0.911144 # DEPENDENCYPART_ARC
(15,14),2.57635 # DEPENDENCYPART_ARC
(15,16),0.491953 # DEPENDENCYPART_ARC
(15,18),-0.879747 # DEPENDENCYPART_ARC
(15,19),-1.07924 # DEPENDENCYPART_ARC
(15,21),-1.66907 # DEPENDENCYPART_ARC
(15,22),-1.46743 # DEPENDENCYPART_ARC
(15,23),-3.27503 # DEPENDENCYPART_ARC
(15,24),-1.15927 # DEPENDENCYPART_ARC
(15,25),-1.5968 # DEPENDENCYPART_ARC
(15,26),-1.66771 # DEPENDENCYPART_ARC
(15,27),-1.4679 # DEPENDENCYPART_ARC
(15,28),-2.51594 # DEPENDENCYPART_ARC
(15,31),-2.16422 # DEPENDENCYPART_ARC
(16,12),-3.0951 # DEPENDENCYPART_ARC
(16,15),-1.66544 # DEPENDENCYPART_ARC
(16,18),1.957 # DEPENDENCYPART_ARC
(16,19),-1.17798 # DEPENDENCYPART_ARC
(16,21),-0.723887 # DEPENDENCYPART_ARC
(16,23),-1.74795 # DEPENDENCYPART_ARC
(17,20),-1.59151 # DEPENDENCYPART_ARC
(18,5),-1.6455 # DEPENDENCYPART_ARC
(18,12),-3.52093 # DEPENDENCYPART_ARC
(18,16),-0.691933 # DEPENDENCYPART_ARC
(18,17),1.78696 # DEPENDENCYPART_ARC
(18,19),-0.439331 # DEPENDENCYPART_ARC
(18,21),-0.935625 # DEPENDENCYPART_ARC
(18,22),-1.26306 # DEPENDENCYPART_ARC
(18,23),-1.65021 # DEPENDENCYPART_ARC
(18,24),-1.26251 # DEPENDENCYPART_ARC
(18,25),-1.38036 # DEPENDENCYPART_ARC
(18,26),-1.55404 # DEPENDENCYPART_ARC
(18,27),-2.25113 # DEPENDENCYPART_ARC
(18,28),-1.78884 # DEPENDENCYPART_ARC
(18,30),-1.94396 # DEPENDENCYPART_ARC
(18,31),-1.94311 # DEPENDENCYPART_ARC
(21,1),-1.96399 # DEPENDENCYPART_ARC
(21,11),-2.02282 # DEPENDENCYPART_ARC
(21,16),-1.98037 # DEPENDENCYPART_ARC
(21,17),-2.08274 # DEPENDENCYPART_ARC
(21,19),-0.433466 # DEPENDENCYPART_ARC
(21,20),2.07554 # DEPENDENCYPART_ARC
(21,22),-0.0895858 # DEPENDENCYPART_ARC
(21,23),1.00201 # DEPENDENCYPART_ARC
(21,24),-0.211771 # DEPENDENCYPART_ARC
(21,25),-0.901497 # DEPENDENCYPART_ARC
(21,26),-0.667623 # DEPENDENCYPART_ARC
(21,27),-1.19971 # DEPENDENCYPART_ARC
(21,28),-0.888729 # DEPENDENCYPART_ARC
(21,30),-1.41686 # DEPENDENCYPART_ARC
(21,31),-1.09531 # DEPENDENCYPART_ARC
(22,20),-2.3032 # DEPENDENCYPART_ARC
(22,21),-0.916311 # DEPENDENCYPART_ARC
(22,23),-1.17896 # DEPENDENCYPART_ARC
(22,24),-1.78943 # DEPENDENCYPART_ARC
(22,25),-1.7126 # DEPENDENCYPART_ARC
(22,26),-2.34939 # DEPENDENCYPART_ARC
(23,16),-1.59879 # DEPENDENCYPART_ARC
(23,19),-1.00123 # DEPENDENCYPART_ARC
(23,20),-1.15441 # DEPENDENCYPART_ARC
(23,21),-1.23831 # DEPENDENCYPART_ARC
(23,22),1.36831 # DEPENDENCYPART_ARC
(23,24),-0.498945 # DEPENDENCYPART_ARC
(23,25),-1.16319 # DEPENDENCYPART_ARC
(23,26),-1.63717 # DEPENDENCYPART_ARC
(23,27),-2.22149 # DEPENDENCYPART_ARC
(23,28),-2.39246 # DEPENDENCYPART_ARC
(23,31),-1.65827 # DEPENDENCYPART_ARC
(24,12),-3.72255 # DEPENDENCYPART_ARC
(24,20),-2.95223 # DEPENDENCYPART_ARC
(24,22),-1.47748 # DEPENDENCYPART_ARC
(24,23),-1.13455 # DEPENDENCYPART_ARC
(24,25),0.749753 # DEPENDENCYPART_ARC
(24,26),-0.998609 # DEPENDENCYPART_ARC
(24,27),-0.3094 # DEPENDENCYPART_ARC
(24,28),-2.01901 # DEPENDENCYPART_ARC
(25,24),-0.682802 # DEPENDENCYPART_ARC
(25,26),-0.143833 # DEPENDENCYPART_ARC
(25,27),-0.944764 # DEPENDENCYPART_ARC
(25,28),-1.24264 # DEPENDENCYPART_ARC
(25,31),-1.48518 # DEPENDENCYPART_ARC
(26,20),-2.96459 # DEPENDENCYPART_ARC
(26,22),-1.97623 # DEPENDENCYPART_ARC
(26,24),-1.22994 # DEPENDENCYPART_ARC
(26,25),-1.05848 # DEPENDENCYPART_ARC
(26,27),2.42672 # DEPENDENCYPART_ARC
(26,28),-1.31157 # DEPENDENCYPART_ARC
(27,23),-2.851 # DEPENDENCYPART_ARC
(27,24),-2.6537 # DEPENDENCYPART_ARC
(27,25),-1.63598 # DEPENDENCYPART_ARC
(27,28),0.576753 # DEPENDENCYPART_ARC
(27,30),-0.992293 # DEPENDENCYPART_ARC
(27,31),-1.33613 # DEPENDENCYPART_ARC
(28,30),1.60798 # DEPENDENCYPART_ARC
(30,29),0.935151 # DEPENDENCYPART_ARC
(0,1),(0,7),-0.423883 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.41298 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0225366 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.946708 # DEPENDENCYPART_SIBL
