# _root_ En aquests moments hi ha una discriminació de la balança fiscal envers Catalunya i l' Estat , per moltes voltes que hi vulgui donar , no ens deixarà a tots contents .
#goldHeads=5,3,1,5,0,7,5,7,10,8,10,7,12,13,16,13,18,5,20,18,23,23,20,23,5,28,28,5,28,29,28,5,
#predictedHeads=5,3,1,5,0,7,5,7,10,8,10,7,12,13,16,13,18,28,20,18,23,23,20,23,18,28,28,7,28,29,30,5,
(0,1),-4.43956 # DEPENDENCYPART_ARC
(0,5),-2.6118 # DEPENDENCYPART_ARC
(0,7),-5.65839 # DEPENDENCYPART_ARC
(0,23),-5.50814 # DEPENDENCYPART_ARC
(0,24),-6.2628 # DEPENDENCYPART_ARC
(0,28),-3.97187 # DEPENDENCYPART_ARC
(1,3),2.31492 # DEPENDENCYPART_ARC
(1,5),-1.64399 # DEPENDENCYPART_ARC
(1,7),-1.67013 # DEPENDENCYPART_ARC
(1,14),-1.56619 # DEPENDENCYPART_ARC
(1,17),-0.417758 # DEPENDENCYPART_ARC
(1,25),-1.12533 # DEPENDENCYPART_ARC
(3,2),1.39887 # DEPENDENCYPART_ARC
(3,4),-1.75249 # DEPENDENCYPART_ARC
(3,5),-1.13448 # DEPENDENCYPART_ARC
(3,7),-2.05033 # DEPENDENCYPART_ARC
(3,8),-1.50016 # DEPENDENCYPART_ARC
(3,11),-2.59074 # DEPENDENCYPART_ARC
(3,12),-1.71262 # DEPENDENCYPART_ARC
(3,14),-1.22618 # DEPENDENCYPART_ARC
(3,16),-3.319 # DEPENDENCYPART_ARC
(3,32),-2.81918 # DEPENDENCYPART_ARC
(4,7),-2.48627 # DEPENDENCYPART_ARC
(4,8),-2.26585 # DEPENDENCYPART_ARC
(5,1),-0.556706 # DEPENDENCYPART_ARC
(5,3),-1.75028 # DEPENDENCYPART_ARC
(5,4),1.35994 # DEPENDENCYPART_ARC
(5,6),-0.82262 # DEPENDENCYPART_ARC
(5,7),0.105606 # DEPENDENCYPART_ARC
(5,8),-1.53173 # DEPENDENCYPART_ARC
(5,10),-1.29508 # DEPENDENCYPART_ARC
(5,12),-1.38651 # DEPENDENCYPART_ARC
(5,14),-1.39107 # DEPENDENCYPART_ARC
(5,17),-1.66675 # DEPENDENCYPART_ARC
(5,18),-2.57882 # DEPENDENCYPART_ARC
(5,23),-1.44901 # DEPENDENCYPART_ARC
(5,24),-2.10415 # DEPENDENCYPART_ARC
(5,25),-1.65055 # DEPENDENCYPART_ARC
(5,28),-2.2889 # DEPENDENCYPART_ARC
(5,32),-1.23283 # DEPENDENCYPART_ARC
(6,7),0.257147 # DEPENDENCYPART_ARC
(6,8),-0.279412 # DEPENDENCYPART_ARC
(7,1),-1.76288 # DEPENDENCYPART_ARC
(7,4),-0.335824 # DEPENDENCYPART_ARC
(7,5),-1.63212 # DEPENDENCYPART_ARC
(7,6),1.6933 # DEPENDENCYPART_ARC
(7,8),0.867652 # DEPENDENCYPART_ARC
(7,10),-0.183827 # DEPENDENCYPART_ARC
(7,11),0.102916 # DEPENDENCYPART_ARC
(7,12),-0.33502 # DEPENDENCYPART_ARC
(7,13),-1.64889 # DEPENDENCYPART_ARC
(7,14),-0.125192 # DEPENDENCYPART_ARC
(7,16),-1.82281 # DEPENDENCYPART_ARC
(7,17),-1.15935 # DEPENDENCYPART_ARC
(7,18),-1.45453 # DEPENDENCYPART_ARC
(7,20),-1.93194 # DEPENDENCYPART_ARC
(7,23),-0.244111 # DEPENDENCYPART_ARC
(7,24),-1.28775 # DEPENDENCYPART_ARC
(7,28),-0.864172 # DEPENDENCYPART_ARC
(7,32),-2.29024 # DEPENDENCYPART_ARC
(8,6),-1.93788 # DEPENDENCYPART_ARC
(8,10),1.85749 # DEPENDENCYPART_ARC
(8,11),-1.26765 # DEPENDENCYPART_ARC
(8,12),-1.78212 # DEPENDENCYPART_ARC
(8,13),-1.53114 # DEPENDENCYPART_ARC
(8,14),-1.22477 # DEPENDENCYPART_ARC
(8,16),-2.05909 # DEPENDENCYPART_ARC
(10,1),-2.10401 # DEPENDENCYPART_ARC
(10,6),-1.67157 # DEPENDENCYPART_ARC
(10,9),1.53454 # DEPENDENCYPART_ARC
(10,11),1.49443 # DEPENDENCYPART_ARC
(10,12),0.149411 # DEPENDENCYPART_ARC
(10,13),-0.983656 # DEPENDENCYPART_ARC
(10,14),-0.227188 # DEPENDENCYPART_ARC
(10,16),-1.35552 # DEPENDENCYPART_ARC
(10,17),-1.17125 # DEPENDENCYPART_ARC
(10,18),-1.41192 # DEPENDENCYPART_ARC
(10,20),-1.61263 # DEPENDENCYPART_ARC
(10,23),-0.503734 # DEPENDENCYPART_ARC
(10,24),-1.53459 # DEPENDENCYPART_ARC
(10,28),-1.09685 # DEPENDENCYPART_ARC
(10,30),-3.40429 # DEPENDENCYPART_ARC
(10,31),-4.48548 # DEPENDENCYPART_ARC
(10,32),-1.95183 # DEPENDENCYPART_ARC
(11,1),-1.51747 # DEPENDENCYPART_ARC
(11,9),-1.19481 # DEPENDENCYPART_ARC
(11,12),-0.564918 # DEPENDENCYPART_ARC
(11,13),-1.19088 # DEPENDENCYPART_ARC
(11,14),-1.04069 # DEPENDENCYPART_ARC
(11,16),-2.00146 # DEPENDENCYPART_ARC
(11,18),-2.52454 # DEPENDENCYPART_ARC
(11,20),-2.50158 # DEPENDENCYPART_ARC
(12,1),-2.23326 # DEPENDENCYPART_ARC
(12,9),-2.5721 # DEPENDENCYPART_ARC
(12,11),-1.46554 # DEPENDENCYPART_ARC
(12,13),1.78275 # DEPENDENCYPART_ARC
(12,14),-1.07896 # DEPENDENCYPART_ARC
(12,16),-1.6854 # DEPENDENCYPART_ARC
(12,17),-1.3444 # DEPENDENCYPART_ARC
(12,18),-2.11816 # DEPENDENCYPART_ARC
(13,9),-3.29978 # DEPENDENCYPART_ARC
(13,11),-2.22947 # DEPENDENCYPART_ARC
(13,14),-0.137562 # DEPENDENCYPART_ARC
(13,16),-0.796324 # DEPENDENCYPART_ARC
(13,18),-1.8484 # DEPENDENCYPART_ARC
(13,20),-1.65934 # DEPENDENCYPART_ARC
(13,23),-1.04802 # DEPENDENCYPART_ARC
(13,24),-1.57111 # DEPENDENCYPART_ARC
(13,28),-1.68301 # DEPENDENCYPART_ARC
(13,32),-2.03578 # DEPENDENCYPART_ARC
(15,19),-1.9083 # DEPENDENCYPART_ARC
(16,12),-1.59393 # DEPENDENCYPART_ARC
(16,14),-1.17078 # DEPENDENCYPART_ARC
(16,15),1.17393 # DEPENDENCYPART_ARC
(16,17),-0.92522 # DEPENDENCYPART_ARC
(16,18),-1.40892 # DEPENDENCYPART_ARC
(16,20),-1.66656 # DEPENDENCYPART_ARC
(16,23),-0.911518 # DEPENDENCYPART_ARC
(16,24),-1.52755 # DEPENDENCYPART_ARC
(16,28),-1.57779 # DEPENDENCYPART_ARC
(16,31),-2.77279 # DEPENDENCYPART_ARC
(16,32),-1.64338 # DEPENDENCYPART_ARC
(18,15),-3.17343 # DEPENDENCYPART_ARC
(18,17),-0.153688 # DEPENDENCYPART_ARC
(18,19),-1.24192 # DEPENDENCYPART_ARC
(18,20),1.92512 # DEPENDENCYPART_ARC
(18,23),-1.63003 # DEPENDENCYPART_ARC
(18,24),-1.79147 # DEPENDENCYPART_ARC
(18,25),-0.465766 # DEPENDENCYPART_ARC
(18,26),-2.34772 # DEPENDENCYPART_ARC
(18,28),-3.9279 # DEPENDENCYPART_ARC
(18,29),-2.34545 # DEPENDENCYPART_ARC
(18,31),-2.67811 # DEPENDENCYPART_ARC
(20,1),-2.07072 # DEPENDENCYPART_ARC
(20,15),-2.64935 # DEPENDENCYPART_ARC
(20,19),2.44504 # DEPENDENCYPART_ARC
(20,21),-1.06812 # DEPENDENCYPART_ARC
(20,22),-2.03016 # DEPENDENCYPART_ARC
(20,23),0.0506502 # DEPENDENCYPART_ARC
(20,24),-0.474012 # DEPENDENCYPART_ARC
(20,25),-1.14162 # DEPENDENCYPART_ARC
(20,27),-2.25608 # DEPENDENCYPART_ARC
(20,28),-1.01217 # DEPENDENCYPART_ARC
(20,30),-2.16348 # DEPENDENCYPART_ARC
(20,31),-2.15302 # DEPENDENCYPART_ARC
(20,32),-1.21263 # DEPENDENCYPART_ARC
(22,30),-2.26107 # DEPENDENCYPART_ARC
(23,1),-1.50326 # DEPENDENCYPART_ARC
(23,4),-3.51654 # DEPENDENCYPART_ARC
