# _root_ De_fet , la noia presentava fractura de pelvis , turmell i cama i va ser atesa a un centre hospitalari .
#goldHeads=5,1,4,5,0,5,6,7,8,8,8,8,5,16,16,5,16,19,17,19,5,
#predictedHeads=5,1,4,5,0,5,6,7,8,8,8,8,5,16,16,5,16,19,17,19,5,
(0,1),-3.91902 # DEPENDENCYPART_ARC
(0,4),-4.99362 # DEPENDENCYPART_ARC
(0,5),-1.88108 # DEPENDENCYPART_ARC
(0,15),-5.35944 # DEPENDENCYPART_ARC
(0,16),-4.12426 # DEPENDENCYPART_ARC
(1,2),0.941745 # DEPENDENCYPART_ARC
(1,4),-1.75728 # DEPENDENCYPART_ARC
(1,5),-1.47745 # DEPENDENCYPART_ARC
(1,6),-2.16785 # DEPENDENCYPART_ARC
(1,7),-2.30079 # DEPENDENCYPART_ARC
(1,9),-1.47395 # DEPENDENCYPART_ARC
(1,11),-1.46818 # DEPENDENCYPART_ARC
(1,16),-2.4609 # DEPENDENCYPART_ARC
(3,1),-1.97517 # DEPENDENCYPART_ARC
(3,4),-1.08682 # DEPENDENCYPART_ARC
(4,1),-1.61298 # DEPENDENCYPART_ARC
(4,2),-1.14436 # DEPENDENCYPART_ARC
(4,3),1.8667 # DEPENDENCYPART_ARC
(4,5),-0.598532 # DEPENDENCYPART_ARC
(4,6),-0.830243 # DEPENDENCYPART_ARC
(4,7),-0.719615 # DEPENDENCYPART_ARC
(4,9),-1.7294 # DEPENDENCYPART_ARC
(4,10),-1.57565 # DEPENDENCYPART_ARC
(4,11),-1.04451 # DEPENDENCYPART_ARC
(4,12),-1.80998 # DEPENDENCYPART_ARC
(4,13),-1.90771 # DEPENDENCYPART_ARC
(4,16),-3.55085 # DEPENDENCYPART_ARC
(4,21),-2.53412 # DEPENDENCYPART_ARC
(5,1),-0.253016 # DEPENDENCYPART_ARC
(5,2),-0.189555 # DEPENDENCYPART_ARC
(5,3),-1.24074 # DEPENDENCYPART_ARC
(5,4),0.729774 # DEPENDENCYPART_ARC
(5,6),2.32209 # DEPENDENCYPART_ARC
(5,7),0.222934 # DEPENDENCYPART_ARC
(5,8),-0.898751 # DEPENDENCYPART_ARC
(5,9),-0.279251 # DEPENDENCYPART_ARC
(5,10),-0.788384 # DEPENDENCYPART_ARC
(5,11),-0.335717 # DEPENDENCYPART_ARC
(5,12),-1.60008 # DEPENDENCYPART_ARC
(5,13),0.11517 # DEPENDENCYPART_ARC
(5,14),-1.33667 # DEPENDENCYPART_ARC
(5,15),-1.16081 # DEPENDENCYPART_ARC
(5,16),-0.932661 # DEPENDENCYPART_ARC
(5,17),-1.72324 # DEPENDENCYPART_ARC
(5,21),-0.442405 # DEPENDENCYPART_ARC
(6,1),-2.25883 # DEPENDENCYPART_ARC
(6,2),-2.57562 # DEPENDENCYPART_ARC
(6,3),-2.1716 # DEPENDENCYPART_ARC
(6,4),-1.89852 # DEPENDENCYPART_ARC
(6,5),-1.78445 # DEPENDENCYPART_ARC
(6,7),1.17078 # DEPENDENCYPART_ARC
(6,8),-0.489902 # DEPENDENCYPART_ARC
